// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04826		9.357230	-0.275633	-2.947879	-0.143440	0.020456	0.086683	-0.614746	0.409668	0.551758	0.248710	-0.741162	-0.317684	-0.536562
04827		9.309760	-0.389128	-2.955220	-0.140484	0.018812	0.067748	-0.614990	0.401855	0.557373	0.248195	-0.741548	-0.316598	-0.536909
04828		9.388386	-0.369372	-2.974740	-0.118998	0.019785	0.052972	-0.606934	0.397461	0.549561	0.247738	-0.741847	-0.315699	-0.537237
04829		9.352155	-0.278778	-3.047813	-0.092994	0.017821	0.043317	-0.612305	0.409912	0.558838	0.247405	-0.742074	-0.314977	-0.537501
04830		9.310016	-0.258690	-2.968824	-0.068345	0.020209	0.030750	-0.614014	0.401367	0.560059	0.247173	-0.742206	-0.314439	-0.537739
04831		9.288532	-0.161227	-2.964951	-0.035912	0.003866	-0.005381	-0.614258	0.402344	0.556152	0.246936	-0.742251	-0.314304	-0.537865
04832		9.277058	-0.056427	-3.059237	-0.011705	-0.004006	-0.021967	-0.607666	0.402588	0.559570	0.246749	-0.742238	-0.314399	-0.537913
04833		9.199055	-0.360287	-3.375762	0.051799	0.006615	-0.008262	-0.614746	0.406494	0.555908	0.247033	-0.742084	-0.314681	-0.537830
04834		9.455303	0.059384	-2.692986	0.098699	0.035560	-0.069023	-0.608154	0.402832	0.559326	0.247405	-0.741561	-0.315493	-0.537905
04835		9.313914	0.870929	-3.135541	0.064875	-0.046625	-0.165119	-0.609619	0.399658	0.549072	0.246910	-0.741207	-0.316924	-0.537780
04836		9.319861	0.554719	-3.164976	-0.048335	-0.033198	-0.074552	-0.608887	0.402344	0.555176	0.246086	-0.741251	-0.317312	-0.537868
04837		9.494149	-0.494182	-2.686474	-0.160089	-0.003515	0.072947	-0.610840	0.395264	0.563232	0.245258	-0.741775	-0.316266	-0.538139
04838		9.386292	-1.006243	-2.626120	-0.115293	0.006051	0.119768	-0.605469	0.403076	0.557373	0.244973	-0.742278	-0.315088	-0.538266
04839		9.303696	-0.524155	-2.683448	0.007925	-0.024352	0.074720	-0.607422	0.398193	0.556641	0.245239	-0.742548	-0.314752	-0.537970
04840		9.320781	0.189134	-2.927980	0.014476	-0.068683	0.058225	-0.614502	0.398926	0.561768	0.245385	-0.742953	-0.314616	-0.537423
04841		9.531317	0.127878	-2.858501	-0.061534	-0.040351	0.058478	-0.604736	0.405518	0.568115	0.245099	-0.743375	-0.314105	-0.537270
04842		9.488248	-0.121095	-2.901801	-0.067443	-0.013434	0.052767	-0.604736	0.390625	0.559570	0.244800	-0.743657	-0.313562	-0.537332
04843		9.435980	-0.346182	-2.776475	-0.026705	0.015504	0.024373	-0.603271	0.400146	0.561523	0.244706	-0.743651	-0.313318	-0.537525
04844		9.388658	0.001643	-2.843447	0.061673	-0.013470	-0.063748	-0.605225	0.405518	0.561523	0.244706	-0.743352	-0.314067	-0.537503
04845		9.411822	0.153452	-2.986790	0.116305	-0.009677	-0.114910	-0.603516	0.406494	0.564453	0.244807	-0.742770	-0.315388	-0.537486
04846		9.464565	0.346525	-2.804201	0.082814	0.002071	-0.107666	-0.607178	0.404053	0.563965	0.244731	-0.742218	-0.316507	-0.537627
04847		9.414166	0.473326	-2.853080	-0.016371	-0.002313	-0.076535	-0.605225	0.400635	0.558594	0.244125	-0.741943	-0.317026	-0.537977
04848		9.428449	0.303821	-2.824342	-0.070526	0.005025	-0.048297	-0.606201	0.404541	0.565918	0.243309	-0.741813	-0.317146	-0.538454
04849		9.387781	-0.021335	-2.724388	-0.070586	0.005667	-0.046271	-0.610840	0.398438	0.570312	0.242446	-0.741651	-0.317269	-0.538994
04850		9.475884	-0.136711	-2.720991	-0.019328	0.001756	-0.062910	-0.604980	0.393799	0.572266	0.241779	-0.741343	-0.317707	-0.539459
04851		9.425855	0.060784	-2.769408	0.016304	0.006278	-0.069096	-0.601318	0.399902	0.574219	0.241362	-0.740965	-0.318248	-0.539846
04852		9.418516	0.167322	-2.790452	-0.016869	0.012354	-0.059033	-0.612549	0.400391	0.567139	0.240801	-0.740643	-0.318560	-0.540355
04853		9.409284	0.129490	-2.844915	-0.046068	0.017436	-0.044232	-0.603760	0.405518	0.562500	0.240116	-0.740323	-0.318772	-0.540972
04854		9.365658	-0.096015	-2.850504	-0.061881	0.016119	-0.039287	-0.608887	0.398193	0.574463	0.239471	-0.740095	-0.318895	-0.541496
04855		9.379017	-0.095396	-2.892336	-0.074520	0.008093	-0.042754	-0.609131	0.401367	0.576660	0.238568	-0.739911	-0.318877	-0.542157
04856		9.405159	-0.137402	-2.926407	-0.076070	0.015674	-0.048893	-0.604492	0.403076	0.576416	0.237633	-0.739666	-0.318878	-0.542901
04857		9.461033	-0.137035	-2.856946	-0.064511	0.010649	-0.053732	-0.606689	0.407471	0.587158	0.236801	-0.739457	-0.318933	-0.543516
04858		9.420872	-0.072474	-2.794491	-0.058050	0.009608	-0.060364	-0.603516	0.391113	0.580811	0.235821	-0.739177	-0.318998	-0.544285
04859		9.397901	0.070895	-2.841157	-0.050143	0.009608	-0.058176	-0.603271	0.404053	0.588867	0.235064	-0.739042	-0.318951	-0.544822
04860		9.331670	-0.020935	-2.897187	-0.051079	0.013237	-0.056663	-0.604248	0.396484	0.591553	0.234171	-0.738833	-0.318922	-0.545509
04861		9.389257	-0.205762	-2.879341	-0.046494	0.005266	-0.053240	-0.603271	0.406250	0.577148	0.233300	-0.738706	-0.318842	-0.546099
04862		9.398803	-0.113507	-2.872678	-0.032218	0.003992	-0.051977	-0.607666	0.396973	0.583252	0.232808	-0.738559	-0.319053	-0.546384
04863		9.312957	-0.054684	-2.838304	-0.044673	0.003568	-0.052601	-0.600098	0.402100	0.584229	0.232179	-0.738434	-0.319136	-0.546773
04864		9.356488	-0.087332	-2.880738	-0.038934	-0.001093	-0.059809	-0.599365	0.403076	0.583008	0.231598	-0.738344	-0.319273	-0.547061
04865		9.397149	-0.101933	-2.873444	-0.012471	0.003364	-0.068420	-0.602295	0.395752	0.584717	0.231196	-0.738156	-0.319600	-0.547293
04866		9.401473	-0.013771	-2.921168	0.012159	0.001154	-0.082624	-0.608398	0.402344	0.590332	0.230879	-0.737888	-0.320129	-0.547480
04867		9.403270	0.044047	-2.954196	0.016132	-0.006899	-0.102115	-0.607910	0.393555	0.580566	0.230396	-0.737612	-0.320796	-0.547665
04868		9.353447	-0.017154	-2.832149	0.020928	-0.008957	-0.114116	-0.611816	0.387207	0.585449	0.229946	-0.737308	-0.321583	-0.547801
04869		9.389036	0.088296	-2.810147	0.055532	-0.001433	-0.125017	-0.605469	0.388428	0.585449	0.229634	-0.736886	-0.322553	-0.547929
04870		9.350125	0.171240	-2.952894	0.088022	-0.001875	-0.128705	-0.614014	0.395996	0.589600	0.229582	-0.736379	-0.323710	-0.547950
04871		9.257167	0.255280	-2.906233	0.078062	-0.009067	-0.127362	-0.604004	0.401855	0.590576	0.229393	-0.735955	-0.324803	-0.547953
04872		9.316095	0.276509	-2.906518	0.071878	-0.018964	-0.136092	-0.600830	0.401123	0.589600	0.229111	-0.735584	-0.325930	-0.547899
04873		9.417072	0.309748	-2.812745	0.081328	-0.008083	-0.145187	-0.610352	0.391602	0.589844	0.228871	-0.735112	-0.327146	-0.547908
04874		9.345547	0.256317	-2.874848	0.056130	-0.006207	-0.143962	-0.610840	0.396240	0.590088	0.228454	-0.734668	-0.328242	-0.548023
04875		9.396323	0.084960	-2.881769	0.056019	-0.007097	-0.152535	-0.609619	0.393066	0.589111	0.228019	-0.734203	-0.329394	-0.548135
04876		9.443756	-0.032240	-2.889692	0.067850	0.001105	-0.164312	-0.607422	0.393799	0.596436	0.227626	-0.733648	-0.330648	-0.548287
04877		9.404074	0.106295	-2.860351	0.046972	0.002382	-0.157541	-0.613525	0.388916	0.590088	0.227122	-0.733173	-0.331726	-0.548481
04878		9.433727	0.132031	-2.807773	0.002161	0.001647	-0.126596	-0.614746	0.391846	0.595703	0.226512	-0.732848	-0.332426	-0.548743
04879		9.417949	0.046529	-2.801434	-0.019192	0.004047	-0.094308	-0.605469	0.383545	0.592773	0.225928	-0.732655	-0.332809	-0.549010
04880		9.400950	-0.063597	-2.796338	-0.022556	0.003378	-0.068793	-0.610840	0.383301	0.600098	0.225422	-0.732551	-0.332998	-0.549242
04881		9.433911	-0.055713	-2.810464	0.000214	0.000900	-0.045023	-0.617920	0.390869	0.585449	0.225152	-0.732497	-0.333123	-0.549348
04882		9.411019	-0.043924	-2.893153	0.015376	-0.009333	-0.019819	-0.614258	0.388428	0.596680	0.225175	-0.732480	-0.333239	-0.549291
04883		9.343971	0.030315	-2.831077	-0.003662	-0.015205	0.009645	-0.612061	0.391113	0.599121	0.225150	-0.732649	-0.333049	-0.549191
04884		9.408010	0.039617	-2.776879	-0.005626	-0.012553	0.030992	-0.606201	0.385742	0.594482	0.225223	-0.732872	-0.332706	-0.549072
04885		9.425737	0.019989	-2.750621	0.006906	-0.007069	0.045440	-0.603760	0.398193	0.595947	0.225451	-0.733084	-0.332313	-0.548933
04886		9.423323	0.010542	-2.889722	0.020373	-0.004730	0.050433	-0.612305	0.390625	0.598633	0.225832	-0.733264	-0.331958	-0.548751
04887		9.392231	0.071479	-2.805173	0.008529	-0.003928	0.053449	-0.606201	0.384766	0.595459	0.226131	-0.733480	-0.331512	-0.548609
04888		9.426984	0.069877	-2.801768	-0.014838	-0.004226	0.063323	-0.614502	0.389404	0.598877	0.226318	-0.733777	-0.330883	-0.548515
04889		9.392602	0.041288	-2.788655	-0.032752	0.003570	0.073978	-0.607910	0.387207	0.597412	0.226482	-0.734096	-0.330098	-0.548493
04890		9.362926	-0.040074	-2.773199	-0.026580	0.001267	0.070195	-0.612793	0.394287	0.591553	0.226652	-0.734407	-0.329358	-0.548451
04891		9.415477	-0.103663	-2.810455	0.011677	0.003732	0.057865	-0.600586	0.390137	0.590088	0.227060	-0.734577	-0.328895	-0.548333
04892		9.361025	-0.127339	-2.842464	0.038758	0.010699	0.049120	-0.617432	0.395752	0.584961	0.227587	-0.734654	-0.328573	-0.548204
04893		9.361055	-0.125162	-2.857821	0.052177	0.011482	0.043527	-0.610596	0.390869	0.587158	0.228231	-0.734656	-0.328383	-0.548047
