// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
65356		9.493662	-2.833432	-1.541489	0.048721	0.009135	-0.050624	-0.514893	0.523926	0.446045	0.332880	-0.736551	-0.185620	-0.558774
65357		9.375205	-2.854032	-1.613744	0.117947	0.005035	-0.063979	-0.514404	0.525879	0.445068	0.333313	-0.736101	-0.186548	-0.558799
65358		9.412177	-2.929428	-1.564441	0.163432	-0.007385	-0.064767	-0.524170	0.528564	0.446777	0.334004	-0.735581	-0.187726	-0.558678
65359		9.242163	-2.772185	-1.596382	0.210701	-0.013190	-0.067267	-0.519531	0.525635	0.439453	0.334962	-0.734950	-0.189155	-0.558452
65360		9.200773	-2.647377	-1.567949	0.185205	-0.001640	-0.078620	-0.524170	0.534424	0.446533	0.335728	-0.734318	-0.190501	-0.558366
65361		9.177425	-2.496907	-1.554147	0.146465	0.011809	-0.083615	-0.525146	0.535645	0.437012	0.336251	-0.733725	-0.191663	-0.558434
65362		9.164302	-2.381910	-1.486353	0.086937	0.027257	-0.093589	-0.519531	0.536377	0.434814	0.336380	-0.733210	-0.192571	-0.558720
65363		9.304849	-2.336295	-1.423284	0.018451	0.024126	-0.085144	-0.520996	0.530273	0.442871	0.336112	-0.732914	-0.193128	-0.559077
65364		9.372091	-2.413365	-1.474180	-0.041141	0.023525	-0.074157	-0.518311	0.542969	0.439697	0.335517	-0.732800	-0.193356	-0.559506
65365		9.340357	-2.452061	-1.508849	-0.087923	0.034582	-0.059733	-0.518799	0.525635	0.439941	0.334707	-0.732785	-0.193259	-0.560043
65366		9.225089	-2.448537	-1.545980	-0.106341	0.040250	-0.059662	-0.523926	0.522705	0.435303	0.333782	-0.732794	-0.193072	-0.560648
65367		9.251116	-2.498835	-1.560986	-0.122493	0.039516	-0.064637	-0.526367	0.529053	0.446777	0.332719	-0.732845	-0.192852	-0.561288
65368		9.265851	-2.515931	-1.492461	-0.143988	0.050690	-0.070666	-0.522217	0.526855	0.443604	0.331504	-0.732897	-0.192545	-0.562043
65369		9.373085	-2.504282	-1.476693	-0.168239	0.061570	-0.084623	-0.530273	0.529053	0.445068	0.330087	-0.732942	-0.192185	-0.562941
65370		9.602381	-2.597781	-1.593733	-0.149957	0.048131	-0.063889	-0.525635	0.522705	0.442871	0.328847	-0.733030	-0.191828	-0.563675
65371		9.445159	-2.707577	-1.601555	-0.096994	0.032206	-0.038850	-0.525879	0.520996	0.447998	0.328024	-0.733091	-0.191611	-0.564149
65372		9.283108	-2.720458	-1.580790	-0.047909	0.023640	-0.038437	-0.531494	0.526367	0.444824	0.327489	-0.733069	-0.191637	-0.564479
65373		9.321159	-2.647590	-1.482644	-0.038208	0.029513	-0.038691	-0.537354	0.519287	0.446777	0.327022	-0.733001	-0.191692	-0.564819
65374		9.502088	-2.493225	-1.569993	-0.016611	0.018284	-0.024621	-0.530518	0.522705	0.442627	0.326738	-0.732956	-0.191787	-0.565010
65375		9.487204	-2.501536	-1.560927	0.001316	0.013281	-0.009437	-0.528564	0.517822	0.443359	0.326638	-0.732905	-0.191889	-0.565098
65376		9.369496	-2.643829	-1.540652	0.005977	0.015043	-0.023981	-0.532471	0.519043	0.445801	0.326503	-0.732814	-0.192099	-0.565223
65377		9.353139	-2.668580	-1.503826	0.018626	0.016751	-0.043930	-0.525635	0.523926	0.445312	0.326342	-0.732660	-0.192480	-0.565387
65378		9.383855	-2.533405	-1.505386	0.026389	0.012129	-0.046821	-0.528076	0.516846	0.441895	0.326241	-0.732498	-0.192901	-0.565512
65379		9.426162	-2.425340	-1.492263	0.013709	0.024416	-0.041843	-0.536133	0.519775	0.438721	0.326112	-0.732317	-0.193213	-0.565713
65380		9.453421	-2.460182	-1.466396	-0.000829	0.027905	-0.042630	-0.535156	0.512695	0.448242	0.325860	-0.732156	-0.193476	-0.565977
65381		9.387791	-2.547511	-1.526027	-0.018363	0.012635	-0.041931	-0.538086	0.512939	0.439941	0.325464	-0.732134	-0.193678	-0.566164
65382		9.270071	-2.549389	-1.413040	-0.017766	0.025267	-0.053205	-0.532715	0.515381	0.448975	0.325057	-0.732014	-0.193941	-0.566463
65383		9.270563	-2.569143	-1.461876	-0.014182	0.016479	-0.049636	-0.534668	0.513916	0.449951	0.324680	-0.731950	-0.194168	-0.566684
65384		9.368816	-2.640051	-1.521765	-0.012887	0.013995	-0.036962	-0.537109	0.515137	0.445068	0.324366	-0.731921	-0.194324	-0.566848
65385		9.283880	-2.618494	-1.507924	0.015834	0.013010	-0.037555	-0.533691	0.509521	0.448486	0.324240	-0.731807	-0.194629	-0.566963
65386		9.395256	-2.554765	-1.558798	0.017302	0.013771	-0.023037	-0.533203	0.516357	0.445312	0.324215	-0.731720	-0.194830	-0.567020
65387		9.357025	-2.510999	-1.610741	0.014480	0.009737	-0.012618	-0.538086	0.520752	0.445801	0.324228	-0.731673	-0.194953	-0.567030
65388		9.384157	-2.527466	-1.516648	-0.015787	0.007290	-0.017840	-0.541504	0.515137	0.442383	0.323994	-0.731731	-0.194967	-0.567085
65389		9.403582	-2.488081	-1.537013	-0.020314	0.009291	-0.008291	-0.534424	0.511230	0.441895	0.323787	-0.731789	-0.194930	-0.567141
65390		9.368782	-2.542358	-1.521792	-0.026351	0.007685	0.003529	-0.528076	0.516357	0.439941	0.323643	-0.731875	-0.194796	-0.567158
65391		9.303164	-2.615509	-1.545270	-0.010821	0.010886	-0.000720	-0.531250	0.514893	0.444824	0.323628	-0.731889	-0.194718	-0.567175
65392		9.346162	-2.633629	-1.569021	-0.000202	0.009173	-0.000339	-0.531250	0.515625	0.448730	0.323636	-0.731917	-0.194684	-0.567146
