// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
65356		5.386348	-5.984443	5.339101	0.015056	-0.008285	-0.073611	-0.272461	0.499268	-0.210449	0.634142	-0.472669	0.016663	-0.611694
65357		5.400197	-5.991563	5.400092	0.050164	-0.035716	-0.072297	-0.270996	0.499268	-0.208984	0.633976	-0.472596	0.015933	-0.611943
65358		5.411428	-6.094157	5.456906	0.087662	-0.066641	-0.054979	-0.281738	0.500977	-0.206299	0.634050	-0.472481	0.014920	-0.611980
65359		5.282671	-6.088362	5.502313	0.129469	-0.082523	-0.053916	-0.275146	0.495117	-0.210205	0.634295	-0.472223	0.013613	-0.611956
65360		5.257060	-6.148755	5.670643	0.147571	-0.077046	-0.065611	-0.279297	0.502686	-0.206055	0.634553	-0.471839	0.012199	-0.612015
65361		5.122443	-6.259746	5.668208	0.161006	-0.058689	-0.058929	-0.279053	0.499756	-0.211426	0.634899	-0.471281	0.010849	-0.612110
65362		4.918527	-6.233323	5.683791	0.128045	-0.070611	-0.037035	-0.272705	0.498291	-0.215332	0.635239	-0.470946	0.009708	-0.612035
65363		4.910547	-6.296536	5.685457	0.107096	-0.074662	-0.046170	-0.269531	0.494141	-0.208496	0.635465	-0.470727	0.008645	-0.611985
65364		4.943231	-6.214493	5.741073	0.060974	-0.058464	-0.071034	-0.267578	0.506348	-0.206787	0.635402	-0.470654	0.007841	-0.612118
65365		4.932977	-6.263739	5.766474	0.002756	-0.034979	-0.095733	-0.269043	0.488770	-0.209717	0.635004	-0.470748	0.007398	-0.612464
65366		4.953276	-6.420065	5.752542	-0.017980	-0.007996	-0.104824	-0.270752	0.487061	-0.213135	0.634501	-0.470791	0.007211	-0.612954
65367		4.994031	-6.509400	5.665584	-0.013494	0.005462	-0.094486	-0.273438	0.492432	-0.201172	0.634094	-0.470720	0.007167	-0.613429
65368		5.044262	-6.474608	5.561023	-0.011998	0.004740	-0.073770	-0.269287	0.487305	-0.205811	0.633825	-0.470634	0.007250	-0.613772
65369		5.084354	-6.359914	5.560863	-0.007836	-0.003748	-0.050489	-0.273193	0.495605	-0.202881	0.633711	-0.470566	0.007413	-0.613940
65370		5.123121	-6.096932	5.595766	-0.005995	-0.017028	-0.038454	-0.268066	0.489990	-0.211914	0.633690	-0.470549	0.007592	-0.613972
65371		5.276440	-5.861691	5.734033	-0.018275	-0.014117	-0.054747	-0.268799	0.488281	-0.203125	0.633544	-0.470568	0.007813	-0.614106
65372		5.455998	-5.852678	5.781867	-0.031489	0.013819	-0.071852	-0.274414	0.491699	-0.206055	0.633266	-0.470492	0.008161	-0.614447
65373		5.283586	-5.860436	5.586738	-0.019572	0.040811	-0.098168	-0.278076	0.487549	-0.206299	0.632917	-0.470180	0.008493	-0.615041
65374		5.202191	-5.977215	5.473362	-0.012821	0.014044	-0.100415	-0.272461	0.489502	-0.208984	0.632579	-0.469954	0.008632	-0.615559
65375		5.207478	-6.162969	5.554927	0.004508	-0.015805	-0.087468	-0.271484	0.483154	-0.208252	0.632380	-0.469793	0.008592	-0.615887
65376		5.214369	-6.091564	5.628438	0.023255	-0.032562	-0.085484	-0.274902	0.481445	-0.208496	0.632238	-0.469633	0.008372	-0.616157
65377		5.476739	-6.089516	5.678214	0.026747	-0.029286	-0.085739	-0.268555	0.490967	-0.203125	0.632117	-0.469423	0.008170	-0.616444
65378		5.522944	-6.180317	5.695519	0.016063	-0.012449	-0.067870	-0.268066	0.477783	-0.206543	0.632088	-0.469206	0.008154	-0.616640
65379		5.210025	-6.178899	5.539145	0.032034	-0.006482	-0.060447	-0.276123	0.482422	-0.205811	0.632051	-0.468893	0.008086	-0.616917
65380		5.139276	-6.177175	5.582682	0.034321	-0.025497	-0.062618	-0.274170	0.474854	-0.199951	0.632096	-0.468631	0.007959	-0.617071
65381		5.110975	-6.305958	5.569365	0.026047	-0.029462	-0.051223	-0.274170	0.476074	-0.207520	0.632090	-0.468487	0.007821	-0.617187
65382		5.179608	-6.197046	5.608251	0.027211	-0.030051	-0.044982	-0.268799	0.478516	-0.197998	0.632159	-0.468303	0.007823	-0.617257
65383		5.231278	-6.101488	5.645033	0.016641	-0.023213	-0.044889	-0.269287	0.476074	-0.197998	0.632187	-0.468210	0.007823	-0.617299
65384		5.163938	-6.047405	5.610764	0.014126	-0.018725	-0.052441	-0.270264	0.478271	-0.201904	0.632151	-0.468100	0.007833	-0.617419
65385		5.128624	-6.139327	5.621562	0.013501	-0.020196	-0.061386	-0.268311	0.471924	-0.197998	0.632111	-0.467962	0.007878	-0.617564
65386		5.115236	-6.309875	5.650144	0.027970	-0.013169	-0.061951	-0.266357	0.477783	-0.202637	0.632046	-0.467749	0.007813	-0.617792
65387		5.094291	-6.378939	5.617609	0.039219	-0.013274	-0.050110	-0.270264	0.478760	-0.197021	0.632172	-0.467443	0.007857	-0.617894
65388		5.085301	-6.351551	5.619487	0.036297	-0.025167	-0.043334	-0.276611	0.477295	-0.203613	0.632365	-0.467231	0.007851	-0.617858
65389		5.178491	-6.415140	5.690897	0.022880	-0.021527	-0.021779	-0.268311	0.471191	-0.206543	0.632637	-0.467013	0.008129	-0.617740
65390		5.018075	-6.336810	5.670176	0.023028	-0.009866	-0.009618	-0.264648	0.475830	-0.205811	0.632852	-0.466767	0.008513	-0.617701
65391		5.105332	-6.232597	5.735101	0.010913	-0.009403	-0.013132	-0.266846	0.472900	-0.201660	0.633062	-0.466592	0.008972	-0.617612
65392		5.220490	-6.303440	5.705740	-0.001528	0.009847	-0.011682	-0.264893	0.477051	-0.198730	0.633217	-0.466392	0.009542	-0.617595
65393		5.113401	-6.292175	5.627348	0.002673	0.019582	-0.003669	-0.270020	0.475342	-0.202393	0.633480	-0.466135	0.010161	-0.617509
65394		5.045611	-6.261473	5.528127	0.001916	-0.005207	0.003518	-0.273438	0.467285	-0.197998	0.633782	-0.465974	0.010730	-0.617311
65395		5.253036	-6.095912	5.584726	0.004125	-0.021008	0.015555	-0.269287	0.474609	-0.206543	0.634088	-0.465906	0.011178	-0.617040
65396		5.422918	-5.787196	5.666887	0.002834	-0.015051	0.016068	-0.274170	0.475830	-0.197021	0.634440	-0.465789	0.011768	-0.616756
65397		5.656073	-5.450876	5.706731	-0.002306	-0.010518	-0.006351	-0.277344	0.474365	-0.203369	0.634687	-0.465708	0.012176	-0.616556
65398		5.848039	-5.159683	5.628516	0.006845	-0.000267	-0.035413	-0.273682	0.461426	-0.198486	0.634775	-0.465490	0.012470	-0.616623
65399		5.949456	-4.992604	5.510531	0.029527	-0.004636	-0.065808	-0.277588	0.468750	-0.198730	0.634627	-0.465211	0.012337	-0.616989
65400		6.335632	-4.852323	5.486114	0.053085	-0.006279	-0.094155	-0.270752	0.470459	-0.213867	0.634498	-0.464810	0.011905	-0.617432
65401		6.478972	-4.626528	5.260898	0.046347	0.003933	-0.122762	-0.273926	0.467041	-0.196777	0.634131	-0.464363	0.011464	-0.618154
65402		6.666652	-4.415817	5.149650	0.002339	-0.013496	-0.167501	-0.274414	0.466553	-0.199463	0.633326	-0.464330	0.010733	-0.619016
65403		6.878688	-4.292231	5.134408	-0.026748	-0.030070	-0.187831	-0.267578	0.462158	-0.202637	0.632256	-0.464546	0.009902	-0.619960
65404		7.029157	-4.119131	5.113405	-0.009580	-0.048390	-0.216626	-0.278564	0.462402	-0.193848	0.631029	-0.464788	0.008684	-0.621047
65405		7.163009	-3.923353	5.036074	0.038761	-0.087622	-0.256669	-0.272217	0.461426	-0.201904	0.629757	-0.465011	0.006714	-0.622194
65406		7.316255	-3.923809	5.028354	0.090272	-0.138693	-0.283303	-0.265625	0.455078	-0.202637	0.628512	-0.465226	0.004021	-0.623314
65407		7.246483	-4.063027	5.021495	0.162164	-0.196010	-0.295890	-0.261475	0.448242	-0.195312	0.627439	-0.465382	0.000503	-0.624291
65408		7.172022	-4.047975	5.119000	0.228320	-0.254293	-0.309992	-0.261475	0.445312	-0.191895	0.626498	-0.465512	-0.003800	-0.625128
65409		7.307280	-3.997491	5.256333	0.249678	-0.305557	-0.323705	-0.260498	0.448730	-0.192383	0.625517	-0.465797	-0.008606	-0.625850
65410		7.406622	-3.909951	5.404560	0.246336	-0.332507	-0.353271	-0.259521	0.441162	-0.192139	0.624322	-0.466234	-0.013711	-0.626626
65411		7.423188	-3.692192	5.457082	0.241229	-0.340789	-0.415598	-0.249512	0.432373	-0.189941	0.622740	-0.466721	-0.019128	-0.627694
65412		7.495462	-3.509461	5.514518	0.226009	-0.343789	-0.502014	-0.241699	0.430664	-0.187744	0.620606	-0.467268	-0.024868	-0.629198
65413		7.644570	-3.648697	5.628903	0.186746	-0.326438	-0.582279	-0.240234	0.428711	-0.189697	0.617859	-0.467880	-0.030670	-0.631188
65414		7.525582	-3.793566	5.575091	0.178044	-0.289703	-0.658589	-0.239258	0.419922	-0.180420	0.614645	-0.468291	-0.036569	-0.633702
65415		7.637062	-3.827210	5.549498	0.140510	-0.281102	-0.712562	-0.221191	0.423828	-0.178467	0.610963	-0.468800	-0.042452	-0.636513
65416		8.017890	-3.905074	5.463371	0.120353	-0.259115	-0.749416	-0.216797	0.416748	-0.180176	0.606977	-0.469248	-0.048267	-0.639575
65417		8.120890	-3.582234	5.259613	0.145536	-0.241329	-0.795757	-0.206543	0.416748	-0.177490	0.602805	-0.469431	-0.054316	-0.642893
65418		8.428617	-2.975648	4.977997	0.141310	-0.277993	-0.863856	-0.204590	0.429199	-0.184814	0.598184	-0.469773	-0.060803	-0.646369
65419		8.593234	-2.981397	4.894719	0.160854	-0.345485	-0.954536	-0.204346	0.416992	-0.180176	0.593049	-0.470303	-0.068113	-0.649976
65420		8.802135	-3.391698	4.964644	0.234911	-0.368077	-1.031069	-0.192139	0.422852	-0.177246	0.587702	-0.470509	-0.076254	-0.653768
65421		8.621795	-3.583510	4.988430	0.257602	-0.375070	-1.097590	-0.192627	0.419922	-0.173584	0.582001	-0.470563	-0.084813	-0.657763
65422		8.310204	-4.209961	4.992521	0.231125	-0.408331	-1.124148	-0.195312	0.443604	-0.176025	0.575955	-0.470865	-0.093471	-0.661684
65423		8.344108	-4.717958	5.096077	0.232166	-0.429298	-1.095057	-0.189209	0.440918	-0.186768	0.569998	-0.471260	-0.102070	-0.665280
65424		8.185217	-4.737712	5.082068	0.214936	-0.432338	-1.046630	-0.185303	0.445312	-0.174072	0.564195	-0.471761	-0.110329	-0.668545
65425		8.062732	-4.615778	5.074731	0.163664	-0.447207	-1.030317	-0.187988	0.449951	-0.172607	0.558232	-0.472568	-0.118231	-0.671623
65426		8.329068	-4.573945	5.071214	0.103780	-0.425165	-1.028578	-0.203369	0.463379	-0.180664	0.552033	-0.473496	-0.125613	-0.674746
65427		8.233169	-4.615180	5.077356	0.058104	-0.393014	-1.037780	-0.200928	0.473633	-0.175293	0.545607	-0.474410	-0.132554	-0.677995
65428		8.016506	-4.699163	5.189428	0.026228	-0.374165	-1.032256	-0.205322	0.482666	-0.174316	0.539083	-0.475333	-0.139132	-0.681241
65429		8.093712	-4.617607	5.270655	-0.012859	-0.352814	-1.007000	-0.221680	0.487549	-0.170898	0.532558	-0.476303	-0.145209	-0.684421
65430		7.889055	-4.566495	5.273065	-0.035159	-0.347085	-0.985084	-0.229980	0.503418	-0.169678	0.526065	-0.477327	-0.150967	-0.687476
65431		7.965776	-4.545577	5.391379	-0.026484	-0.359846	-0.952699	-0.234863	0.501709	-0.157227	0.519770	-0.478389	-0.156623	-0.690255
65432		7.951215	-4.421703	5.573044	-0.022437	-0.338801	-0.910596	-0.247803	0.507568	-0.144775	0.513758	-0.479330	-0.161965	-0.692866
65433		7.988532	-4.128446	5.664343	-0.039148	-0.298635	-0.903105	-0.269043	0.508545	-0.140137	0.507778	-0.480081	-0.166934	-0.695569
65434		7.996466	-4.037142	5.654899	-0.086705	-0.246794	-0.921569	-0.285645	0.502930	-0.138428	0.501573	-0.480665	-0.171413	-0.698572
65435		7.758105	-4.214024	5.577600	-0.098913	-0.209918	-0.925025	-0.296875	0.499268	-0.130615	0.495351	-0.481038	-0.175616	-0.701704
65436		7.625216	-4.298823	5.534466	-0.074385	-0.201660	-0.887920	-0.316406	0.497803	-0.128418	0.489461	-0.481279	-0.179709	-0.704630
65437		7.618287	-3.916806	5.537141	-0.061973	-0.208873	-0.858051	-0.332764	0.493164	-0.132080	0.483793	-0.481522	-0.183715	-0.707340
65438		7.685640	-3.528974	5.591239	-0.089154	-0.220297	-0.848224	-0.345215	0.491943	-0.123291	0.478061	-0.481923	-0.187507	-0.709964
65439		7.866048	-3.352989	5.701183	-0.099123	-0.207936	-0.856571	-0.362549	0.482666	-0.127930	0.472260	-0.482241	-0.191170	-0.712649
65440		8.040671	-3.143163	5.745673	-0.107906	-0.179556	-0.871809	-0.375244	0.480957	-0.130371	0.466377	-0.482361	-0.194682	-0.715485
