// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		1.184122	-2.512341	9.356249	-0.002115	-0.012006	0.004112	-0.088623	0.439453	-0.897705	0.741911	-0.138036	0.040140	-0.654907
17326		1.216769	-2.518309	9.364912	-0.000842	-0.011425	0.004278	-0.087891	0.430176	-0.902100	0.741937	-0.138102	0.040079	-0.654867
17327		1.241987	-2.507597	9.384218	0.001095	-0.005907	0.003596	-0.085693	0.435059	-0.889404	0.741972	-0.138086	0.040057	-0.654833
17328		1.173094	-2.493489	9.418491	0.003398	-0.005322	0.000464	-0.093018	0.431396	-0.905029	0.741988	-0.138071	0.040024	-0.654819
17329		1.191030	-2.497916	9.355439	-0.001439	-0.003586	0.005500	-0.087646	0.438477	-0.895752	0.742011	-0.138118	0.039998	-0.654785
17330		1.179668	-2.437596	9.313659	-0.004515	-0.002820	0.013281	-0.089355	0.443604	-0.895996	0.742082	-0.138146	0.040027	-0.654696
17331		1.126354	-2.457352	9.367933	-0.007335	-0.009597	0.011471	-0.086426	0.438477	-0.899170	0.742135	-0.138251	0.040007	-0.654616
17332		1.220220	-2.475629	9.394310	-0.007142	-0.005038	0.001576	-0.086182	0.444092	-0.904541	0.742147	-0.138290	0.040036	-0.654592
17333		1.152372	-2.553431	9.367018	-0.003170	-0.003771	-0.005827	-0.090576	0.434326	-0.896729	0.742124	-0.138296	0.040041	-0.654617
17334		1.129665	-2.609808	9.316737	-0.000149	-0.004937	-0.000801	-0.093750	0.435059	-0.896484	0.742118	-0.138328	0.040000	-0.654619
17335		1.100625	-2.589726	9.266120	0.006759	-0.012978	0.007265	-0.091064	0.438965	-0.906250	0.742157	-0.138387	0.039866	-0.654571
17336		1.171318	-2.525462	9.355486	0.007881	-0.014628	0.010983	-0.094971	0.434082	-0.895264	0.742230	-0.138417	0.039756	-0.654488
17337		1.165432	-2.448667	9.334399	0.010172	-0.014822	0.009963	-0.088135	0.431152	-0.897949	0.742287	-0.138469	0.039597	-0.654422
17338		1.250937	-2.417011	9.423340	0.004137	-0.009007	0.002152	-0.085938	0.432129	-0.898926	0.742315	-0.138462	0.039545	-0.654395
17339		1.292585	-2.424269	9.421410	0.002384	-0.004553	0.001646	-0.086670	0.437744	-0.900635	0.742342	-0.138427	0.039541	-0.654372
17340		1.181963	-2.389209	9.395299	-0.005313	0.004066	0.000347	-0.090576	0.437256	-0.898682	0.742347	-0.138419	0.039631	-0.654363
17341		1.142554	-2.427840	9.387001	-0.009641	-0.000386	-0.002855	-0.090088	0.435547	-0.902100	0.742320	-0.138478	0.039670	-0.654379
17342		1.095424	-2.496413	9.316973	-0.012076	-0.005132	-0.002638	-0.097168	0.434082	-0.898438	0.742296	-0.138546	0.039684	-0.654390
17343		1.101831	-2.528823	9.326783	-0.011348	-0.009592	0.001166	-0.091309	0.436523	-0.894775	0.742276	-0.138674	0.039625	-0.654390
17344		1.171734	-2.572222	9.375048	-0.009326	-0.011916	0.000908	-0.087402	0.440186	-0.898926	0.742271	-0.138787	0.039608	-0.654372
17345		1.215626	-2.566945	9.351617	-0.005254	-0.008819	0.002758	-0.089111	0.438232	-0.903809	0.742292	-0.138843	0.039632	-0.654335
17346		1.249238	-2.558783	9.339320	0.001872	-0.004556	0.003293	-0.080322	0.433838	-0.895752	0.742321	-0.138818	0.039617	-0.654308
17347		1.233764	-2.598553	9.392600	0.011275	-0.001263	0.004920	-0.096436	0.452881	-0.892334	0.742390	-0.138673	0.039609	-0.654261
17348		1.108136	-2.588214	9.378517	0.012893	-0.004468	0.011214	-0.095215	0.436768	-0.902100	0.742449	-0.138758	0.039580	-0.654178
17349		1.164998	-2.553244	9.323991	0.016663	-0.009320	0.017925	-0.087402	0.432373	-0.900391	0.742561	-0.138702	0.039425	-0.654073
17350		1.113459	-2.436642	9.315551	0.018441	-0.012225	0.014200	-0.083984	0.435791	-0.895752	0.742673	-0.138588	0.039271	-0.653978
17351		1.174661	-2.414254	9.385411	0.016074	-0.008826	0.003976	-0.091064	0.442627	-0.903564	0.742733	-0.138488	0.039189	-0.653937
17352		1.212771	-2.434802	9.363375	0.008333	-0.008725	0.002433	-0.095703	0.433105	-0.896973	0.742761	-0.138488	0.039132	-0.653909
17353		1.196952	-2.474492	9.395992	0.007706	-0.005919	0.005644	-0.087402	0.433350	-0.900879	0.742788	-0.138462	0.039010	-0.653891
17354		1.166283	-2.422239	9.417927	0.007699	-0.006696	0.007757	-0.091553	0.430176	-0.906006	0.742852	-0.138381	0.038943	-0.653839
17355		1.131456	-2.371673	9.356915	-0.001195	-0.007272	0.008840	-0.091309	0.433594	-0.899902	0.742902	-0.138339	0.038872	-0.653795
17356		1.138873	-2.403032	9.387671	-0.010216	-0.010458	0.002783	-0.094971	0.437744	-0.904541	0.742908	-0.138410	0.038849	-0.653775
17357		1.162540	-2.440028	9.334448	-0.012228	-0.007355	0.000928	-0.096680	0.436768	-0.908203	0.742891	-0.138496	0.038847	-0.653776
17358		1.153909	-2.499213	9.355696	-0.011974	-0.008710	-0.002073	-0.094727	0.435547	-0.895996	0.742854	-0.138572	0.038810	-0.653804
17359		1.207675	-2.510389	9.383571	-0.011211	-0.008132	-0.000259	-0.087402	0.442383	-0.900391	0.742825	-0.138675	0.038800	-0.653815
17360		1.225335	-2.530619	9.361564	-0.010325	-0.007654	0.004344	-0.091309	0.436035	-0.899902	0.742858	-0.138751	0.038876	-0.653758
17361		1.202031	-2.542663	9.341715	-0.005243	-0.006111	0.007116	-0.086182	0.426025	-0.894775	0.742894	-0.138771	0.038871	-0.653713
17362		1.159203	-2.504426	9.374409	-0.000936	-0.008632	0.005834	-0.089355	0.431641	-0.890869	0.742945	-0.138711	0.038812	-0.653671
17363		1.123799	-2.527584	9.366011	0.000841	-0.008829	0.006462	-0.089111	0.436035	-0.898193	0.742985	-0.138719	0.038764	-0.653627
17364		1.155720	-2.519382	9.312360	0.003243	-0.011831	0.003875	-0.094727	0.432617	-0.902344	0.743025	-0.138718	0.038703	-0.653585
17365		1.197849	-2.526639	9.310278	0.005403	-0.010775	0.008642	-0.093750	0.432861	-0.888672	0.743065	-0.138684	0.038575	-0.653554
17366		1.206064	-2.510434	9.392829	0.008717	-0.008259	0.008672	-0.096436	0.439697	-0.895264	0.743101	-0.138694	0.038482	-0.653517
17367		1.182436	-2.474257	9.404386	0.011273	-0.005543	0.004775	-0.089600	0.436523	-0.896729	0.743111	-0.138704	0.038399	-0.653508
17368		1.126699	-2.432702	9.386413	0.006314	-0.007186	0.004793	-0.083008	0.441895	-0.894043	0.743157	-0.138676	0.038366	-0.653464
17369		1.157705	-2.438066	9.374554	0.003128	-0.009804	0.007552	-0.087402	0.439453	-0.903076	0.743248	-0.138692	0.038436	-0.653353
17370		1.149537	-2.435928	9.385253	-0.000188	-0.013099	0.009635	-0.093018	0.435791	-0.896484	0.743332	-0.138699	0.038432	-0.653255
17371		1.178482	-2.501817	9.342835	0.001097	-0.010185	0.003460	-0.092041	0.435547	-0.897217	0.743346	-0.138730	0.038368	-0.653237
17372		1.184966	-2.532278	9.353152	0.001993	-0.008930	0.005949	-0.087646	0.431152	-0.898193	0.743380	-0.138734	0.038318	-0.653200
17373		1.174951	-2.484809	9.373880	0.002508	-0.007777	0.012875	-0.098877	0.434814	-0.895264	0.743473	-0.138651	0.038287	-0.653114
17374		1.215328	-2.388249	9.370516	-0.001683	-0.008062	0.012597	-0.088135	0.433350	-0.896729	0.743496	-0.138733	0.038208	-0.653075
17375		1.207150	-2.341452	9.432378	-0.008392	-0.002904	0.005782	-0.096191	0.436523	-0.897461	0.743537	-0.138723	0.038273	-0.653027
17376		1.212587	-2.419380	9.411707	-0.014726	0.000801	-0.001246	-0.090332	0.435791	-0.894287	0.743485	-0.138815	0.038327	-0.653063
17377		1.131488	-2.451636	9.384625	-0.018406	0.001297	-0.005286	-0.097412	0.431641	-0.899902	0.743439	-0.138894	0.038454	-0.653091
17378		1.098497	-2.449152	9.333711	-0.019433	-0.002195	-0.004228	-0.101807	0.437744	-0.893311	0.743358	-0.138971	0.038447	-0.653168
17379		1.134475	-2.488792	9.331290	-0.020718	-0.006263	-0.006634	-0.083740	0.434570	-0.897217	0.743226	-0.139213	0.038445	-0.653266
17380		1.158332	-2.540813	9.339952	-0.020454	-0.004911	-0.005284	-0.091797	0.438721	-0.899658	0.743234	-0.139232	0.038599	-0.653244
17381		1.154868	-2.676757	9.340627	-0.013480	-0.007159	-0.001345	-0.087402	0.437012	-0.901611	0.743220	-0.139308	0.038651	-0.653241
17382		1.201640	-2.716045	9.348526	0.003529	-0.006222	0.005344	-0.092285	0.429443	-0.905029	0.743295	-0.139205	0.038653	-0.653177
17383		1.122058	-2.580526	9.331053	0.012646	-0.013244	0.018140	-0.086182	0.439453	-0.901611	0.743414	-0.139029	0.038454	-0.653091
17384		1.162632	-2.450555	9.400602	0.015175	-0.017135	0.020446	-0.089111	0.432373	-0.896729	0.743606	-0.138938	0.038387	-0.652896
17385		1.138033	-2.355172	9.359838	0.009480	-0.011966	0.010337	-0.094727	0.432617	-0.910156	0.743692	-0.138847	0.038293	-0.652823
17386		1.226671	-2.459552	9.397715	0.006941	-0.009224	-0.000548	-0.088867	0.440918	-0.898682	0.743687	-0.138709	0.038125	-0.652868
17387		1.203858	-2.514745	9.347806	0.003650	-0.005912	-0.004669	-0.089600	0.437012	-0.908936	0.743708	-0.138701	0.038157	-0.652843
17388		1.173322	-2.522178	9.380823	0.005819	-0.007201	0.006429	-0.089355	0.432617	-0.897461	0.743790	-0.138572	0.038112	-0.652780
17389		1.179539	-2.447506	9.410914	0.003163	-0.008672	0.016114	-0.087891	0.437500	-0.904541	0.743900	-0.138507	0.038081	-0.652671
17390		1.212012	-2.335231	9.397356	-0.008003	-0.007485	0.014016	-0.088867	0.437744	-0.898682	0.744019	-0.138491	0.038153	-0.652534
