// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		-0.711181	3.427374	9.170126	0.010013	-0.001344	0.001165	0.049805	0.215576	-1.252686	0.667218	0.147488	-0.105394	-0.722468
17326		-0.726564	3.412955	9.141470	0.008682	-0.000655	0.002041	0.048828	0.202881	-1.249512	0.667219	0.147531	-0.105453	-0.722450
17327		-0.710706	3.374117	9.131884	0.005698	0.001114	-0.001518	0.054199	0.208252	-1.239258	0.667201	0.147580	-0.105491	-0.722450
17328		-0.724601	3.408100	9.127970	0.006357	0.004424	0.001665	0.046143	0.205566	-1.256348	0.667208	0.147640	-0.105506	-0.722430
17329		-0.709174	3.472381	9.113229	0.003533	0.008335	0.001642	0.051025	0.211182	-1.247559	0.667220	0.147708	-0.105482	-0.722407
17330		-0.724849	3.541567	9.089816	-0.006052	0.003781	-0.006146	0.049805	0.216797	-1.241943	0.667194	0.147704	-0.105418	-0.722442
17331		-0.726070	3.473837	9.142906	-0.017843	0.004232	-0.011170	0.049072	0.212646	-1.252441	0.667152	0.147646	-0.105278	-0.722514
17332		-0.830040	3.375155	9.125544	-0.016305	-0.001451	-0.011640	0.051025	0.215332	-1.254395	0.667099	0.147565	-0.105180	-0.722593
17333		-0.812079	3.409952	9.042231	-0.013390	-0.010283	-0.014355	0.045410	0.208984	-1.250977	0.667018	0.147453	-0.105138	-0.722697
17334		-0.829146	3.454142	9.065243	-0.017907	-0.018906	-0.019019	0.042480	0.210693	-1.247314	0.666905	0.147275	-0.105108	-0.722842
17335		-0.704158	3.445620	9.092767	-0.020883	-0.021813	-0.024347	0.045166	0.215576	-1.253662	0.666760	0.147077	-0.105067	-0.723022
17336		-0.734389	3.417830	9.118009	-0.030415	-0.018729	-0.016666	0.040039	0.208740	-1.245605	0.666674	0.146841	-0.104964	-0.723163
17337		-0.733171	3.365212	9.162386	-0.031159	-0.017118	-0.017120	0.048584	0.207764	-1.249756	0.666588	0.146612	-0.104848	-0.723306
17338		-0.714874	3.236613	9.217048	-0.025788	-0.017650	-0.020237	0.050537	0.210205	-1.248535	0.666477	0.146412	-0.104759	-0.723462
17339		-0.661643	3.107949	9.244743	-0.015178	-0.010595	-0.009027	0.050049	0.216553	-1.250977	0.666428	0.146290	-0.104695	-0.723541
17340		-0.650065	3.164363	9.199391	-0.004916	-0.004620	0.009797	0.048828	0.215820	-1.248535	0.666490	0.146219	-0.104663	-0.723503
17341		-0.706579	3.321395	9.188716	0.000758	0.003800	0.015540	0.044922	0.214111	-1.250488	0.666589	0.146204	-0.104616	-0.723422
17342		-0.708650	3.442322	9.106730	0.002231	0.004514	0.004882	0.039307	0.214111	-1.247314	0.666624	0.146206	-0.104557	-0.723397
17343		-0.710507	3.413226	9.138981	0.004249	0.003937	-0.007499	0.046143	0.216309	-1.246582	0.666583	0.146231	-0.104516	-0.723437
17344		-0.743989	3.286547	9.167117	0.003841	0.004578	-0.011839	0.047119	0.220215	-1.248779	0.666512	0.146269	-0.104459	-0.723502
17345		-0.737348	3.200703	9.180883	0.004940	0.000684	0.001754	0.049805	0.218750	-1.250244	0.666521	0.146268	-0.104428	-0.723498
17346		-0.712429	3.246296	9.195077	0.012190	0.003589	0.011133	0.054932	0.211426	-1.244385	0.666580	0.146309	-0.104415	-0.723437
17347		-0.717119	3.328196	9.167480	0.015505	0.003472	0.016284	0.040039	0.229004	-1.238770	0.666655	0.146385	-0.104437	-0.723350
17348		-0.750396	3.446943	9.165315	0.016305	0.008176	0.009692	0.037842	0.215820	-1.252441	0.666718	0.146438	-0.104447	-0.723280
17349		-0.738973	3.518454	9.095764	0.012120	0.007931	0.004667	0.048584	0.206543	-1.248779	0.666758	0.146481	-0.104418	-0.723238
17350		-0.775325	3.483361	9.074325	0.002421	0.003452	-0.006272	0.052002	0.212402	-1.242676	0.666713	0.146527	-0.104366	-0.723278
17351		-0.732682	3.414683	9.119325	-0.004219	-0.000413	-0.009140	0.049805	0.218994	-1.252930	0.666647	0.146538	-0.104294	-0.723347
17352		-0.738712	3.276328	9.192467	-0.005807	0.001004	-0.005344	0.039795	0.211670	-1.248291	0.666628	0.146500	-0.104162	-0.723391
17353		-0.730978	3.274583	9.211661	-0.001549	0.003632	0.004194	0.050293	0.212646	-1.250732	0.666663	0.146492	-0.104125	-0.723366
