// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14215		9.488176	1.956276	-1.800307	-0.053462	-0.001461	-0.015559	-0.645264	-0.589111	0.083252	0.523090	0.559866	-0.527201	0.367405
14216		9.519925	1.983008	-1.827148	-0.011158	0.006683	-0.023106	-0.637939	-0.586670	0.077881	0.523242	0.559898	-0.527099	0.367286
14217		9.461284	2.067611	-1.774320	0.009051	0.004305	-0.019761	-0.642090	-0.592529	0.077881	0.523285	0.560009	-0.526957	0.367258
14218		9.425703	2.072123	-1.766848	0.024267	0.008102	-0.017673	-0.634766	-0.591797	0.081543	0.523262	0.560169	-0.526764	0.367324
14219		9.426326	2.057033	-1.726102	0.011895	0.003792	-0.015644	-0.638184	-0.593262	0.078857	0.523274	0.560279	-0.526636	0.367323
14220		9.508009	1.992739	-1.814387	-0.007886	0.003886	-0.017013	-0.632812	-0.591553	0.077148	0.523385	0.560310	-0.526558	0.367229
14221		9.500118	2.024877	-1.858854	-0.007033	0.009707	-0.017658	-0.636230	-0.588623	0.087158	0.523520	0.560329	-0.526450	0.367162
14222		9.420243	2.124393	-1.824879	-0.006675	0.006083	-0.015241	-0.640137	-0.588379	0.070801	0.523630	0.560354	-0.526367	0.367087
14223		9.419109	2.201355	-1.696363	-0.002393	0.009791	-0.017404	-0.642334	-0.585693	0.078857	0.523745	0.560401	-0.526242	0.367031
14224		9.463835	2.147346	-1.758086	-0.014529	-0.002882	-0.018829	-0.635010	-0.588867	0.077881	0.523877	0.560443	-0.526192	0.366850
14225		9.477898	2.035568	-1.834159	-0.026765	-0.007136	-0.019084	-0.635010	-0.583984	0.079590	0.524055	0.560451	-0.526189	0.366587
14226		9.488349	1.994349	-1.827262	-0.006223	-0.005966	-0.013993	-0.641602	-0.593506	0.077393	0.524126	0.560525	-0.526143	0.366439
14227		9.462052	2.017688	-1.748784	0.001188	0.002642	-0.013788	-0.645752	-0.594727	0.071777	0.524197	0.560605	-0.526039	0.366363
14228		9.444285	2.021352	-1.683228	0.004198	0.008066	-0.014471	-0.635742	-0.587402	0.084473	0.524284	0.560684	-0.525896	0.366325
14229		9.493584	1.989404	-1.820898	-0.005248	-0.002711	-0.018323	-0.635742	-0.589844	0.075684	0.524383	0.560766	-0.525809	0.366181
14230		9.498231	2.053451	-1.811442	0.020792	-0.000281	-0.021769	-0.634521	-0.589111	0.076904	0.524381	0.560970	-0.525616	0.366149
14231		9.459351	2.110706	-1.804253	-0.000697	-0.009833	-0.015115	-0.636230	-0.596191	0.075928	0.524416	0.561082	-0.525562	0.366005
14232		9.449412	2.149376	-1.831174	0.005767	0.006644	-0.010284	-0.640869	-0.584961	0.074463	0.524486	0.561158	-0.525430	0.365977
14233		9.426401	2.147147	-1.730063	0.011958	0.013053	-0.011851	-0.636230	-0.589355	0.075928	0.524557	0.561251	-0.525245	0.365997
14234		9.425271	2.082811	-1.836815	-0.009754	0.002513	-0.018040	-0.632812	-0.601074	0.074463	0.524713	0.561314	-0.525135	0.365837
14235		9.456216	2.071604	-1.826973	-0.013178	0.005213	-0.021850	-0.638672	-0.593994	0.075928	0.524917	0.561383	-0.524995	0.365639
14236		9.471279	2.054757	-1.772509	-0.018693	-0.011832	-0.021757	-0.642334	-0.593506	0.077393	0.525064	0.561477	-0.524954	0.365342
14237		9.530069	1.959885	-1.785113	-0.006292	-0.007333	-0.013554	-0.628174	-0.598389	0.084229	0.525148	0.561577	-0.524893	0.365155
14238		9.460923	1.892254	-1.774799	-0.012945	0.014089	-0.004783	-0.636230	-0.596680	0.072266	0.525314	0.561538	-0.524825	0.365074
14239		9.442599	1.939711	-1.725062	0.003037	0.019777	-0.004303	-0.640869	-0.595459	0.076172	0.525435	0.561535	-0.524669	0.365130
14240		9.440456	2.003222	-1.781334	0.004299	0.007537	-0.011413	-0.636719	-0.590332	0.078857	0.525512	0.561601	-0.524538	0.365105
14241		9.484020	2.077877	-1.793338	0.014378	0.008130	-0.024587	-0.639160	-0.589111	0.075684	0.525563	0.561753	-0.524338	0.365084
14242		9.486753	2.094168	-1.809753	0.025237	-0.006252	-0.026930	-0.627930	-0.592041	0.071289	0.525510	0.562004	-0.524152	0.365042
14243		9.481462	2.073596	-1.857398	0.016839	0.008025	-0.018963	-0.639404	-0.590088	0.074707	0.525543	0.562138	-0.523959	0.365065
14244		9.442462	2.092332	-1.810469	0.010658	0.017403	-0.008959	-0.635742	-0.593018	0.073242	0.525606	0.562178	-0.523798	0.365143
14245		9.413901	2.111488	-1.772957	-0.009576	0.016474	-0.008395	-0.638672	-0.590332	0.073486	0.525765	0.562136	-0.523699	0.365122
14246		9.494432	2.082734	-1.818288	0.000920	0.003084	-0.014551	-0.632080	-0.591797	0.075928	0.525832	0.562202	-0.523602	0.365062
14247		9.478139	2.078883	-1.773499	0.018730	-0.008885	-0.017544	-0.641357	-0.591064	0.077393	0.525764	0.562408	-0.523494	0.364999
14248		9.442535	2.055000	-1.789853	-0.006020	0.000675	-0.013893	-0.637207	-0.584961	0.078613	0.525838	0.562454	-0.523440	0.364897
14249		9.454127	2.078786	-1.795473	-0.025614	0.012634	-0.012368	-0.630127	-0.586670	0.075439	0.526030	0.562360	-0.523424	0.364790
14250		9.448445	2.103848	-1.734937	-0.004047	0.018475	-0.012028	-0.642822	-0.588623	0.077148	0.526160	0.562343	-0.523306	0.364797
14251		9.472004	2.027142	-1.778326	0.005246	-0.000335	-0.016034	-0.635254	-0.593262	0.082031	0.526171	0.562439	-0.523226	0.364747
14252		9.493774	1.996166	-1.841669	0.023709	-0.001442	-0.024795	-0.637939	-0.588867	0.074219	0.526109	0.562694	-0.523042	0.364708
14253		9.469374	2.050389	-1.820032	0.009069	0.000380	-0.022980	-0.638428	-0.593994	0.077148	0.526133	0.562819	-0.522920	0.364655
14254		9.463568	2.113833	-1.799166	0.001934	0.007675	-0.019313	-0.640137	-0.593262	0.067627	0.526206	0.562901	-0.522794	0.364605
14255		9.430567	2.055754	-1.732478	0.006057	0.010747	-0.013862	-0.633545	-0.589355	0.072998	0.526300	0.562919	-0.522666	0.364624
14256		9.438573	1.972948	-1.730413	-0.004308	0.005168	-0.014503	-0.642822	-0.594971	0.078613	0.526389	0.562931	-0.522601	0.364571
14257		9.477995	1.969279	-1.712281	0.004665	0.001860	-0.015728	-0.650146	-0.593750	0.086426	0.526395	0.563020	-0.522520	0.364540
14258		9.479251	2.056593	-1.846722	0.024207	-0.002359	-0.023243	-0.634521	-0.588135	0.080078	0.526254	0.563256	-0.522388	0.364570
14259		9.467392	2.141715	-1.891646	0.010965	0.006288	-0.026301	-0.634766	-0.588379	0.079102	0.526259	0.563397	-0.522238	0.364558
14260		9.447648	2.125903	-1.829244	0.011199	0.010514	-0.017391	-0.640137	-0.589111	0.074951	0.526258	0.563487	-0.522112	0.364602
14261		9.449705	2.093433	-1.747000	-0.001532	0.008598	-0.007142	-0.640381	-0.594482	0.081055	0.526299	0.563443	-0.522095	0.364633
14262		9.474573	2.092401	-1.742326	-0.000758	0.005169	-0.011563	-0.646484	-0.595459	0.071045	0.526303	0.563496	-0.522043	0.364622
14263		9.503074	2.077094	-1.776454	-0.007359	0.001586	-0.017308	-0.636963	-0.591553	0.080078	0.526409	0.563466	-0.522021	0.364546
14264		9.476665	2.006079	-1.827912	-0.006913	-0.000678	-0.015329	-0.639648	-0.592529	0.078125	0.526430	0.563516	-0.521998	0.364471
14265		9.457547	2.026887	-1.803082	0.008076	0.007656	-0.013022	-0.637695	-0.588867	0.076416	0.526419	0.563574	-0.521916	0.364516
14266		9.443026	2.070713	-1.730154	0.011929	0.017044	-0.010860	-0.638916	-0.592773	0.085205	0.526429	0.563584	-0.521808	0.364639
14267		9.436799	2.121364	-1.771717	0.028113	0.004589	-0.012250	-0.648193	-0.593506	0.081543	0.526239	0.563800	-0.521668	0.364780
14268		9.491795	2.122105	-1.923507	0.023324	-0.009532	-0.022139	-0.641357	-0.593506	0.077148	0.526061	0.564011	-0.521600	0.364808
14269		9.466556	2.203737	-1.880824	0.019046	-0.004776	-0.021098	-0.636230	-0.597656	0.072998	0.525978	0.564168	-0.521515	0.364807
14270		9.449460	2.163212	-1.799421	-0.001864	-0.008889	-0.020784	-0.631104	-0.583496	0.072510	0.526041	0.564246	-0.521478	0.364648
14271		9.420034	2.156673	-1.787235	-0.017857	0.002326	-0.023518	-0.637207	-0.587646	0.068604	0.526220	0.564171	-0.521489	0.364490
14272		9.441217	2.052355	-1.774116	-0.023593	0.005323	-0.025017	-0.640381	-0.592529	0.079590	0.526481	0.564020	-0.521513	0.364311
14273		9.430284	1.925094	-1.733462	-0.028006	-0.007721	-0.024354	-0.635742	-0.599121	0.073730	0.526576	0.564025	-0.521562	0.364097
14274		9.465283	1.872255	-1.786081	-0.025641	-0.012551	-0.024586	-0.635742	-0.594238	0.073730	0.526740	0.564033	-0.521593	0.363802
14275		9.540699	1.954758	-1.788042	-0.005687	-0.009029	-0.019171	-0.639404	-0.596924	0.073975	0.526785	0.564066	-0.521607	0.363668
14276		9.541705	2.016653	-1.700451	0.017946	-0.002204	-0.017018	-0.630127	-0.589844	0.079834	0.526735	0.564164	-0.521536	0.363689
14277		9.519262	1.995280	-1.806501	0.030158	-0.003144	-0.019554	-0.632812	-0.591553	0.081787	0.526556	0.564413	-0.521389	0.363773
14278		9.420662	1.999418	-1.840509	0.036968	0.009053	-0.019481	-0.631592	-0.594727	0.082031	0.526371	0.564667	-0.521170	0.363959
14279		9.391295	2.084235	-1.819546	0.033296	0.018218	-0.016370	-0.637939	-0.593018	0.071289	0.526247	0.564885	-0.520914	0.364166
14280		9.432051	2.128736	-1.774534	0.015824	0.014610	-0.016162	-0.647705	-0.599121	0.072998	0.526321	0.564832	-0.520831	0.364260
14281		9.456139	2.222357	-1.761254	0.002398	0.016534	-0.019323	-0.641602	-0.598633	0.079346	0.526444	0.564732	-0.520772	0.364322
14282		9.476586	2.199450	-1.802914	-0.028861	-0.000421	-0.016696	-0.638916	-0.591064	0.085449	0.526556	0.564664	-0.520828	0.364186
14283		9.463094	2.056535	-1.868404	-0.031540	0.000301	-0.012874	-0.641602	-0.584473	0.075928	0.526556	0.564638	-0.520899	0.364124
14284		9.453277	2.004052	-1.779684	-0.013721	-0.003106	-0.016949	-0.638916	-0.587402	0.079102	0.526579	0.564517	-0.521032	0.364090
14285		9.447750	1.974071	-1.766529	0.011453	0.009341	-0.023770	-0.636475	-0.593506	0.081055	0.526521	0.564585	-0.520943	0.364194
14286		9.469046	1.999696	-1.783217	0.007580	0.007844	-0.021719	-0.641113	-0.591797	0.071533	0.526466	0.564712	-0.520817	0.364257
14287		9.463756	2.008258	-1.684062	0.003310	0.009384	-0.016758	-0.638916	-0.593018	0.080322	0.526563	0.564583	-0.520838	0.364288
14288		9.459612	2.024440	-1.767209	0.002189	0.005306	-0.015043	-0.642334	-0.593262	0.070557	0.526500	0.564633	-0.520794	0.364365
14289		9.491226	2.049900	-1.794771	-0.000470	0.003392	-0.012626	-0.640625	-0.591797	0.077393	0.526595	0.564465	-0.520880	0.364364
14290		9.473229	2.013979	-1.815155	0.019303	0.003491	-0.011213	-0.637207	-0.597900	0.077393	0.526467	0.564511	-0.520849	0.364522
14291		9.410300	2.015049	-1.855366	0.026642	0.008948	-0.007079	-0.637695	-0.600342	0.085205	0.526355	0.564608	-0.520734	0.364697
14292		9.424146	2.144710	-1.747391	0.009585	0.011538	-0.006024	-0.635498	-0.596924	0.076416	0.526202	0.564771	-0.520588	0.364874
14293		9.463205	2.232415	-1.843415	-0.003221	0.005966	-0.012293	-0.636475	-0.591064	0.078857	0.526259	0.564753	-0.520557	0.364864
14294		9.470655	2.167398	-1.882162	-0.005285	0.000344	-0.022223	-0.632812	-0.599121	0.077148	0.526260	0.564792	-0.520536	0.364834
14295		9.457332	2.102097	-1.900405	-0.014172	-0.002395	-0.030979	-0.639404	-0.586914	0.080811	0.526389	0.564884	-0.520444	0.364633
14296		9.421911	2.016476	-1.778192	-0.016486	0.000563	-0.027263	-0.641846	-0.598633	0.070068	0.526391	0.564882	-0.520475	0.364592
14297		9.427609	2.048172	-1.686855	-0.017880	-0.000425	-0.024916	-0.644287	-0.604248	0.081787	0.526624	0.564715	-0.520554	0.364400
14298		9.508757	2.032104	-1.793652	-0.001472	-0.009331	-0.022277	-0.630127	-0.596680	0.078613	0.526522	0.564883	-0.520508	0.364353
14299		9.487351	2.033849	-1.774042	-0.000086	-0.008348	-0.024622	-0.640625	-0.594727	0.081055	0.526502	0.565055	-0.520423	0.364236
14300		9.468648	2.037753	-1.833939	-0.003378	-0.018672	-0.025239	-0.641357	-0.592529	0.077148	0.526368	0.565195	-0.520467	0.364149
14301		9.439663	2.117023	-1.835298	-0.006745	-0.011261	-0.023201	-0.634521	-0.595459	0.078857	0.526345	0.565184	-0.520561	0.364067
14302		9.469652	2.171866	-1.843003	0.024962	-0.008928	-0.023687	-0.638428	-0.595459	0.082764	0.526182	0.565413	-0.520457	0.364095
14303		9.434714	2.158668	-1.797823	0.058128	-0.000282	-0.025991	-0.636719	-0.600098	0.078125	0.525827	0.565810	-0.520203	0.364355
14304		9.410085	2.183661	-1.800222	0.048400	-0.001520	-0.024563	-0.631348	-0.597168	0.076172	0.525632	0.566101	-0.519991	0.364487
14305		9.432817	2.163777	-1.801636	0.006196	-0.008274	-0.020602	-0.633057	-0.596191	0.083008	0.525650	0.566180	-0.519961	0.364381
14306		9.478776	2.148793	-1.901222	-0.016494	0.004477	-0.026287	-0.631104	-0.600098	0.081787	0.525708	0.566258	-0.519878	0.364295
14307		9.480606	2.157183	-1.855817	-0.029104	0.006323	-0.027575	-0.632080	-0.594238	0.077881	0.525875	0.566301	-0.519785	0.364118
14308		9.420564	2.099391	-1.835778	-0.021578	0.005466	-0.017879	-0.640625	-0.589111	0.083008	0.526023	0.566207	-0.519816	0.364008
14309		9.393200	2.036906	-1.744237	-0.011143	0.006077	-0.009832	-0.635010	-0.594238	0.074219	0.525951	0.566120	-0.519914	0.364106
14310		9.462728	2.064510	-1.733785	-0.027064	0.009493	-0.006569	-0.636719	-0.595459	0.079834	0.526166	0.565846	-0.520054	0.364021
14311		9.539111	2.042023	-1.803679	-0.000452	0.002633	-0.019777	-0.640625	-0.600098	0.078369	0.526143	0.565891	-0.520020	0.364033
14312		9.478463	2.009257	-1.886241	0.038169	-0.001784	-0.024672	-0.632568	-0.592529	0.080566	0.525966	0.566112	-0.519873	0.364155
14313		9.424746	2.014117	-1.816004	0.021666	-0.003359	-0.018155	-0.644531	-0.597412	0.080078	0.525802	0.566279	-0.519799	0.364238
14314		9.415707	2.121394	-1.814236	0.008554	0.005452	-0.013304	-0.635498	-0.595703	0.080566	0.525719	0.566264	-0.519812	0.364363
14315		9.415180	2.162428	-1.727478	0.003228	0.015977	-0.014389	-0.636230	-0.592285	0.079102	0.525724	0.566268	-0.519726	0.364471
14316		9.459724	2.153846	-1.806557	-0.010694	-0.002261	-0.015538	-0.634521	-0.597656	0.071289	0.525736	0.566209	-0.519807	0.364431
14317		9.492582	2.124133	-1.879513	-0.016978	-0.002944	-0.014224	-0.635498	-0.593750	0.072510	0.525951	0.566009	-0.519938	0.364245
14318		9.475660	2.148540	-1.810600	-0.019052	0.006743	-0.012701	-0.635986	-0.591553	0.078125	0.526164	0.565760	-0.520062	0.364146
14319		9.417114	2.060441	-1.813133	-0.008586	0.009271	-0.010409	-0.631592	-0.591553	0.077148	0.526195	0.565657	-0.520103	0.364203
14320		9.400031	2.073191	-1.806286	0.004718	0.012477	-0.014643	-0.639160	-0.594482	0.081055	0.526221	0.565637	-0.520046	0.364277
14321		9.463192	2.123108	-1.861250	-0.017313	0.003334	-0.017515	-0.634766	-0.584473	0.070312	0.526225	0.565610	-0.520072	0.364277
14322		9.479033	2.154731	-1.780536	-0.016143	-0.005050	-0.019075	-0.637207	-0.586426	0.077881	0.526391	0.565346	-0.520292	0.364133
14323		9.503105	2.107285	-1.802449	-0.006300	0.002322	-0.015081	-0.634521	-0.593994	0.080566	0.526355	0.565272	-0.520364	0.364197
