// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30588		9.756964	-0.282714	0.698240	0.005704	-0.005075	0.012453	-0.933105	-0.432617	-0.287354	0.617836	0.348561	-0.585499	0.392397
30589		9.762886	-0.301987	0.706897	-0.000284	-0.004386	0.010023	-0.930908	-0.427002	-0.275879	0.617782	0.348525	-0.585552	0.392434
30590		9.776606	-0.292684	0.695333	0.000078	-0.004032	0.011610	-0.926270	-0.442139	-0.280029	0.617653	0.348583	-0.585638	0.392458
30591		9.782440	-0.281266	0.715978	-0.000420	0.001565	0.010418	-0.931885	-0.423340	-0.288086	0.617552	0.348647	-0.585689	0.392484
30592		9.781712	-0.288024	0.730146	0.001805	0.003967	0.009911	-0.925537	-0.432129	-0.290039	0.617572	0.348532	-0.585677	0.392572
30593		9.775770	-0.302906	0.709516	0.003937	-0.001477	0.010989	-0.924805	-0.430176	-0.287842	0.617542	0.348463	-0.585694	0.392654
30594		9.767873	-0.333381	0.729920	0.003573	0.002577	0.013360	-0.927734	-0.436035	-0.293945	0.617517	0.348382	-0.585701	0.392756
30595		9.742906	-0.306461	0.708359	0.001031	-0.001424	0.012810	-0.921143	-0.428223	-0.288330	0.617498	0.348274	-0.585729	0.392839
30596		9.781471	-0.295724	0.730286	-0.002599	-0.002078	0.011457	-0.921143	-0.428955	-0.290283	0.617481	0.348172	-0.585772	0.392891
30597		9.786017	-0.325048	0.767070	-0.001459	0.001465	0.008168	-0.926270	-0.437500	-0.285156	0.617497	0.348068	-0.585780	0.392947
30598		9.767611	-0.340340	0.730210	0.000723	0.005114	0.007133	-0.922607	-0.431152	-0.280518	0.617474	0.348057	-0.585777	0.392998
30599		9.728902	-0.323569	0.720152	0.003082	0.003768	0.008212	-0.918457	-0.426025	-0.291260	0.617428	0.348063	-0.585778	0.393064
30600		9.754336	-0.348853	0.728653	0.007075	0.002573	0.009175	-0.931152	-0.432617	-0.293701	0.617432	0.347973	-0.585749	0.393179
30601		9.785029	-0.366142	0.771215	0.010837	-0.002720	0.010138	-0.926758	-0.432861	-0.280518	0.617389	0.347933	-0.585738	0.393299
30602		9.784955	-0.367866	0.771334	0.011750	0.003337	0.012786	-0.929199	-0.436035	-0.284180	0.617289	0.347962	-0.585732	0.393440
