// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30588		9.613394	-0.914404	-1.691260	0.006915	0.006913	-0.009816	-0.902832	-0.090820	0.718994	-0.074460	-0.748723	0.160312	-0.638881
30589		9.613728	-0.913170	-1.690030	0.010512	0.006791	-0.008644	-0.898438	-0.087402	0.727539	-0.074450	-0.748705	0.160198	-0.638932
30590		9.614412	-0.907147	-1.664110	0.011105	0.004419	-0.007076	-0.895508	-0.097900	0.724365	-0.074417	-0.748706	0.160093	-0.638962
30591		9.622577	-0.899338	-1.673545	0.006184	0.003166	-0.007060	-0.902832	-0.084229	0.718750	-0.074421	-0.748702	0.160014	-0.638986
30592		9.625535	-0.938805	-1.656373	0.002397	0.000009	-0.007163	-0.896484	-0.093262	0.714355	-0.074444	-0.748712	0.159956	-0.638985
30593		9.614518	-0.909167	-1.687691	0.007858	0.001734	-0.008866	-0.894043	-0.087646	0.713623	-0.074445	-0.748719	0.159858	-0.639002
30594		9.614276	-0.912858	-1.712389	0.004613	-0.000952	-0.010657	-0.895996	-0.091797	0.712891	-0.074471	-0.748739	0.159768	-0.638997
30595		9.618283	-0.919142	-1.693564	0.007463	0.000129	-0.010415	-0.891113	-0.085693	0.719482	-0.074480	-0.748757	0.159663	-0.639002
30596		9.610099	-0.929960	-1.707956	0.011454	0.001616	-0.007694	-0.890137	-0.088867	0.709473	-0.074451	-0.748765	0.159554	-0.639023
30597		9.615193	-0.903915	-1.686666	0.010348	0.003318	-0.010607	-0.894287	-0.094482	0.723389	-0.074445	-0.748768	0.159432	-0.639051
30598		9.627266	-0.903348	-1.677298	0.003006	0.004693	-0.009716	-0.895264	-0.088135	0.726074	-0.074482	-0.748758	0.159355	-0.639078
30599		9.607802	-0.907853	-1.674914	-0.000979	0.005513	-0.009839	-0.889893	-0.086670	0.714600	-0.074546	-0.748740	0.159297	-0.639105
30600		9.626448	-0.937921	-1.702489	0.000426	0.003847	-0.010801	-0.903076	-0.094971	0.714600	-0.074603	-0.748733	0.159226	-0.639124
30601		9.619162	-0.937983	-1.666886	0.001713	0.003117	-0.011558	-0.893555	-0.092285	0.721436	-0.074654	-0.748732	0.159147	-0.639139
30602		9.603748	-0.927903	-1.693673	0.010588	0.003759	-0.008419	-0.900146	-0.093750	0.719238	-0.074630	-0.748728	0.159042	-0.639173
30603		9.616471	-0.900082	-1.706821	0.014792	0.008327	-0.009799	-0.893311	-0.091797	0.718018	-0.074591	-0.748703	0.158905	-0.639241
30604		9.616836	-0.898796	-1.705440	0.016585	0.005962	-0.011810	-0.888672	-0.086426	0.720947	-0.074549	-0.748698	0.158747	-0.639291
30605		9.609632	-0.899196	-1.669076	0.010024	0.008239	-0.010423	-0.896240	-0.089844	0.716064	-0.074541	-0.748678	0.158632	-0.639345
30606		9.626275	-0.878843	-1.663130	0.003699	0.008644	-0.009447	-0.894043	-0.094482	0.716797	-0.074569	-0.748645	0.158557	-0.639398
30607		9.622552	-0.891984	-1.632829	0.003307	0.007037	-0.010995	-0.895020	-0.086426	0.719482	-0.074613	-0.748622	0.158472	-0.639440
30608		9.614568	-0.902419	-1.646471	-0.000082	0.005482	-0.009550	-0.893555	-0.080811	0.714111	-0.074658	-0.748602	0.158416	-0.639472
30609		9.602666	-0.905269	-1.679241	0.001683	0.003317	-0.008528	-0.894043	-0.090576	0.718018	-0.074678	-0.748588	0.158359	-0.639501
30610		9.618161	-0.918034	-1.676016	0.006419	0.003611	-0.004873	-0.894287	-0.090332	0.720947	-0.074662	-0.748575	0.158298	-0.639534
30611		9.626964	-0.900192	-1.636020	0.007945	0.001010	-0.006038	-0.901611	-0.084473	0.721924	-0.074634	-0.748580	0.158225	-0.639549
30612		9.622665	-0.919087	-1.631521	0.009654	0.001688	-0.008277	-0.888916	-0.089600	0.718262	-0.074590	-0.748576	0.158131	-0.639582
30613		9.629829	-0.943618	-1.643333	0.010550	-0.000649	-0.010579	-0.905518	-0.093750	0.719482	-0.074573	-0.748597	0.158014	-0.639588
30614		9.609854	-0.953434	-1.666750	0.009619	-0.002727	-0.010439	-0.893555	-0.080322	0.721436	-0.074554	-0.748603	0.157915	-0.639608
30615		9.618236	-0.939653	-1.652559	0.002664	-0.004374	-0.013198	-0.897461	-0.086914	0.721924	-0.074547	-0.748639	0.157833	-0.639587
30616		9.649895	-0.931949	-1.646143	-0.005158	-0.003885	-0.016686	-0.885254	-0.089111	0.722412	-0.074622	-0.748664	0.157776	-0.639563
30617		9.625890	-0.954761	-1.641299	-0.009146	-0.005381	-0.019408	-0.899902	-0.095703	0.715332	-0.074752	-0.748724	0.157712	-0.639493
30618		9.626624	-0.923887	-1.665085	-0.000995	-0.003725	-0.020230	-0.895996	-0.088867	0.722900	-0.074863	-0.748730	0.157625	-0.639494
30619		9.624094	-0.875186	-1.658321	0.004068	-0.010649	-0.019352	-0.891113	-0.096191	0.719727	-0.074878	-0.748801	0.157509	-0.639438
30620		9.620589	-0.859158	-1.653847	-0.002737	-0.008818	-0.020154	-0.895752	-0.081299	0.719482	-0.074999	-0.748864	0.157421	-0.639371
30621		9.632057	-0.862106	-1.671487	-0.000967	-0.008671	-0.016536	-0.897461	-0.095703	0.715820	-0.074997	-0.748910	0.157346	-0.639337
30622		9.625499	-0.806201	-1.683714	-0.003545	-0.007216	-0.015025	-0.895996	-0.085693	0.721191	-0.075107	-0.748926	0.157305	-0.639314
30623		9.609289	-0.823063	-1.689318	-0.003063	-0.006342	-0.010652	-0.892578	-0.091309	0.722900	-0.075112	-0.748957	0.157265	-0.639288
30624		9.609239	-0.821628	-1.690302	-0.002581	-0.005469	-0.006278	-0.891846	-0.082764	0.718018	-0.075135	-0.748996	0.157242	-0.639245
30625		9.628884	-0.814895	-1.692586	0.002548	-0.003561	-0.001078	-0.905762	-0.095215	0.718262	-0.075054	-0.749011	0.157225	-0.639241
30626		9.624027	-0.839898	-1.713875	0.000842	-0.004241	0.001162	-0.906250	-0.101562	0.720459	-0.075058	-0.748971	0.157255	-0.639280
30627		9.623894	-0.840314	-1.714420	0.007287	-0.003260	0.002575	-0.898193	-0.081787	0.720947	-0.075064	-0.748935	0.157259	-0.639321
30628		9.639023	-0.877437	-1.664095	0.009477	0.000602	0.007305	-0.894043	-0.077637	0.725098	-0.074873	-0.748916	0.157239	-0.639370
30629		9.619204	-0.885083	-1.662285	0.011276	0.000548	0.007892	-0.893066	-0.081055	0.720947	-0.074616	-0.748932	0.157194	-0.639393
30630		9.618232	-0.919259	-1.664011	0.011784	-0.001087	0.006638	-0.896484	-0.089111	0.712158	-0.074413	-0.748943	0.157157	-0.639412
30631		9.614194	-0.912948	-1.682851	0.010616	-0.001295	0.007189	-0.892822	-0.083008	0.712158	-0.074344	-0.748897	0.157182	-0.639469
30632		9.601776	-0.940865	-1.668501	0.007556	-0.000715	0.004327	-0.891846	-0.087891	0.718018	-0.074239	-0.748867	0.157188	-0.639515
30633		9.617037	-0.955348	-1.665872	0.006925	-0.000452	0.003190	-0.898438	-0.089355	0.720215	-0.074166	-0.748870	0.157177	-0.639522
30634		9.617339	-0.950762	-1.641128	0.006534	-0.002061	0.001643	-0.894531	-0.087646	0.716553	-0.074104	-0.748858	0.157168	-0.639545
30635		9.616911	-0.956095	-1.666171	0.003475	-0.001482	-0.001218	-0.900635	-0.090088	0.720703	-0.074076	-0.748844	0.157164	-0.639566
30636		9.628277	-0.962092	-1.682763	0.008331	-0.004424	-0.000366	-0.892578	-0.085449	0.709229	-0.074015	-0.748837	0.157143	-0.639587
30637		9.601429	-0.942255	-1.669713	0.008895	-0.004156	-0.005085	-0.902344	-0.091309	0.713379	-0.073977	-0.748812	0.157111	-0.639628
30638		9.613200	-0.942350	-1.661734	0.004250	-0.005192	-0.005911	-0.895996	-0.102539	0.718994	-0.074031	-0.748756	0.157117	-0.639686
30639		9.621447	-0.929354	-1.647863	-0.001804	-0.004565	-0.005776	-0.902832	-0.086670	0.718018	-0.074270	-0.748760	0.157165	-0.639642
30640		9.625356	-0.913790	-1.677933	0.001373	-0.008388	-0.005714	-0.891113	-0.084961	0.718750	-0.074225	-0.748746	0.157147	-0.639668
30641		9.609916	-0.898998	-1.681709	0.002328	-0.006511	-0.008888	-0.898682	-0.088867	0.725342	-0.074162	-0.748807	0.157082	-0.639620
30642		9.620811	-0.931045	-1.676098	-0.000399	-0.008537	-0.009330	-0.899170	-0.085205	0.713379	-0.074152	-0.748867	0.157035	-0.639562
30643		9.624999	-0.932304	-1.633859	-0.004560	-0.008698	-0.005782	-0.893066	-0.083984	0.717773	-0.074144	-0.748838	0.157059	-0.639591
30644		9.613867	-0.897811	-1.642128	0.000593	-0.009295	-0.006211	-0.891113	-0.084961	0.723145	-0.074058	-0.748887	0.157023	-0.639553
30645		9.594044	-0.880730	-1.689723	0.006406	-0.008048	-0.005940	-0.888672	-0.081055	0.717041	-0.073922	-0.748980	0.156937	-0.639480
30646		9.602585	-0.840546	-1.699490	0.008808	-0.010469	-0.003782	-0.893555	-0.089355	0.722412	-0.073727	-0.749056	0.156862	-0.639432
30647		9.618065	-0.848998	-1.673653	0.001026	-0.010322	0.001629	-0.890869	-0.093750	0.721924	-0.073675	-0.749123	0.156875	-0.639356
30648		9.620053	-0.922425	-1.659855	-0.003588	-0.006945	0.002965	-0.898926	-0.080811	0.717041	-0.073742	-0.749180	0.156931	-0.639269
30649		9.624162	-0.903163	-1.665232	-0.001158	-0.007260	0.004687	-0.893555	-0.090576	0.723633	-0.073574	-0.749140	0.156986	-0.639321
30650		9.607625	-0.922779	-1.671296	-0.003406	-0.013027	0.003429	-0.894775	-0.094238	0.726318	-0.073560	-0.749222	0.157033	-0.639215
30651		9.618607	-0.951679	-1.641792	0.000191	-0.013133	0.004598	-0.892090	-0.083008	0.728516	-0.073566	-0.749317	0.157068	-0.639095
30652		9.606325	-0.951343	-1.652762	-0.001494	-0.016323	0.001214	-0.898193	-0.076416	0.718750	-0.073369	-0.749464	0.157051	-0.638949
30653		9.618085	-0.947049	-1.622253	-0.005270	-0.019492	0.001122	-0.898682	-0.091553	0.722656	-0.073158	-0.749491	0.157117	-0.638925
30654		9.600934	-0.993165	-1.607117	-0.015709	-0.021976	-0.002994	-0.901611	-0.096680	0.720459	-0.073281	-0.749561	0.157219	-0.638804
30655		9.604349	-0.999769	-1.592300	-0.017784	-0.024463	-0.005329	-0.892822	-0.090576	0.727295	-0.073536	-0.749602	0.157352	-0.638694
30656		9.620758	-0.946387	-1.590949	-0.020045	-0.032533	-0.009183	-0.893555	-0.087402	0.725830	-0.073637	-0.749803	0.157412	-0.638431
30657		9.616776	-0.903843	-1.614170	-0.028531	-0.040943	-0.009222	-0.895264	-0.095215	0.728516	-0.073729	-0.750017	0.157526	-0.638142
30658		9.598630	-0.930627	-1.675293	-0.036905	-0.040929	-0.010997	-0.890869	-0.080566	0.719238	-0.074001	-0.750230	0.157675	-0.637822
30659		9.614041	-0.881761	-1.701465	-0.028261	-0.047742	-0.005946	-0.892090	-0.086426	0.721924	-0.073985	-0.750416	0.157843	-0.637564
30660		9.613019	-0.852431	-1.732747	-0.030244	-0.050955	-0.005456	-0.894531	-0.092285	0.720459	-0.074063	-0.750625	0.158025	-0.637263
30661		9.615664	-0.858744	-1.722473	-0.029486	-0.049841	-0.001930	-0.893799	-0.092041	0.728271	-0.074247	-0.750784	0.158255	-0.636997
30662		9.607260	-0.832085	-1.718667	-0.028341	-0.049425	0.000544	-0.888428	-0.084717	0.722656	-0.074334	-0.751006	0.158442	-0.636679
30663		9.600829	-0.856753	-1.747918	-0.030353	-0.052244	0.007097	-0.893066	-0.093994	0.726318	-0.074301	-0.751213	0.158692	-0.636377
30664		9.604321	-0.804881	-1.758938	-0.032069	-0.052721	0.012373	-0.899414	-0.093262	0.725098	-0.074408	-0.751403	0.158999	-0.636063
30665		9.578152	-0.809922	-1.809360	-0.028583	-0.049395	0.019365	-0.885010	-0.089111	0.729492	-0.074458	-0.751502	0.159343	-0.635854
30666		9.589568	-0.868675	-1.867002	-0.027954	-0.049650	0.020497	-0.894043	-0.095703	0.728027	-0.074383	-0.751741	0.159635	-0.635507
30667		9.578382	-0.916494	-1.891578	-0.012200	-0.046420	0.026507	-0.894531	-0.096436	0.736084	-0.074334	-0.751876	0.159925	-0.635280
30668		9.600645	-0.894694	-1.904470	-0.002313	-0.039484	0.028588	-0.894775	-0.087891	0.740479	-0.074176	-0.752037	0.160133	-0.635055
30669		9.575196	-0.897611	-1.927202	0.003186	-0.033342	0.029023	-0.886475	-0.091309	0.735107	-0.073804	-0.752198	0.160269	-0.634874
30670		9.607920	-0.942714	-1.933460	-0.001884	-0.026229	0.031232	-0.886475	-0.093262	0.733643	-0.073582	-0.752326	0.160473	-0.634697
30671		9.590215	-0.994037	-1.918634	-0.003332	-0.019622	0.028526	-0.889893	-0.083496	0.733887	-0.073450	-0.752405	0.160680	-0.634565
30672		9.597548	-1.014010	-1.883954	-0.008274	-0.013637	0.027497	-0.889648	-0.085205	0.738037	-0.073195	-0.752423	0.160896	-0.634519
30673		9.583092	-1.054650	-1.921137	-0.005087	-0.008307	0.022985	-0.883057	-0.091309	0.737061	-0.072956	-0.752457	0.161045	-0.634468
30674		9.582268	-1.085454	-1.899590	0.000745	-0.007468	0.017157	-0.894775	-0.086182	0.736816	-0.072829	-0.752539	0.161129	-0.634364
30675		9.589661	-1.080967	-1.910393	0.011189	-0.000473	0.011475	-0.885254	-0.088623	0.723877	-0.072595	-0.752510	0.161133	-0.634425
30676		9.582715	-1.057437	-1.897717	0.017426	0.002159	0.010227	-0.890625	-0.087158	0.731201	-0.072498	-0.752429	0.161175	-0.634522
30677		9.567950	-1.067968	-1.851269	0.017388	0.006907	0.003514	-0.881104	-0.090332	0.726807	-0.072350	-0.752361	0.161123	-0.634632
30678		9.599091	-1.068561	-1.867797	0.016558	0.010946	-0.000662	-0.890381	-0.085693	0.728271	-0.072334	-0.752307	0.161074	-0.634710
30679		9.549900	-1.042244	-1.843494	0.014414	0.013611	-0.003642	-0.883301	-0.091797	0.727539	-0.072251	-0.752193	0.161003	-0.634873
30680		9.609620	-1.023510	-1.846400	0.009564	0.016364	-0.007483	-0.881836	-0.089844	0.725098	-0.072340	-0.752115	0.160941	-0.634971
30681		9.570844	-1.034366	-1.839996	0.005962	0.016287	-0.011660	-0.885498	-0.085938	0.733398	-0.072455	-0.752031	0.160883	-0.635072
30682		9.591778	-1.049133	-1.791314	0.004043	0.017281	-0.012026	-0.891357	-0.081787	0.729980	-0.072446	-0.751989	0.160785	-0.635147
30683		9.585716	-1.021472	-1.776200	0.004570	0.017753	-0.013718	-0.890625	-0.078369	0.729492	-0.072386	-0.751882	0.160681	-0.635307
30684		9.590622	-1.027175	-1.754507	0.011151	0.017589	-0.015586	-0.886719	-0.084229	0.733398	-0.072238	-0.751785	0.160531	-0.635477
30685		9.580410	-0.991515	-1.758164	0.017435	0.015087	-0.016177	-0.886475	-0.084717	0.727783	-0.072126	-0.751770	0.160327	-0.635559
30686		9.601060	-0.955742	-1.780282	0.016383	0.013949	-0.015826	-0.886475	-0.087646	0.733398	-0.072074	-0.751714	0.160167	-0.635671
30687		9.586811	-0.962512	-1.732552	0.011198	0.012453	-0.014934	-0.888672	-0.086426	0.732666	-0.072048	-0.751716	0.160003	-0.635713
30688		9.595150	-0.953697	-1.740850	0.007287	0.010428	-0.011775	-0.898193	-0.083740	0.727783	-0.072009	-0.751701	0.159882	-0.635765
30689		9.568974	-0.932435	-1.725539	0.003205	0.004932	-0.010578	-0.896729	-0.084473	0.731689	-0.071973	-0.751609	0.159822	-0.635893
30690		9.604318	-0.938427	-1.724271	-0.006230	0.004009	-0.008938	-0.889648	-0.091064	0.725342	-0.071962	-0.751561	0.159793	-0.635959
30691		9.588205	-0.956067	-1.728402	-0.005019	-0.000725	-0.005809	-0.895752	-0.090820	0.728516	-0.072091	-0.751528	0.159826	-0.635975
30692		9.591667	-0.968039	-1.734860	0.002806	-0.003517	-0.004975	-0.893311	-0.093262	0.725830	-0.072114	-0.751506	0.159792	-0.636007
30693		9.576263	-0.953597	-1.737909	0.007290	-0.005958	-0.006137	-0.889893	-0.089600	0.720703	-0.072176	-0.751495	0.159747	-0.636024
30694		9.579575	-0.966013	-1.744949	0.005969	-0.007138	-0.001909	-0.895508	-0.079102	0.728271	-0.072212	-0.751458	0.159773	-0.636058
30695		9.598390	-0.965007	-1.772670	0.002091	-0.007063	0.000817	-0.888184	-0.081543	0.723145	-0.072013	-0.751442	0.159772	-0.636099
30696		9.593780	-0.984814	-1.769903	-0.001049	-0.010684	-0.001160	-0.890381	-0.082031	0.731934	-0.071940	-0.751446	0.159824	-0.636089
30697		9.588435	-1.009348	-1.792362	-0.002471	-0.011324	-0.002787	-0.894043	-0.092041	0.722900	-0.071816	-0.751516	0.159813	-0.636024
30698		9.600085	-1.009717	-1.785626	-0.003870	-0.009665	-0.001815	-0.887695	-0.082520	0.728271	-0.071941	-0.751478	0.159886	-0.636036
30699		9.575115	-1.040163	-1.805915	-0.005379	-0.007270	-0.003666	-0.884766	-0.083496	0.722168	-0.071888	-0.751509	0.159911	-0.635999
30700		9.593282	-1.043356	-1.858502	-0.000833	-0.005505	-0.005694	-0.888184	-0.084473	0.720215	-0.071895	-0.751501	0.159946	-0.635999
30701		9.598507	-0.989947	-1.861375	0.006300	-0.002892	-0.006653	-0.892090	-0.078125	0.727539	-0.071891	-0.751450	0.159944	-0.636061
30702		9.586651	-0.988079	-1.870016	0.004791	-0.000497	-0.008504	-0.890625	-0.089111	0.731201	-0.071723	-0.751430	0.159858	-0.636125
30703		9.591006	-0.994509	-1.850946	0.003049	0.003765	-0.009942	-0.892578	-0.094238	0.737305	-0.071750	-0.751427	0.159782	-0.636144
30704		9.591163	-1.020601	-1.827084	0.000778	0.007555	-0.009688	-0.888672	-0.087646	0.733887	-0.071821	-0.751444	0.159681	-0.636141
30705		9.602797	-1.024891	-1.842198	0.002207	0.007999	-0.011092	-0.887695	-0.091064	0.729980	-0.071812	-0.751455	0.159580	-0.636155
30706		9.575985	-1.008728	-1.851412	0.011405	0.010797	-0.012322	-0.893555	-0.090820	0.722900	-0.071844	-0.751432	0.159452	-0.636210
30707		9.585704	-0.989872	-1.810081	0.015017	0.010490	-0.014205	-0.888672	-0.092773	0.729004	-0.071904	-0.751330	0.159329	-0.636355
30708		9.594752	-0.976148	-1.793347	0.013118	0.013781	-0.011974	-0.891846	-0.084961	0.727295	-0.071958	-0.751285	0.159201	-0.636434
30709		9.614267	-1.000935	-1.794400	0.013937	0.016593	-0.014944	-0.889893	-0.086182	0.723145	-0.071903	-0.751200	0.159038	-0.636582
30710		9.596116	-0.972605	-1.787966	0.017512	0.014383	-0.013361	-0.902100	-0.085449	0.723389	-0.071871	-0.751107	0.158897	-0.636729
30711		9.620090	-0.950434	-1.816110	0.024603	0.015103	-0.010854	-0.889404	-0.083496	0.733887	-0.071735	-0.750957	0.158694	-0.636972
30712		9.578221	-0.894109	-1.849313	0.027207	0.018261	-0.007187	-0.888916	-0.083252	0.722412	-0.071490	-0.750937	0.158468	-0.637080
30713		9.590827	-0.894794	-1.837275	0.025040	0.021318	-0.004115	-0.901123	-0.084961	0.731201	-0.071344	-0.750809	0.158344	-0.637278
30714		9.582622	-0.989725	-1.778610	0.014663	0.027851	-0.000834	-0.883789	-0.083496	0.724609	-0.071178	-0.750651	0.158201	-0.637518
30715		9.583102	-1.045071	-1.727710	0.016755	0.030140	-0.001538	-0.891357	-0.085938	0.731689	-0.071088	-0.750520	0.158130	-0.637700
30716		9.588287	-1.025472	-1.726957	0.023306	0.027890	-0.002961	-0.884521	-0.082275	0.727051	-0.070916	-0.750432	0.157947	-0.637868
30717		9.598892	-0.975384	-1.681557	0.017681	0.020369	-0.005777	-0.886963	-0.084717	0.723389	-0.070792	-0.750381	0.157829	-0.637970
30718		9.602226	-1.020444	-1.685922	0.011746	0.020057	-0.005820	-0.892822	-0.087158	0.723145	-0.070770	-0.750291	0.157764	-0.638095
30719		9.590960	-1.018877	-1.691359	0.012867	0.015858	-0.008535	-0.897949	-0.082275	0.715088	-0.070771	-0.750203	0.157663	-0.638224
30720		9.600118	-0.978181	-1.697420	0.011275	0.011939	-0.009087	-0.890869	-0.086182	0.730469	-0.070763	-0.750049	0.157608	-0.638420
30721		9.601163	-0.971793	-1.670630	0.016928	0.009714	-0.010792	-0.899902	-0.080566	0.719482	-0.070669	-0.750070	0.157428	-0.638449
30722		9.598612	-0.952904	-1.638057	0.012887	0.008820	-0.004400	-0.891357	-0.089355	0.719482	-0.070552	-0.749958	0.157353	-0.638613
30723		9.595367	-0.939565	-1.630763	0.014647	0.004359	-0.005979	-0.894531	-0.078857	0.727295	-0.070584	-0.749916	0.157297	-0.638672
30724		9.599746	-0.919207	-1.634878	0.005641	-0.004532	-0.004297	-0.897949	-0.086914	0.721436	-0.070420	-0.749958	0.157225	-0.638658
30725		9.603697	-0.926632	-1.616968	-0.006013	-0.006629	0.001268	-0.896729	-0.080811	0.726318	-0.070457	-0.749939	0.157290	-0.638661
30726		9.597814	-0.984137	-1.640704	-0.011059	-0.009279	-0.001081	-0.890381	-0.085205	0.726807	-0.070408	-0.749974	0.157331	-0.638614
30727		9.572342	-1.020305	-1.686351	-0.008676	-0.013797	0.001507	-0.888672	-0.084229	0.720215	-0.070402	-0.750063	0.157399	-0.638494
30728		9.619690	-0.995796	-1.677766	-0.000057	-0.015862	-0.000177	-0.896973	-0.095947	0.730469	-0.070399	-0.750123	0.157468	-0.638406
30729		9.599495	-1.002101	-1.678797	0.001571	-0.019184	0.001479	-0.888916	-0.084473	0.730469	-0.070421	-0.750244	0.157447	-0.638268
30730		9.610793	-1.003316	-1.673432	0.002960	-0.020638	0.003544	-0.896484	-0.085693	0.719238	-0.070293	-0.750395	0.157459	-0.638101
30731		9.585117	-1.012891	-1.743454	0.001913	-0.021781	0.003897	-0.889893	-0.085449	0.727295	-0.070254	-0.750435	0.157525	-0.638042
30732		9.611873	-1.000313	-1.759217	-0.000434	-0.024505	0.002417	-0.897217	-0.079834	0.722168	-0.070190	-0.750573	0.157570	-0.637876
30733		9.605611	-1.030979	-1.808206	0.001156	-0.020584	0.002966	-0.888672	-0.087158	0.723145	-0.070063	-0.750618	0.157611	-0.637827
30734		9.561458	-1.036198	-1.826491	0.002984	-0.018531	0.003105	-0.891357	-0.081787	0.727051	-0.070049	-0.750695	0.157675	-0.637722
30735		9.607407	-1.022670	-1.867904	0.006241	-0.016034	0.001840	-0.893799	-0.082764	0.725098	-0.069914	-0.750776	0.157674	-0.637642
30736		9.591590	-1.009380	-1.872324	0.005422	-0.009700	0.000241	-0.894775	-0.086670	0.734863	-0.069825	-0.750800	0.157667	-0.637625
30737		9.606783	-1.023148	-1.870847	0.004340	-0.003602	-0.000513	-0.892578	-0.091553	0.725342	-0.069727	-0.750858	0.157594	-0.637585
30738		9.594687	-1.049798	-1.856452	0.006842	0.000087	-0.002708	-0.897705	-0.081543	0.721191	-0.069773	-0.750844	0.157560	-0.637605
30739		9.582927	-1.048768	-1.864304	0.012073	0.005804	-0.004478	-0.888672	-0.079346	0.724609	-0.069688	-0.750754	0.157486	-0.637738
30740		9.611361	-1.030224	-1.850103	0.016631	0.009883	-0.003914	-0.889648	-0.082031	0.717041	-0.069560	-0.750703	0.157408	-0.637831
30741		9.584366	-1.042979	-1.835708	0.018376	0.014767	-0.007041	-0.890381	-0.083252	0.730225	-0.069536	-0.750579	0.157343	-0.637997
30742		9.604499	-1.063690	-1.811603	0.017238	0.016662	-0.006921	-0.899414	-0.079346	0.722168	-0.069434	-0.750535	0.157199	-0.638095
30743		9.609310	-1.070628	-1.789566	0.016508	0.019960	-0.008291	-0.896240	-0.076416	0.720215	-0.069323	-0.750388	0.157052	-0.638315
