// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30588		3.658552	4.127801	8.016820	0.010694	0.066616	0.000427	-0.178711	0.082275	-0.527344	0.696655	0.027215	-0.295677	-0.653074
30589		3.729269	4.128757	7.983352	-0.004769	0.060015	-0.014620	-0.173828	0.084229	-0.520264	0.696724	0.027550	-0.295299	-0.653157
30590		3.767048	4.027266	7.947994	-0.013902	0.055099	-0.013734	-0.166748	0.068359	-0.523193	0.696790	0.027801	-0.294897	-0.653258
30591		3.713210	3.994176	7.886292	-0.016130	0.043816	-0.006722	-0.174805	0.085449	-0.529053	0.696865	0.027960	-0.294554	-0.653326
30592		3.730282	3.919624	7.866709	-0.020978	0.026247	0.002620	-0.169434	0.080322	-0.531250	0.696950	0.027970	-0.294290	-0.653355
30593		3.877238	3.917073	7.936230	-0.010487	0.018720	0.012838	-0.168945	0.084229	-0.530273	0.697070	0.027967	-0.294130	-0.653298
30594		3.936339	3.943605	7.953056	0.000652	0.023805	0.023616	-0.166504	0.079590	-0.534424	0.697261	0.028017	-0.294008	-0.653147
30595		3.882464	3.932499	7.944158	0.008053	0.017552	0.032913	-0.160645	0.086914	-0.525391	0.697488	0.028037	-0.293971	-0.652920
30596		3.817763	3.928030	7.930324	0.011851	0.005377	0.040208	-0.162109	0.080811	-0.533936	0.697727	0.027977	-0.294034	-0.652639
30597		3.845627	3.914913	7.937089	0.022728	-0.005369	0.042516	-0.164795	0.075195	-0.522705	0.697953	0.027900	-0.294222	-0.652317
30598		3.847881	3.975225	7.930307	0.023808	-0.014785	0.049477	-0.166016	0.080078	-0.522949	0.698196	0.027742	-0.294478	-0.651948
30599		3.806319	4.043967	7.918238	0.022881	-0.019384	0.054277	-0.161865	0.082520	-0.530273	0.698456	0.027525	-0.294763	-0.651549
30600		3.791441	4.124386	7.950305	0.024677	-0.025269	0.045796	-0.171387	0.076660	-0.533691	0.698656	0.027298	-0.295100	-0.651192
30601		3.731032	4.189289	7.940828	0.010378	-0.037040	0.033183	-0.165283	0.077881	-0.526855	0.698760	0.026951	-0.295435	-0.650943
30602		3.760607	4.069231	7.998770	0.004792	-0.042224	0.022546	-0.169189	0.075684	-0.525635	0.698791	0.026578	-0.295777	-0.650769
30603		3.808083	4.013714	8.048774	0.011464	-0.038511	0.022425	-0.165771	0.080566	-0.529297	0.698830	0.026259	-0.296135	-0.650578
30604		3.738974	3.974144	8.056618	0.026797	-0.036208	0.023337	-0.157959	0.077881	-0.524902	0.698877	0.026029	-0.296560	-0.650342
30605		3.687246	4.005236	8.122837	0.029216	-0.043340	0.020595	-0.166016	0.075928	-0.531738	0.698897	0.025783	-0.297026	-0.650118
30606		3.748085	4.054569	8.243846	0.020299	-0.045380	0.019520	-0.165039	0.076172	-0.527832	0.698910	0.025460	-0.297443	-0.649927
30607		3.793236	4.060629	8.288727	0.011737	-0.028898	0.017325	-0.167236	0.080811	-0.527344	0.698959	0.025189	-0.297695	-0.649769
30608		3.702993	4.120263	8.302979	0.010119	-0.015819	0.012671	-0.164795	0.087891	-0.532959	0.699019	0.024985	-0.297839	-0.649645
30609		3.676718	4.152781	8.228291	0.001638	-0.008379	0.013136	-0.164795	0.078613	-0.528809	0.699099	0.024772	-0.297866	-0.649555
30610		3.669261	4.210523	8.242253	0.005927	-0.001328	0.010270	-0.164062	0.073975	-0.527344	0.699185	0.024658	-0.297870	-0.649465
30611		3.631818	4.230454	8.230152	0.008000	0.003914	0.001763	-0.174316	0.083252	-0.524170	0.699236	0.024635	-0.297849	-0.649422
30612		3.598522	4.234847	8.228817	0.015066	0.000914	-0.010723	-0.161133	0.077148	-0.529785	0.699214	0.024670	-0.297862	-0.649437
30613		3.647813	4.219526	8.255996	0.009172	0.007247	-0.011504	-0.172363	0.073730	-0.530029	0.699190	0.024753	-0.297791	-0.649493
30614		3.661570	4.165891	8.222171	0.013964	0.018516	-0.004738	-0.167725	0.083496	-0.529297	0.699235	0.024904	-0.297684	-0.649488
30615		3.639287	4.167357	8.170929	0.022922	0.032027	0.001693	-0.165771	0.077637	-0.528076	0.699345	0.025178	-0.297520	-0.649434
30616		3.579145	4.188044	8.108036	0.020295	0.030153	0.011501	-0.156982	0.072021	-0.529541	0.699499	0.025430	-0.297359	-0.649333
30617		3.559941	4.136609	8.073857	0.019021	0.024694	0.017730	-0.171631	0.071045	-0.535156	0.699660	0.025671	-0.297217	-0.649215
30618		3.658276	4.087479	8.105039	0.032314	0.024418	0.017558	-0.167236	0.077637	-0.526855	0.699828	0.025964	-0.297146	-0.649054
30619		3.634544	4.155591	8.114590	0.038647	0.027248	0.018837	-0.163330	0.066650	-0.531250	0.700006	0.026315	-0.297098	-0.648869
30620		3.580370	4.160952	8.061514	0.034814	0.031732	0.011618	-0.165039	0.083984	-0.529053	0.700145	0.026718	-0.297001	-0.648748
30621		3.580769	4.130557	8.048636	0.011349	0.033359	0.002269	-0.166748	0.070557	-0.534180	0.700261	0.026982	-0.296747	-0.648728
30622		3.671205	3.995325	8.015466	-0.004085	0.039507	-0.003317	-0.167236	0.075684	-0.529053	0.700353	0.027238	-0.296380	-0.648786
30623		3.683165	3.979962	8.045568	-0.003920	0.044917	-0.003868	-0.165283	0.073486	-0.527344	0.700457	0.027502	-0.295996	-0.648838
30624		3.718018	4.011166	8.079192	-0.013361	0.047171	-0.000632	-0.163086	0.084473	-0.530762	0.700580	0.027711	-0.295556	-0.648896
