// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28000		-0.085048	-9.748804	1.765399	0.011546	0.005640	0.000930	-0.102539	1.017090	0.277100	0.470262	-0.388366	0.510027	-0.606547
28001		-0.234297	-9.962913	1.613443	0.024517	-0.009809	0.002677	-0.101562	1.015625	0.273926	0.470396	-0.388308	0.509873	-0.606609
28002		-0.267745	-9.433093	1.524770	0.018452	-0.028682	0.009565	-0.104248	1.012451	0.266113	0.470629	-0.388337	0.509698	-0.606556
28003		-0.163649	-9.318811	1.642673	-0.030596	-0.031306	0.010983	-0.100342	1.016113	0.278320	0.470676	-0.388583	0.509743	-0.606324
28004		-0.163465	-9.764077	1.704008	-0.033621	-0.015698	0.023014	-0.099854	1.022949	0.268066	0.470768	-0.388690	0.509940	-0.606019
28005		-0.180696	-9.906403	1.682536	-0.011332	-0.015492	0.026935	-0.105957	1.009033	0.270752	0.470929	-0.388698	0.510028	-0.605814
28006		-0.282825	-9.675650	1.610050	0.015896	-0.016509	0.020462	-0.104492	1.020020	0.268311	0.471097	-0.388649	0.509926	-0.605801
28007		-0.294678	-9.381357	1.592080	-0.000358	-0.025415	0.014034	-0.100342	1.020264	0.273193	0.471230	-0.388730	0.509864	-0.605698
28008		-0.180948	-9.521565	1.701192	-0.013094	-0.014696	0.014235	-0.100830	1.021729	0.275146	0.471319	-0.388788	0.509942	-0.605526
28009		-0.172567	-9.822756	1.678595	-0.000310	-0.013420	0.012997	-0.099854	1.014648	0.275146	0.471438	-0.388792	0.509957	-0.605418
28010		-0.322459	-9.549863	1.504029	0.009247	-0.039502	0.010925	-0.096436	1.024658	0.278320	0.471690	-0.388898	0.509822	-0.605267
28011		-0.220456	-9.427871	1.610966	-0.007352	-0.025775	0.002733	-0.098633	1.014404	0.267090	0.471817	-0.389023	0.509831	-0.605080
28012		-0.245706	-9.622374	1.631617	-0.017841	-0.013783	0.007999	-0.098877	1.013916	0.273682	0.471853	-0.389108	0.509935	-0.604910
28013		-0.198208	-9.667371	1.659339	-0.003465	-0.012503	0.000437	-0.099365	1.017334	0.275146	0.471888	-0.389171	0.509971	-0.604812
28014		-0.337475	-9.594942	1.529199	0.000775	-0.021262	0.001478	-0.111816	1.021240	0.277588	0.471979	-0.389255	0.509959	-0.604697
28015		-0.307148	-9.329348	1.461084	-0.026034	-0.050347	-0.005017	-0.096680	1.015137	0.282715	0.471985	-0.389654	0.509931	-0.604459
28016		-0.036204	-9.671443	1.697942	-0.023021	-0.008055	-0.011826	-0.105469	1.013428	0.267578	0.471892	-0.389806	0.510105	-0.604286
