// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28000		-0.454311	9.127337	-3.539026	-0.002958	0.005591	-0.011658	-0.002930	-0.973877	-0.162354	0.360465	0.555691	-0.609699	-0.435362
28001		-0.449939	9.114310	-3.564217	-0.002489	0.009094	-0.013280	-0.006348	-0.976074	-0.164795	0.360418	0.555904	-0.609487	-0.435426
28002		-0.449565	9.096012	-3.554586	0.003273	0.008034	-0.013988	-0.009033	-0.980225	-0.171143	0.360363	0.556084	-0.609338	-0.435450
28003		-0.465447	9.109380	-3.548970	0.007795	0.007893	-0.017106	-0.005615	-0.977539	-0.162109	0.360285	0.556271	-0.609215	-0.435448
28004		-0.425940	9.127610	-3.567475	0.011252	0.005587	-0.013002	-0.007324	-0.968750	-0.171387	0.360186	0.556454	-0.609115	-0.435436
28005		-0.401305	9.147925	-3.557258	0.012073	0.006881	-0.015106	-0.008057	-0.982178	-0.167236	0.360087	0.556645	-0.609015	-0.435413
28006		-0.438423	9.145720	-3.532675	0.009448	0.007623	-0.015744	-0.008545	-0.973145	-0.173340	0.360010	0.556818	-0.608917	-0.435392
28007		-0.433749	9.143687	-3.581875	0.004650	0.006672	-0.018438	-0.006836	-0.975342	-0.169922	0.359942	0.556985	-0.608794	-0.435408
28008		-0.425126	9.136155	-3.576032	0.000273	0.007906	-0.019503	-0.008301	-0.970459	-0.162354	0.359895	0.557154	-0.608641	-0.435443
28009		-0.445525	9.114307	-3.568809	-0.004040	0.009137	-0.015572	-0.003662	-0.974609	-0.164795	0.359898	0.557273	-0.608511	-0.435470
28010		-0.455204	9.115099	-3.587403	-0.002844	0.011300	-0.012797	-0.004150	-0.966553	-0.164551	0.359904	0.557422	-0.608359	-0.435487
28011		-0.464566	9.115762	-3.606361	0.000659	0.010315	-0.011942	-0.005371	-0.976318	-0.168945	0.359893	0.557568	-0.608237	-0.435481
28012		-0.483277	9.135782	-3.587673	0.005996	0.005538	-0.016952	-0.004395	-0.979492	-0.164062	0.359823	0.557727	-0.608131	-0.435483
28013		-0.482688	9.128582	-3.601776	0.011141	0.002746	-0.017416	-0.006836	-0.974854	-0.162354	0.359701	0.557900	-0.608057	-0.435464
28014		-0.497368	9.123417	-3.587158	0.010312	-0.000087	-0.017991	-0.019531	-0.970947	-0.165283	0.359569	0.558047	-0.608013	-0.435447
28015		-0.442343	9.140448	-3.567315	0.006455	-0.001291	-0.015476	-0.004639	-0.978027	-0.158691	0.359498	0.558075	-0.608046	-0.435423
28016		-0.441469	9.133627	-3.580509	-0.000642	-0.001960	-0.010686	-0.012939	-0.975830	-0.172363	0.359424	0.558163	-0.607996	-0.435441
28017		-0.434444	9.114027	-3.618437	-0.004147	0.003420	-0.014428	-0.010254	-0.971924	-0.164551	0.359450	0.558191	-0.607913	-0.435499
28018		-0.471199	9.112662	-3.591526	-0.005061	0.003886	-0.008713	-0.012695	-0.977783	-0.159424	0.359455	0.558237	-0.607870	-0.435497
28019		-0.447530	9.122344	-3.556511	-0.000751	0.001123	-0.015318	-0.010498	-0.969727	-0.169922	0.359397	0.558308	-0.607850	-0.435482
28020		-0.463828	9.135877	-3.550330	0.004761	-0.002336	-0.013584	0.000732	-0.977539	-0.167725	0.359329	0.558367	-0.607820	-0.435503
28021		-0.457277	9.115834	-3.589338	0.004964	-0.002781	-0.015448	-0.000244	-0.976318	-0.169678	0.359231	0.558508	-0.607723	-0.435540
28022		-0.440635	9.107605	-3.564609	0.003056	-0.000527	-0.017259	-0.012207	-0.968506	-0.170410	0.359156	0.558650	-0.607606	-0.435582
28023		-0.460059	9.127528	-3.546031	0.005690	0.000277	-0.013939	-0.005615	-0.971191	-0.169434	0.359109	0.558705	-0.607592	-0.435570
28024		-0.471389	9.116098	-3.543477	0.006768	-0.000413	-0.015589	-0.009277	-0.979980	-0.178223	0.359033	0.558814	-0.607537	-0.435570
28025		-0.471391	9.169374	-3.554842	0.006981	0.002220	-0.012098	-0.009277	-0.973389	-0.158936	0.359037	0.558859	-0.607479	-0.435589
28026		-0.483223	9.146418	-3.529608	0.003321	0.004962	-0.014336	-0.009521	-0.976807	-0.159180	0.358973	0.558970	-0.607468	-0.435516
28027		-0.453003	9.154353	-3.543413	0.000486	0.004603	-0.015790	-0.006348	-0.972412	-0.169434	0.358925	0.559067	-0.607437	-0.435474
28028		-0.446762	9.123007	-3.559190	-0.000329	0.004846	-0.011010	-0.002930	-0.971191	-0.162109	0.358938	0.559134	-0.607363	-0.435479
28029		-0.413956	9.113100	-3.562551	-0.004558	0.008703	-0.013582	-0.003906	-0.970215	-0.168213	0.358946	0.559262	-0.607257	-0.435457
28030		-0.435738	9.109443	-3.564849	-0.002704	0.007992	-0.014085	-0.010742	-0.979980	-0.167969	0.358974	0.559367	-0.607141	-0.435461
28031		-0.452679	9.152880	-3.590578	0.000286	0.005051	-0.013923	-0.014160	-0.972168	-0.168701	0.358992	0.559405	-0.607102	-0.435452
28032		-0.475725	9.137290	-3.571108	0.002858	0.005860	-0.015596	-0.006592	-0.975586	-0.173340	0.359002	0.559437	-0.607081	-0.435431
28033		-0.465743	9.141447	-3.587763	0.001934	0.003247	-0.015239	-0.010498	-0.975586	-0.172363	0.359010	0.559497	-0.606999	-0.435462
28034		-0.462658	9.116582	-3.590932	0.000287	0.005051	-0.013921	-0.000244	-0.972412	-0.176514	0.359043	0.559522	-0.606946	-0.435477
28035		-0.467405	9.122992	-3.578290	0.000753	0.004159	-0.012656	-0.010010	-0.965820	-0.171631	0.359064	0.559612	-0.606813	-0.435529
28036		-0.466198	9.116426	-3.590872	-0.003525	0.005156	-0.014658	-0.005615	-0.986816	-0.171631	0.359104	0.559650	-0.606738	-0.435552
28037		-0.480057	9.112091	-3.574136	-0.003579	0.008236	-0.014295	-0.005371	-0.968018	-0.167725	0.359163	0.559700	-0.606646	-0.435567
28038		-0.507021	9.133002	-3.573622	-0.001985	0.009513	-0.015250	-0.009033	-0.968506	-0.167236	0.359186	0.559813	-0.606548	-0.435540
28039		-0.480392	9.136167	-3.551611	-0.000792	0.005742	-0.012269	-0.011719	-0.976318	-0.175781	0.359204	0.559866	-0.606510	-0.435509
28040		-0.452798	9.150940	-3.552154	-0.001565	0.005764	-0.013414	-0.004639	-0.966797	-0.172852	0.359272	0.559847	-0.606461	-0.435546
28041		-0.432095	9.136719	-3.539125	-0.004547	0.004303	-0.010691	-0.007080	-0.973389	-0.171143	0.359319	0.559891	-0.606361	-0.435588
28042		-0.423558	9.159662	-3.564069	-0.010111	0.004892	-0.011857	-0.003418	-0.972900	-0.173096	0.359398	0.559899	-0.606273	-0.435636
28043		-0.428718	9.124675	-3.561684	-0.015163	0.008983	-0.009651	-0.008789	-0.970215	-0.171875	0.359528	0.559918	-0.606129	-0.435705
28044		-0.443994	9.139123	-3.553123	-0.013363	0.009817	-0.012468	-0.006348	-0.975098	-0.174561	0.359658	0.559920	-0.606023	-0.435743
28045		-0.420100	9.118810	-3.551781	-0.007286	0.009659	-0.013281	-0.000732	-0.976074	-0.167236	0.359761	0.559944	-0.605914	-0.435779
28046		-0.424685	9.125589	-3.538180	-0.004713	0.010473	-0.014951	-0.005127	-0.971680	-0.173584	0.359795	0.560078	-0.605794	-0.435746
28047		-0.449513	9.128396	-3.527704	-0.003529	0.011102	-0.014854	-0.004395	-0.972900	-0.172363	0.359878	0.560144	-0.605679	-0.435751
28048		-0.433961	9.138879	-3.511627	-0.004053	0.015075	-0.015753	-0.011719	-0.972656	-0.168213	0.359974	0.560237	-0.605550	-0.435731
28049		-0.452762	9.128535	-3.526929	-0.001375	0.015670	-0.018353	-0.006836	-0.972412	-0.169922	0.360061	0.560300	-0.605503	-0.435644
28050		-0.408170	9.153689	-3.511985	0.000477	0.016500	-0.016177	-0.002930	-0.983398	-0.174561	0.360140	0.560399	-0.605420	-0.435567
28051		-0.384478	9.132760	-3.512295	0.000537	0.013421	-0.016540	-0.006348	-0.974121	-0.159912	0.360209	0.560475	-0.605316	-0.435556
28052		-0.365192	9.148189	-3.531968	-0.001679	0.014800	-0.018231	-0.009766	-0.967529	-0.177979	0.360237	0.560634	-0.605268	-0.435396
28053		-0.379218	9.143614	-3.515752	0.000600	0.010343	-0.016902	-0.009766	-0.970215	-0.171875	0.360350	0.560623	-0.605186	-0.435430
