// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48699		8.023411	-5.555125	-1.049885	0.006330	-0.030344	-0.021538	-0.693604	0.248779	0.403076	0.018626	-0.623117	0.406350	-0.668026
48700		8.066731	-5.493320	-1.072321	0.005552	-0.027091	-0.023376	-0.685791	0.243164	0.409912	0.018616	-0.623346	0.406193	-0.667908
48701		8.079958	-5.468070	-1.071275	-0.003069	-0.017887	-0.021804	-0.687500	0.245850	0.403076	0.018539	-0.623529	0.406096	-0.667798
48702		8.021465	-5.514621	-1.054376	0.000012	-0.019279	-0.020652	-0.684570	0.250244	0.399414	0.018488	-0.623707	0.405985	-0.667701
48703		8.033348	-5.490068	-1.101568	0.006022	-0.023345	-0.020781	-0.683838	0.240234	0.408936	0.018481	-0.623907	0.405839	-0.667603
48704		8.083140	-5.484252	-1.100654	0.007025	-0.019473	-0.018956	-0.690186	0.233887	0.402832	0.018475	-0.624081	0.405697	-0.667527
48705		8.094043	-5.441140	-1.089888	0.002265	-0.014920	-0.014390	-0.691895	0.245117	0.408447	0.018452	-0.624217	0.405604	-0.667456
48706		8.033104	-5.493977	-1.036758	-0.003343	-0.013069	-0.013909	-0.685547	0.241211	0.401611	0.018391	-0.624345	0.405543	-0.667376
48707		8.049321	-5.507310	-1.052166	0.003897	-0.015569	-0.013165	-0.691650	0.241699	0.409424	0.018378	-0.624483	0.405443	-0.667307
48708		8.028602	-5.501840	-1.066753	0.004301	-0.017784	-0.012814	-0.690186	0.246826	0.409180	0.018376	-0.624633	0.405340	-0.667230
48709		8.034453	-5.513298	-1.064421	0.005420	-0.019770	-0.011937	-0.687256	0.242920	0.408691	0.018390	-0.624791	0.405235	-0.667146
48710		8.044802	-5.470968	-1.053722	0.017018	-0.024480	-0.011430	-0.687500	0.242676	0.402832	0.018483	-0.624971	0.405066	-0.667076
48711		8.052378	-5.453664	-1.113105	0.011697	-0.018995	-0.009644	-0.691650	0.241455	0.408936	0.018536	-0.625117	0.404935	-0.667018
48712		8.018343	-5.591012	-1.046379	0.004682	-0.018796	-0.011336	-0.694092	0.241211	0.404053	0.018538	-0.625273	0.404831	-0.666935
48713		8.019200	-5.613361	-1.021365	0.018242	-0.023011	-0.015257	-0.694336	0.240723	0.407227	0.018608	-0.625458	0.404634	-0.666879
48714		8.016418	-5.550487	-1.031924	0.022758	-0.023938	-0.013063	-0.687744	0.248291	0.410889	0.018724	-0.625634	0.404426	-0.666837
