// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48699		7.373305	2.247840	5.874374	0.038086	-0.055782	0.033816	-0.849609	-0.325439	0.021484	-0.189906	-0.442021	-0.036576	-0.875908
48700		7.368132	2.327027	5.938586	0.038764	-0.061560	0.013712	-0.845459	-0.331543	0.030029	-0.189682	-0.442536	-0.036711	-0.875691
48701		7.363995	2.204638	5.940028	0.037041	-0.058621	-0.012065	-0.846680	-0.328369	0.027588	-0.189659	-0.443027	-0.036939	-0.875438
48702		7.293488	2.170328	5.966337	0.015712	-0.071851	-0.016303	-0.843262	-0.324463	0.021973	-0.189742	-0.443570	-0.036999	-0.875143
48703		7.333084	2.039254	6.073755	0.020833	-0.080537	-0.005229	-0.843994	-0.337646	0.030762	-0.189728	-0.444184	-0.037041	-0.874833
48704		7.369782	2.046327	6.142465	0.052009	-0.062376	-0.009438	-0.851807	-0.340820	0.025391	-0.189621	-0.444706	-0.037348	-0.874578
48705		7.306361	2.108814	6.155302	0.053873	-0.047516	-0.026096	-0.850586	-0.328613	0.033691	-0.189621	-0.445106	-0.037744	-0.874357
48706		7.331696	2.076407	6.138542	0.017597	-0.050613	-0.037578	-0.843750	-0.332764	0.028564	-0.189839	-0.445452	-0.037907	-0.874126
48707		7.455856	1.912975	6.097437	-0.006825	-0.052723	-0.043408	-0.851807	-0.334717	0.040039	-0.190188	-0.445755	-0.037899	-0.873896
48708		7.537699	1.784333	6.066562	0.009099	-0.033098	-0.044600	-0.853760	-0.331055	0.034668	-0.190471	-0.445927	-0.038018	-0.873742
48709		7.503404	1.773691	5.942892	0.025220	-0.025914	-0.039884	-0.846680	-0.333740	0.035889	-0.190642	-0.446062	-0.038213	-0.873627
48710		7.449883	1.787545	5.959062	0.016313	-0.044151	-0.024777	-0.848145	-0.335205	0.029541	-0.190725	-0.446316	-0.038219	-0.873479
48711		7.562786	1.819821	6.057420	0.015721	-0.052908	-0.016696	-0.851562	-0.340332	0.033691	-0.190736	-0.446624	-0.038139	-0.873322
48712		7.586780	1.865084	6.148321	0.026473	-0.042420	-0.016751	-0.853271	-0.337158	0.031006	-0.190687	-0.446862	-0.038114	-0.873213
48713		7.538967	1.861033	6.132731	0.035941	-0.029353	-0.010837	-0.854492	-0.336670	0.036621	-0.190540	-0.447005	-0.038121	-0.873171
48714		7.502813	1.851017	6.102719	0.043241	-0.021528	0.000656	-0.844971	-0.330566	0.038574	-0.190264	-0.447088	-0.038121	-0.873189
48715		7.515331	1.899326	6.049332	0.041524	-0.020824	0.003060	-0.845947	-0.333496	0.037598	-0.189988	-0.447170	-0.038087	-0.873208
