// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
46517		7.783072	-2.181690	5.745858	0.074817	-0.110911	-0.060687	-0.753174	-0.041260	-0.520264	-0.557639	-0.265594	0.373463	-0.692116
46518		7.746423	-2.145656	5.792796	0.087032	-0.107231	-0.068093	-0.748291	-0.051025	-0.511963	-0.557504	-0.266828	0.373308	-0.691833
46519		7.720185	-2.065055	5.860390	0.078579	-0.100904	-0.079999	-0.753174	-0.047852	-0.515137	-0.557480	-0.268033	0.373140	-0.691477
46520		7.760192	-2.011854	5.910095	0.058724	-0.085528	-0.088572	-0.761230	-0.051514	-0.510498	-0.557594	-0.269074	0.372999	-0.691057
46521		7.686172	-1.929961	5.848795	0.036775	-0.065893	-0.107433	-0.751221	-0.050049	-0.512695	-0.557929	-0.269957	0.372845	-0.690526
46522		7.676233	-1.876173	5.721774	0.024683	-0.053029	-0.141818	-0.760742	-0.057129	-0.513428	-0.558532	-0.270816	0.372615	-0.689825
46523		7.744410	-1.770993	5.612926	0.013089	-0.040723	-0.177542	-0.757812	-0.061523	-0.502441	-0.559408	-0.271664	0.372304	-0.688949
46524		7.921347	-1.746227	5.505901	0.011332	-0.019329	-0.218095	-0.750000	-0.055664	-0.517090	-0.560591	-0.272517	0.371803	-0.687921
46525		7.851962	-1.685755	5.360060	0.004887	-0.004045	-0.250312	-0.756836	-0.071533	-0.510498	-0.562023	-0.273370	0.371189	-0.686744
46526		7.874623	-1.707434	5.206363	0.003905	-0.014338	-0.293566	-0.765869	-0.063965	-0.509277	-0.563673	-0.274434	0.370529	-0.685323
46527		7.933932	-1.802197	5.097527	-0.002837	-0.031273	-0.328700	-0.764160	-0.073975	-0.507812	-0.565481	-0.275699	0.369914	-0.683656
46528		7.982059	-1.935039	4.980031	-0.000552	-0.049970	-0.367846	-0.765137	-0.076660	-0.514893	-0.567436	-0.277228	0.369304	-0.681744
46529		8.045603	-2.056007	4.992142	-0.005415	-0.065065	-0.394315	-0.760986	-0.081055	-0.502197	-0.569482	-0.278927	0.368770	-0.679632
46530		8.183965	-2.251485	5.016042	-0.034067	-0.073692	-0.383763	-0.765625	-0.089600	-0.511230	-0.571476	-0.280518	0.368511	-0.677439
46531		8.046548	-2.401615	4.984079	-0.067995	-0.079511	-0.361284	-0.761475	-0.087646	-0.503906	-0.573361	-0.281923	0.368591	-0.675217
46532		8.080117	-2.496047	4.957523	-0.106724	-0.087253	-0.346902	-0.761963	-0.087891	-0.500488	-0.575191	-0.283114	0.369032	-0.672917
46533		8.258557	-2.352940	4.770714	-0.156553	-0.069496	-0.340110	-0.766357	-0.108154	-0.502441	-0.577105	-0.283924	0.369765	-0.670530
46534		8.213741	-2.125632	4.619012	-0.243241	-0.078209	-0.348797	-0.764893	-0.093018	-0.501709	-0.579153	-0.284419	0.371084	-0.667820
46535		8.447810	-2.212768	4.367241	-0.304552	-0.084961	-0.334985	-0.762451	-0.105713	-0.496094	-0.581243	-0.284609	0.372917	-0.664897
46536		8.210666	-2.259888	4.249663	-0.275971	-0.126322	-0.307212	-0.764404	-0.111816	-0.498535	-0.582914	-0.285111	0.374877	-0.662110
46537		8.281692	-2.226341	4.477140	-0.220752	-0.186482	-0.247230	-0.765869	-0.106201	-0.492676	-0.583830	-0.286067	0.377086	-0.659632
46538		8.101891	-1.963486	4.891687	-0.195143	-0.228391	-0.174088	-0.780273	-0.105713	-0.486816	-0.584153	-0.287137	0.379600	-0.657436
46539		8.084666	-1.947481	5.311982	-0.185019	-0.234142	-0.136528	-0.772949	-0.112061	-0.493896	-0.584050	-0.288282	0.382324	-0.655445
46540		8.092381	-1.756617	5.629085	-0.162746	-0.185967	-0.101106	-0.775391	-0.101807	-0.480713	-0.583884	-0.289057	0.384712	-0.653852
46541		7.956511	-1.458565	5.778381	-0.178775	-0.149382	-0.081320	-0.774414	-0.107422	-0.480713	-0.583973	-0.289396	0.386881	-0.652341
46542		8.211125	-1.500243	5.817976	-0.202948	-0.093401	-0.081422	-0.779297	-0.104492	-0.479248	-0.584299	-0.289292	0.388740	-0.650989
46543		8.064519	-1.471574	5.667659	-0.223567	-0.031243	-0.089234	-0.770508	-0.114746	-0.476318	-0.584889	-0.288802	0.390412	-0.649675
46544		8.109499	-1.778996	5.480975	-0.244063	-0.017473	-0.084928	-0.775635	-0.107422	-0.479492	-0.585681	-0.288044	0.391673	-0.648537
46545		8.122927	-1.903407	5.294974	-0.227548	-0.006330	-0.055840	-0.776367	-0.102295	-0.474365	-0.586265	-0.287215	0.393112	-0.647506
46546		8.146456	-1.921865	5.151790	-0.189630	-0.029107	-0.024663	-0.783691	-0.104004	-0.472900	-0.586589	-0.286547	0.394472	-0.646681
46547		8.272930	-1.915475	5.221305	-0.128787	-0.056524	0.014524	-0.780273	-0.101807	-0.471680	-0.586257	-0.286301	0.395820	-0.646267
46548		8.297610	-1.936823	5.246965	-0.068212	-0.083489	0.057341	-0.780029	-0.106445	-0.469482	-0.585585	-0.286273	0.396985	-0.646175
46549		8.306644	-2.043767	5.290948	0.006246	-0.087088	0.078694	-0.787598	-0.095459	-0.472168	-0.584561	-0.286587	0.397719	-0.646511
46550		8.208951	-2.134708	5.343517	0.051198	-0.097958	0.103214	-0.769775	-0.099121	-0.468262	-0.583250	-0.287030	0.398598	-0.646957
46551		8.229167	-2.217488	5.348501	0.064321	-0.097051	0.141947	-0.789795	-0.097900	-0.474609	-0.582081	-0.287233	0.399073	-0.647626
46552		8.175927	-2.095272	5.311419	0.048521	-0.088969	0.166968	-0.772949	-0.097168	-0.464600	-0.580406	-0.287358	0.400067	-0.648460
46553		8.188899	-1.986604	5.221413	0.014443	-0.071004	0.170031	-0.780273	-0.095703	-0.463135	-0.579225	-0.287091	0.400770	-0.649200
46554		8.134044	-1.828874	5.110878	-0.038598	-0.055435	0.167259	-0.783447	-0.091064	-0.469482	-0.578082	-0.286551	0.401781	-0.649832
46555		8.156068	-1.799785	5.051440	-0.081260	-0.053881	0.162946	-0.778809	-0.098145	-0.461426	-0.577064	-0.285775	0.403106	-0.650258
46556		8.219491	-1.633903	5.094361	-0.094360	-0.068598	0.184555	-0.779297	-0.082275	-0.468506	-0.575925	-0.285045	0.404418	-0.650773
46557		8.237693	-1.327309	5.034194	-0.051763	-0.088622	0.187294	-0.777344	-0.089844	-0.460693	-0.574724	-0.284495	0.405735	-0.651256
46558		8.404345	-1.111486	5.066586	0.009313	-0.110314	0.163616	-0.775146	-0.084717	-0.461182	-0.573408	-0.284583	0.406598	-0.651839
46559		8.346239	-0.982095	5.083758	0.070591	-0.129020	0.138312	-0.775879	-0.088379	-0.458740	-0.572103	-0.285154	0.407142	-0.652396
