// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
46517		7.087997	-1.399376	6.670638	0.068571	-0.062087	-0.016577	-0.253174	0.346191	-0.755371	0.884165	-0.178198	-0.359049	-0.239962
46518		7.070283	-1.369314	6.613873	0.068439	-0.063168	-0.014614	-0.247070	0.340576	-0.745605	0.884048	-0.177776	-0.359673	-0.239771
46519		7.039361	-1.345176	6.586510	0.066403	-0.063212	-0.013857	-0.253662	0.340576	-0.750977	0.883931	-0.177371	-0.360288	-0.239579
46520		6.948764	-1.356399	6.511111	0.064464	-0.070547	-0.011650	-0.257324	0.338379	-0.747559	0.883791	-0.177002	-0.360954	-0.239367
46521		6.965618	-1.399041	6.512965	0.070647	-0.076462	-0.012224	-0.247314	0.342285	-0.751953	0.883640	-0.176597	-0.361676	-0.239132
46522		6.956689	-1.379614	6.484419	0.073003	-0.088169	-0.014512	-0.257568	0.335693	-0.749512	0.883452	-0.176193	-0.362492	-0.238888
46523		6.954547	-1.374479	6.504637	0.081246	-0.104002	-0.023260	-0.256348	0.329346	-0.744873	0.883210	-0.175735	-0.363453	-0.238660
46524		6.939324	-1.346946	6.463334	0.089722	-0.108477	-0.032869	-0.250000	0.340088	-0.757568	0.882948	-0.175196	-0.364475	-0.238468
46525		6.853879	-1.303083	6.428885	0.095899	-0.123964	-0.047086	-0.260498	0.328369	-0.752686	0.882619	-0.174600	-0.365641	-0.238339
46526		6.866265	-1.300253	6.411798	0.098923	-0.144963	-0.061073	-0.268311	0.338623	-0.749023	0.882202	-0.173982	-0.366983	-0.238272
46527		6.866538	-1.306027	6.442288	0.098547	-0.162261	-0.075206	-0.268555	0.330078	-0.750977	0.881704	-0.173357	-0.368465	-0.238283
46528		6.943300	-1.310840	6.466740	0.095656	-0.171904	-0.084205	-0.270996	0.331543	-0.755371	0.881156	-0.172746	-0.370014	-0.238353
