// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
46517		9.869837	1.477439	0.181092	0.077740	-0.074932	-0.100815	-0.867676	-0.475342	-0.083496	0.586444	0.479595	-0.510451	0.406832
46518		9.800942	1.603218	0.201813	0.079902	-0.065274	-0.105882	-0.858887	-0.484131	-0.078125	0.586205	0.480657	-0.510076	0.406393
46519		9.742303	1.725189	0.180911	0.061748	-0.065541	-0.103344	-0.866211	-0.485352	-0.078613	0.585986	0.481684	-0.509783	0.405861
46520		9.717880	1.683483	0.154291	0.036617	-0.055974	-0.096275	-0.865967	-0.486816	-0.073242	0.585902	0.482493	-0.509553	0.405308
46521		9.698534	1.694539	0.156056	0.011589	-0.053707	-0.090015	-0.857666	-0.482178	-0.076416	0.585875	0.483187	-0.509432	0.404673
46522		9.661195	1.645690	0.129961	-0.021356	-0.046911	-0.091588	-0.864502	-0.491211	-0.076660	0.586062	0.483654	-0.509362	0.403932
46523		9.612860	1.535738	0.047676	-0.043353	-0.043444	-0.102308	-0.860352	-0.494629	-0.071289	0.586384	0.484055	-0.509305	0.403054
46524		9.607205	1.453347	0.020034	-0.057954	-0.040541	-0.118793	-0.851074	-0.485352	-0.082764	0.586790	0.484494	-0.509232	0.402027
46525		9.571440	1.479258	-0.069443	-0.074131	-0.046637	-0.147495	-0.857666	-0.498779	-0.078369	0.587428	0.484873	-0.509096	0.400809
46526		9.596901	1.426239	-0.136622	-0.102833	-0.048680	-0.177903	-0.863281	-0.489746	-0.075684	0.588218	0.485305	-0.508967	0.399289
46527		9.634703	1.417820	-0.189136	-0.128978	-0.056745	-0.208998	-0.857910	-0.496338	-0.074463	0.589165	0.485770	-0.508851	0.397471
46528		9.624631	1.457343	-0.257582	-0.148833	-0.066468	-0.234008	-0.857422	-0.495850	-0.084229	0.590202	0.486293	-0.508765	0.395397
46529		9.556886	1.424251	-0.366097	-0.160781	-0.084190	-0.250373	-0.851562	-0.499268	-0.073975	0.591312	0.486801	-0.508736	0.393145
46530		9.545681	1.524118	-0.396858	-0.167022	-0.096435	-0.255833	-0.852783	-0.506592	-0.083496	0.592316	0.487426	-0.508810	0.390756
46531		9.587265	1.683392	-0.495745	-0.177655	-0.113855	-0.260194	-0.843994	-0.501221	-0.075195	0.593342	0.488016	-0.508981	0.388233
46532		9.712443	1.840221	-0.529991	-0.223031	-0.128853	-0.249327	-0.844238	-0.505371	-0.079102	0.594366	0.488421	-0.509475	0.385499
46533		9.636941	1.960723	-0.700992	-0.310041	-0.163106	-0.259429	-0.846680	-0.521973	-0.080078	0.595638	0.488539	-0.510376	0.382179
46534		9.449550	2.086260	-0.750172	-0.346624	-0.207385	-0.230987	-0.838867	-0.507568	-0.082764	0.596763	0.488573	-0.511700	0.378594
46535		9.292203	2.134531	-0.716444	-0.349409	-0.232126	-0.194575	-0.836914	-0.519775	-0.079102	0.597662	0.488419	-0.513380	0.375084
46536		9.334424	2.181052	-0.550306	-0.328588	-0.250357	-0.160621	-0.837891	-0.524658	-0.079346	0.598266	0.488387	-0.515174	0.371687
46537		9.360192	2.233456	-0.481434	-0.306624	-0.256059	-0.136423	-0.835205	-0.520264	-0.075439	0.598668	0.488402	-0.517015	0.368449
46538		9.382100	2.113041	-0.336542	-0.227506	-0.257080	-0.127025	-0.845459	-0.517334	-0.070557	0.598703	0.488756	-0.518681	0.365573
46539		9.436580	2.307492	-0.330786	-0.137775	-0.247618	-0.112962	-0.835938	-0.523193	-0.080811	0.598294	0.489481	-0.520167	0.363152
46540		9.416073	2.659519	-0.313078	-0.115030	-0.223781	-0.084962	-0.836426	-0.516357	-0.070801	0.597950	0.490039	-0.521460	0.361106
46541		9.447404	2.878565	-0.336860	-0.149063	-0.198867	-0.043349	-0.835938	-0.523193	-0.067871	0.597709	0.490179	-0.522946	0.359160
46542		9.491735	2.710124	-0.361200	-0.184862	-0.173451	0.002154	-0.842773	-0.516602	-0.069336	0.597613	0.489957	-0.524497	0.357357
46543		9.532419	2.510097	-0.293812	-0.184195	-0.156138	0.032888	-0.829834	-0.522705	-0.066650	0.597485	0.489512	-0.526164	0.355725
46544		9.550320	2.457008	-0.201516	-0.177709	-0.138876	0.058897	-0.835449	-0.518311	-0.069092	0.597449	0.488941	-0.527640	0.354384
46545		9.628306	2.258964	-0.170543	-0.167714	-0.133741	0.082232	-0.843018	-0.513672	-0.063477	0.597311	0.488267	-0.529207	0.353207
46546		9.719060	2.090935	-0.197644	-0.120802	-0.117216	0.083558	-0.844482	-0.515137	-0.063477	0.596994	0.487804	-0.530627	0.352250
46547		9.805479	1.955820	-0.195882	-0.050985	-0.098408	0.076365	-0.844482	-0.513184	-0.061035	0.596510	0.487674	-0.531674	0.351671
46548		9.837181	2.021883	-0.205136	0.028748	-0.084687	0.059552	-0.842773	-0.516602	-0.062500	0.595822	0.487942	-0.532353	0.351440
46549		9.828752	1.987458	-0.281321	0.095969	-0.070782	0.048165	-0.851318	-0.505371	-0.059082	0.594996	0.488543	-0.532631	0.351582
46550		9.826499	2.011686	-0.267186	0.151907	-0.059721	0.050341	-0.835449	-0.507080	-0.058105	0.593915	0.489304	-0.532882	0.351972
46551		9.750712	2.091066	-0.341482	0.181678	-0.049450	0.064695	-0.853760	-0.506592	-0.062500	0.592845	0.489991	-0.532925	0.352752
46552		9.692142	2.251349	-0.444054	0.180610	-0.054597	0.088551	-0.839111	-0.507324	-0.055420	0.591587	0.490675	-0.533134	0.353597
46553		9.572281	2.239772	-0.511273	0.140323	-0.055068	0.124731	-0.844238	-0.507324	-0.050293	0.590484	0.490941	-0.533525	0.354481
46554		9.537802	2.166319	-0.545795	0.105026	-0.056493	0.152114	-0.852539	-0.504150	-0.055176	0.589400	0.490993	-0.534139	0.355287
46555		9.485363	2.228673	-0.540628	0.070640	-0.060034	0.174346	-0.851562	-0.510742	-0.047852	0.588360	0.490771	-0.534973	0.356063
46556		9.613159	2.324570	-0.443498	0.027704	-0.059920	0.179832	-0.851562	-0.496094	-0.052490	0.587501	0.490438	-0.535848	0.356624
46557		9.660524	2.084456	-0.351232	0.023466	-0.041028	0.169586	-0.852539	-0.504883	-0.048584	0.586780	0.489889	-0.536715	0.357261
46558		9.745901	1.918517	-0.192036	0.080020	-0.026795	0.126263	-0.850830	-0.501465	-0.047607	0.586054	0.489904	-0.537027	0.357961
46559		9.755720	2.119791	-0.114803	0.145915	-0.022970	0.067462	-0.852051	-0.505615	-0.049561	0.585266	0.490443	-0.536891	0.358716
46560		9.719035	2.227885	-0.088746	0.173704	-0.013116	0.013815	-0.853516	-0.493896	-0.040771	0.584613	0.491356	-0.536310	0.359401
46561		9.666042	2.322614	-0.212416	0.157046	-0.000702	-0.029785	-0.852783	-0.496338	-0.041260	0.584137	0.492267	-0.535711	0.359819
46562		9.639212	2.321778	-0.341107	0.133417	0.003119	-0.057125	-0.852051	-0.495850	-0.046631	0.583888	0.493183	-0.534997	0.360031
46563		9.614077	2.291370	-0.496382	0.121503	0.009262	-0.087538	-0.851318	-0.498779	-0.045410	0.583842	0.494108	-0.534122	0.360137
46564		9.553379	2.320725	-0.584343	0.106878	0.009547	-0.103398	-0.851318	-0.496582	-0.042725	0.583913	0.495056	-0.533204	0.360081
46565		9.550739	2.203659	-0.640320	0.086832	0.015282	-0.107315	-0.853760	-0.509277	-0.040527	0.584068	0.495893	-0.532354	0.359935
46566		9.561922	2.270748	-0.670108	0.079151	0.014765	-0.109300	-0.855957	-0.503174	-0.043701	0.584303	0.496830	-0.531422	0.359640
46567		9.497716	2.231969	-0.649248	0.064413	0.014628	-0.099286	-0.848633	-0.500977	-0.043457	0.584530	0.497576	-0.530624	0.359419
46568		9.478886	2.084174	-0.615853	0.063116	0.011220	-0.091326	-0.845703	-0.504639	-0.045898	0.584711	0.498234	-0.529924	0.359245
46569		9.528421	2.010055	-0.603969	0.071815	0.002929	-0.095603	-0.842529	-0.504639	-0.045410	0.584865	0.498974	-0.529182	0.359059
46570		9.529560	2.057502	-0.621380	0.082982	0.005384	-0.108062	-0.838867	-0.504883	-0.046875	0.585010	0.499794	-0.528366	0.358885
46571		9.522602	1.885117	-0.585875	0.078252	0.003837	-0.111085	-0.853516	-0.507324	-0.036865	0.585182	0.500577	-0.527563	0.358694
46572		9.547712	1.814249	-0.624209	0.103504	-0.002736	-0.118693	-0.842285	-0.518555	-0.037354	0.585141	0.501642	-0.526740	0.358484
46573		9.610336	1.861032	-0.617717	0.109564	-0.006270	-0.110776	-0.841553	-0.507568	-0.034180	0.585129	0.502737	-0.525890	0.358216
46574		9.566237	1.981542	-0.664398	0.080554	-0.013043	-0.088375	-0.838379	-0.516602	-0.034912	0.585014	0.503525	-0.525384	0.358041
46575		9.597213	2.045359	-0.620822	0.042079	-0.018452	-0.059484	-0.839355	-0.519287	-0.034424	0.585025	0.504055	-0.525072	0.357734
46576		9.578210	2.091961	-0.629845	0.003954	-0.021287	-0.025334	-0.845215	-0.504883	-0.039062	0.585090	0.504272	-0.525018	0.357402
46577		9.634460	1.993968	-0.603300	-0.012998	-0.023061	-0.000754	-0.842285	-0.516602	-0.033691	0.585048	0.504170	-0.525193	0.357357
46578		9.615564	1.999699	-0.610823	0.001797	-0.026487	0.021882	-0.840332	-0.513672	-0.036865	0.584917	0.504166	-0.525398	0.357274
46579		9.649881	2.068569	-0.522830	0.012417	-0.016068	0.043573	-0.849365	-0.515381	-0.045898	0.584737	0.504033	-0.525611	0.357444
46580		9.659289	2.235427	-0.563260	0.020796	-0.018231	0.060297	-0.844971	-0.500244	-0.026123	0.584552	0.503823	-0.525782	0.357792
46581		9.591208	2.262555	-0.536549	0.025702	-0.016634	0.069259	-0.841309	-0.506592	-0.036621	0.584016	0.503655	-0.526219	0.358259
46582		9.535621	2.229011	-0.519702	0.041583	-0.015787	0.067859	-0.838379	-0.506104	-0.025879	0.583622	0.503510	-0.526476	0.358728
46583		9.524410	2.302129	-0.575327	0.065853	-0.012179	0.062370	-0.851074	-0.509033	-0.031738	0.583055	0.503604	-0.526675	0.359225
46584		9.516553	2.252030	-0.608752	0.055126	-0.009207	0.056037	-0.843994	-0.509766	-0.030029	0.582646	0.503633	-0.526787	0.359685
46585		9.537730	2.360736	-0.763782	0.027433	-0.011515	0.043253	-0.842529	-0.498535	-0.039551	0.582401	0.503609	-0.526940	0.359891
46586		9.497441	2.260827	-0.857724	-0.012407	-0.014600	0.034838	-0.839844	-0.510742	-0.031494	0.582378	0.503247	-0.527225	0.360017
46587		9.494604	2.169171	-0.900005	-0.044206	-0.019357	0.029811	-0.848145	-0.503662	-0.034912	0.582495	0.502959	-0.527558	0.359741
46588		9.468045	2.165873	-0.936077	-0.065712	-0.025290	0.023678	-0.845703	-0.504150	-0.032715	0.582652	0.502528	-0.527993	0.359451
46589		9.472722	2.195903	-0.953648	-0.091912	-0.033562	0.015933	-0.849854	-0.508057	-0.033691	0.582886	0.502067	-0.528525	0.358935
46590		9.432616	2.156451	-1.005964	-0.098896	-0.045008	0.008542	-0.850098	-0.505859	-0.036133	0.583150	0.501662	-0.529075	0.358261
46591		9.448883	2.095327	-1.049374	-0.093938	-0.058398	0.006167	-0.846680	-0.507324	-0.032715	0.583350	0.501289	-0.529679	0.357565
46592		9.460958	2.066610	-0.948396	-0.074869	-0.065268	0.001326	-0.849609	-0.499756	-0.031494	0.583426	0.501107	-0.530250	0.356848
46593		9.658171	2.381530	-0.505856	-0.128780	-0.084020	-0.006228	-0.848877	-0.515625	-0.031738	0.583574	0.500715	-0.531095	0.355899
46594		9.565275	1.958691	-1.239645	-0.116702	-0.079317	-0.020091	-0.848877	-0.507080	-0.039795	0.583883	0.500531	-0.531713	0.354726
46595		9.504549	1.754367	-0.772908	-0.059734	-0.057271	-0.043005	-0.844482	-0.488770	-0.025391	0.584151	0.500489	-0.532003	0.353910
46596		9.616026	2.726093	-1.037710	-0.135900	-0.071418	-0.041185	-0.849121	-0.502686	-0.035400	0.584305	0.500175	-0.532763	0.352954
46597		9.503438	2.290363	-0.286319	-0.116604	-0.063445	-0.045976	-0.842285	-0.503418	-0.035889	0.584687	0.499904	-0.533294	0.351903
46598		9.516469	1.804992	-0.778944	-0.054397	-0.078358	-0.046606	-0.846191	-0.496094	-0.039551	0.584782	0.499976	-0.533704	0.351020
46599		9.603455	2.566042	-0.695105	-0.045709	-0.043370	-0.055786	-0.841553	-0.508301	-0.030029	0.585005	0.499902	-0.533931	0.350405
46600		9.548738	2.486218	-0.408067	-0.073189	-0.044464	-0.040628	-0.837891	-0.506836	-0.023682	0.585261	0.499868	-0.534233	0.349568
46601		9.597909	2.490762	-0.313862	-0.114156	-0.042622	-0.013333	-0.840088	-0.511475	-0.031738	0.585512	0.499600	-0.534762	0.348719
46602		9.718312	2.192058	-0.120952	-0.181736	-0.016865	0.036347	-0.846191	-0.501953	-0.036133	0.586177	0.498607	-0.535526	0.347850
46603		9.826792	1.609398	-0.097832	-0.172705	0.000033	0.045751	-0.847168	-0.497803	-0.031006	0.586813	0.497442	-0.536274	0.347293
46604		9.943677	1.402078	-0.054307	-0.055490	0.022267	0.014301	-0.846924	-0.500977	-0.033936	0.587012	0.497008	-0.536462	0.347288
46605		9.984527	1.460919	0.045825	0.080035	0.053211	-0.019903	-0.855469	-0.497559	-0.028809	0.586955	0.497280	-0.535936	0.347807
46606		10.039409	1.884767	0.170642	0.122101	0.077301	-0.036618	-0.856934	-0.506348	-0.036621	0.586728	0.497814	-0.535121	0.348680
46607		10.077909	1.908070	0.189509	0.077301	0.113679	-0.027345	-0.849365	-0.503662	-0.037354	0.587021	0.497898	-0.534236	0.349422
46608		10.058484	1.692600	0.332104	0.061033	0.153373	-0.018649	-0.850586	-0.503418	-0.033936	0.587537	0.497729	-0.533249	0.350302
46609		10.102563	1.663671	0.471278	0.101028	0.188549	-0.021295	-0.845947	-0.501465	-0.034424	0.587953	0.497748	-0.531945	0.351557
46610		10.098947	1.813353	0.511672	0.156534	0.216999	-0.025793	-0.844482	-0.506104	-0.040039	0.588258	0.497978	-0.530317	0.353176
46611		10.096361	1.897280	0.528621	0.184144	0.255640	-0.023684	-0.849854	-0.500000	-0.042725	0.588719	0.498175	-0.528390	0.355014
46612		9.997493	1.972961	0.563120	0.201691	0.289767	-0.017019	-0.842041	-0.503418	-0.052490	0.589183	0.498247	-0.526316	0.357218
46613		9.949094	2.141318	0.531798	0.188650	0.312272	-0.012626	-0.847656	-0.508545	-0.052734	0.589974	0.498056	-0.524163	0.359339
46614		9.870506	2.338604	0.601132	0.130783	0.334226	0.003655	-0.839111	-0.508057	-0.053467	0.591009	0.497522	-0.522092	0.361387
46615		9.850359	2.400941	0.587771	0.050334	0.351472	0.029854	-0.847900	-0.503418	-0.054932	0.592344	0.496491	-0.520253	0.363266
46616		9.968347	2.303140	0.660952	-0.018364	0.377892	0.051187	-0.844727	-0.509277	-0.064697	0.593886	0.494966	-0.518588	0.365204
46617		10.057760	2.184523	0.931785	-0.048443	0.405825	0.054690	-0.841797	-0.503906	-0.066406	0.595805	0.493149	-0.516851	0.366996
46618		10.064952	2.495671	1.203464	-0.089166	0.443585	0.051180	-0.848633	-0.502441	-0.075439	0.597949	0.491088	-0.515024	0.368837
46619		10.136312	2.590268	1.464996	-0.143043	0.488532	0.057698	-0.848389	-0.493652	-0.089355	0.600490	0.488527	-0.513165	0.370694
46620		10.347966	2.424657	1.527685	-0.188191	0.543371	0.057080	-0.842041	-0.500244	-0.101318	0.603498	0.485399	-0.511208	0.372618
46621		10.359003	2.386488	1.504499	-0.202308	0.593445	0.044616	-0.847656	-0.500732	-0.116211	0.606938	0.482090	-0.508927	0.374444
46622		10.336684	2.655199	1.606365	-0.260717	0.621686	0.045635	-0.840820	-0.492432	-0.118408	0.610789	0.478285	-0.506681	0.376105
46623		10.358154	2.837153	1.687347	-0.373760	0.642770	0.068993	-0.836914	-0.492920	-0.132324	0.614871	0.473886	-0.504723	0.377651
