// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
46517		9.616183	-0.032514	-2.163166	-0.001063	-0.003544	-0.013613	-0.695557	0.347168	0.263428	0.368379	-0.632254	-0.458229	-0.504558
46518		9.586334	-0.010113	-2.163546	0.009262	-0.009665	-0.015173	-0.689941	0.340088	0.271240	0.368327	-0.632208	-0.458377	-0.504518
46519		9.588879	0.014692	-2.083315	0.024042	-0.015617	-0.016880	-0.695557	0.340088	0.263916	0.368311	-0.632141	-0.458619	-0.504394
46520		9.607263	0.042674	-2.041902	0.030805	-0.018688	-0.015677	-0.696777	0.338867	0.267334	0.368336	-0.632065	-0.458888	-0.504227
46521		9.636912	0.087216	-2.005534	0.032064	-0.014969	-0.016851	-0.687744	0.343506	0.264648	0.368377	-0.631962	-0.459157	-0.504081
46522		9.631867	0.167188	-2.014140	0.018793	-0.015731	-0.011837	-0.696533	0.339844	0.263428	0.368366	-0.631917	-0.459346	-0.503972
46523		9.600901	0.198976	-2.027323	-0.002428	-0.024371	-0.010428	-0.693115	0.336182	0.270508	0.368215	-0.631973	-0.459467	-0.503903
46524		9.599322	0.137500	-2.071491	-0.016962	-0.031460	-0.007571	-0.683838	0.346436	0.258789	0.367967	-0.632106	-0.459537	-0.503853
46525		9.590325	0.129518	-2.126011	-0.020420	-0.035754	-0.006110	-0.691406	0.334473	0.264160	0.367688	-0.632266	-0.459600	-0.503798
46526		9.556672	0.199710	-2.105483	-0.021226	-0.040064	-0.006027	-0.697998	0.345703	0.266846	0.367384	-0.632442	-0.459677	-0.503729
46527		9.560450	0.186150	-2.066123	-0.023861	-0.041836	-0.006109	-0.695801	0.341064	0.268066	0.367050	-0.632625	-0.459754	-0.503672
46528		9.613098	0.171185	-2.051511	-0.037330	-0.037620	-0.007669	-0.696533	0.342041	0.264160	0.366650	-0.632815	-0.459775	-0.503706
46529		9.625651	0.142444	-2.088132	-0.075162	-0.035101	-0.003579	-0.689453	0.339600	0.273926	0.366073	-0.633115	-0.459610	-0.503900
46530		9.566875	0.075327	-2.158232	-0.103104	-0.041581	-0.005172	-0.693604	0.334229	0.265381	0.365315	-0.633512	-0.459356	-0.504182
46531		9.559645	-0.050753	-2.270536	-0.108170	-0.054425	-0.005824	-0.688477	0.344482	0.271240	0.364477	-0.633972	-0.459126	-0.504420
46532		9.570479	-0.140161	-2.350982	-0.080548	-0.059028	-0.011536	-0.684570	0.345703	0.275146	0.363744	-0.634354	-0.459055	-0.504534
46533		9.585541	-0.144695	-2.309327	-0.036126	-0.058870	-0.016957	-0.689209	0.329590	0.274170	0.363230	-0.634598	-0.459191	-0.504474
46534		9.596410	-0.063638	-2.204462	-0.002088	-0.055998	-0.026004	-0.686279	0.344971	0.270508	0.362875	-0.634706	-0.459498	-0.504313
46535		9.596698	-0.016694	-2.151943	0.000511	-0.054110	-0.028196	-0.682373	0.335693	0.275391	0.362549	-0.634789	-0.459823	-0.504147
46536		9.606605	-0.005260	-2.155311	-0.017240	-0.056648	-0.028963	-0.684326	0.331299	0.274902	0.362118	-0.634940	-0.460069	-0.504041
46537		9.594601	-0.061689	-2.264810	-0.025177	-0.061863	-0.031471	-0.685791	0.336426	0.278320	0.361622	-0.635123	-0.460306	-0.503952
46538		9.548145	-0.067322	-2.282316	-0.000827	-0.059280	-0.035334	-0.692383	0.339600	0.283203	0.361255	-0.635208	-0.460654	-0.503790
46539		9.603857	-0.081527	-2.314879	0.025209	-0.054463	-0.041082	-0.687500	0.336914	0.270508	0.361027	-0.635169	-0.461126	-0.503571
46540		9.606959	-0.081524	-2.287850	0.032171	-0.046927	-0.041329	-0.687012	0.344482	0.278076	0.360885	-0.635090	-0.461599	-0.503338
46541		9.578026	-0.086731	-2.262183	0.038798	-0.043453	-0.040734	-0.686279	0.336914	0.277588	0.360805	-0.634987	-0.462081	-0.503084
46542		9.532286	-0.075838	-2.218554	0.052933	-0.038575	-0.041360	-0.688965	0.340820	0.277100	0.360814	-0.634828	-0.462598	-0.502802
46543		9.594702	0.004112	-2.258527	0.063085	-0.033639	-0.041032	-0.681885	0.332031	0.281006	0.360921	-0.634613	-0.463133	-0.502503
46544		9.567160	0.042459	-2.248111	0.061381	-0.026989	-0.031805	-0.683594	0.337158	0.275391	0.361050	-0.634432	-0.463590	-0.502218
46545		9.590027	0.058209	-2.241183	0.053360	-0.020590	-0.025885	-0.691162	0.342285	0.281494	0.361210	-0.634259	-0.463961	-0.501980
46546		9.515285	0.050712	-2.308327	0.024525	-0.018897	-0.019237	-0.695801	0.334717	0.279541	0.361276	-0.634177	-0.464170	-0.501841
46547		9.521334	0.064830	-2.340853	-0.012331	-0.016119	-0.011074	-0.690186	0.340820	0.281738	0.361179	-0.634216	-0.464172	-0.501861
46548		9.546220	-0.030797	-2.399240	-0.044042	-0.023963	-0.004279	-0.690918	0.333984	0.281006	0.360913	-0.634426	-0.464041	-0.501908
