// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
46517		5.902382	-0.202421	7.885784	0.014418	-0.138112	0.057625	-0.669922	-0.065186	-0.623535	-0.227684	-0.303396	0.086030	-0.921255
46518		5.888082	-0.130685	7.946450	0.025826	-0.148590	0.053840	-0.665039	-0.072754	-0.612305	-0.227098	-0.304547	0.086250	-0.920999
46519		5.876078	-0.000269	7.958467	0.022188	-0.151583	0.039222	-0.672852	-0.067383	-0.617676	-0.226637	-0.305729	0.086457	-0.920701
46520		5.906801	0.087475	8.013391	0.012426	-0.138288	0.013108	-0.678467	-0.071045	-0.608398	-0.226406	-0.306803	0.086653	-0.920382
46521		5.826800	0.088453	7.846256	0.004362	-0.134203	-0.018425	-0.668457	-0.065674	-0.610596	-0.226443	-0.307852	0.086815	-0.920008
46522		5.878111	0.042007	7.710884	0.000258	-0.145078	-0.053491	-0.680176	-0.071289	-0.607422	-0.226754	-0.309001	0.086929	-0.919535
46523		5.959700	-0.001170	7.574819	-0.005406	-0.158454	-0.088542	-0.679443	-0.073730	-0.604004	-0.227341	-0.310268	0.087011	-0.918955
46524		6.101090	-0.134991	7.507425	-0.000569	-0.173409	-0.133473	-0.672363	-0.064453	-0.612061	-0.228252	-0.311699	0.086961	-0.918250
46525		6.111838	-0.181916	7.406018	0.002522	-0.186435	-0.168257	-0.682617	-0.080566	-0.607178	-0.229409	-0.313273	0.086824	-0.917438
46526		6.097115	-0.298272	7.324187	-0.008583	-0.220256	-0.190568	-0.689453	-0.069580	-0.600098	-0.230739	-0.315117	0.086785	-0.916476
46527		6.145700	-0.461718	7.333209	-0.021331	-0.255435	-0.207641	-0.687256	-0.078613	-0.597412	-0.232199	-0.317233	0.086882	-0.915368
46528		6.068612	-0.635439	7.324411	-0.032715	-0.291541	-0.222232	-0.693115	-0.077637	-0.603271	-0.233762	-0.319623	0.087129	-0.914115
46529		6.126333	-0.728098	7.454388	-0.041374	-0.321464	-0.239174	-0.692627	-0.079834	-0.585693	-0.235435	-0.322235	0.087502	-0.912731
46530		6.247305	-0.848700	7.714749	-0.072438	-0.304733	-0.230445	-0.695557	-0.084229	-0.593750	-0.237115	-0.324639	0.088155	-0.911381
46531		6.013677	-0.930528	7.747248	-0.106549	-0.280114	-0.219868	-0.695557	-0.078613	-0.582520	-0.238797	-0.326757	0.089118	-0.910090
46532		5.968933	-1.017581	7.800798	-0.146752	-0.259629	-0.219035	-0.697998	-0.078369	-0.582031	-0.240574	-0.328584	0.090405	-0.908836
46533		6.109045	-1.099188	7.669757	-0.180972	-0.225128	-0.242235	-0.701660	-0.093506	-0.579102	-0.242615	-0.330035	0.091897	-0.907618
46534		6.192700	-1.009630	7.529045	-0.261358	-0.203149	-0.269432	-0.703125	-0.077148	-0.579834	-0.245054	-0.331122	0.093957	-0.906355
46535		6.429050	-1.437503	7.246701	-0.315276	-0.174993	-0.277507	-0.699707	-0.088379	-0.575439	-0.247697	-0.331864	0.096439	-0.905103
46536		6.397309	-1.513690	7.038794	-0.309769	-0.187184	-0.221482	-0.701904	-0.090332	-0.575439	-0.249878	-0.332655	0.099130	-0.903922
46537		6.507274	-1.352447	7.215888	-0.288896	-0.200187	-0.123925	-0.704834	-0.083252	-0.567627	-0.251201	-0.333494	0.102109	-0.902914
46538		6.455450	-0.791850	7.351037	-0.289958	-0.182766	-0.037272	-0.716553	-0.079346	-0.563232	-0.251831	-0.334157	0.105303	-0.902126
46539		6.300961	-0.500737	7.510878	-0.271333	-0.168121	-0.003084	-0.710938	-0.078369	-0.571045	-0.251964	-0.334717	0.108485	-0.901504
46540		6.416311	-0.152313	7.615394	-0.235345	-0.120870	-0.000357	-0.711426	-0.070312	-0.562500	-0.252191	-0.334929	0.111411	-0.901005
46541		6.359548	0.202226	7.596084	-0.226532	-0.078441	-0.017047	-0.712402	-0.071777	-0.561523	-0.252592	-0.334922	0.113840	-0.900592
46542		6.488160	0.139943	7.624780	-0.216445	-0.037326	-0.061286	-0.717285	-0.064209	-0.561768	-0.253360	-0.334663	0.115870	-0.900213
46543		6.446338	0.106315	7.598570	-0.210247	0.000464	-0.108202	-0.707275	-0.076172	-0.563232	-0.254395	-0.334186	0.117648	-0.899867
46544		6.410913	-0.284325	7.568939	-0.217906	0.023575	-0.125503	-0.709229	-0.070312	-0.562500	-0.255969	-0.333530	0.119150	-0.899467
46545		6.433465	-0.497691	7.487484	-0.194894	0.038632	-0.109289	-0.714600	-0.066650	-0.559326	-0.257292	-0.332803	0.120472	-0.899183
46546		6.477788	-0.611227	7.407087	-0.172905	0.036705	-0.056196	-0.716797	-0.070557	-0.558838	-0.257945	-0.332112	0.121749	-0.899079
46547		6.623862	-0.631429	7.475214	-0.130181	0.026013	0.007398	-0.713623	-0.064209	-0.558594	-0.257909	-0.331527	0.122905	-0.899148
46548		6.588184	-0.618343	7.445517	-0.091004	0.013088	0.075142	-0.714355	-0.068604	-0.558350	-0.257343	-0.331081	0.123936	-0.899333
46549		6.489157	-0.665704	7.540132	-0.027554	-0.002345	0.114957	-0.722168	-0.060547	-0.560547	-0.256268	-0.330858	0.124623	-0.899627
46550		6.374133	-0.636380	7.728897	0.006382	-0.004566	0.156760	-0.702393	-0.060303	-0.557861	-0.254544	-0.330632	0.125356	-0.900098
46551		6.316854	-0.653456	7.843200	0.019969	0.016454	0.185798	-0.719727	-0.057617	-0.564941	-0.253298	-0.330296	0.125638	-0.900533
46552		6.287656	-0.566196	7.798040	0.012575	0.045239	0.194474	-0.704102	-0.055908	-0.557373	-0.251478	-0.329576	0.126355	-0.901206
46553		6.241269	-0.537119	7.669301	-0.008269	0.074105	0.171404	-0.711182	-0.054932	-0.555908	-0.250398	-0.328726	0.126672	-0.901773
46554		6.324790	-0.514454	7.544792	-0.045251	0.097979	0.143385	-0.713135	-0.053467	-0.565186	-0.249364	-0.327650	0.127188	-0.902378
46555		6.412221	-0.573988	7.459044	-0.081592	0.112268	0.127612	-0.708984	-0.061523	-0.559082	-0.248568	-0.326304	0.128096	-0.902957
46556		6.590680	-0.498041	7.277902	-0.099771	0.123278	0.149090	-0.705078	-0.047852	-0.566162	-0.247762	-0.324958	0.128932	-0.903544
46557		6.735390	-0.375887	6.962039	-0.076495	0.099974	0.175743	-0.703857	-0.056396	-0.564697	-0.246765	-0.323740	0.129838	-0.904125
46558		6.938620	-0.304253	6.875729	-0.035436	0.046909	0.189728	-0.700439	-0.050049	-0.567871	-0.245554	-0.323114	0.130471	-0.904587
46559		7.000775	-0.204393	6.788858	0.007055	-0.005128	0.202838	-0.701172	-0.054199	-0.565186	-0.244163	-0.322971	0.130956	-0.904945
46560		7.096488	0.007123	6.757579	0.032840	-0.066686	0.225708	-0.700684	-0.040527	-0.557129	-0.242466	-0.323433	0.131350	-0.905179
46561		7.060635	0.074036	6.803989	0.058241	-0.108539	0.220480	-0.703613	-0.038574	-0.557373	-0.240587	-0.324397	0.131573	-0.905303
46562		7.031712	0.157219	6.904697	0.058533	-0.152318	0.169283	-0.707764	-0.037842	-0.562744	-0.239026	-0.325772	0.131766	-0.905194
46563		7.017854	-0.052372	7.057837	0.020241	-0.162477	0.123751	-0.707520	-0.037842	-0.561523	-0.237913	-0.327162	0.132198	-0.904923
46564		6.860205	-0.507357	7.070310	0.013321	-0.157941	0.073767	-0.709717	-0.031982	-0.557617	-0.237250	-0.328577	0.132496	-0.904541
46565		6.786485	-0.721281	7.200767	0.038272	-0.145388	0.036519	-0.716553	-0.041504	-0.554199	-0.236772	-0.330003	0.132522	-0.904143
