// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
41360		8.231858	-2.538191	4.681579	-0.005665	-0.014160	0.006820	-0.425781	0.488770	-0.149414	0.580160	-0.461978	-0.218559	-0.634211
41361		8.257111	-2.563313	4.667168	-0.007632	-0.018150	0.008753	-0.425781	0.483643	-0.152100	0.580144	-0.462126	-0.218573	-0.634112
41362		8.251061	-2.572406	4.646290	-0.007443	-0.017047	0.010778	-0.427979	0.488281	-0.147461	0.580141	-0.462267	-0.218578	-0.634011
41363		8.264283	-2.585465	4.620088	-0.005495	-0.012348	0.004055	-0.423340	0.491455	-0.139648	0.580118	-0.462367	-0.218593	-0.633953
41364		8.251248	-2.588377	4.648010	-0.006128	-0.009773	0.004771	-0.430176	0.494141	-0.146484	0.580102	-0.462459	-0.218589	-0.633902
41365		8.252943	-2.576052	4.640925	-0.006045	-0.005262	0.003919	-0.428955	0.489502	-0.143799	0.580089	-0.462527	-0.218567	-0.633872
41366		8.241318	-2.564970	4.627941	-0.004221	-0.006389	0.003762	-0.409668	0.476318	-0.144287	0.580081	-0.462594	-0.218560	-0.633833
41367		8.250948	-2.604532	4.650481	-0.002682	-0.005925	0.003502	-0.428467	0.489746	-0.138184	0.580077	-0.462652	-0.218561	-0.633794
41368		8.235743	-2.560808	4.637909	-0.005163	-0.006129	0.004304	-0.421875	0.491943	-0.146973	0.580068	-0.462728	-0.218544	-0.633753
41369		8.245645	-2.599979	4.624876	-0.003541	-0.001154	0.003190	-0.414795	0.488037	-0.143311	0.580069	-0.462769	-0.218516	-0.633732
41370		8.240673	-2.581526	4.630802	-0.002944	-0.000429	0.003469	-0.425781	0.488770	-0.139648	0.580074	-0.462808	-0.218486	-0.633709
41371		8.229479	-2.557304	4.648752	-0.002944	-0.000429	0.003469	-0.425049	0.485352	-0.143799	0.580079	-0.462850	-0.218454	-0.633684
41372		8.253765	-2.581763	4.636286	-0.004912	-0.004420	0.005403	-0.429443	0.480713	-0.143311	0.580080	-0.462928	-0.218425	-0.633637
41373		8.252521	-2.596134	4.641420	-0.002717	-0.002626	0.004497	-0.424805	0.481445	-0.149902	0.580087	-0.462986	-0.218401	-0.633596
41374		8.260435	-2.588695	4.587494	-0.000522	-0.000832	0.003591	-0.427734	0.483643	-0.138916	0.580101	-0.463026	-0.218382	-0.633561
41375		8.240376	-2.585133	4.629317	-0.000033	0.003300	0.000995	-0.424561	0.482910	-0.134521	0.580109	-0.463045	-0.218358	-0.633548
41376		8.232564	-2.592977	4.647508	-0.000975	0.003561	0.001536	-0.431152	0.486816	-0.147705	0.580116	-0.463071	-0.218324	-0.633534
41377		8.271020	-2.601976	4.636423	-0.000916	0.004167	0.000612	-0.428711	0.484863	-0.149902	0.580120	-0.463094	-0.218288	-0.633525
41378		8.231903	-2.593356	4.648467	-0.001513	0.003442	0.000333	-0.424072	0.485840	-0.146484	0.580120	-0.463125	-0.218253	-0.633515
41379		8.239980	-2.572573	4.661404	0.000607	0.005343	-0.004443	-0.422607	0.493164	-0.147705	0.580109	-0.463126	-0.218235	-0.633531
41380		8.231548	-2.592608	4.649513	-0.002784	0.002100	-0.004095	-0.421631	0.486816	-0.137451	0.580082	-0.463164	-0.218206	-0.633538
