// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43929		9.389769	2.842217	-1.104993	0.047174	0.004393	-0.011919	-0.623779	-0.573242	-0.141113	0.625152	0.449752	-0.594682	0.230784
43930		9.349653	2.868794	-1.134885	0.042307	0.001568	-0.014325	-0.632568	-0.577881	-0.148682	0.625029	0.450040	-0.594539	0.230925
43931		9.366219	2.941619	-1.150761	0.043038	-0.007362	-0.014097	-0.623779	-0.575684	-0.145264	0.624863	0.450341	-0.594441	0.231038
43932		9.346715	2.907455	-1.144045	0.024411	-0.004375	-0.015175	-0.622803	-0.582764	-0.145264	0.624779	0.450553	-0.594360	0.231062
43933		9.365599	2.883461	-1.111968	0.012721	-0.001298	-0.008263	-0.623047	-0.581543	-0.148682	0.624740	0.450665	-0.594310	0.231075
43934		9.387344	2.874566	-1.151619	0.003373	0.005096	-0.004906	-0.619141	-0.581543	-0.145020	0.624763	0.450700	-0.594258	0.231081
43935		9.377442	2.857993	-1.189722	-0.001826	0.010460	-0.001068	-0.621094	-0.577637	-0.148438	0.624822	0.450680	-0.594202	0.231101
43936		9.375097	2.869012	-1.197252	-0.010516	0.011224	0.000345	-0.629639	-0.580322	-0.139160	0.624913	0.450609	-0.594167	0.231087
43937		9.404052	2.861638	-1.167023	-0.010336	0.000920	-0.000115	-0.620361	-0.576904	-0.144775	0.624949	0.450563	-0.594186	0.231030
43938		9.375310	2.842765	-1.112247	-0.002855	0.008682	0.000282	-0.628418	-0.579102	-0.151855	0.624993	0.450541	-0.594153	0.231040
43939		9.394350	2.818260	-1.121660	0.002324	0.005166	-0.001145	-0.632812	-0.573486	-0.136230	0.625002	0.450560	-0.594123	0.231055
43940		9.357528	2.832453	-1.139418	-0.007702	0.006237	0.004881	-0.628418	-0.570557	-0.149170	0.625041	0.450493	-0.594132	0.231058
43941		9.387256	2.823347	-1.065259	-0.008996	0.007116	0.005238	-0.626953	-0.584717	-0.147461	0.625086	0.450417	-0.594141	0.231059
43942		9.381974	2.818710	-1.044096	-0.011212	0.007751	0.005424	-0.619629	-0.570801	-0.155762	0.625145	0.450324	-0.594151	0.231056
43943		9.360440	2.854185	-1.085216	-0.011144	0.008712	0.008165	-0.624756	-0.579102	-0.151611	0.625207	0.450211	-0.594163	0.231074
43944		9.339902	2.854596	-1.166127	-0.014587	0.006921	0.010886	-0.630615	-0.585449	-0.154785	0.625269	0.450072	-0.594201	0.231082
43945		9.313390	2.884756	-1.143840	-0.017066	0.005949	0.009519	-0.633789	-0.573486	-0.141357	0.625333	0.449933	-0.594246	0.231064
43946		9.329687	2.844352	-1.123474	-0.019720	0.006749	0.007490	-0.630859	-0.566650	-0.149414	0.625410	0.449794	-0.594288	0.231019
43947		9.350221	2.843727	-1.126809	-0.015287	0.005480	0.007117	-0.628662	-0.573730	-0.147461	0.625467	0.449680	-0.594327	0.230988
43948		9.346858	2.829372	-1.140304	-0.012656	0.004296	0.002145	-0.623779	-0.572510	-0.150146	0.625515	0.449612	-0.594346	0.230938
43949		9.387161	2.829626	-1.149536	-0.009059	0.001894	0.001932	-0.627930	-0.581299	-0.145996	0.625539	0.449568	-0.594371	0.230894
43950		9.450571	2.818213	-1.110381	-0.011821	0.005427	0.001985	-0.629150	-0.583984	-0.151367	0.625581	0.449514	-0.594385	0.230849
43951		9.450520	2.878760	-1.107288	-0.018620	0.007263	-0.000528	-0.622314	-0.577637	-0.152588	0.625663	0.449432	-0.594392	0.230769
43952		9.390279	2.879022	-1.089944	-0.022173	0.005977	-0.005139	-0.626465	-0.574463	-0.152344	0.625772	0.449346	-0.594392	0.230642
43953		9.355713	2.823909	-1.099116	-0.022591	0.000034	-0.010333	-0.627930	-0.572021	-0.165283	0.625861	0.449291	-0.594410	0.230462
43954		9.389494	2.823102	-1.088341	-0.027741	0.003756	-0.020165	-0.626953	-0.575928	-0.152100	0.626021	0.449231	-0.594380	0.230223
43955		9.369118	2.765617	-1.038963	-0.037649	-0.000122	-0.025647	-0.625000	-0.580566	-0.146729	0.626192	0.449175	-0.594370	0.229892
43956		9.390699	2.699374	-1.035073	-0.022579	-0.004395	-0.029167	-0.626953	-0.575684	-0.152100	0.626286	0.449235	-0.594335	0.229606
43957		9.408195	2.679844	-1.045976	0.008823	-0.003443	-0.033007	-0.625488	-0.576416	-0.154053	0.626283	0.449444	-0.594231	0.229477
43958		9.358404	2.718064	-1.109026	0.018517	-0.000578	-0.033342	-0.630615	-0.573730	-0.149414	0.626262	0.449684	-0.594093	0.229417
43959		9.348876	2.815917	-1.136828	0.013346	-0.001327	-0.032485	-0.625488	-0.582520	-0.155518	0.626233	0.449888	-0.593996	0.229349
43960		9.332405	2.858282	-1.067895	0.013479	0.002637	-0.035847	-0.625977	-0.572266	-0.145264	0.626247	0.450113	-0.593843	0.229267
43961		9.330639	2.864053	-1.067866	0.019269	0.007772	-0.042116	-0.626221	-0.575439	-0.158691	0.626256	0.450390	-0.593646	0.229210
43962		9.319989	2.878253	-1.101464	0.005904	0.003917	-0.042468	-0.612793	-0.579834	-0.142090	0.626336	0.450571	-0.593484	0.229054
43963		9.334381	2.871381	-1.121628	-0.004027	-0.004829	-0.044261	-0.628418	-0.581299	-0.152588	0.626385	0.450825	-0.593336	0.228803
