// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
38386		9.544733	-0.114884	-2.391815	0.007498	-0.003891	-0.010861	-0.840088	-0.191895	-0.163574	0.595997	0.186234	-0.766048	0.152560
38387		9.526143	-0.125905	-2.448594	0.002688	-0.004593	-0.011617	-0.839600	-0.191406	-0.161621	0.595978	0.186328	-0.766050	0.152513
38388		9.513975	-0.128228	-2.402325	0.005168	-0.003531	-0.010882	-0.839111	-0.185547	-0.165283	0.595959	0.186427	-0.766045	0.152486
38389		9.526268	-0.127872	-2.395284	0.007681	-0.004436	-0.012068	-0.835938	-0.188232	-0.169434	0.595934	0.186548	-0.766039	0.152469
38390		9.536587	-0.114154	-2.383285	0.008840	-0.006902	-0.009340	-0.834717	-0.178223	-0.160400	0.595887	0.186660	-0.766048	0.152468
38391		9.524608	-0.086128	-2.417045	0.006840	-0.005660	-0.009860	-0.828125	-0.185303	-0.159912	0.595853	0.186764	-0.766052	0.152455
38392		9.524782	-0.090181	-2.363505	-0.002893	-0.007306	-0.004787	-0.838135	-0.184326	-0.160889	0.595816	0.186790	-0.766086	0.152401
38393		9.545303	-0.119217	-2.402803	-0.002595	-0.004456	-0.003364	-0.843994	-0.187012	-0.160645	0.595796	0.186804	-0.766106	0.152360
38394		9.522097	-0.129596	-2.424365	-0.004826	-0.008423	-0.004539	-0.834473	-0.188477	-0.169434	0.595755	0.186820	-0.766147	0.152293
38395		9.538046	-0.156986	-2.428420	-0.006280	-0.007233	-0.004079	-0.834229	-0.178711	-0.164551	0.595722	0.186824	-0.766186	0.152222
38396		9.535202	-0.168050	-2.399219	0.001007	-0.007042	-0.007199	-0.836426	-0.185059	-0.170166	0.595680	0.186882	-0.766212	0.152185
38397		9.524448	-0.179437	-2.413078	0.009536	-0.005530	-0.007649	-0.839844	-0.189209	-0.168701	0.595634	0.186979	-0.766219	0.152206
38398		9.535385	-0.140536	-2.426314	0.011173	-0.007265	-0.009316	-0.835693	-0.184082	-0.165527	0.595574	0.187094	-0.766233	0.152232
38399		9.527656	-0.145016	-2.415933	0.013983	-0.005319	-0.009081	-0.838135	-0.185791	-0.166260	0.595520	0.187217	-0.766235	0.152282
38400		9.523601	-0.116973	-2.406421	0.013836	-0.006746	-0.009789	-0.837158	-0.186768	-0.167969	0.595456	0.187344	-0.766245	0.152328
38401		9.533372	-0.098665	-2.449227	0.012269	-0.007373	-0.007351	-0.838135	-0.185303	-0.163330	0.595387	0.187448	-0.766263	0.152375
38402		9.523189	-0.175260	-2.418347	0.012886	-0.009786	-0.005601	-0.843262	-0.194580	-0.158691	0.595296	0.187548	-0.766299	0.152430
38403		9.554433	-0.137682	-2.381105	0.024041	-0.007365	-0.009213	-0.843018	-0.184570	-0.164795	0.595202	0.187722	-0.766306	0.152548
38404		9.548300	-0.036562	-2.356743	0.014245	-0.002086	-0.010341	-0.839600	-0.187012	-0.159180	0.595164	0.187839	-0.766294	0.152608
38405		9.531051	-0.087235	-2.393085	-0.003975	-0.001068	-0.007564	-0.837158	-0.190430	-0.161621	0.595164	0.187857	-0.766299	0.152562
38406		9.504652	-0.189307	-2.422200	-0.001314	-0.000547	-0.008040	-0.844482	-0.182373	-0.168213	0.595168	0.187895	-0.766294	0.152528
38407		9.507762	-0.150326	-2.477865	0.005646	-0.001240	-0.010658	-0.839111	-0.189941	-0.161865	0.595159	0.187962	-0.766283	0.152532
38408		9.519330	-0.116259	-2.435880	0.010347	-0.002349	-0.007926	-0.829102	-0.193359	-0.162354	0.595120	0.188053	-0.766282	0.152579
38409		9.535312	-0.084204	-2.429564	0.008052	-0.002378	-0.005261	-0.842773	-0.187988	-0.162354	0.595087	0.188132	-0.766280	0.152616
38410		9.547723	-0.084750	-2.422081	0.009038	0.000267	-0.006759	-0.840576	-0.188477	-0.163330	0.595062	0.188198	-0.766275	0.152664
38411		9.547714	-0.084364	-2.422127	0.005904	-0.000979	-0.001889	-0.830566	-0.192627	-0.158203	0.595031	0.188224	-0.766283	0.152709
38412		9.546004	-0.130146	-2.426484	0.007653	-0.000902	-0.005531	-0.847656	-0.183350	-0.159424	0.595004	0.188314	-0.766276	0.152739
38413		9.533578	-0.128298	-2.434081	0.002588	0.001296	-0.005848	-0.843506	-0.183105	-0.166260	0.594983	0.188326	-0.766286	0.152756
38414		9.526206	-0.132934	-2.422336	-0.004773	0.003466	-0.003503	-0.835938	-0.195557	-0.165039	0.595003	0.188278	-0.766287	0.152732
