// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
38386		4.972639	2.126799	8.141794	-0.004037	-0.005775	0.003302	-0.130859	-0.148682	-0.565186	0.956964	0.121037	-0.262405	0.026724
38387		4.970138	2.159332	8.128289	-0.000600	-0.006900	0.006008	-0.128418	-0.146729	-0.563232	0.956948	0.121020	-0.262467	0.026764
38388		4.968958	2.138285	8.125572	-0.001087	-0.006814	0.005137	-0.128418	-0.141846	-0.566406	0.956934	0.121000	-0.262524	0.026795
38389		4.981750	2.112322	8.155478	-0.000088	-0.007508	0.003485	-0.125732	-0.144775	-0.572510	0.956917	0.120994	-0.262587	0.026815
38390		4.960435	2.136657	8.142097	-0.002576	-0.007331	0.004961	-0.126709	-0.135498	-0.560547	0.956902	0.120964	-0.262652	0.026841
38391		4.989042	2.124453	8.121488	-0.002576	-0.007331	0.004961	-0.121338	-0.141602	-0.564453	0.956888	0.120935	-0.262715	0.026868
38392		4.974953	2.133028	8.148670	-0.001802	-0.004355	0.004047	-0.129883	-0.141357	-0.564697	0.956879	0.120913	-0.262755	0.026892
38393		4.990817	2.123239	8.120715	-0.001316	-0.005737	0.003962	-0.136719	-0.143311	-0.562988	0.956867	0.120896	-0.262805	0.026914
38394		4.983260	2.142472	8.140151	-0.001572	-0.005434	0.005224	-0.127686	-0.145264	-0.569580	0.956855	0.120874	-0.262855	0.026947
38395		4.959426	2.146139	8.124783	-0.003061	-0.005950	0.005048	-0.125000	-0.138672	-0.566162	0.956843	0.120842	-0.262909	0.026974
38396		4.974612	2.112920	8.119794	-0.001058	-0.004746	0.003657	-0.129639	-0.143311	-0.572754	0.956832	0.120831	-0.262951	0.026995
38397		4.981545	2.150511	8.149027	-0.001543	-0.003363	0.003743	-0.134521	-0.145996	-0.570312	0.956825	0.120815	-0.262982	0.027017
38398		4.984072	2.119593	8.136680	-0.002777	-0.004182	0.002306	-0.128418	-0.139893	-0.568359	0.956818	0.120794	-0.263017	0.027023
38399		4.974619	2.141795	8.131124	-0.001288	-0.003667	0.002481	-0.130615	-0.140869	-0.566895	0.956810	0.120785	-0.263049	0.027035
38400		4.979438	2.131370	8.120972	-0.001798	-0.003061	0.005006	-0.128418	-0.142822	-0.569580	0.956803	0.120768	-0.263078	0.027066
38401		4.965097	2.139906	8.148349	-0.003778	-0.004785	0.003002	-0.128906	-0.141113	-0.561523	0.956795	0.120741	-0.263119	0.027074
38402		4.976460	2.140028	8.130463	-0.001518	-0.002588	0.001306	-0.134521	-0.147949	-0.561279	0.956791	0.120737	-0.263138	0.027075
38403		4.947337	2.130542	8.148149	-0.002547	-0.005263	0.003482	-0.137207	-0.141846	-0.565674	0.956780	0.120724	-0.263182	0.027088
38404		4.961494	2.151176	8.132154	-0.000834	-0.008418	0.002920	-0.129395	-0.139648	-0.560303	0.956762	0.120726	-0.263246	0.027096
38405		4.972715	2.128035	8.136863	-0.001574	-0.006733	0.004268	-0.129150	-0.146240	-0.565186	0.956749	0.120719	-0.263294	0.027115
38406		4.980273	2.138218	8.128605	0.001405	-0.005702	0.004619	-0.136230	-0.137939	-0.567871	0.956735	0.120740	-0.263330	0.027143
38407		4.981128	2.137898	8.128165	-0.001057	-0.004748	0.003659	-0.128662	-0.147705	-0.563477	0.956726	0.120738	-0.263363	0.027159
38408		4.990813	2.168250	8.122299	-0.003544	-0.004571	0.005137	-0.120361	-0.147705	-0.563477	0.956720	0.120724	-0.263390	0.027181
38409		4.963768	2.127948	8.127879	-0.005267	-0.005302	0.002829	-0.134766	-0.145264	-0.563721	0.956716	0.120704	-0.263414	0.027180
38410		4.957798	2.143950	8.172642	-0.003056	-0.004659	0.006009	-0.131348	-0.142334	-0.569336	0.956706	0.120694	-0.263450	0.027208
38411		4.973892	2.133764	8.144595	-0.002599	-0.008115	0.007404	-0.121338	-0.148926	-0.562256	0.956692	0.120683	-0.263503	0.027245
38412		4.952478	2.157605	8.131488	-0.005029	-0.003792	0.005921	-0.136475	-0.138672	-0.561523	0.956693	0.120662	-0.263507	0.027270
38413		4.948762	2.115547	8.126803	-0.004319	-0.007551	0.006054	-0.135254	-0.139404	-0.567383	0.956679	0.120633	-0.263567	0.027290
38414		4.964830	2.132602	8.135973	-0.004831	-0.008242	0.007622	-0.128906	-0.151367	-0.567627	0.956667	0.120598	-0.263624	0.027323
38415		4.964542	2.134366	8.110287	-0.003087	-0.008030	0.006534	-0.125977	-0.142334	-0.564453	0.956656	0.120606	-0.263659	0.027349
38416		4.956693	2.129889	8.152599	-0.002340	-0.007126	0.007101	-0.124268	-0.133545	-0.555908	0.956648	0.120595	-0.263687	0.027387
38417		4.962070	2.119087	8.142175	-0.003317	-0.006950	0.005359	-0.133545	-0.143799	-0.565430	0.956644	0.120551	-0.263721	0.027409
