// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		8.954183	-1.799653	3.605944	-0.027421	0.020593	0.009356	-0.298340	0.458008	-0.113037	0.609812	-0.454105	-0.332010	-0.558289
35466		8.989604	-1.755844	3.603112	-0.020122	0.026045	0.017367	-0.291504	0.451660	-0.102783	0.609888	-0.454134	-0.331719	-0.558355
35467		8.875513	-1.711781	3.603768	-0.017955	0.026605	0.009148	-0.289551	0.453125	-0.110107	0.609932	-0.454137	-0.331462	-0.558458
35468		8.951424	-1.703583	3.594909	-0.021522	0.015590	0.003868	-0.291260	0.449951	-0.108154	0.609911	-0.454183	-0.331269	-0.558558
35469		8.978755	-1.729682	3.579196	-0.019784	0.017960	0.001423	-0.295166	0.450195	-0.107910	0.609891	-0.454202	-0.331082	-0.558675
35470		8.948744	-1.726930	3.578107	-0.016242	0.020783	0.002712	-0.295410	0.457764	-0.104736	0.609897	-0.454193	-0.330896	-0.558787
35471		8.964017	-1.750731	3.540558	-0.014625	0.017042	0.006358	-0.282715	0.447510	-0.104492	0.609913	-0.454203	-0.330725	-0.558862
35472		8.919472	-1.756569	3.526807	-0.010043	0.014889	0.009272	-0.286865	0.451904	-0.107666	0.609952	-0.454208	-0.330579	-0.558902
35473		8.904304	-1.755876	3.526328	-0.000957	0.004297	0.004955	-0.283936	0.461182	-0.103271	0.609972	-0.454206	-0.330550	-0.558898
35474		8.961694	-1.754893	3.544375	0.003625	0.002141	0.007873	-0.288574	0.455811	-0.114014	0.610015	-0.454201	-0.330547	-0.558858
35475		8.982763	-1.750250	3.620590	0.009265	0.001884	0.007866	-0.289795	0.454102	-0.111816	0.610074	-0.454169	-0.330577	-0.558801
35476		8.955614	-1.767301	3.576168	0.006815	0.004769	0.012982	-0.290039	0.451172	-0.103516	0.610154	-0.454149	-0.330565	-0.558738
35477		8.885588	-1.758094	3.547633	0.008246	0.002465	0.011599	-0.288086	0.454834	-0.113525	0.610223	-0.454128	-0.330581	-0.558670
35478		8.908517	-1.793922	3.560807	0.014571	-0.004284	0.008507	-0.287354	0.454346	-0.108154	0.610281	-0.454099	-0.330676	-0.558574
35479		8.980170	-1.814937	3.559092	0.026882	-0.002810	0.013681	-0.286377	0.454590	-0.109131	0.610412	-0.454018	-0.330802	-0.558422
35480		8.992066	-1.797906	3.602877	0.028201	-0.003018	0.022355	-0.280762	0.449463	-0.116455	0.610585	-0.453958	-0.330906	-0.558219
35481		8.933958	-1.791389	3.596303	0.025274	-0.002119	0.023891	-0.295410	0.452881	-0.114014	0.610757	-0.453914	-0.330988	-0.558018
35482		8.922472	-1.760656	3.605138	0.018654	-0.012720	0.021309	-0.284668	0.451660	-0.114014	0.610857	-0.453946	-0.331106	-0.557812
35483		8.982586	-1.771671	3.590125	0.021856	-0.014468	0.031758	-0.288086	0.455811	-0.119385	0.611018	-0.453995	-0.331207	-0.557537
35484		8.908555	-1.733888	3.632545	0.025134	-0.008207	0.029947	-0.288574	0.453125	-0.110352	0.611194	-0.453992	-0.331306	-0.557288
35485		8.914448	-1.685199	3.643438	0.026250	-0.009555	0.024664	-0.297119	0.455566	-0.109131	0.611346	-0.453970	-0.331432	-0.557064
35486		8.914146	-1.697347	3.632189	0.025004	-0.010014	0.022550	-0.291992	0.453857	-0.111816	0.611471	-0.453942	-0.331572	-0.556865
