// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		9.713409	1.131527	-0.905577	-0.019683	0.008272	0.014848	-0.790771	0.408447	0.700195	0.171962	-0.686596	-0.271365	-0.652208
35466		9.704468	1.157360	-0.857572	-0.003025	0.009917	0.011307	-0.786865	0.406494	0.707031	0.172043	-0.686565	-0.271270	-0.652259
35467		9.683453	1.196588	-0.926776	-0.000746	0.005028	0.008344	-0.781982	0.409180	0.702637	0.172096	-0.686558	-0.271211	-0.652277
35468		9.687125	1.187719	-0.906766	-0.001968	0.006685	0.009793	-0.781738	0.403076	0.704102	0.172152	-0.686547	-0.271136	-0.652306
35469		9.658267	1.213966	-0.923526	-0.010385	0.004928	0.008868	-0.789551	0.403320	0.704834	0.172150	-0.686555	-0.271024	-0.652344
35470		9.684975	1.172077	-0.920637	-0.010019	0.004401	0.007900	-0.788818	0.408447	0.704834	0.172141	-0.686565	-0.270922	-0.652378
35471		9.665038	1.122565	-0.890101	-0.003174	0.004367	0.004832	-0.776611	0.403076	0.707031	0.172153	-0.686559	-0.270877	-0.652400
35472		9.663631	1.163100	-0.896226	0.009470	-0.001477	-0.000586	-0.782715	0.407471	0.702881	0.172196	-0.686555	-0.270939	-0.652367
35473		9.670559	1.172747	-0.905006	0.013832	0.005184	-0.004983	-0.778809	0.417236	0.709229	0.172253	-0.686499	-0.271041	-0.652368
35474		9.671408	1.176961	-0.948807	0.017835	-0.001670	-0.003593	-0.784668	0.410889	0.698975	0.172324	-0.686479	-0.271169	-0.652318
35475		9.702378	1.183177	-0.918515	0.017193	0.002688	-0.004439	-0.788818	0.412109	0.697021	0.172393	-0.686437	-0.271295	-0.652291
35476		9.679938	1.196649	-0.898502	0.021160	-0.000786	-0.007276	-0.783691	0.406738	0.706055	0.172459	-0.686404	-0.271466	-0.652238
35477		9.648741	1.191488	-0.929788	0.024157	-0.002754	-0.005765	-0.785156	0.410156	0.694092	0.172543	-0.686380	-0.271651	-0.652164
35478		9.687342	1.186739	-0.905735	0.032094	-0.000393	-0.005336	-0.782715	0.412598	0.701416	0.172677	-0.686333	-0.271877	-0.652083
35479		9.683817	1.194469	-0.925698	0.039037	-0.002157	-0.005578	-0.781738	0.410889	0.697021	0.172843	-0.686288	-0.272145	-0.651975
35480		9.703617	1.219184	-0.909683	0.041596	-0.001870	-0.005949	-0.775146	0.408447	0.690186	0.173019	-0.686237	-0.272434	-0.651862
35481		9.724336	1.247246	-0.937623	0.047941	-0.002652	-0.002815	-0.792969	0.412842	0.692627	0.173246	-0.686184	-0.272745	-0.651727
35482		9.698427	1.242506	-0.890940	0.039913	-0.004326	0.005935	-0.779785	0.409424	0.690186	0.173452	-0.686173	-0.272972	-0.651588
35483		9.667368	1.235400	-0.923136	0.042293	-0.005925	0.000185	-0.784180	0.416260	0.684814	0.173644	-0.686151	-0.273251	-0.651443
35484		9.667159	1.210487	-0.878086	0.042883	-0.008249	0.003501	-0.782959	0.416992	0.690186	0.173849	-0.686141	-0.273525	-0.651284
35485		9.648940	1.194469	-0.837637	0.047139	-0.006546	0.003239	-0.790771	0.418457	0.692871	0.174076	-0.686119	-0.273818	-0.651124
35486		9.669718	1.221584	-0.866230	0.045421	-0.004598	-0.001129	-0.787354	0.413818	0.686768	0.174254	-0.686074	-0.274125	-0.650994
35487		9.679972	1.223282	-0.857636	0.035634	-0.004625	-0.002034	-0.786621	0.415771	0.679443	0.174382	-0.686031	-0.274392	-0.650893
35488		9.697900	1.213997	-0.854680	0.032921	-0.006487	-0.001729	-0.783936	0.412109	0.686035	0.174508	-0.685986	-0.274654	-0.650796
35489		9.685452	1.178593	-0.878969	0.028837	-0.006934	-0.006743	-0.781250	0.418213	0.678711	0.174570	-0.685951	-0.274909	-0.650709
35490		9.690507	1.205889	-0.849198	0.022819	-0.008340	-0.009450	-0.783691	0.416748	0.679443	0.174619	-0.685909	-0.275158	-0.650634
35491		9.709022	1.177634	-0.842854	0.016895	-0.006133	-0.009629	-0.784180	0.407959	0.682861	0.174622	-0.685861	-0.275371	-0.650594
35492		9.705322	1.186331	-0.863098	0.013890	-0.004173	-0.011143	-0.783936	0.409668	0.676270	0.174573	-0.685816	-0.275554	-0.650577
35493		9.665439	1.189596	-0.844916	0.011012	-0.002282	-0.011204	-0.778564	0.419189	0.680908	0.174540	-0.685746	-0.275734	-0.650583
35494		9.700513	1.193613	-0.839801	0.013936	-0.002527	-0.012543	-0.779785	0.404297	0.675293	0.174555	-0.685679	-0.275927	-0.650568
35495		9.719142	1.189476	-0.879853	0.015055	-0.003798	-0.010126	-0.785156	0.416992	0.674561	0.174538	-0.685625	-0.276103	-0.650556
35496		9.690459	1.173882	-0.848100	0.016141	-0.001384	-0.006634	-0.774902	0.410645	0.671631	0.174592	-0.685530	-0.276287	-0.650563
35497		9.711781	1.158495	-0.825186	0.016838	-0.004093	-0.007171	-0.779785	0.417725	0.668701	0.174651	-0.685481	-0.276458	-0.650526
35498		9.730529	1.153481	-0.865080	0.018996	0.000410	-0.005506	-0.788086	0.415771	0.679932	0.174762	-0.685377	-0.276641	-0.650528
35499		9.695060	1.127937	-0.823867	0.021314	0.001160	-0.003464	-0.787598	0.414307	0.677979	0.174837	-0.685279	-0.276794	-0.650546
