// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		7.075561	-1.762420	6.609812	-0.006654	0.025119	-0.014052	-0.066162	0.352539	-0.543701	0.873576	-0.209531	-0.346931	-0.269447
35466		7.057045	-1.774344	6.608301	-0.003580	0.035438	-0.010166	-0.059326	0.348145	-0.535645	0.873649	-0.209448	-0.346683	-0.269593
35467		6.968438	-1.690314	6.535875	0.001500	0.027664	-0.012307	-0.057373	0.348389	-0.541016	0.873707	-0.209340	-0.346500	-0.269724
35468		7.037167	-1.707337	6.580071	-0.004480	0.016181	-0.010263	-0.057129	0.344238	-0.540771	0.873723	-0.209306	-0.346390	-0.269841
35469		7.053999	-1.767580	6.596210	-0.002666	0.016428	-0.013659	-0.062988	0.343506	-0.540039	0.873735	-0.209248	-0.346288	-0.269977
35470		7.065588	-1.774084	6.577757	0.000043	0.015981	-0.012236	-0.063721	0.349609	-0.536377	0.873753	-0.209175	-0.346194	-0.270094
35471		7.071075	-1.785537	6.546898	-0.000918	0.018070	-0.007872	-0.050537	0.342041	-0.537598	0.873785	-0.209119	-0.346075	-0.270186
35472		7.000797	-1.784674	6.547081	0.003335	0.014095	-0.002976	-0.056396	0.343994	-0.538818	0.873823	-0.209057	-0.345989	-0.270221
35473		7.037789	-1.771109	6.525490	0.006360	0.006181	0.002636	-0.053223	0.354492	-0.531494	0.873856	-0.209010	-0.345957	-0.270192
35474		7.008433	-1.776161	6.541699	0.006221	0.005420	0.011327	-0.057373	0.349365	-0.543701	0.873905	-0.208994	-0.345917	-0.270098
35475		7.052778	-1.759275	6.617350	0.015238	-0.000167	0.010746	-0.061523	0.346680	-0.543457	0.873951	-0.208927	-0.345940	-0.269971
35476		7.061410	-1.770427	6.617962	0.011655	0.007117	0.012497	-0.056396	0.342285	-0.537598	0.874016	-0.208874	-0.345899	-0.269855
35477		6.952909	-1.763266	6.547394	0.014657	0.004823	0.012583	-0.057861	0.348145	-0.546631	0.874080	-0.208806	-0.345881	-0.269724
35478		6.992393	-1.787631	6.572380	0.018389	-0.005061	0.018183	-0.054443	0.347656	-0.540283	0.874135	-0.208750	-0.345931	-0.269524
35479		7.038202	-1.807285	6.609485	0.026575	-0.005541	0.023787	-0.054443	0.346436	-0.539795	0.874216	-0.208656	-0.345991	-0.269257
35480		7.064929	-1.785149	6.640190	0.029685	0.003062	0.030672	-0.047852	0.342529	-0.544189	0.874343	-0.208543	-0.345981	-0.268943
35481		6.999377	-1.724038	6.597298	0.026254	0.004198	0.030096	-0.064697	0.345947	-0.545166	0.874468	-0.208452	-0.345954	-0.268645
35482		7.025208	-1.741801	6.642917	0.018184	-0.001788	0.034361	-0.053467	0.343506	-0.545166	0.874568	-0.208444	-0.345948	-0.268331
35483		7.040717	-1.748858	6.603091	0.018498	0.002528	0.041005	-0.057861	0.350342	-0.551025	0.874700	-0.208437	-0.345895	-0.267975
35484		7.005406	-1.702784	6.584780	0.021611	0.007569	0.038214	-0.056885	0.347168	-0.540527	0.874844	-0.208391	-0.345818	-0.267642
35485		6.998549	-1.670750	6.558497	0.023671	0.000789	0.036843	-0.063965	0.351562	-0.540283	0.874968	-0.208333	-0.345800	-0.267303
35486		7.035327	-1.678838	6.543764	0.025120	0.000724	0.034292	-0.060303	0.345947	-0.542480	0.875084	-0.208256	-0.345799	-0.266984
35487		7.083565	-1.640469	6.591668	0.022259	-0.003132	0.031888	-0.060059	0.348877	-0.549805	0.875178	-0.208189	-0.345832	-0.266686
35488		7.039538	-1.620847	6.587387	0.014976	-0.002030	0.030261	-0.058838	0.342041	-0.545654	0.875255	-0.208159	-0.345853	-0.266429
35489		7.048812	-1.614251	6.579818	0.013478	-0.003819	0.020136	-0.058105	0.348633	-0.547852	0.875303	-0.208096	-0.345908	-0.266250
35490		7.039053	-1.623064	6.587359	0.010721	-0.002941	0.016542	-0.058105	0.347168	-0.543457	0.875336	-0.208035	-0.345964	-0.266115
35491		7.014026	-1.644294	6.589718	0.009665	-0.007869	0.011596	-0.058594	0.339600	-0.541016	0.875341	-0.207970	-0.346065	-0.266017
35492		7.026548	-1.654250	6.621189	0.008595	-0.014090	0.007492	-0.058594	0.342041	-0.548096	0.875321	-0.207903	-0.346216	-0.265940
35493		6.984103	-1.652266	6.622759	0.008228	-0.014391	0.008337	-0.055420	0.350098	-0.543457	0.875302	-0.207827	-0.346376	-0.265856
35494		7.008858	-1.652436	6.679044	0.009772	-0.011021	0.005435	-0.057373	0.335693	-0.547119	0.875286	-0.207737	-0.346503	-0.265810
35495		7.009046	-1.690527	6.693201	0.011785	-0.008200	0.006024	-0.062500	0.347168	-0.545898	0.875298	-0.207592	-0.346616	-0.265736
35496		6.978834	-1.696017	6.675429	0.013000	-0.006851	0.006980	-0.052734	0.341553	-0.548584	0.875305	-0.207451	-0.346724	-0.265685
35497		7.028363	-1.712097	6.692403	0.013303	0.000484	0.009762	-0.056885	0.350586	-0.549072	0.875363	-0.207288	-0.346746	-0.265592
35498		6.995166	-1.700523	6.635388	0.008414	0.000406	0.012581	-0.064941	0.346191	-0.540039	0.875406	-0.207177	-0.346762	-0.265515
35499		6.932207	-1.695233	6.646424	0.016763	-0.002362	0.013340	-0.063232	0.344482	-0.540527	0.875443	-0.207034	-0.346815	-0.265436
35500		6.950644	-1.661430	6.676364	0.015099	-0.006167	0.012746	-0.057373	0.343750	-0.547119	0.875472	-0.206907	-0.346882	-0.265352
35501		6.977929	-1.677602	6.720846	0.010342	-0.006824	0.007727	-0.057861	0.349121	-0.541992	0.875500	-0.206776	-0.346941	-0.265284
35502		6.977379	-1.659504	6.765812	0.006845	-0.002264	0.001136	-0.064453	0.346191	-0.550049	0.875510	-0.206674	-0.346956	-0.265311
35503		6.982777	-1.673606	6.786154	-0.002214	0.006775	-0.004310	-0.065186	0.337646	-0.543457	0.875525	-0.206545	-0.346925	-0.265402
35504		6.975298	-1.697568	6.782344	-0.009707	0.016175	-0.008807	-0.062256	0.344238	-0.546875	0.875547	-0.206446	-0.346797	-0.265574
35505		6.938354	-1.707046	6.787675	-0.009213	0.030407	-0.006746	-0.057129	0.343262	-0.549316	0.875622	-0.206317	-0.346552	-0.265745
35506		6.897066	-1.700802	6.806574	-0.008602	0.032889	-0.001447	-0.054199	0.341797	-0.548096	0.875739	-0.206185	-0.346256	-0.265850
35507		6.948255	-1.713435	6.840146	-0.002110	0.039519	0.004648	-0.061279	0.346436	-0.541748	0.875909	-0.206013	-0.345890	-0.265898
35508		6.922363	-1.673948	6.805552	-0.000791	0.053521	0.009348	-0.054688	0.339355	-0.538330	0.876096	-0.205857	-0.345433	-0.265998
35509		7.010918	-1.672840	6.852011	0.001993	0.068744	0.010655	-0.064697	0.341797	-0.542725	0.876349	-0.205661	-0.344830	-0.266099
35510		6.938952	-1.648834	6.778609	0.004357	0.084103	0.010631	-0.053467	0.346924	-0.541992	0.876632	-0.205369	-0.344183	-0.266229
35511		6.988122	-1.638661	6.705207	0.002319	0.084323	0.006164	-0.061768	0.343994	-0.544189	0.876921	-0.205123	-0.343477	-0.266379
35512		6.970372	-1.645791	6.669969	-0.002145	0.086745	0.008581	-0.054688	0.344971	-0.540283	0.877196	-0.204868	-0.342802	-0.266538
35513		7.022041	-1.634178	6.629346	0.002529	0.081663	0.003472	-0.051514	0.342773	-0.544678	0.877453	-0.204626	-0.342147	-0.266722
35514		7.096877	-1.622303	6.646706	0.001494	0.087256	0.001767	-0.055908	0.332764	-0.536865	0.877740	-0.204337	-0.341453	-0.266888
35515		7.095980	-1.652794	6.579100	-0.000902	0.087174	-0.001862	-0.057373	0.342041	-0.536621	0.877975	-0.204064	-0.340808	-0.267147
35516		7.102349	-1.639759	6.508840	-0.004152	0.084747	-0.006452	-0.055908	0.342529	-0.540527	0.878159	-0.203858	-0.340205	-0.267470
35517		7.139107	-1.658854	6.470798	-0.003270	0.079195	-0.010447	-0.056641	0.338135	-0.541016	0.878329	-0.203624	-0.339666	-0.267773
35518		7.120962	-1.704067	6.416689	0.000218	0.069725	-0.012629	-0.044189	0.349121	-0.542236	0.878471	-0.203354	-0.339243	-0.268050
