// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		8.432745	-2.240150	4.485484	-0.003137	0.001399	-0.003276	-1.205078	0.162842	0.261963	0.020722	-0.506594	0.121497	-0.853329
15000		8.418732	-2.228277	4.495417	-0.003705	0.002855	-0.001169	-1.209717	0.160889	0.263184	0.020695	-0.506576	0.121519	-0.853338
15001		8.418712	-2.228251	4.495469	-0.004669	0.000097	-0.003674	-1.198486	0.155762	0.263672	0.020646	-0.506580	0.121536	-0.853334
15002		8.436307	-2.237295	4.465240	-0.002891	-0.001396	-0.001229	-1.204102	0.162598	0.265625	0.020627	-0.506592	0.121551	-0.853326
15003		8.447611	-2.225582	4.510832	-0.002743	-0.001265	-0.004950	-1.206299	0.157715	0.263428	0.020581	-0.506607	0.121549	-0.853318
15004		8.451042	-2.231365	4.478624	-0.004651	0.000815	-0.001482	-1.209717	0.160400	0.264893	0.020549	-0.506603	0.121575	-0.853317
15005		8.422670	-2.224956	4.474698	-0.004144	0.003723	-0.004976	-1.202637	0.161133	0.269531	0.020492	-0.506583	0.121583	-0.853330
15006		8.436578	-2.236283	4.465236	-0.003566	0.002626	-0.005988	-1.202393	0.158203	0.261475	0.020431	-0.506571	0.121582	-0.853338
15007		8.422293	-2.240847	4.451690	-0.001308	0.002964	-0.010324	-1.195312	0.153320	0.266113	0.020348	-0.506562	0.121547	-0.853350
15008		8.451027	-2.237030	4.467932	-0.003261	0.003247	-0.012337	-1.208252	0.147217	0.256836	0.020242	-0.506556	0.121518	-0.853361
15009		8.426648	-2.209395	4.467889	-0.002113	0.007573	-0.009170	-1.206787	0.162109	0.264648	0.020159	-0.506516	0.121495	-0.853390
15010		8.458296	-2.203244	4.464842	-0.000975	0.011539	-0.007099	-1.208008	0.154541	0.261719	0.020091	-0.506447	0.121472	-0.853436
15011		8.446581	-2.205519	4.432674	-0.000572	0.016110	-0.001390	-1.203613	0.153809	0.260986	0.020058	-0.506342	0.121468	-0.853499
15012		8.423978	-2.207690	4.473763	0.001503	0.021756	-0.000104	-1.205078	0.156006	0.266357	0.020036	-0.506200	0.121455	-0.853586
15013		8.446861	-2.225547	4.489393	0.000005	0.021889	0.003880	-1.201904	0.163818	0.264893	0.020036	-0.506055	0.121468	-0.853670
15014		8.434506	-2.220278	4.470094	-0.000169	0.020680	0.004311	-1.207764	0.156250	0.264648	0.020040	-0.505917	0.121485	-0.853749
15015		8.411585	-2.223407	4.511181	-0.001273	0.018149	0.006622	-1.204590	0.160889	0.260010	0.020055	-0.505800	0.121516	-0.853814
15016		8.438022	-2.239466	4.506113	-0.000494	0.019338	0.008463	-1.199463	0.166748	0.259766	0.020087	-0.505665	0.121550	-0.853888
15017		8.393837	-2.239877	4.490356	-0.003163	0.014070	0.005992	-1.205322	0.153564	0.266113	0.020103	-0.505568	0.121596	-0.853939
15018		8.406953	-2.243842	4.493968	-0.002959	0.009481	0.002563	-1.198730	0.155273	0.268555	0.020086	-0.505518	0.121619	-0.853965
15019		8.406685	-2.226762	4.518653	-0.000460	0.006665	-0.000815	-1.196045	0.151855	0.258301	0.020065	-0.505491	0.121615	-0.853982
15020		8.420670	-2.221277	4.533184	-0.006231	0.004232	-0.002185	-1.205566	0.156982	0.265381	0.020008	-0.505466	0.121638	-0.853995
15021		8.419766	-2.264562	4.474129	-0.006789	-0.000828	-0.005265	-1.202637	0.160156	0.260010	0.019932	-0.505493	0.121656	-0.853979
15022		8.420572	-2.246440	4.497323	-0.005309	-0.002038	-0.012538	-1.206299	0.158691	0.256836	0.019824	-0.505524	0.121638	-0.853965
15023		8.413422	-2.284839	4.490019	-0.005163	-0.002265	-0.017358	-1.198975	0.167236	0.255615	0.019676	-0.505554	0.121596	-0.853957
