// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		9.391934	0.356833	-2.433034	-0.019591	0.025387	0.026716	-0.895508	0.081299	-0.323975	0.606492	-0.076245	-0.787144	-0.082204
15000		9.324384	0.289736	-2.414182	-0.002642	0.017114	0.020810	-0.901611	0.082520	-0.324219	0.606617	-0.076383	-0.787043	-0.082127
15001		9.381428	0.278046	-2.460408	0.010367	0.008556	0.019199	-0.890869	0.075928	-0.326172	0.606690	-0.076462	-0.786996	-0.081964
15002		9.417350	0.301272	-2.440495	0.022618	0.001757	0.019086	-0.896484	0.081543	-0.321289	0.606736	-0.076393	-0.786990	-0.081744
15003		9.428686	0.401622	-2.486773	0.017995	-0.016950	0.024023	-0.898682	0.078125	-0.325439	0.606653	-0.076476	-0.787073	-0.081491
15004		9.476479	0.384005	-2.506999	0.002565	-0.027262	0.035011	-0.901855	0.081787	-0.323975	0.606503	-0.076659	-0.787190	-0.081295
15005		9.591897	0.376562	-2.557452	-0.013838	-0.029193	0.037477	-0.894531	0.082031	-0.318359	0.606326	-0.076983	-0.787307	-0.081182
15006		9.591846	0.395814	-2.565420	-0.020576	-0.029803	0.045248	-0.896729	0.082520	-0.330322	0.606142	-0.077402	-0.787419	-0.081071
15007		9.536665	0.336961	-2.597429	-0.025904	-0.034738	0.043593	-0.885742	0.077637	-0.322266	0.605921	-0.077806	-0.787555	-0.081012
15008		9.580784	0.385795	-2.639702	-0.022658	-0.042305	0.024168	-0.899658	0.073730	-0.327148	0.605639	-0.078031	-0.787747	-0.081036
15009		9.650058	0.443239	-2.701950	-0.020634	-0.029773	-0.004888	-0.900391	0.087646	-0.322266	0.605419	-0.077986	-0.787902	-0.081222
15010		9.562653	0.664434	-2.644159	0.002228	-0.009587	-0.051031	-0.899658	0.075195	-0.323730	0.605290	-0.077666	-0.788008	-0.081460
15011		9.407897	0.742162	-2.662740	0.012543	-0.021759	-0.134209	-0.895020	0.077393	-0.321533	0.605033	-0.076621	-0.788242	-0.082098
15012		9.227425	1.100146	-2.552147	0.047970	-0.023056	-0.259071	-0.897705	0.072998	-0.321533	0.604681	-0.074616	-0.788594	-0.083141
15013		9.207465	1.593046	-2.366941	0.058991	-0.031880	-0.404994	-0.894531	0.078125	-0.320557	0.604163	-0.071573	-0.789087	-0.084892
15014		9.129158	2.011964	-2.215751	0.017641	-0.057780	-0.552466	-0.903320	0.062256	-0.319824	0.603321	-0.067860	-0.789752	-0.087696
15015		9.337193	2.263804	-2.204924	-0.054130	-0.099959	-0.720409	-0.897217	0.054443	-0.322510	0.602024	-0.063288	-0.790640	-0.091926
15016		9.421027	2.559753	-2.234962	-0.157262	-0.127859	-0.864406	-0.894287	0.048340	-0.320312	0.600367	-0.058283	-0.791598	-0.097644
15017		9.443593	2.627897	-2.264914	-0.250563	-0.152711	-1.007485	-0.902344	0.020264	-0.309082	0.598324	-0.052839	-0.792614	-0.104786
15018		9.458956	2.495219	-2.487704	-0.302751	-0.183460	-1.159747	-0.896240	0.006348	-0.305176	0.595843	-0.046461	-0.793723	-0.113208
15019		9.551527	2.468557	-2.679079	-0.282063	-0.195867	-1.317063	-0.891113	-0.013672	-0.311279	0.593048	-0.039015	-0.794865	-0.122319
15020		9.631392	2.617813	-2.776878	-0.215040	-0.191334	-1.458456	-0.903076	-0.031738	-0.303467	0.590136	-0.030320	-0.795926	-0.131615
15021		9.655058	2.912924	-2.733944	-0.146041	-0.158373	-1.580826	-0.898438	-0.054688	-0.307129	0.587121	-0.020322	-0.796830	-0.141200
15022		9.634512	3.195003	-2.707029	-0.133097	-0.137212	-1.683668	-0.899902	-0.075195	-0.306396	0.584046	-0.009608	-0.797473	-0.151109
15023		9.651350	3.455927	-2.700375	-0.177264	-0.116393	-1.763567	-0.888916	-0.093018	-0.306641	0.580825	0.001446	-0.797807	-0.161689
15024		9.671552	3.676696	-2.764967	-0.225620	-0.101905	-1.824671	-0.884277	-0.128174	-0.303467	0.577437	0.012406	-0.797857	-0.172733
15025		9.492685	3.741076	-2.880946	-0.284839	-0.092437	-1.862552	-0.889404	-0.152832	-0.300293	0.573981	0.023437	-0.797489	-0.184410
15026		9.109904	3.676068	-2.983098	-0.309397	-0.087918	-1.915987	-0.881348	-0.174805	-0.300537	0.570212	0.034851	-0.796875	-0.196554
15027		8.855473	3.885540	-2.985156	-0.275887	-0.060782	-2.001489	-0.881348	-0.211426	-0.299072	0.566256	0.046846	-0.795991	-0.208706
15028		8.741527	4.439446	-2.780513	-0.258032	-0.022711	-2.097361	-0.859863	-0.231445	-0.304199	0.562216	0.059877	-0.794608	-0.221191
15029		8.651298	4.815153	-2.532381	-0.280545	-0.003421	-2.160524	-0.855713	-0.255615	-0.301514	0.558058	0.072721	-0.792867	-0.233764
15030		8.641804	5.264738	-2.430972	-0.364516	-0.016797	-2.212672	-0.844238	-0.295654	-0.305908	0.553401	0.085468	-0.790801	-0.247135
15031		8.450066	5.586147	-2.366000	-0.469256	-0.055478	-2.226759	-0.822266	-0.323242	-0.308350	0.548521	0.097912	-0.788228	-0.261218
15032		8.247643	5.593764	-2.584739	-0.599426	-0.119401	-2.227788	-0.818604	-0.346924	-0.303223	0.543221	0.109348	-0.785332	-0.276057
15033		8.085900	5.403527	-2.725704	-0.633621	-0.145324	-2.243761	-0.798828	-0.378174	-0.310303	0.537271	0.120716	-0.782292	-0.291180
15034		8.174163	5.490822	-2.907278	-0.567778	-0.132677	-2.284470	-0.786621	-0.403809	-0.318115	0.531233	0.132587	-0.778903	-0.305814
15035		8.304938	5.907221	-2.842999	-0.475980	-0.089737	-2.320026	-0.761230	-0.428711	-0.313477	0.525128	0.145105	-0.775234	-0.319683
15036		8.293982	6.419931	-2.680032	-0.391578	-0.043870	-2.311449	-0.754883	-0.455566	-0.313965	0.518973	0.157854	-0.771371	-0.332770
15037		8.031790	6.983711	-2.399944	-0.389742	-0.034626	-2.276760	-0.728760	-0.476807	-0.321533	0.512657	0.170486	-0.767313	-0.345467
15038		7.704825	7.404508	-2.258876	-0.497462	-0.044548	-2.218556	-0.721924	-0.502686	-0.326416	0.506575	0.181986	-0.762758	-0.358418
15039		7.476329	7.417777	-2.221451	-0.647627	-0.037249	-2.179887	-0.698486	-0.525146	-0.336426	0.500658	0.192680	-0.757536	-0.371961
15040		7.252320	7.356811	-2.330419	-0.721137	-0.005293	-2.152041	-0.676514	-0.541260	-0.328369	0.495110	0.202891	-0.751643	-0.385661
15041		7.189555	7.315936	-2.386519	-0.710284	0.032230	-2.126425	-0.654297	-0.560791	-0.340088	0.489488	0.213109	-0.745570	-0.398888
15042		6.994437	7.350352	-2.469847	-0.645703	0.046384	-2.080294	-0.627441	-0.583008	-0.338867	0.483970	0.223269	-0.739423	-0.411312
15043		6.757586	7.514752	-2.502494	-0.554061	0.032636	-2.012638	-0.613037	-0.597900	-0.352295	0.478271	0.233470	-0.733538	-0.422695
15044		6.339886	7.775443	-2.520385	-0.485848	0.033984	-1.919315	-0.601074	-0.614502	-0.361328	0.472749	0.243167	-0.727890	-0.433075
15045		5.891727	7.733256	-2.116854	-0.425096	0.038424	-1.829381	-0.578613	-0.621338	-0.363037	0.467378	0.252461	-0.722490	-0.442526
15046		5.592677	7.717670	-2.065343	-0.411765	0.004662	-1.739055	-0.558105	-0.641113	-0.369385	0.462022	0.261073	-0.717334	-0.451451
15047		5.527070	8.063462	-2.049386	-0.377673	0.002019	-1.634323	-0.541504	-0.660400	-0.368408	0.456925	0.269211	-0.712373	-0.459641
