// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		-2.233981	-7.656614	5.774929	-0.015823	0.007781	0.001340	0.258789	0.915039	-0.132812	0.702514	-0.265983	0.368731	-0.547508
15000		-2.270038	-7.693694	5.728736	-0.007750	0.008373	-0.001047	0.254639	0.915771	-0.126709	0.702466	-0.265994	0.368813	-0.547509
15001		-2.302281	-7.635021	5.734414	0.003717	0.011322	-0.002358	0.264648	0.910156	-0.128174	0.702394	-0.265960	0.368841	-0.547598
15002		-2.314650	-7.615780	5.699911	0.005762	0.008781	-0.010197	0.258789	0.915283	-0.127197	0.702383	-0.265872	0.368878	-0.547631
15003		-2.317824	-7.626744	5.683109	0.003681	0.005339	-0.008132	0.257080	0.911865	-0.127441	0.702338	-0.265849	0.368878	-0.547699
15004		-2.319386	-7.637893	5.640893	0.003782	0.007008	-0.009496	0.252686	0.914062	-0.125977	0.702279	-0.265825	0.368884	-0.547783
15005		-2.332930	-7.670934	5.640304	0.002842	0.006956	-0.009828	0.261963	0.915771	-0.124268	0.702185	-0.265834	0.368878	-0.547903
15006		-2.365173	-7.695834	5.638608	0.002899	-0.001216	-0.008045	0.260742	0.911377	-0.135742	0.702178	-0.265826	0.368873	-0.547918
15007		-2.367881	-7.758853	5.630886	0.006637	-0.004962	-0.007375	0.268311	0.909424	-0.127197	0.702192	-0.265811	0.368839	-0.547932
15008		-2.359437	-7.747435	5.598845	0.013108	-0.005348	-0.010711	0.256592	0.903076	-0.135986	0.702249	-0.265730	0.368807	-0.547919
15009		-2.327423	-7.680563	5.577309	0.016815	-0.015991	-0.008795	0.258301	0.916260	-0.129150	0.702294	-0.265726	0.368673	-0.547954
15010		-2.262008	-7.692286	5.576467	0.027730	-0.030302	-0.007157	0.255859	0.909668	-0.130615	0.702400	-0.265731	0.368417	-0.547988
15011		-2.208080	-7.725106	5.618430	0.028176	-0.035645	-0.001908	0.260986	0.909180	-0.130371	0.702542	-0.265747	0.368141	-0.547983
