// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		-1.499566	9.261948	-2.466877	-0.007981	0.000079	0.003699	0.032471	-0.976807	-0.246582	0.329514	0.528463	-0.589829	-0.514052
15000		-1.554492	9.243987	-2.480333	-0.015972	0.004896	0.001512	0.025391	-0.975342	-0.244141	0.329615	0.528433	-0.589754	-0.514104
15001		-1.571290	9.326713	-2.485549	-0.016964	0.001650	0.006021	0.036621	-0.980469	-0.247070	0.329748	0.528295	-0.589786	-0.514123
15002		-1.529749	9.316103	-2.502507	-0.019909	0.003360	0.009028	0.030518	-0.974609	-0.242676	0.329878	0.528245	-0.589691	-0.514201
15003		-1.569433	9.255738	-2.472683	-0.011544	0.012343	0.008426	0.029297	-0.979248	-0.245361	0.330031	0.528205	-0.589669	-0.514169
15004		-1.584373	9.244055	-2.423538	-0.002004	0.016455	0.011080	0.024414	-0.977783	-0.241211	0.330175	0.528191	-0.589695	-0.514061
15005		-1.564721	9.304955	-2.544137	-0.000806	0.011389	0.016432	0.030273	-0.976807	-0.242188	0.330324	0.528092	-0.589811	-0.513934
15006		-1.566774	9.367706	-2.647195	0.025193	0.007763	0.012288	0.030029	-0.977295	-0.250244	0.330301	0.528123	-0.589970	-0.513735
15007		-1.591875	9.382368	-2.617988	0.041430	0.001431	0.002364	0.035889	-0.984375	-0.240967	0.330122	0.528239	-0.590156	-0.513516
15008		-1.552109	9.414981	-2.627836	0.036346	-0.011275	-0.002163	0.023926	-0.989014	-0.249268	0.329869	0.528336	-0.590312	-0.513400
15009		-1.500516	9.425104	-2.598775	0.039856	-0.021135	0.001730	0.025879	-0.974121	-0.246094	0.329590	0.528313	-0.590613	-0.513257
