// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30064		8.285810	-2.526447	4.599434	0.000535	0.004409	-0.005230	-0.758545	-0.134033	-0.391113	-0.539476	-0.288365	0.427063	-0.665905
30065		8.282057	-2.539045	4.594706	-0.000698	0.003891	-0.003154	-0.759033	-0.139160	-0.394287	-0.539509	-0.288351	0.427042	-0.665897
30066		8.277628	-2.527918	4.612384	-0.001774	0.002567	-0.006706	-0.769775	-0.143799	-0.389404	-0.539564	-0.288354	0.427019	-0.665866
30067		8.270390	-2.553833	4.602056	-0.003642	0.003025	-0.002495	-0.758789	-0.134766	-0.385498	-0.539597	-0.288330	0.427020	-0.665849
30068		8.278412	-2.550914	4.590191	-0.002673	0.000664	-0.005182	-0.759033	-0.143066	-0.391602	-0.539634	-0.288332	0.427019	-0.665818
30069		8.293885	-2.543061	4.602083	-0.001592	0.001314	-0.004854	-0.760986	-0.137207	-0.393066	-0.539669	-0.288333	0.427011	-0.665795
30070		8.298379	-2.553118	4.584884	-0.002524	0.001205	-0.004361	-0.757080	-0.133057	-0.391357	-0.539703	-0.288329	0.427011	-0.665770
30071		8.302781	-2.541351	4.554499	-0.001922	0.002025	-0.007528	-0.766357	-0.135254	-0.397949	-0.539754	-0.288334	0.426997	-0.665734
30072		8.302185	-2.538451	4.590650	-0.002738	0.004253	-0.007246	-0.768311	-0.137695	-0.389648	-0.539813	-0.288323	0.426981	-0.665702
30073		8.275122	-2.539109	4.572718	0.000870	0.003024	-0.005782	-0.760498	-0.130859	-0.393066	-0.539850	-0.288330	0.426955	-0.665685
30074		8.270776	-2.549521	4.603754	-0.004004	0.005528	-0.006202	-0.760986	-0.137451	-0.384277	-0.539908	-0.288302	0.426946	-0.665656
30075		8.289520	-2.506836	4.608067	-0.003636	0.002348	-0.005722	-0.756836	-0.134521	-0.399170	-0.539951	-0.288290	0.426951	-0.665623
30076		8.314521	-2.543718	4.562966	-0.000510	0.001964	-0.004527	-0.767578	-0.137695	-0.390137	-0.539980	-0.288291	0.426942	-0.665605
30077		8.302066	-2.535311	4.592601	-0.002890	0.004384	-0.004842	-0.766602	-0.128662	-0.395752	-0.540022	-0.288270	0.426939	-0.665582
30078		8.290939	-2.552618	4.564154	-0.000281	0.006637	-0.004949	-0.768311	-0.144043	-0.391357	-0.540066	-0.288248	0.426912	-0.665573
30079		8.266482	-2.538374	4.587720	-0.002145	0.006419	-0.003963	-0.763184	-0.132568	-0.391113	-0.540106	-0.288219	0.426902	-0.665560
30080		8.277913	-2.543638	4.595127	-0.000910	0.006937	-0.006040	-0.764404	-0.134277	-0.391113	-0.540156	-0.288194	0.426879	-0.665544
30081		8.284623	-2.516784	4.606865	-0.000172	0.009647	-0.001934	-0.762451	-0.137451	-0.396484	-0.540190	-0.288143	0.426852	-0.665557
30082		8.297513	-2.569820	4.569255	-0.002446	0.006008	-0.002380	-0.763184	-0.129150	-0.385742	-0.540222	-0.288102	0.426849	-0.665551
30083		8.252296	-2.507283	4.607536	-0.000581	0.006226	-0.003366	-0.767822	-0.137207	-0.390625	-0.540247	-0.288074	0.426841	-0.665547
30084		8.268197	-2.523420	4.597383	-0.005684	0.004055	-0.003366	-0.759033	-0.133057	-0.385742	-0.540279	-0.288036	0.426868	-0.665521
30085		8.290693	-2.511818	4.633072	-0.007156	-0.000462	0.002357	-0.760498	-0.145264	-0.386963	-0.540271	-0.287996	0.426932	-0.665504
30086		8.324688	-2.592553	4.566060	-0.006068	-0.000485	-0.000540	-0.761719	-0.135010	-0.396484	-0.540283	-0.287980	0.426970	-0.665476
30087		8.268130	-2.524655	4.596824	-0.003754	0.000684	-0.002288	-0.761719	-0.139648	-0.383301	-0.540297	-0.287952	0.427005	-0.665454
30088		8.243296	-2.487955	4.641451	-0.011260	-0.006114	0.003927	-0.762695	-0.140137	-0.389404	-0.540266	-0.287931	0.427121	-0.665414
30089		8.293001	-2.540242	4.571796	-0.010402	-0.010810	0.001449	-0.758301	-0.131348	-0.390381	-0.540237	-0.287939	0.427240	-0.665358
30090		8.252637	-2.509396	4.639243	-0.010890	-0.009295	0.004405	-0.763672	-0.136963	-0.397217	-0.540198	-0.287909	0.427372	-0.665318
30091		8.306513	-2.550674	4.539112	-0.005606	-0.008378	0.006258	-0.756592	-0.137695	-0.394043	-0.540147	-0.287887	0.427464	-0.665309
30092		8.290653	-2.557624	4.561870	-0.007843	-0.004745	0.009990	-0.763672	-0.127686	-0.389404	-0.540102	-0.287828	0.427556	-0.665312
30093		8.362847	-2.621921	4.506689	-0.001164	0.004956	0.007288	-0.765137	-0.139404	-0.400635	-0.540055	-0.287753	0.427595	-0.665358
30094		8.277808	-2.575450	4.569657	0.002881	0.013526	0.000432	-0.764160	-0.138428	-0.388184	-0.540093	-0.287667	0.427541	-0.665399
30095		8.256149	-2.548076	4.599973	0.006095	0.016601	-0.002839	-0.756104	-0.137939	-0.383789	-0.540130	-0.287626	0.427456	-0.665441
30096		8.320316	-2.614603	4.523734	0.005467	0.016901	-0.003931	-0.762939	-0.137207	-0.393311	-0.540187	-0.287590	0.427356	-0.665475
30097		8.322133	-2.597823	4.567721	0.009622	0.019410	-0.010920	-0.763672	-0.125732	-0.401367	-0.540275	-0.287556	0.427224	-0.665502
30098		8.224356	-2.497644	4.634752	0.006449	0.013867	-0.009846	-0.756592	-0.128906	-0.393311	-0.540337	-0.287470	0.427172	-0.665523
30099		8.276834	-2.556068	4.586710	0.001948	0.004349	-0.002227	-0.764893	-0.142822	-0.389648	-0.540347	-0.287421	0.427178	-0.665532
30100		8.312443	-2.553504	4.557944	0.001351	0.002855	-0.002286	-0.763428	-0.137207	-0.392334	-0.540344	-0.287450	0.427171	-0.665526
30101		8.263756	-2.547378	4.617524	0.004035	0.009912	-0.000407	-0.762939	-0.126709	-0.390625	-0.540349	-0.287416	0.427138	-0.665559
30102		8.307843	-2.587113	4.568597	0.008520	0.011709	-0.004721	-0.763672	-0.129639	-0.388916	-0.540345	-0.287375	0.427097	-0.665606
30103		8.310554	-2.572391	4.576364	0.011068	0.017549	-0.006890	-0.759277	-0.135986	-0.392822	-0.540363	-0.287343	0.427005	-0.665664
30104		8.322793	-2.623150	4.541423	0.017770	0.026568	-0.012825	-0.766357	-0.133301	-0.395752	-0.540478	-0.287308	0.426785	-0.665727
30105		8.316129	-2.606873	4.599207	0.021006	0.028959	-0.019327	-0.759277	-0.137939	-0.401367	-0.540592	-0.287284	0.426558	-0.665790
30106		8.254382	-2.525280	4.616643	0.027047	0.031674	-0.027307	-0.760254	-0.142334	-0.390625	-0.540815	-0.287268	0.426227	-0.665828
30107		8.289336	-2.539151	4.605537	0.025326	0.023602	-0.025420	-0.755859	-0.138184	-0.393066	-0.540962	-0.287378	0.425934	-0.665849
