// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30064		9.744200	1.385597	-0.766388	-0.020974	-0.015431	-0.007372	-0.754395	0.257324	0.091309	0.413888	-0.513221	-0.524756	-0.538453
30065		9.747751	1.237246	-0.683321	-0.011628	-0.013920	-0.004575	-0.753418	0.250244	0.082031	0.413756	-0.513304	-0.524772	-0.538461
30066		9.745457	1.183151	-0.711571	-0.011475	-0.006383	0.006618	-0.766113	0.245605	0.091309	0.413713	-0.513389	-0.524714	-0.538468
30067		9.752049	1.228969	-0.704431	-0.018520	-0.003409	0.016865	-0.757080	0.255859	0.094238	0.413696	-0.513543	-0.524569	-0.538476
30068		9.765863	1.309177	-0.752123	-0.018339	-0.006214	0.014054	-0.754883	0.247070	0.088379	0.413659	-0.513698	-0.524443	-0.538479
30069		9.728976	1.364598	-0.713428	-0.015717	-0.008341	0.012047	-0.757812	0.250977	0.089111	0.413616	-0.513845	-0.524344	-0.538468
30070		9.724907	1.375350	-0.730900	-0.021589	-0.012545	0.008721	-0.755371	0.260010	0.090088	0.413516	-0.514016	-0.524246	-0.538477
30071		9.703605	1.286497	-0.674250	-0.031092	-0.017333	0.007829	-0.759277	0.258789	0.084717	0.413351	-0.514236	-0.524124	-0.538512
30072		9.713122	1.219164	-0.663839	-0.015177	-0.025817	0.003296	-0.763672	0.258301	0.094238	0.413203	-0.514420	-0.524118	-0.538457
30073		9.755212	1.256717	-0.715171	-0.014638	-0.014968	0.007039	-0.756836	0.260742	0.089844	0.413130	-0.514571	-0.524052	-0.538434
30074		9.775557	1.229846	-0.714658	-0.022748	-0.006503	0.010753	-0.755859	0.255371	0.098877	0.413083	-0.514730	-0.523898	-0.538467
30075		9.756075	1.224016	-0.673857	-0.019889	-0.010579	0.013208	-0.750244	0.260010	0.080811	0.413050	-0.514911	-0.523752	-0.538460
30076		9.740683	1.211834	-0.653296	-0.015804	-0.017991	0.008747	-0.762451	0.253906	0.090332	0.412994	-0.515094	-0.523660	-0.538419
