// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58930		9.465657	2.309783	-1.060225	0.015869	0.000686	-0.019147	-0.844238	0.026123	-0.445557	0.631707	-0.067627	-0.741284	-0.216497
58931		9.480604	2.383074	-1.029047	0.012551	0.005668	-0.016268	-0.852539	0.033936	-0.440674	0.631720	-0.067450	-0.741286	-0.216508
58932		9.502860	2.398818	-1.016475	0.006510	0.002649	-0.009821	-0.856445	0.028809	-0.442871	0.631689	-0.067507	-0.741314	-0.216486
58933		9.466216	2.400826	-1.054343	0.006339	0.006290	-0.009048	-0.839844	0.034424	-0.448242	0.631701	-0.067483	-0.741307	-0.216482
58934		9.470752	2.402023	-1.097221	0.008468	0.007748	-0.007412	-0.858398	0.034180	-0.449463	0.631726	-0.067452	-0.741295	-0.216460
58935		9.479995	2.359923	-1.100436	0.010299	0.005936	-0.003174	-0.847900	0.038574	-0.439697	0.631741	-0.067472	-0.741298	-0.216397
58936		9.483224	2.398989	-1.079690	0.021920	0.011539	-0.001371	-0.848145	0.030273	-0.444092	0.631786	-0.067497	-0.741303	-0.216243
58937		9.489990	2.405493	-1.029235	0.012089	0.004913	0.002956	-0.847656	0.026123	-0.444336	0.631812	-0.067496	-0.741307	-0.216151
58938		9.517558	2.375628	-0.976545	0.014514	0.009323	0.006517	-0.848145	0.026367	-0.441406	0.631882	-0.067447	-0.741284	-0.216042
58939		9.505612	2.342567	-0.986818	0.010172	0.007986	0.007026	-0.846436	0.024170	-0.447021	0.631943	-0.067440	-0.741257	-0.215957
58940		9.508268	2.355050	-0.970966	0.001869	0.006207	0.012979	-0.849121	0.029541	-0.444580	0.632011	-0.067467	-0.741212	-0.215904
58941		9.512780	2.292487	-1.013684	-0.000814	0.007020	0.013971	-0.859619	0.035645	-0.442139	0.632076	-0.067579	-0.741162	-0.215853
58942		9.551348	2.250546	-1.037987	0.004935	0.006441	0.014659	-0.848877	0.031006	-0.443115	0.632128	-0.067752	-0.741133	-0.215745
58943		9.520269	2.170449	-1.031099	0.018222	0.004899	0.013110	-0.848633	0.037109	-0.446533	0.632190	-0.067775	-0.741127	-0.215574
58944		9.508294	2.136803	-1.042407	0.030618	0.004102	0.005102	-0.851807	0.030762	-0.448242	0.632246	-0.067736	-0.741148	-0.215354
58945		9.531233	2.114179	-1.025689	0.039866	0.004646	-0.000804	-0.851562	0.035156	-0.443115	0.632309	-0.067557	-0.741181	-0.215107
58946		9.495993	2.103952	-1.054964	0.061389	0.006754	-0.009045	-0.847412	0.032471	-0.456543	0.632365	-0.067272	-0.741263	-0.214751
58947		9.507721	2.011918	-1.113799	0.096180	0.008079	-0.016932	-0.852539	0.027344	-0.445312	0.632501	-0.066701	-0.741350	-0.214229
58948		9.507175	1.977965	-1.111461	0.159196	0.010585	-0.032675	-0.850586	0.017090	-0.447998	0.632596	-0.065699	-0.741606	-0.213371
58949		9.498196	2.102366	-1.029031	0.199791	0.013372	-0.045100	-0.850342	0.026611	-0.449707	0.632723	-0.064327	-0.741918	-0.212323
58950		9.529315	2.208857	-1.036608	0.217921	0.016187	-0.049696	-0.840088	0.027344	-0.447021	0.632892	-0.062936	-0.742225	-0.211161
58951		9.500620	2.115467	-1.161827	0.246306	0.017637	-0.051061	-0.846680	0.013428	-0.446289	0.633059	-0.061379	-0.742589	-0.209834
58952		9.471689	2.070357	-1.131603	0.319927	0.019271	-0.063794	-0.849609	0.014893	-0.447266	0.633238	-0.059279	-0.743092	-0.208110
58953		9.500243	2.182601	-1.076072	0.385752	0.022316	-0.075388	-0.853516	0.012207	-0.452637	0.633457	-0.056815	-0.743681	-0.206017
58954		9.510651	2.335879	-1.001633	0.399483	0.024627	-0.076331	-0.848145	0.021973	-0.444092	0.633725	-0.054290	-0.744240	-0.203842
58955		9.563405	2.235243	-1.061693	0.416124	0.031492	-0.070725	-0.852295	0.007080	-0.447998	0.634016	-0.051800	-0.744802	-0.201522
58956		9.491063	2.002545	-1.192988	0.483335	0.035057	-0.074140	-0.859375	-0.001465	-0.444824	0.634352	-0.048845	-0.745442	-0.198815
58957		9.466126	1.812292	-1.285413	0.594610	0.040754	-0.095581	-0.845215	0.000977	-0.450684	0.634701	-0.045174	-0.746257	-0.195485
58958		9.487771	1.903360	-1.198072	0.724453	0.047819	-0.117580	-0.843018	-0.010986	-0.454834	0.635124	-0.040661	-0.747196	-0.191476
58959		9.508403	1.913000	-1.192790	0.816142	0.049518	-0.133593	-0.854736	-0.017822	-0.446045	0.635548	-0.035510	-0.748236	-0.186976
58960		9.554213	2.056126	-1.076175	0.920288	0.054659	-0.154717	-0.841309	-0.031250	-0.449219	0.635935	-0.029767	-0.749425	-0.181832
58961		9.503623	2.214698	-1.062650	0.973864	0.053724	-0.162374	-0.843994	-0.038818	-0.448486	0.636283	-0.023544	-0.750640	-0.176431
58962		9.485278	2.259529	-1.115902	0.979332	0.057434	-0.169926	-0.845947	-0.044189	-0.443359	0.636616	-0.017283	-0.751781	-0.171018
58963		9.476008	2.050682	-1.336657	0.988080	0.062202	-0.178475	-0.845215	-0.057861	-0.453613	0.636915	-0.010966	-0.752868	-0.165556
58964		9.437966	1.847570	-1.631547	1.069471	0.064571	-0.191610	-0.840088	-0.068848	-0.448486	0.637222	-0.004104	-0.753941	-0.159701
58965		9.411689	1.883129	-1.665270	1.218049	0.066802	-0.224213	-0.845703	-0.081543	-0.446777	0.637396	0.003806	-0.755179	-0.153022
