// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		6.162172	-1.619093	7.409866	0.001778	-0.005636	0.001816	-0.199463	0.369385	-0.617432	0.865343	-0.210998	-0.276305	-0.360994
23876		6.164660	-1.624293	7.444974	0.004414	-0.001583	-0.000478	-0.204834	0.367920	-0.627930	0.865346	-0.210970	-0.276331	-0.360985
23877		6.148384	-1.634211	7.438074	0.002804	-0.004049	0.000294	-0.205322	0.371338	-0.630859	0.865342	-0.210955	-0.276373	-0.360970
23878		6.162701	-1.590434	7.431586	-0.000415	-0.003789	0.002487	-0.201172	0.368164	-0.619873	0.865340	-0.210975	-0.276395	-0.360946
23879		6.141269	-1.653449	7.422706	0.002626	-0.003833	0.002402	-0.199951	0.363770	-0.624023	0.865343	-0.210972	-0.276426	-0.360916
23880		6.159904	-1.655638	7.445248	0.004649	-0.002770	-0.001507	-0.196533	0.370361	-0.624512	0.865341	-0.210943	-0.276460	-0.360911
23881		6.166271	-1.630036	7.424314	0.008245	-0.004046	-0.001707	-0.205566	0.362305	-0.625488	0.865343	-0.210893	-0.276514	-0.360897
23882		6.167243	-1.621297	7.443488	0.007868	-0.003031	-0.003700	-0.201904	0.370605	-0.620850	0.865340	-0.210837	-0.276562	-0.360899
23883		6.176314	-1.628883	7.435473	0.006871	-0.002507	-0.001314	-0.198242	0.375000	-0.622070	0.865344	-0.210793	-0.276599	-0.360888
23884		6.087027	-1.676075	7.445265	0.009947	-0.002940	-0.006529	-0.199707	0.376709	-0.621338	0.865337	-0.210716	-0.276656	-0.360906
23885		6.145387	-1.666195	7.418730	0.014718	-0.004958	-0.011222	-0.203125	0.369629	-0.625732	0.865322	-0.210601	-0.276742	-0.360942
23886		6.121839	-1.657099	7.438951	0.017117	-0.010107	-0.013782	-0.207031	0.374512	-0.621582	0.865292	-0.210482	-0.276875	-0.360981
