// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		9.455165	-0.290362	-2.673979	-0.010031	-0.005967	-0.008092	-0.691162	0.352783	0.452881	0.274649	-0.720905	-0.340995	-0.537202
25862		9.430945	-0.252934	-2.629659	-0.016846	-0.000949	-0.008349	-0.685791	0.360352	0.447510	0.274508	-0.720924	-0.340972	-0.537263
25863		9.442576	-0.243885	-2.624387	-0.022337	-0.001498	-0.007665	-0.697266	0.362549	0.446289	0.274347	-0.720961	-0.340918	-0.537331
25864		9.436415	-0.368117	-2.647780	-0.011836	-0.005230	-0.009844	-0.690918	0.358398	0.438477	0.274217	-0.720983	-0.340936	-0.537357
25865		9.430714	-0.322658	-2.652340	-0.002206	-0.003126	-0.012177	-0.690186	0.369629	0.444336	0.274141	-0.720967	-0.341005	-0.537372
25866		9.437368	-0.243428	-2.686458	-0.005421	-0.007764	-0.014019	-0.692871	0.361572	0.443604	0.274027	-0.720974	-0.341081	-0.537373
25867		9.429660	-0.259575	-2.610210	-0.005872	-0.009851	-0.016188	-0.694336	0.354248	0.445557	0.273892	-0.720985	-0.341174	-0.537368
25868		9.444823	-0.349701	-2.682831	0.003755	-0.013191	-0.022680	-0.695312	0.363525	0.451416	0.273777	-0.720969	-0.341356	-0.537333
25869		9.436327	-0.310868	-2.712385	0.028004	-0.007814	-0.022402	-0.684082	0.361816	0.452393	0.273827	-0.720875	-0.341630	-0.537258
25870		9.427492	-0.205174	-2.708939	0.013831	-0.009919	-0.022389	-0.692871	0.358154	0.446533	0.273787	-0.720826	-0.341845	-0.537209
25871		9.429714	-0.355261	-2.716955	0.003802	-0.011369	-0.025865	-0.689453	0.355713	0.448730	0.273663	-0.720795	-0.342043	-0.537187
25872		9.437345	-0.310529	-2.669825	0.002960	-0.013702	-0.035683	-0.690186	0.363525	0.450439	0.273487	-0.720753	-0.342297	-0.537171
25873		9.453500	-0.546352	-2.634715	0.016752	-0.013660	-0.044729	-0.688721	0.359619	0.443359	0.273357	-0.720654	-0.342666	-0.537135
25874		9.437829	-0.513516	-2.599494	0.052940	-0.025702	-0.059938	-0.694824	0.363525	0.444092	0.273363	-0.720487	-0.343298	-0.536953
25875		9.467440	-0.387553	-2.660687	0.049436	-0.027879	-0.075341	-0.696777	0.362305	0.454590	0.273294	-0.720295	-0.343996	-0.536799
25876		9.449731	-0.305052	-2.721587	0.022064	-0.035248	-0.081056	-0.692627	0.352295	0.444092	0.273025	-0.720183	-0.344615	-0.536688
25877		9.393915	-0.378403	-2.774565	0.019917	-0.034813	-0.092720	-0.687744	0.362549	0.447510	0.272687	-0.720040	-0.345293	-0.536616
25878		9.437873	-0.201876	-2.692278	0.037418	-0.027130	-0.100503	-0.690430	0.359619	0.444092	0.272452	-0.719813	-0.346073	-0.536538
25879		9.445922	-0.205795	-2.691331	0.054908	-0.023100	-0.106470	-0.692383	0.349609	0.450439	0.272303	-0.719506	-0.346958	-0.536453
25880		9.373778	-0.336046	-2.749484	0.061329	-0.030247	-0.101481	-0.685059	0.350830	0.444336	0.272188	-0.719226	-0.347866	-0.536299
25881		9.390318	-0.238463	-2.781407	0.064657	-0.020176	-0.109217	-0.692627	0.354980	0.450195	0.272083	-0.718876	-0.348808	-0.536210
25882		9.414142	-0.125617	-2.729297	0.033144	-0.025618	-0.108172	-0.701660	0.351318	0.441895	0.271799	-0.718635	-0.349610	-0.536155
25883		9.449899	-0.389293	-2.559287	0.048052	-0.031480	-0.126153	-0.692139	0.349365	0.445801	0.271505	-0.718326	-0.350587	-0.536080
25884		9.434125	-0.469866	-2.638449	0.078528	-0.039795	-0.139088	-0.696045	0.348145	0.443604	0.271313	-0.717941	-0.351800	-0.535898
25885		9.454366	-0.237505	-2.777718	0.061741	-0.044707	-0.140923	-0.692139	0.356689	0.442383	0.271032	-0.717611	-0.352930	-0.535740
25886		9.433972	-0.067466	-2.946548	0.034827	-0.040240	-0.144820	-0.696045	0.345459	0.439941	0.270597	-0.717323	-0.353946	-0.535675
25887		9.399317	-0.253260	-2.998414	0.008496	-0.041970	-0.156147	-0.703125	0.346436	0.444580	0.269908	-0.717063	-0.354928	-0.535721
25888		9.384986	-0.304633	-2.951241	0.007718	-0.030860	-0.168149	-0.699707	0.337402	0.446045	0.269233	-0.716742	-0.355945	-0.535815
25889		9.416815	-0.187925	-2.906846	-0.027102	-0.015756	-0.172468	-0.694336	0.336670	0.443115	0.268336	-0.716423	-0.356821	-0.536109
25890		9.423217	0.058259	-2.783798	-0.035664	-0.014838	-0.174409	-0.696045	0.345215	0.442383	0.267352	-0.716116	-0.357675	-0.536441
25891		9.415242	0.188600	-2.710699	-0.068534	-0.015114	-0.171943	-0.709961	0.343506	0.449219	0.266221	-0.715903	-0.358344	-0.536841
25892		9.457430	0.174448	-2.782817	-0.056566	-0.007938	-0.174465	-0.703857	0.339111	0.440186	0.265228	-0.715630	-0.359054	-0.537223
25893		9.462456	0.375383	-2.873931	-0.069684	0.006964	-0.161958	-0.705811	0.324463	0.438965	0.264176	-0.715320	-0.359601	-0.537787
25894		9.372977	0.329321	-3.016143	-0.118323	0.029302	-0.141788	-0.702637	0.325195	0.451904	0.262906	-0.715033	-0.359815	-0.538648
25895		9.394823	0.140993	-2.952838	-0.131045	0.039025	-0.121212	-0.708984	0.334717	0.446045	0.261676	-0.714824	-0.359906	-0.539463
25896		9.381537	0.390663	-2.792732	-0.106506	0.047050	-0.114284	-0.716064	0.330078	0.453857	0.260711	-0.714574	-0.359969	-0.540219
25897		9.376989	0.580767	-2.730450	-0.129430	0.040117	-0.095250	-0.712646	0.323730	0.440674	0.259670	-0.714470	-0.359865	-0.540927
25898		9.431965	0.352547	-2.766542	-0.137810	0.039535	-0.079584	-0.707764	0.313965	0.446777	0.258567	-0.714364	-0.359628	-0.541752
25899		9.439156	0.250008	-2.722586	-0.100868	0.044422	-0.078112	-0.713867	0.318604	0.449463	0.257649	-0.714139	-0.359620	-0.542490
25900		9.459660	0.417587	-2.727260	-0.090313	0.054057	-0.065305	-0.714355	0.316162	0.446045	0.256926	-0.713915	-0.359528	-0.543188
25901		9.417144	0.552744	-2.715080	-0.121724	0.059160	-0.048368	-0.711914	0.313232	0.442383	0.256095	-0.713762	-0.359185	-0.544008
25902		9.363793	0.419091	-2.780166	-0.133562	0.051647	-0.036730	-0.714600	0.312012	0.447266	0.255206	-0.713671	-0.358751	-0.544831
25903		9.403062	0.423822	-2.683752	-0.118258	0.055013	-0.027566	-0.718750	0.312744	0.457275	0.254447	-0.713580	-0.358335	-0.545578
25904		9.436862	0.598757	-2.656374	-0.104780	0.050881	-0.011593	-0.715088	0.311279	0.445068	0.253803	-0.713573	-0.357893	-0.546177
