// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		6.129217	-1.660298	7.456127	0.007186	-0.001726	-0.001499	-0.198486	0.365479	-0.612793	0.866191	-0.211689	-0.273004	-0.361068
25862		6.123350	-1.670488	7.463058	0.006006	-0.003637	-0.002791	-0.194336	0.371094	-0.618652	0.866185	-0.211650	-0.273054	-0.361068
25863		6.136683	-1.678018	7.430363	0.003308	-0.003557	-0.001736	-0.202881	0.372559	-0.623779	0.866180	-0.211634	-0.273085	-0.361065
25864		6.132845	-1.678537	7.454960	0.003227	-0.005379	-0.000335	-0.198730	0.373535	-0.625244	0.866172	-0.211627	-0.273134	-0.361050
25865		6.120982	-1.700129	7.468669	0.007655	-0.004308	-0.003327	-0.197754	0.380127	-0.622314	0.866166	-0.211577	-0.273194	-0.361049
25866		6.157149	-1.683792	7.432426	0.010260	-0.003994	-0.002320	-0.200684	0.372070	-0.620117	0.866168	-0.211512	-0.273256	-0.361035
25867		6.116289	-1.697304	7.432934	0.004815	-0.003332	-0.003420	-0.204102	0.370361	-0.621338	0.866159	-0.211483	-0.273301	-0.361041
25868		6.118499	-1.686344	7.450738	0.002932	-0.001371	-0.001970	-0.201904	0.375977	-0.615967	0.866155	-0.211467	-0.273322	-0.361044
25869		6.139863	-1.672431	7.428995	0.006607	-0.004899	-0.002807	-0.192383	0.374756	-0.618652	0.866147	-0.211434	-0.273379	-0.361038
25870		6.127954	-1.693501	7.442880	0.009752	-0.003129	-0.004365	-0.197998	0.370117	-0.622803	0.866144	-0.211372	-0.273437	-0.361039
25871		6.139073	-1.721865	7.434831	0.007971	-0.003779	-0.005640	-0.198486	0.366211	-0.622314	0.866132	-0.211324	-0.273495	-0.361050
25872		6.150063	-1.677350	7.421019	0.008847	-0.004615	-0.002696	-0.198242	0.375244	-0.619141	0.866129	-0.211285	-0.273556	-0.361035
25873		6.127560	-1.668080	7.442977	0.011115	-0.002010	-0.007199	-0.197510	0.373779	-0.625244	0.866121	-0.211214	-0.273614	-0.361051
25874		6.130375	-1.686515	7.442473	0.012094	-0.005458	-0.006978	-0.203125	0.380859	-0.625244	0.866109	-0.211148	-0.273698	-0.361057
25875		6.127071	-1.643112	7.443024	0.010915	-0.007370	-0.008269	-0.202637	0.375732	-0.614502	0.866085	-0.211096	-0.273794	-0.361069
25876		6.141036	-1.691384	7.434146	0.012341	-0.008968	-0.008551	-0.199219	0.366699	-0.621826	0.866060	-0.211037	-0.273907	-0.361079
25877		6.119420	-1.711744	7.437567	0.017661	-0.004198	-0.012552	-0.195801	0.373047	-0.618896	0.866044	-0.210918	-0.274008	-0.361112
25878		6.146783	-1.663665	7.469912	0.025703	-0.003946	-0.018929	-0.196777	0.376953	-0.623047	0.866024	-0.210732	-0.274136	-0.361170
25879		6.112961	-1.651123	7.421426	0.022915	-0.003470	-0.015809	-0.197021	0.366943	-0.617676	0.866009	-0.210576	-0.274245	-0.361214
25880		6.150950	-1.675396	7.469835	0.016944	-0.006485	-0.015000	-0.190186	0.365723	-0.626221	0.865981	-0.210466	-0.274360	-0.361259
