// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
21292		9.632903	0.286040	-1.837537	-0.019459	0.005893	-0.017638	-0.767090	-0.359619	-0.109375	0.577099	0.347654	-0.687613	0.270705
21293		9.633669	0.222167	-1.868830	-0.013551	0.001426	-0.021320	-0.769531	-0.341309	-0.102783	0.577195	0.347708	-0.687575	0.270529
21294		9.667917	0.159985	-1.875937	-0.002353	0.004284	-0.022468	-0.764404	-0.348145	-0.102295	0.577264	0.347802	-0.687508	0.270431
21295		9.684694	0.220643	-1.813669	0.010475	0.005922	-0.025461	-0.762451	-0.347412	-0.102051	0.577324	0.347984	-0.687383	0.270387
21296		9.664827	0.251288	-1.768993	0.014520	0.011219	-0.025395	-0.765869	-0.353027	-0.100342	0.577402	0.348172	-0.687223	0.270383
21297		9.673925	0.258692	-1.814942	0.011573	0.010321	-0.026927	-0.764893	-0.344727	-0.104736	0.577489	0.348355	-0.687069	0.270355
21298		9.631061	0.306217	-1.845268	0.001023	0.008759	-0.030592	-0.755615	-0.350098	-0.106201	0.577605	0.348510	-0.686936	0.270245
21299		9.661416	0.321352	-1.851392	-0.001259	0.003239	-0.031691	-0.759033	-0.354492	-0.109619	0.577699	0.348673	-0.686831	0.270101
21300		9.697386	0.274874	-1.861388	-0.001158	0.005061	-0.031889	-0.757568	-0.348633	-0.111328	0.577802	0.348834	-0.686717	0.269960
21301		9.667090	0.269914	-1.853401	0.006198	0.006279	-0.033495	-0.761963	-0.352295	-0.099854	0.577893	0.349036	-0.686578	0.269859
21302		9.670284	0.303069	-1.858695	0.019446	0.006749	-0.029915	-0.763916	-0.357422	-0.107178	0.577938	0.349279	-0.686419	0.269855
