// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		5.009549	2.010224	8.141352	0.002250	0.000075	-0.005524	-0.161865	-0.176514	-0.575439	0.951403	0.136143	-0.253762	0.109098
18881		5.021201	2.003016	8.126158	0.000747	0.000951	-0.000537	-0.168701	-0.172363	-0.582764	0.951405	0.136155	-0.253749	0.109095
18882		4.975523	2.023149	8.108781	-0.000975	-0.000120	0.000199	-0.171631	-0.166992	-0.579102	0.951406	0.136147	-0.253751	0.109095
18883		4.997732	2.039553	8.131681	-0.000519	-0.001782	0.000874	-0.167725	-0.177734	-0.573486	0.951401	0.136144	-0.253767	0.109098
18884		4.996774	2.007066	8.146777	0.000914	-0.003325	0.001349	-0.171631	-0.172119	-0.585693	0.951392	0.136154	-0.253794	0.109106
18885		4.972541	2.032520	8.142492	-0.000765	-0.004007	0.002935	-0.173096	-0.172607	-0.584961	0.951381	0.136149	-0.253829	0.109122
18886		5.005994	2.029963	8.140328	-0.000035	-0.006111	0.004797	-0.166992	-0.177490	-0.575195	0.951364	0.136150	-0.253880	0.109151
18887		5.010901	1.998184	8.130470	-0.004438	-0.005316	0.004070	-0.164551	-0.177002	-0.583740	0.951354	0.136119	-0.253928	0.109166
18888		4.999797	2.005374	8.145339	-0.000150	-0.004224	-0.000153	-0.168457	-0.177246	-0.585205	0.951345	0.136131	-0.253959	0.109156
18889		5.007020	2.017725	8.129697	0.001415	-0.004599	0.002873	-0.166748	-0.167725	-0.567627	0.951331	0.136151	-0.253994	0.109174
18890		5.001310	2.005260	8.144439	0.000852	-0.006771	0.002896	-0.162354	-0.177002	-0.576416	0.951313	0.136170	-0.254048	0.109187
18891		4.997131	2.025436	8.143697	0.003963	-0.007633	0.001784	-0.169922	-0.175293	-0.576904	0.951290	0.136218	-0.254102	0.109197
18892		4.989290	1.991209	8.139080	0.002425	-0.009924	0.002007	-0.170410	-0.171143	-0.577637	0.951264	0.136258	-0.254176	0.109201
18893		4.998389	2.014635	8.132567	0.001126	-0.007213	0.004083	-0.164062	-0.174072	-0.581055	0.951244	0.136280	-0.254230	0.109223
18894		5.012436	2.017805	8.126339	0.000714	-0.005161	0.004260	-0.172607	-0.174316	-0.579102	0.951229	0.136299	-0.254265	0.109247
18895		5.013437	2.017432	8.125814	-0.000824	-0.007452	0.004483	-0.170166	-0.173096	-0.583496	0.951210	0.136310	-0.254323	0.109265
18896		4.992331	2.043356	8.165100	-0.000595	-0.008284	0.004820	-0.168701	-0.166260	-0.581543	0.951188	0.136326	-0.254387	0.109286
18897		4.996297	2.000989	8.145391	0.002242	-0.008704	0.002519	-0.166016	-0.173096	-0.576172	0.951166	0.136369	-0.254446	0.109292
18898		4.992249	2.020850	8.144656	0.000242	-0.006554	0.005983	-0.167725	-0.181152	-0.584229	0.951147	0.136388	-0.254490	0.109324
18899		5.013207	2.036171	8.122998	-0.000181	-0.010336	0.004643	-0.163574	-0.173584	-0.583984	0.951123	0.136422	-0.254556	0.109339
18900		5.006967	1.990941	8.152665	0.000321	-0.011610	0.006167	-0.169434	-0.178467	-0.576660	0.951095	0.136453	-0.254633	0.109367
18901		5.016768	2.013982	8.145807	0.001984	-0.013986	0.006976	-0.167480	-0.179199	-0.582764	0.951057	0.136500	-0.254734	0.109398
18902		5.024106	2.078933	8.157873	-0.003165	-0.014140	0.006791	-0.161133	-0.168945	-0.583252	0.951027	0.136511	-0.254833	0.109419
18903		4.995161	2.026997	8.130014	-0.001503	-0.016516	0.007600	-0.171143	-0.172607	-0.587158	0.950992	0.136523	-0.254945	0.109451
18904		5.017408	2.041838	8.107648	-0.002019	-0.018299	0.008474	-0.168945	-0.176514	-0.587891	0.950950	0.136546	-0.255077	0.109480
18905		5.014642	2.039694	8.131104	-0.000983	-0.014734	0.006725	-0.171143	-0.185059	-0.583008	0.950916	0.136587	-0.255172	0.109502
18906		4.986954	1.998549	8.112847	-0.006511	-0.015501	0.009967	-0.170410	-0.176025	-0.577393	0.950881	0.136598	-0.255286	0.109528
18907		5.006356	2.033610	8.134553	-0.004652	-0.016042	0.007864	-0.170654	-0.172119	-0.582764	0.950845	0.136599	-0.255410	0.109544
18908		5.055503	2.044627	8.135437	-0.003571	-0.012089	0.006966	-0.175537	-0.172852	-0.581299	0.950820	0.136604	-0.255493	0.109564
18909		5.034980	2.005616	8.136630	-0.005233	-0.009712	0.006159	-0.167969	-0.178467	-0.581055	0.950798	0.136601	-0.255574	0.109571
18910		5.021813	1.990133	8.132349	-0.004474	-0.005704	0.003225	-0.174072	-0.179443	-0.578857	0.950790	0.136617	-0.255596	0.109566
18911		5.031806	2.023953	8.135767	-0.002846	-0.005413	0.000785	-0.168701	-0.181152	-0.581787	0.950779	0.136653	-0.255631	0.109537
18912		5.018055	2.030520	8.106874	-0.001262	-0.002733	0.001411	-0.167236	-0.176270	-0.580811	0.950775	0.136703	-0.255622	0.109529
18913		5.001323	2.057525	8.122143	-0.006960	0.000779	0.002774	-0.168213	-0.174561	-0.581543	0.950786	0.136683	-0.255593	0.109527
18914		5.044510	2.034772	8.095840	-0.014528	-0.001003	0.004721	-0.164062	-0.175537	-0.576660	0.950800	0.136598	-0.255589	0.109521
18915		5.034538	2.029661	8.145743	-0.014768	-0.003229	0.006780	-0.170410	-0.175537	-0.588135	0.950808	0.136508	-0.255602	0.109529
18916		5.042713	2.029198	8.165224	-0.014938	0.001050	0.004899	-0.165527	-0.180176	-0.581299	0.950826	0.136432	-0.255577	0.109529
18917		5.080214	2.004689	8.164076	-0.013205	0.005178	0.001766	-0.169434	-0.171143	-0.583984	0.950854	0.136386	-0.255505	0.109508
18918		5.014077	2.028502	8.144164	-0.016298	0.009101	0.000490	-0.172607	-0.174316	-0.577637	0.950895	0.136272	-0.255426	0.109482
18919		4.962012	2.045036	8.153101	-0.018245	0.008863	0.000891	-0.162842	-0.167480	-0.573242	0.950930	0.136156	-0.255377	0.109436
18920		4.987454	2.027704	8.167514	-0.017066	0.002030	0.005812	-0.163330	-0.170166	-0.577393	0.950958	0.136000	-0.255354	0.109440
18921		5.025316	2.045143	8.116852	-0.022305	0.001103	0.003928	-0.163574	-0.177490	-0.579834	0.950993	0.135828	-0.255325	0.109417
18922		5.023718	2.009052	8.133130	-0.024752	0.004914	0.006726	-0.170654	-0.169189	-0.577148	0.951034	0.135678	-0.255256	0.109410
18923		5.008993	1.969779	8.155074	-0.020674	0.001397	0.001488	-0.170166	-0.170654	-0.575195	0.951059	0.135526	-0.255266	0.109360
18924		4.991796	1.994990	8.171130	-0.015056	0.002942	-0.000052	-0.168945	-0.173828	-0.578369	0.951081	0.135427	-0.255256	0.109309
18925		5.009674	1.997874	8.141363	-0.013107	0.003180	-0.000453	-0.165771	-0.167969	-0.582275	0.951105	0.135366	-0.255219	0.109263
18926		4.957091	2.025262	8.115452	-0.014915	0.004104	0.002500	-0.166748	-0.165771	-0.576904	0.951141	0.135239	-0.255157	0.109252
18927		4.999638	1.958864	8.139089	-0.018536	0.003182	0.004487	-0.166748	-0.162354	-0.590332	0.951174	0.135066	-0.255131	0.109240
18928		5.010072	2.022959	8.128614	-0.018124	0.001129	0.004305	-0.168457	-0.171875	-0.571533	0.951214	0.134866	-0.255085	0.109247
18929		4.973635	2.031953	8.165492	-0.019981	-0.001103	0.002486	-0.167969	-0.170654	-0.587402	0.951229	0.134745	-0.255115	0.109196
18930		4.932592	2.017833	8.139136	-0.024131	-0.006874	0.007729	-0.162598	-0.172852	-0.579102	0.951246	0.134568	-0.255144	0.109194
18931		4.927863	2.001136	8.154282	-0.025646	-0.014907	0.013572	-0.159180	-0.169678	-0.586670	0.951247	0.134398	-0.255223	0.109215
18932		4.995773	2.034887	8.100693	-0.026341	-0.015474	0.014955	-0.166016	-0.180664	-0.583740	0.951263	0.134187	-0.255255	0.109261
18933		5.007228	1.957837	8.115166	-0.022812	-0.015325	0.011264	-0.165527	-0.180176	-0.576904	0.951253	0.134120	-0.255327	0.109257
18934		4.984588	2.001820	8.086341	-0.014217	-0.009969	0.007592	-0.156006	-0.165771	-0.582764	0.951244	0.134126	-0.255367	0.109238
18935		4.987199	1.967605	8.144966	-0.008786	-0.007203	0.006574	-0.159912	-0.173340	-0.570557	0.951272	0.134033	-0.255293	0.109279
18936		4.968040	2.024762	8.169514	-0.006812	-0.012409	0.005485	-0.165527	-0.169678	-0.577393	0.951263	0.134048	-0.255328	0.109259
18937		5.006573	1.946676	8.206283	-0.010905	-0.017495	0.005265	-0.164551	-0.160400	-0.578613	0.951244	0.133998	-0.255434	0.109240
18938		5.034409	2.068321	8.148782	-0.021560	-0.018419	0.008322	-0.166260	-0.167725	-0.578857	0.951244	0.133758	-0.255557	0.109248
18939		4.996273	1.935768	8.166513	-0.028358	-0.016491	0.013651	-0.162354	-0.161865	-0.575684	0.951240	0.133535	-0.255680	0.109264
18940		5.010686	1.901969	8.175250	-0.025397	-0.018511	0.009972	-0.167236	-0.164551	-0.583740	0.951245	0.133284	-0.255791	0.109265
18941		5.010927	1.854844	8.179668	-0.018138	-0.022108	0.005303	-0.162354	-0.172363	-0.580811	0.951232	0.133124	-0.255930	0.109247
18942		5.006889	1.776323	8.154990	-0.010764	-0.018795	-0.002427	-0.172607	-0.171387	-0.582764	0.951231	0.133124	-0.255970	0.109161
18943		5.030365	1.888164	8.156448	-0.003020	-0.015160	-0.007269	-0.166016	-0.170410	-0.579346	0.951207	0.133177	-0.256076	0.109063
18944		5.024502	1.950632	8.174858	0.000786	-0.012694	-0.005851	-0.165527	-0.172852	-0.579346	0.951199	0.133242	-0.256102	0.108987
18945		5.029545	1.920177	8.164169	0.002286	-0.008029	-0.002990	-0.169434	-0.169922	-0.583740	0.951197	0.133338	-0.256083	0.108935
18946		5.010930	1.926633	8.159691	0.005252	-0.007286	-0.002742	-0.167480	-0.165039	-0.583008	0.951189	0.133411	-0.256086	0.108911
18947		5.022286	1.887942	8.158387	0.009311	-0.010789	-0.007996	-0.172363	-0.168701	-0.579590	0.951183	0.133469	-0.256096	0.108866
18948		4.959836	1.948811	8.121400	0.013195	-0.013382	-0.006421	-0.168213	-0.165771	-0.576172	0.951143	0.133608	-0.256194	0.108818
18949		4.987712	1.914552	8.157628	0.010737	-0.015407	-0.005153	-0.173340	-0.172852	-0.580811	0.951113	0.133692	-0.256280	0.108775
18950		5.020548	1.925203	8.119780	0.015608	-0.011743	-0.008545	-0.169434	-0.165283	-0.584229	0.951070	0.133901	-0.256355	0.108711
18951		4.990711	1.919767	8.154568	0.014492	-0.013020	-0.010899	-0.168945	-0.175049	-0.576660	0.951055	0.133991	-0.256388	0.108653
18952		4.960099	2.032179	8.144039	0.016519	-0.017841	-0.011145	-0.172119	-0.173096	-0.577637	0.951010	0.134252	-0.256465	0.108550
18953		4.956146	2.022086	8.157115	0.009570	-0.023208	-0.003593	-0.166992	-0.170410	-0.583740	0.950946	0.134416	-0.256637	0.108495
18954		4.987158	2.083316	8.103492	-0.000334	-0.029622	0.010025	-0.167725	-0.176758	-0.583252	0.950900	0.134421	-0.256787	0.108539
18955		5.031955	2.080834	8.118353	-0.011973	-0.025527	0.020310	-0.181396	-0.172852	-0.572021	0.950857	0.134403	-0.256921	0.108623
18956		5.017464	1.986474	8.133619	-0.018249	-0.021812	0.024788	-0.166748	-0.166992	-0.572998	0.950760	0.134308	-0.257287	0.108721
18957		5.052167	1.968773	8.120811	-0.017220	-0.018240	0.023053	-0.169678	-0.167480	-0.573975	0.950738	0.134132	-0.257416	0.108829
18958		5.012923	1.985366	8.146757	-0.017086	-0.022917	0.024059	-0.174316	-0.167725	-0.583496	0.950694	0.133968	-0.257617	0.108941
18959		5.006388	1.935834	8.131589	-0.014036	-0.027237	0.024455	-0.168701	-0.169189	-0.579102	0.950633	0.133810	-0.257864	0.109076
18960		5.059602	1.933344	8.165526	-0.012368	-0.029623	0.025242	-0.174561	-0.162842	-0.576416	0.950581	0.133702	-0.258059	0.109205
18961		5.056322	1.927959	8.144418	-0.010008	-0.028372	0.022263	-0.166260	-0.159424	-0.580078	0.950511	0.133533	-0.258350	0.109327
18962		4.987081	1.980908	8.156572	-0.005425	-0.030404	0.022437	-0.173828	-0.170654	-0.575439	0.950480	0.133331	-0.258512	0.109459
18963		5.003338	1.991697	8.114376	-0.010151	-0.027466	0.029087	-0.176270	-0.172852	-0.574463	0.950399	0.133280	-0.258768	0.109620
18964		4.996896	2.016436	8.103065	-0.014846	-0.033048	0.037414	-0.168213	-0.171875	-0.581787	0.950289	0.133224	-0.259111	0.109831
18965		5.043443	1.988684	8.142215	-0.018054	-0.033653	0.042294	-0.166504	-0.166992	-0.578125	0.950230	0.133087	-0.259299	0.110073
18966		5.098120	1.983361	8.175817	-0.021383	-0.032654	0.048547	-0.168945	-0.171875	-0.581787	0.950179	0.132846	-0.259486	0.110358
18967		5.086619	1.961590	8.126130	-0.023029	-0.033344	0.050131	-0.171143	-0.161865	-0.581787	0.950117	0.132663	-0.259682	0.110648
18968		5.099238	1.944872	8.133524	-0.026440	-0.032414	0.049228	-0.181396	-0.165283	-0.574219	0.950066	0.132295	-0.259927	0.110950
18969		5.080566	1.963382	8.128335	-0.022825	-0.031501	0.047219	-0.174316	-0.164795	-0.575439	0.949950	0.132058	-0.260350	0.111233
18970		5.118827	1.932075	8.148764	-0.023500	-0.028998	0.046227	-0.172607	-0.161133	-0.570801	0.949879	0.131805	-0.260623	0.111502
18971		5.101507	1.887303	8.148934	-0.023947	-0.027331	0.045564	-0.168213	-0.163330	-0.578125	0.949818	0.131509	-0.260882	0.111763
18972		5.156247	1.882657	8.114786	-0.024290	-0.015664	0.039496	-0.177979	-0.166992	-0.574463	0.949822	0.131223	-0.260917	0.111984
18973		5.105033	1.926232	8.133151	-0.028633	-0.005931	0.038000	-0.174072	-0.171387	-0.572021	0.949793	0.130990	-0.261048	0.112201
18974		5.069825	1.888840	8.106994	-0.031362	-0.007499	0.038088	-0.173828	-0.163574	-0.577881	0.949771	0.130828	-0.261126	0.112396
18975		5.102876	1.877587	8.173574	-0.028896	-0.007850	0.033732	-0.178223	-0.163818	-0.578613	0.949774	0.130537	-0.261182	0.112579
18976		5.087636	1.909325	8.155120	-0.027857	-0.015883	0.036026	-0.174805	-0.162598	-0.583252	0.949735	0.130267	-0.261370	0.112779
18977		5.113419	1.909345	8.099211	-0.025281	-0.012388	0.031010	-0.172119	-0.164062	-0.584473	0.949735	0.129988	-0.261436	0.112951
18978		5.130283	1.895818	8.127507	-0.023565	-0.005878	0.030986	-0.177979	-0.168701	-0.573242	0.949760	0.129743	-0.261390	0.113129
18979		5.116861	1.876460	8.124143	-0.016372	0.001392	0.027700	-0.174805	-0.166504	-0.574707	0.949737	0.129696	-0.261426	0.113287
18980		5.149984	1.826531	8.171177	-0.008270	0.000586	0.019558	-0.177490	-0.158447	-0.566406	0.949734	0.129687	-0.261394	0.113401
18981		5.165013	1.733575	8.116317	0.004907	-0.000489	0.010716	-0.171387	-0.160645	-0.579834	0.949705	0.129692	-0.261464	0.113471
18982		5.124100	1.810068	8.104617	0.012553	0.006545	-0.002804	-0.177979	-0.166260	-0.580322	0.949751	0.129758	-0.261268	0.113472
18983		5.114822	1.841910	8.139659	0.016491	0.008100	-0.008220	-0.175049	-0.170166	-0.575684	0.949757	0.129969	-0.261151	0.113443
18984		5.017503	1.907001	8.107806	0.010445	0.008254	-0.007315	-0.174561	-0.154541	-0.575684	0.949769	0.130216	-0.261005	0.113396
18985		5.021826	1.992964	8.166366	-0.003024	0.000541	0.007439	-0.177979	-0.158447	-0.577148	0.949793	0.130035	-0.260988	0.113440
18986		5.017809	1.958157	8.137357	-0.013069	-0.007405	0.017636	-0.175049	-0.167480	-0.575928	0.949780	0.129834	-0.261094	0.113537
18987		5.040989	1.907012	8.120630	-0.011245	-0.014106	0.020247	-0.173828	-0.165283	-0.578369	0.949746	0.129828	-0.261178	0.113641
18988		5.082670	1.869802	8.151164	-0.012612	-0.015247	0.023014	-0.177490	-0.162598	-0.577881	0.949723	0.129754	-0.261242	0.113765
18989		5.116166	1.778453	8.133205	-0.006906	-0.015329	0.020075	-0.169678	-0.163818	-0.571289	0.949682	0.129688	-0.261372	0.113883
18990		5.147825	1.804812	8.139764	-0.000859	-0.011684	0.011359	-0.183105	-0.162354	-0.577637	0.949677	0.129734	-0.261348	0.113931
18991		5.178518	1.853889	8.122256	-0.002625	-0.003880	0.004158	-0.177002	-0.165771	-0.574707	0.949643	0.129725	-0.261466	0.113950
18992		5.139645	1.865546	8.115374	-0.001710	0.002019	-0.001625	-0.178711	-0.157471	-0.576660	0.949647	0.129805	-0.261424	0.113923
18993		5.086996	1.874029	8.114824	-0.004386	0.006287	0.000039	-0.169434	-0.160645	-0.577637	0.949672	0.129688	-0.261399	0.113908
18994		5.108109	1.814522	8.133837	-0.005400	0.016684	0.000832	-0.168945	-0.158691	-0.583008	0.949763	0.129605	-0.261113	0.113900
18995		5.136212	1.800140	8.123656	-0.006533	0.023956	-0.003161	-0.176270	-0.161865	-0.570068	0.949890	0.129453	-0.260740	0.113870
18996		5.143234	1.718104	8.105842	-0.000930	0.034723	-0.011807	-0.169922	-0.159668	-0.583252	0.949969	0.129483	-0.260469	0.113795
18997		5.163162	1.757796	8.151429	0.009360	0.047996	-0.026398	-0.167480	-0.157227	-0.575684	0.950141	0.129503	-0.259896	0.113644
18998		5.108316	1.825008	8.158852	0.012404	0.052898	-0.033122	-0.171143	-0.166504	-0.576660	0.950325	0.129542	-0.259293	0.113439
18999		4.999631	1.912191	8.130838	0.009962	0.048514	-0.034944	-0.167969	-0.160645	-0.577393	0.950466	0.129743	-0.258773	0.113216
19000		4.880592	2.006449	8.117524	0.011828	0.038392	-0.023671	-0.169189	-0.166504	-0.584229	0.950597	0.129822	-0.258311	0.113075
19001		5.063586	1.789378	8.160647	0.019317	0.031952	-0.030282	-0.167725	-0.168213	-0.579102	0.950708	0.130060	-0.257865	0.112894
19002		5.042051	1.801588	8.202726	0.029268	0.027528	-0.038156	-0.172119	-0.161133	-0.574707	0.950797	0.130445	-0.257443	0.112658
19003		5.022948	1.913638	8.155582	0.038545	0.020170	-0.047727	-0.168457	-0.158203	-0.582275	0.950848	0.130815	-0.257193	0.112375
19004		5.021813	1.966153	8.150906	0.034114	0.020614	-0.049281	-0.168457	-0.170898	-0.578369	0.950943	0.131049	-0.256850	0.112076
19005		5.005935	1.981975	8.167065	0.029825	0.021492	-0.042830	-0.159668	-0.162842	-0.578613	0.951009	0.131484	-0.256506	0.111798
19006		4.896525	2.060432	8.081612	0.027597	0.015557	-0.038869	-0.167480	-0.169434	-0.583740	0.951118	0.131732	-0.256089	0.111534
19007		4.910433	1.951747	8.164117	0.017915	0.002476	-0.026503	-0.170410	-0.169189	-0.569824	0.951155	0.131987	-0.255901	0.111346
19008		4.974456	1.951254	8.159275	0.020477	0.002183	-0.023698	-0.166504	-0.179199	-0.572510	0.951144	0.132315	-0.255846	0.111174
19009		4.976586	1.903712	8.173534	0.024601	0.004885	-0.026556	-0.167725	-0.173340	-0.583740	0.951147	0.132840	-0.255654	0.110970
19010		4.957382	2.000252	8.183341	0.021179	-0.005772	-0.023417	-0.166992	-0.168457	-0.584961	0.951152	0.133170	-0.255535	0.110807
19011		5.029371	2.012516	8.162366	0.023348	-0.009451	-0.021122	-0.163574	-0.174561	-0.584961	0.951157	0.133416	-0.255441	0.110679
19012		4.972727	2.066937	8.135240	0.018687	-0.006126	-0.013622	-0.169678	-0.169678	-0.582764	0.951176	0.133707	-0.255260	0.110585
19013		4.929204	2.036895	8.200941	0.014090	-0.007861	-0.005971	-0.161377	-0.166748	-0.581299	0.951162	0.133867	-0.255241	0.110554
19014		5.048688	1.877610	8.187492	0.022639	-0.013798	-0.011914	-0.168945	-0.167969	-0.578857	0.951174	0.134063	-0.255122	0.110493
19015		5.055223	1.809980	8.156397	0.035248	-0.008899	-0.023247	-0.165039	-0.167480	-0.576416	0.951149	0.134407	-0.255087	0.110366
19016		5.030934	2.046210	8.120505	0.035951	-0.002191	-0.029390	-0.166504	-0.172363	-0.577148	0.951160	0.134755	-0.254938	0.110195
19017		4.932650	2.188482	8.091093	0.024681	0.010382	-0.018736	-0.169434	-0.176025	-0.578613	0.951187	0.135055	-0.254726	0.110084
