// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		8.197187	-2.441917	4.792826	-0.001809	0.000847	-0.001836	-1.030273	0.274902	0.106445	0.094664	-0.497419	0.090306	-0.857588
20798		8.189702	-2.454660	4.792733	-0.003786	0.002662	-0.000064	-1.029053	0.278076	0.113525	0.094646	-0.497403	0.090335	-0.857597
20799		8.204744	-2.447088	4.811559	-0.006050	0.000396	-0.002199	-1.029053	0.264893	0.117188	0.094608	-0.497414	0.090373	-0.857590
20800		8.189740	-2.455299	4.792340	-0.007021	-0.002340	0.000412	-1.029785	0.267334	0.102539	0.094459	-0.497441	0.090367	-0.857592
20801		8.213505	-2.452248	4.782840	-0.008314	-0.001869	-0.004335	-1.031738	0.274658	0.112793	0.094300	-0.497467	0.090363	-0.857594
20802		8.197582	-2.443193	4.791500	-0.006373	-0.000517	-0.001329	-1.028564	0.271484	0.110840	0.094265	-0.497477	0.090403	-0.857588
20803		8.206517	-2.465355	4.781704	-0.003470	-0.003075	-0.000617	-1.026367	0.275146	0.115234	0.094223	-0.497504	0.090412	-0.857577
20804		8.197742	-2.443604	4.791016	-0.004925	0.005012	-0.002073	-1.035889	0.263428	0.107178	0.094215	-0.497473	0.090458	-0.857591
20805		8.201754	-2.445939	4.777408	-0.004476	0.001476	-0.001456	-1.024414	0.276123	0.117920	0.094186	-0.497467	0.090488	-0.857594
20806		8.222293	-2.475192	4.772892	-0.004667	0.002763	0.000585	-1.030273	0.270020	0.111816	0.094219	-0.497450	0.090549	-0.857594
20807		8.196471	-2.444753	4.838012	-0.002234	0.004062	-0.000886	-1.027832	0.262207	0.111572	0.094201	-0.497426	0.090569	-0.857607
20808		8.208804	-2.451631	4.796748	-0.003763	0.002339	0.001503	-1.032227	0.267090	0.115479	0.094070	-0.497416	0.090552	-0.857630
20809		8.196542	-2.444850	4.792433	-0.000661	0.005143	-0.000142	-1.034912	0.272705	0.114258	0.094065	-0.497382	0.090566	-0.857648
20810		8.200635	-2.464698	4.797649	-0.001198	0.005837	0.001202	-1.025635	0.267822	0.112305	0.094067	-0.497340	0.090590	-0.857670
20811		8.183671	-2.438350	4.789018	-0.001845	0.004012	0.002943	-1.033691	0.275879	0.115723	0.094035	-0.497312	0.090606	-0.857688
20812		8.195327	-2.463518	4.812870	-0.003732	0.008664	0.002752	-1.035156	0.264648	0.109375	0.094052	-0.497267	0.090668	-0.857706
20813		8.188063	-2.476203	4.767033	-0.001308	0.003317	0.001598	-1.023438	0.269531	0.112549	0.094039	-0.497235	0.090685	-0.857724
20814		8.195027	-2.463817	4.767854	-0.002100	0.006260	0.000284	-1.031006	0.268799	0.105713	0.094038	-0.497187	0.090719	-0.857748
20815		8.193892	-2.464476	4.814821	-0.000984	0.004229	0.000727	-1.028564	0.270264	0.116699	0.094041	-0.497151	0.090745	-0.857766
20816		8.189734	-2.444317	4.764525	-0.002254	0.004381	-0.002454	-1.033203	0.268555	0.106689	0.094018	-0.497130	0.090770	-0.857778
20817		8.176816	-2.437763	4.806571	-0.003114	0.004163	-0.000239	-1.031006	0.273926	0.107910	0.094004	-0.497099	0.090808	-0.857794
20818		8.201409	-2.468919	4.788623	-0.000122	0.004447	-0.001487	-1.021240	0.274414	0.108643	0.094004	-0.497064	0.090822	-0.857812
