// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		9.766459	0.087263	-1.197876	-0.014261	0.001596	-0.023751	-0.830566	0.057129	-0.336914	0.660125	-0.059008	-0.746587	-0.057972
20798		9.778292	0.058261	-1.223822	-0.006429	0.000567	-0.026286	-0.830566	0.060303	-0.332764	0.660112	-0.058880	-0.746594	-0.058157
20799		9.777692	0.062528	-1.190700	-0.001247	0.003966	-0.026991	-0.827637	0.048584	-0.330566	0.660120	-0.058722	-0.746588	-0.058314
20800		9.765458	0.075849	-1.157591	0.004535	0.002694	-0.029768	-0.827148	0.049561	-0.343262	0.660124	-0.058510	-0.746590	-0.058450
20801		9.750231	0.084355	-1.177036	0.008776	0.003368	-0.030221	-0.833496	0.055908	-0.330566	0.660136	-0.058273	-0.746589	-0.058563
20802		9.758396	0.123997	-1.176412	0.013864	0.000713	-0.030409	-0.828857	0.053223	-0.333496	0.660133	-0.058008	-0.746606	-0.058643
20803		9.769408	0.119366	-1.143210	0.010250	0.002901	-0.026222	-0.823730	0.057861	-0.325684	0.660145	-0.057788	-0.746606	-0.058725
20804		9.769729	0.148023	-1.149393	0.005477	0.000526	-0.026222	-0.838623	0.045654	-0.337646	0.660142	-0.057594	-0.746615	-0.058835
20805		9.789149	0.153473	-1.142301	-0.003537	0.001486	-0.021816	-0.825195	0.059814	-0.330322	0.660145	-0.057475	-0.746610	-0.058980
20806		9.781929	0.147038	-1.181770	-0.008287	-0.001384	-0.023922	-0.828613	0.048340	-0.333496	0.660129	-0.057369	-0.746617	-0.059167
20807		9.754587	0.139026	-1.195767	-0.010887	-0.002842	-0.022515	-0.829590	0.041016	-0.333252	0.660105	-0.057285	-0.746630	-0.059363
20808		9.777497	0.149534	-1.169686	-0.008616	-0.004770	-0.021785	-0.833008	0.047363	-0.326904	0.660069	-0.057194	-0.746655	-0.059540
20809		9.742636	0.155440	-1.197234	-0.004233	-0.003910	-0.023177	-0.835693	0.054932	-0.332031	0.660041	-0.057069	-0.746676	-0.059699
20810		9.789186	0.173108	-1.177238	-0.002915	-0.003671	-0.025982	-0.822754	0.047607	-0.329102	0.660013	-0.056917	-0.746699	-0.059867
20811		9.766003	0.170644	-1.204509	-0.006001	-0.003802	-0.025289	-0.833984	0.056641	-0.326172	0.659984	-0.056785	-0.746719	-0.060053
