// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		6.099449	-1.439838	7.529534	0.004204	-0.001323	0.001372	-0.698242	0.721191	-0.449219	0.528346	-0.317767	-0.121342	-0.777914
20798		6.105985	-1.426341	7.527304	0.004960	-0.002287	0.000762	-0.699707	0.720947	-0.443604	0.528362	-0.317761	-0.121382	-0.777900
20799		6.104652	-1.428300	7.506662	0.005716	-0.003252	0.000151	-0.698730	0.708740	-0.443848	0.528371	-0.317764	-0.121432	-0.777884
20800		6.125497	-1.434023	7.526468	0.006375	-0.005712	-0.000981	-0.699463	0.711670	-0.456543	0.528376	-0.317772	-0.121502	-0.777867
20801		6.111286	-1.440280	7.538754	0.008245	-0.003649	0.000792	-0.700684	0.718506	-0.446289	0.528399	-0.317760	-0.121570	-0.777846
20802		6.108285	-1.444769	7.497634	0.003696	-0.002089	0.000440	-0.699463	0.714844	-0.446777	0.528409	-0.317759	-0.121602	-0.777834
20803		6.101645	-1.435935	7.528500	0.003793	-0.000594	0.000962	-0.698730	0.716797	-0.440186	0.528424	-0.317748	-0.121628	-0.777824
20804		6.089436	-1.413148	7.526778	0.005265	-0.000050	-0.002591	-0.708252	0.705078	-0.449463	0.528421	-0.317725	-0.121670	-0.777829
20805		6.122865	-1.414041	7.513991	0.008303	0.000320	-0.001019	-0.694824	0.722900	-0.441895	0.528436	-0.317685	-0.121726	-0.777826
20806		6.097376	-1.465169	7.522975	0.006792	0.002251	0.000201	-0.697754	0.712891	-0.447754	0.528456	-0.317642	-0.121764	-0.777824
20807		6.117719	-1.422527	7.537405	0.007576	0.003270	-0.001315	-0.698975	0.706543	-0.445068	0.528471	-0.317589	-0.121803	-0.777830
20808		6.105635	-1.420901	7.507267	0.006283	0.001484	-0.000730	-0.701416	0.710449	-0.442627	0.528483	-0.317553	-0.121842	-0.777831
20809		6.102694	-1.449279	7.522183	0.009515	0.004844	0.001884	-0.705811	0.715088	-0.444824	0.528523	-0.317485	-0.121881	-0.777825
20810		6.099969	-1.429494	7.531083	0.005557	0.004433	-0.001027	-0.692139	0.709717	-0.446777	0.528535	-0.317436	-0.121903	-0.777834
20811		6.099209	-1.428480	7.531892	0.009064	0.008045	-0.000860	-0.703613	0.719727	-0.443115	0.528561	-0.317346	-0.121931	-0.777848
20812		6.092057	-1.440315	7.534955	0.008527	0.005294	-0.000884	-0.704102	0.710449	-0.448730	0.528581	-0.317279	-0.121968	-0.777856
20813		6.093000	-1.436681	7.556215	0.006507	0.006457	-0.000596	-0.693359	0.712402	-0.445557	0.528599	-0.317211	-0.121985	-0.777869
20814		6.080517	-1.435090	7.526403	0.007675	0.004765	-0.000797	-0.702393	0.711670	-0.455322	0.528622	-0.317147	-0.122014	-0.777875
20815		6.071424	-1.428189	7.537513	0.007264	0.005492	-0.001206	-0.698975	0.712646	-0.440430	0.528639	-0.317076	-0.122040	-0.777888
20816		6.115383	-1.405492	7.500344	0.008268	0.002794	-0.003355	-0.701660	0.709473	-0.453369	0.528642	-0.317024	-0.122084	-0.777900
20817		6.093778	-1.403002	7.544030	0.006504	-0.002233	-0.001364	-0.701904	0.716797	-0.450928	0.528647	-0.317005	-0.122143	-0.777895
20818		6.104547	-1.426954	7.525418	0.003659	0.000385	-0.001894	-0.691650	0.716797	-0.447510	0.528647	-0.316985	-0.122170	-0.777899
20819		6.079732	-1.430343	7.527940	0.003698	-0.002088	0.000442	-0.690430	0.709961	-0.445557	0.528667	-0.316985	-0.122194	-0.777882
20820		6.080046	-1.429714	7.527806	0.005651	-0.002762	-0.001275	-0.688721	0.701904	-0.441650	0.528677	-0.316977	-0.122241	-0.777871
20821		6.106945	-1.422462	7.545652	0.003630	-0.001599	-0.000987	-0.700928	0.715088	-0.447510	0.528676	-0.316971	-0.122275	-0.777869
20822		6.082317	-1.425741	7.548048	0.003467	-0.002605	-0.002935	-0.697266	0.715820	-0.448975	0.528663	-0.316977	-0.122314	-0.777869
20823		6.107753	-1.421061	7.545262	0.003370	-0.004100	-0.003456	-0.693115	0.708984	-0.443848	0.528654	-0.316986	-0.122353	-0.777866
20824		6.089871	-1.411302	7.545139	0.003409	-0.006572	-0.001120	-0.692871	0.707520	-0.446289	0.528651	-0.317016	-0.122401	-0.777848
20825		6.117799	-1.425711	7.533806	0.001156	-0.005928	-0.004208	-0.699219	0.713623	-0.445801	0.528624	-0.317037	-0.122443	-0.777851
