// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
24233		5.255256	-8.267649	-0.101789	0.003409	0.003479	-0.002002	-0.496338	0.774902	0.500000	0.330532	-0.618443	0.350347	-0.620914
24234		5.235862	-8.272570	-0.106829	0.002202	-0.001555	0.002505	-0.500000	0.770508	0.504883	0.330561	-0.618438	0.350344	-0.620905
24235		5.244270	-8.245360	-0.122670	-0.001725	-0.000623	0.001083	-0.500977	0.763672	0.505859	0.330481	-0.618459	0.350336	-0.620931
24236		5.239102	-8.237310	-0.111508	0.001890	0.001953	-0.001361	-0.500977	0.769775	0.501709	0.330355	-0.618467	0.350289	-0.621017
24237		5.240213	-8.253657	-0.098664	0.003625	0.000529	-0.004842	-0.497803	0.772705	0.501465	0.330272	-0.618480	0.350224	-0.621084
24238		5.260711	-8.265093	-0.080046	0.005579	0.002110	-0.001732	-0.491699	0.769287	0.501465	0.330265	-0.618462	0.350186	-0.621127
24239		5.251249	-8.269336	-0.119444	0.002913	-0.000513	-0.001169	-0.497803	0.768555	0.506104	0.330295	-0.618457	0.350170	-0.621126
24240		5.281149	-8.280419	-0.135918	0.000578	-0.000475	-0.001161	-0.500488	0.768799	0.498291	0.330251	-0.618468	0.350148	-0.621151
24241		5.246977	-8.277761	-0.095809	-0.001188	0.001136	0.000086	-0.500488	0.767822	0.504639	0.330178	-0.618476	0.350139	-0.621186
24242		5.247050	-8.277711	-0.096141	-0.004092	-0.000399	-0.001144	-0.500244	0.769287	0.501709	0.330087	-0.618503	0.350137	-0.621209
24243		5.225952	-8.239168	-0.095634	-0.002955	0.002747	0.001332	-0.505859	0.768311	0.509521	0.330020	-0.618501	0.350155	-0.621237
24244		5.246181	-8.261208	-0.109176	-0.004102	0.001649	0.001254	-0.501465	0.766113	0.506348	0.329901	-0.618514	0.350164	-0.621282
24245		5.231943	-8.274179	-0.126273	-0.005694	0.002543	-0.000176	-0.500000	0.775879	0.511230	0.329797	-0.618524	0.350185	-0.621315
