// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
24233		3.961696	8.279835	-3.504875	0.002676	0.001089	-0.015059	-0.422363	-0.815186	-0.199707	0.467990	0.412180	-0.713065	-0.320362
24234		3.959864	8.280555	-3.505244	0.005710	0.005256	-0.014180	-0.422607	-0.820557	-0.197021	0.467964	0.412301	-0.713011	-0.320366
24235		3.951233	8.287775	-3.487592	0.007568	0.000856	-0.013924	-0.425537	-0.825195	-0.196045	0.467897	0.412439	-0.712968	-0.320379
24236		3.942583	8.295031	-3.469872	0.004199	0.004228	-0.013955	-0.426514	-0.821533	-0.202148	0.467868	0.412560	-0.712909	-0.320399
24237		3.946011	8.309209	-3.472897	0.000219	0.003740	-0.013125	-0.420410	-0.818848	-0.200684	0.467858	0.412633	-0.712859	-0.320430
24238		3.938748	8.309272	-3.486001	-0.001712	0.004761	-0.013716	-0.418213	-0.821045	-0.199951	0.467851	0.412745	-0.712771	-0.320490
24239		3.930776	8.321858	-3.515785	0.003227	0.003681	-0.014921	-0.422852	-0.821533	-0.197266	0.467811	0.412907	-0.712681	-0.320541
24240		3.935081	8.310902	-3.486257	0.007265	0.005433	-0.016758	-0.425781	-0.822998	-0.202881	0.467773	0.413057	-0.712615	-0.320551
24241		3.938703	8.312406	-3.473541	0.006598	0.000309	-0.014894	-0.425781	-0.825684	-0.201660	0.467715	0.413160	-0.712584	-0.320570
24242		3.935441	8.320673	-3.442263	0.003765	0.004159	-0.016118	-0.421875	-0.821777	-0.200439	0.467686	0.413279	-0.712520	-0.320602
24243		3.942193	8.294900	-3.475848	-0.003234	0.001612	-0.014832	-0.428467	-0.822266	-0.193359	0.467669	0.413368	-0.712441	-0.320688
24244		3.922255	8.300913	-3.483855	-0.002195	0.005538	-0.013538	-0.425049	-0.826172	-0.197021	0.467687	0.413409	-0.712388	-0.320726
24245		3.929443	8.275039	-3.517223	0.001726	0.004765	-0.013364	-0.423096	-0.817139	-0.195557	0.467682	0.413503	-0.712319	-0.320765
24246		3.924030	8.315994	-3.486571	0.003980	0.004193	-0.015045	-0.420166	-0.820801	-0.206055	0.467656	0.413597	-0.712273	-0.320785
24247		3.935368	8.298378	-3.475280	0.003922	0.002928	-0.014040	-0.426758	-0.821533	-0.200684	0.467646	0.413706	-0.712191	-0.320841
24248		3.928170	8.298141	-3.488996	0.002638	0.004047	-0.011397	-0.426758	-0.824219	-0.197998	0.467644	0.413758	-0.712155	-0.320858
