// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52889		7.040782	-6.834783	0.436430	0.056295	0.002085	0.011946	-0.151855	0.748779	0.006348	0.650527	-0.648824	-0.240223	-0.313266
52890		7.068914	-6.875634	0.324790	0.044423	0.004021	0.020152	-0.158691	0.741211	0.010498	0.650829	-0.648615	-0.240204	-0.313086
52891		7.162150	-6.820977	0.316193	0.029673	-0.001839	0.027624	-0.161133	0.748535	0.004395	0.651057	-0.648515	-0.240142	-0.312866
52892		7.172683	-6.771288	0.384707	0.024057	-0.007051	0.022783	-0.147705	0.748779	0.009277	0.651229	-0.648451	-0.240122	-0.312656
52893		7.102869	-6.672782	0.376096	0.022096	0.001480	0.010516	-0.157471	0.753662	0.001465	0.651374	-0.648351	-0.240119	-0.312564
52894		7.080544	-6.644039	0.330707	0.027539	-0.000876	0.000334	-0.156250	0.749268	0.007080	0.651513	-0.648207	-0.240204	-0.312507
52895		7.071631	-6.687444	0.301204	0.030492	-0.022575	-0.007433	-0.159180	0.745850	0.003174	0.651599	-0.648089	-0.240462	-0.312372
52896		7.073918	-6.751619	0.323173	0.022375	-0.033167	-0.003749	-0.153076	0.747803	0.008301	0.651623	-0.648055	-0.240744	-0.312179
52897		7.096503	-6.846273	0.312096	0.023688	-0.034415	-0.005141	-0.153564	0.741943	-0.000977	0.651642	-0.648017	-0.241047	-0.311983
52898		7.101693	-6.869578	0.317530	0.034841	-0.025631	-0.010590	-0.146973	0.745850	0.007080	0.651719	-0.647891	-0.241364	-0.311839
52899		7.085325	-6.843110	0.364023	0.035665	-0.024254	-0.008525	-0.154541	0.749756	0.001953	0.651803	-0.647768	-0.241665	-0.311686
