// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52889		9.746062	-0.221962	-1.023698	0.023360	-0.004667	-0.023548	-0.748047	0.241943	0.280029	0.272754	-0.686407	-0.288175	-0.609430
52890		9.729502	-0.252775	-1.068303	0.019935	0.003740	-0.022141	-0.755615	0.235107	0.287109	0.272772	-0.686293	-0.288390	-0.609450
52891		9.740317	-0.103827	-1.048556	0.032057	0.001917	-0.025230	-0.758789	0.241211	0.281494	0.272832	-0.686150	-0.288693	-0.609441
52892		9.709489	0.063301	-0.989369	0.022927	0.000587	-0.019053	-0.750977	0.244873	0.287842	0.272866	-0.686048	-0.288918	-0.609433
52893		9.738532	-0.071887	-1.067947	0.011561	-0.002921	-0.016170	-0.760010	0.241943	0.277100	0.272835	-0.685992	-0.289083	-0.609431
52894		9.729728	-0.054369	-1.057755	0.013294	-0.002947	-0.012016	-0.756592	0.243164	0.283203	0.272831	-0.685942	-0.289237	-0.609417
52895		9.731522	-0.079277	-1.039007	0.024049	-0.006443	-0.008674	-0.761475	0.238525	0.278809	0.272891	-0.685890	-0.289440	-0.609352
52896		9.720859	-0.130519	-1.053822	0.032355	-0.005373	-0.006138	-0.752930	0.240479	0.284424	0.273009	-0.685818	-0.289672	-0.609270
52897		9.753009	-0.100632	-1.051113	0.036765	-0.008048	-0.004756	-0.757324	0.236084	0.278076	0.273149	-0.685751	-0.289928	-0.609161
52898		9.750631	-0.135334	-1.043739	0.031798	-0.005446	-0.003927	-0.748779	0.235596	0.280273	0.273267	-0.685681	-0.290152	-0.609080
52899		9.720121	-0.190927	-1.029240	0.025703	-0.012168	-0.005222	-0.753418	0.241455	0.279053	0.273324	-0.685654	-0.290371	-0.608981
52900		9.772620	-0.277968	-1.021673	0.011272	-0.010425	-0.004071	-0.757812	0.236328	0.272949	0.273309	-0.685651	-0.290505	-0.608926
