// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		11.214956	-1.661128	-5.934586	2.833777	2.592946	2.693229	-0.708008	-0.092773	0.334473	0.383155	0.514978	-0.685476	0.343675
52132		10.241951	-2.768387	-5.684300	2.690184	2.353206	2.668559	-0.714844	-0.046875	0.314453	0.377119	0.500620	-0.681259	0.378215
52133		10.172955	-2.695114	-5.491475	2.559061	2.056900	2.564441	-0.717285	0.004150	0.276123	0.368445	0.486508	-0.677765	0.410113
52134		9.981505	-2.641542	-4.798807	2.116448	1.970662	2.422125	-0.729492	0.041260	0.253662	0.359705	0.471265	-0.675726	0.438082
52135		9.319243	-2.706032	-4.447457	1.787111	1.784833	2.157049	-0.736572	0.091064	0.230469	0.351545	0.457094	-0.674303	0.461299
52136		8.232656	-2.249176	-3.982224	1.530148	1.446022	1.797954	-0.729736	0.115967	0.208496	0.343711	0.446147	-0.673574	0.478659
52137		6.899736	-1.668968	-3.349752	1.005593	1.027809	1.348487	-0.730713	0.137695	0.184570	0.338042	0.439298	-0.674381	0.487807
52138		5.546251	-1.695183	-2.959016	0.295294	0.544413	0.768897	-0.719238	0.143066	0.182373	0.335859	0.436966	-0.676922	0.487889
52139		4.904887	-2.442063	-2.914833	-0.231908	-0.093790	0.097347	-0.723389	0.149414	0.192871	0.334840	0.439673	-0.680947	0.480501
52140		5.481232	-2.358319	-4.162762	-0.403277	-0.722223	-0.505718	-0.729248	0.137451	0.201904	0.332033	0.446758	-0.685623	0.469130
52141		5.971178	-1.369523	-4.744993	-0.576460	-1.184348	-0.957320	-0.721680	0.112793	0.208496	0.327793	0.457700	-0.691162	0.453164
52142		6.729313	-0.634414	-5.605935	-0.760478	-1.565858	-1.285443	-0.730469	0.108398	0.235107	0.323462	0.472108	-0.696791	0.432399
52143		10.988118	-10.130751	2.706642	-2.078383	-0.625755	-0.605698	-0.724609	0.085938	0.244629	0.328061	0.476300	-0.706560	0.407783
52144		8.284673	-13.641351	6.762267	-1.448162	0.224697	0.207608	-0.722412	0.090088	0.239746	0.332852	0.467022	-0.711068	0.406794
52145		5.028411	-9.425782	1.853175	0.091232	-0.551685	-0.201271	-0.724854	0.082520	0.252441	0.327144	0.460237	-0.708130	0.423923
