// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
36942		0.344812	-9.583345	-1.815943	0.004655	0.008985	-0.001202	-0.190186	0.944092	0.493652	0.318684	-0.408435	0.652864	-0.552621
36943		0.332269	-9.574860	-1.829547	-0.000106	0.004625	0.002560	-0.193115	0.949219	0.488037	0.318670	-0.408400	0.652886	-0.552630
36944		0.311800	-9.559706	-1.832580	0.002625	0.004754	0.004580	-0.193848	0.945801	0.489746	0.318675	-0.408343	0.652897	-0.552656
36945		0.318745	-9.553841	-1.851453	-0.008089	0.002855	0.002670	-0.193359	0.936035	0.486084	0.318644	-0.408336	0.652951	-0.552614
36946		0.327819	-9.602258	-1.876453	-0.015848	0.007246	0.005478	-0.192139	0.944092	0.482422	0.318576	-0.408315	0.653063	-0.552537
36947		0.352544	-9.619038	-1.850340	-0.008441	0.008836	0.004413	-0.195801	0.941895	0.489502	0.318520	-0.408273	0.653142	-0.552506
36948		0.326840	-9.651580	-1.848417	-0.003020	0.003714	0.003148	-0.186035	0.950684	0.493652	0.318503	-0.408248	0.653180	-0.552491
36949		0.359113	-9.638021	-1.854198	0.003636	0.001842	0.003114	-0.186768	0.952881	0.483887	0.318519	-0.408213	0.653182	-0.552505
36950		0.338903	-9.610569	-1.864029	0.010216	0.007123	0.000910	-0.190430	0.944824	0.491455	0.318517	-0.408150	0.653160	-0.552578
36951		0.304260	-9.557477	-1.859388	0.012218	0.008823	-0.000144	-0.179688	0.948486	0.492432	0.318508	-0.408080	0.653132	-0.552668
36952		0.284327	-9.530014	-1.869264	0.001228	0.005756	0.001857	-0.194580	0.945801	0.488525	0.318487	-0.408042	0.653156	-0.552680
36953		0.271354	-9.583708	-1.844871	-0.003365	0.007190	0.004261	-0.193115	0.943848	0.486084	0.318456	-0.407995	0.653217	-0.552660
36954		0.285647	-9.634239	-1.844068	-0.007522	0.005538	0.004246	-0.183838	0.947510	0.488281	0.318422	-0.407965	0.653296	-0.552608
36955		0.330672	-9.629123	-1.836489	-0.000344	0.003475	0.001116	-0.189453	0.946289	0.493164	0.318413	-0.407939	0.653329	-0.552594
36956		0.336024	-9.568811	-1.849960	0.003905	0.005517	-0.000173	-0.196533	0.940430	0.490234	0.318401	-0.407901	0.653342	-0.552613
36957		0.296048	-9.575889	-1.832548	0.006396	0.004498	0.000406	-0.192383	0.948730	0.498779	0.318403	-0.407860	0.653343	-0.552642
36958		0.278255	-9.615407	-1.839576	0.004824	0.002218	-0.000335	-0.191895	0.951172	0.485840	0.318413	-0.407835	0.653348	-0.552647
36959		0.320500	-9.625710	-1.883847	-0.003919	-0.000505	0.001427	-0.187256	0.950439	0.479248	0.318422	-0.407828	0.653393	-0.552596
36960		0.348723	-9.590088	-1.826892	-0.002499	0.003524	0.000047	-0.184326	0.944092	0.488281	0.318407	-0.407801	0.653438	-0.552571
36961		0.368931	-9.617684	-1.816299	-0.002737	0.002377	-0.001396	-0.193848	0.952393	0.489014	0.318386	-0.407797	0.653477	-0.552539
36962		0.338952	-9.611043	-1.861574	0.000270	0.003675	-0.003287	-0.186523	0.948242	0.478760	0.318360	-0.407794	0.653497	-0.552534
36963		0.326640	-9.639915	-1.852033	0.004809	0.007229	0.000918	-0.187988	0.945068	0.484619	0.318348	-0.407726	0.653515	-0.552569
36964		0.304579	-9.570339	-1.849529	0.008973	0.006374	0.000307	-0.188477	0.946289	0.487549	0.318348	-0.407665	0.653512	-0.552618
36965		0.330008	-9.537871	-1.851155	0.005138	0.008764	0.001054	-0.192383	0.945557	0.490479	0.318327	-0.407603	0.653539	-0.552643
36966		0.304659	-9.558115	-1.856043	-0.005184	0.006268	0.002700	-0.190674	0.942139	0.481689	0.318284	-0.407583	0.653613	-0.552595
36967		0.301329	-9.622990	-1.879032	-0.011250	0.003306	0.002431	-0.193359	0.950195	0.485840	0.318237	-0.407577	0.653699	-0.552526
