// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
36942		9.339517	2.260922	-2.120640	0.008261	-0.009638	0.008999	-1.036621	-0.107910	-0.327637	0.606212	-0.012922	-0.779447	-0.157489
36943		9.347391	2.256418	-2.141639	-0.008639	-0.018509	0.007831	-1.039795	-0.101807	-0.329102	0.606101	-0.013040	-0.779528	-0.157504
36944		9.339833	2.222507	-2.187147	-0.020794	-0.020310	0.008383	-1.040527	-0.102295	-0.328613	0.605979	-0.013234	-0.779602	-0.157592
36945		9.334588	2.202773	-2.233863	-0.007253	-0.014329	0.010703	-1.041992	-0.111328	-0.333984	0.605899	-0.013359	-0.779664	-0.157583
36946		9.334194	2.219159	-2.204591	0.010306	-0.006304	0.011614	-1.040283	-0.103516	-0.334717	0.605872	-0.013392	-0.779710	-0.157454
36947		9.321945	2.288645	-2.109353	0.016163	-0.003664	0.009038	-1.041504	-0.107666	-0.331787	0.605858	-0.013376	-0.779753	-0.157299
36948		9.353706	2.300690	-2.077320	0.009580	-0.016471	0.004309	-1.032471	-0.096191	-0.324463	0.605753	-0.013378	-0.779851	-0.157211
36949		9.379574	2.304706	-2.138123	-0.006369	-0.018914	0.004708	-1.034912	-0.096191	-0.335205	0.605634	-0.013465	-0.779939	-0.157227
36950		9.345115	2.276479	-2.172552	-0.019629	-0.011242	0.005104	-1.040039	-0.105713	-0.331055	0.605564	-0.013610	-0.779971	-0.157330
36951		9.322204	2.239791	-2.131088	-0.013124	-0.005634	0.001086	-1.026611	-0.102051	-0.326416	0.605523	-0.013688	-0.779985	-0.157412
36952		9.279056	2.251804	-2.083688	-0.004107	-0.007900	-0.001977	-1.040771	-0.102295	-0.328369	0.605465	-0.013704	-0.780022	-0.157450
36953		9.328436	2.266274	-2.168574	-0.001159	-0.010501	-0.010712	-1.038574	-0.105469	-0.331299	0.605381	-0.013651	-0.780075	-0.157514
36954		9.307572	2.227338	-2.160418	0.011210	-0.007301	-0.012847	-1.028076	-0.104492	-0.330811	0.605314	-0.013516	-0.780130	-0.157509
36955		9.315822	2.286409	-2.167622	0.027690	0.001225	-0.015096	-1.036621	-0.101807	-0.325195	0.605301	-0.013275	-0.780165	-0.157407
36956		9.284368	2.343642	-2.111238	0.014020	-0.001637	-0.017812	-1.043213	-0.110596	-0.329346	0.605260	-0.013087	-0.780200	-0.157409
36957		9.363921	2.331385	-2.143382	-0.021228	-0.009536	-0.024471	-1.036621	-0.104736	-0.317871	0.605155	-0.013035	-0.780227	-0.157681
36958		9.387304	2.219353	-2.227313	-0.025695	-0.005528	-0.025567	-1.037109	-0.101318	-0.336182	0.605073	-0.012994	-0.780228	-0.157993
36959		9.380272	2.233479	-2.287947	-0.005103	0.004528	-0.026744	-1.035889	-0.097900	-0.336670	0.605060	-0.012833	-0.780206	-0.158168
36960		9.334116	2.252668	-2.206270	0.019724	0.012996	-0.026445	-1.030518	-0.106689	-0.329346	0.605096	-0.012545	-0.780182	-0.158172
36961		9.332448	2.292885	-2.143979	0.019858	0.002170	-0.032316	-1.042480	-0.099854	-0.328857	0.605047	-0.012228	-0.780218	-0.158203
36962		9.336901	2.279887	-2.162442	0.010338	-0.009380	-0.033676	-1.034180	-0.103760	-0.336182	0.604913	-0.011974	-0.780305	-0.158303
36963		9.364492	2.294270	-2.175289	-0.016603	-0.003278	-0.030626	-1.032471	-0.108887	-0.335449	0.604835	-0.011862	-0.780315	-0.158562
36964		9.312803	2.295793	-2.139010	-0.027130	-0.004567	-0.024292	-1.033203	-0.105713	-0.328857	0.604756	-0.011836	-0.780317	-0.158856
36965		9.335903	2.220475	-2.159907	-0.030969	0.002409	-0.026831	-1.035156	-0.108887	-0.327881	0.604713	-0.011815	-0.780283	-0.159190
36966		9.346548	2.137779	-2.126862	-0.015397	0.014225	-0.028441	-1.035889	-0.110107	-0.335938	0.604742	-0.011687	-0.780215	-0.159424
36967		9.378998	2.127408	-2.074166	0.025311	0.014316	-0.027468	-1.040039	-0.105225	-0.335205	0.604793	-0.011367	-0.780189	-0.159375
36968		9.442510	2.281376	-2.104747	0.033203	0.019077	-0.024147	-1.041504	-0.111084	-0.331787	0.604886	-0.011056	-0.780149	-0.159244
36969		9.460917	2.423975	-2.163439	-0.005429	0.017253	-0.018038	-1.032227	-0.106445	-0.332764	0.604965	-0.010971	-0.780071	-0.159331
36970		9.460650	2.411200	-2.316861	-0.052083	0.012539	-0.012388	-1.031982	-0.107666	-0.328369	0.605039	-0.011163	-0.779934	-0.159706
36971		9.407301	2.328340	-2.367124	-0.046220	0.008830	-0.015882	-1.034912	-0.108154	-0.329346	0.605058	-0.011296	-0.779845	-0.160059
36972		9.388704	2.316179	-2.403656	-0.004889	0.014410	-0.022874	-1.027588	-0.110596	-0.330322	0.605087	-0.011172	-0.779801	-0.160175
