// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
36942		8.960789	-1.572821	-3.750576	0.019300	-0.010611	-0.003899	-0.927246	-0.088135	0.760498	-0.123120	-0.766395	0.321215	-0.542496
36943		8.958194	-1.536588	-3.732043	0.009672	-0.005282	-0.003645	-0.929199	-0.083008	0.757812	-0.123061	-0.766438	0.321154	-0.542484
36944		8.923506	-1.620962	-3.754175	-0.000550	-0.002417	-0.001544	-0.930664	-0.086914	0.757080	-0.123060	-0.766449	0.321150	-0.542471
36945		8.910478	-1.624353	-3.748812	-0.000988	-0.001383	-0.002976	-0.930664	-0.095459	0.753418	-0.123076	-0.766462	0.321138	-0.542456
36946		8.947065	-1.576169	-3.746892	-0.001352	-0.003796	0.000171	-0.930664	-0.087158	0.750244	-0.123071	-0.766477	0.321150	-0.542429
36947		8.959874	-1.572005	-3.753104	-0.002250	-0.002863	-0.003861	-0.932129	-0.091797	0.758789	-0.123094	-0.766498	0.321140	-0.542400
36948		8.930513	-1.591069	-3.719851	0.000505	0.000147	-0.000791	-0.922607	-0.079834	0.760986	-0.123092	-0.766500	0.321134	-0.542402
36949		8.913215	-1.599917	-3.727483	0.007720	-0.004687	-0.002706	-0.922852	-0.078369	0.752686	-0.123040	-0.766535	0.321088	-0.542391
36950		8.940107	-1.610890	-3.748732	0.007557	-0.001332	-0.000504	-0.928223	-0.086426	0.758301	-0.122986	-0.766548	0.321055	-0.542404
36951		8.918369	-1.613551	-3.724330	0.007097	-0.001433	-0.003104	-0.918213	-0.084717	0.761719	-0.122944	-0.766568	0.321009	-0.542413
36952		8.917292	-1.595032	-3.714710	0.001492	-0.000694	-0.003540	-0.932617	-0.083984	0.758057	-0.122939	-0.766579	0.320986	-0.542413
36953		8.927970	-1.620894	-3.708129	-0.001011	-0.002519	-0.004143	-0.929688	-0.088623	0.755859	-0.122946	-0.766595	0.320973	-0.542395
36954		8.949556	-1.617966	-3.733009	-0.000342	-0.003502	-0.001411	-0.921387	-0.085693	0.754150	-0.122931	-0.766607	0.320978	-0.542379
36955		8.917165	-1.593378	-3.715725	0.000800	-0.000846	-0.007439	-0.927490	-0.082520	0.761230	-0.122940	-0.766623	0.320937	-0.542379
36956		8.928322	-1.630174	-3.753741	0.000385	0.001323	-0.007704	-0.933105	-0.089355	0.758057	-0.122956	-0.766627	0.320896	-0.542393
36957		8.926329	-1.659239	-3.741066	0.002337	0.000731	-0.008645	-0.929199	-0.084473	0.766602	-0.122959	-0.766637	0.320845	-0.542409
36958		8.936197	-1.599499	-3.717669	0.007185	-0.001338	-0.009886	-0.929199	-0.082520	0.754395	-0.122919	-0.766665	0.320768	-0.542424
36959		8.936598	-1.543125	-3.755950	0.005626	-0.004049	-0.009847	-0.926025	-0.081055	0.751221	-0.122888	-0.766699	0.320705	-0.542420
36960		8.938680	-1.567075	-3.730594	0.003049	-0.000204	-0.009305	-0.922852	-0.089844	0.753662	-0.122888	-0.766715	0.320650	-0.542430
36961		8.920516	-1.623296	-3.735220	-0.000439	-0.001190	-0.007158	-0.928955	-0.080322	0.757568	-0.122907	-0.766729	0.320621	-0.542423
36962		8.944364	-1.578162	-3.727280	-0.003083	0.001473	-0.004391	-0.923340	-0.083496	0.751221	-0.122910	-0.766716	0.320626	-0.542438
36963		8.941225	-1.589133	-3.704955	-0.002073	0.001768	-0.005974	-0.923584	-0.086182	0.752930	-0.122936	-0.766708	0.320613	-0.542451
36964		8.928680	-1.603537	-3.744171	0.003927	-0.002270	-0.006440	-0.925293	-0.086426	0.757568	-0.122915	-0.766725	0.320572	-0.542456
36965		8.938319	-1.610899	-3.727891	0.002479	-0.001531	-0.006290	-0.928711	-0.084717	0.759277	-0.122892	-0.766738	0.320539	-0.542462
36966		8.913572	-1.636144	-3.726362	0.007350	-0.002463	-0.006364	-0.928467	-0.089844	0.752441	-0.122823	-0.766756	0.320488	-0.542483
36967		8.923645	-1.599951	-3.793121	0.013416	-0.005317	-0.009054	-0.931885	-0.084717	0.753662	-0.122748	-0.766790	0.320403	-0.542501
36968		8.919162	-1.593060	-3.761489	0.013525	-0.001865	-0.008945	-0.932373	-0.087891	0.756836	-0.122655	-0.766805	0.320322	-0.542550
36969		8.935601	-1.632023	-3.750676	0.007632	0.005622	-0.008370	-0.922852	-0.084717	0.756348	-0.122619	-0.766783	0.320261	-0.542625
36970		8.938524	-1.667628	-3.768854	0.006962	0.006605	-0.011103	-0.922852	-0.084961	0.759521	-0.122602	-0.766790	0.320170	-0.542673
36971		8.920776	-1.590247	-3.758851	0.011286	0.003260	-0.012720	-0.928223	-0.083984	0.758057	-0.122536	-0.766827	0.320052	-0.542705
36972		8.949273	-1.539584	-3.736886	0.002091	0.007536	-0.011032	-0.921143	-0.086426	0.760498	-0.122525	-0.766812	0.319996	-0.542761
36973		8.953243	-1.581526	-3.719582	-0.005196	0.011175	-0.006893	-0.921875	-0.092285	0.755859	-0.122570	-0.766795	0.319969	-0.542791
36974		8.923785	-1.648106	-3.681665	-0.002738	0.010736	-0.008626	-0.927734	-0.084717	0.758789	-0.122660	-0.766774	0.319923	-0.542827
36975		8.926713	-1.616598	-3.693037	0.006142	0.004096	-0.010555	-0.933594	-0.088379	0.751953	-0.122610	-0.766780	0.319850	-0.542873
36976		8.952881	-1.541280	-3.697130	0.010632	-0.000379	-0.008644	-0.924561	-0.086670	0.754395	-0.122560	-0.766763	0.319795	-0.542941
36977		8.956067	-1.517023	-3.674448	0.011306	-0.003583	-0.011635	-0.927246	-0.077881	0.755127	-0.122509	-0.766809	0.319694	-0.542946
36978		8.963396	-1.499743	-3.684272	0.010245	-0.009689	-0.001018	-0.929932	-0.086426	0.757080	-0.122334	-0.766840	0.319680	-0.542950
36979		8.955375	-1.517378	-3.675988	0.005961	-0.004075	0.002929	-0.923096	-0.078125	0.750732	-0.122241	-0.766831	0.319692	-0.542977
36980		8.961392	-1.550097	-3.682952	0.001839	-0.007577	0.010320	-0.926270	-0.077393	0.758057	-0.122126	-0.766812	0.319778	-0.542979
36981		8.923042	-1.647991	-3.683517	-0.003579	-0.009069	0.008851	-0.932861	-0.082764	0.759521	-0.121988	-0.766814	0.319863	-0.542957
36982		8.943753	-1.646620	-3.709799	-0.003267	-0.014687	0.009010	-0.931396	-0.078125	0.754883	-0.121861	-0.766816	0.319966	-0.542922
36983		8.925157	-1.590039	-3.713067	0.006852	-0.020974	0.006795	-0.925781	-0.083252	0.759277	-0.121659	-0.766841	0.320035	-0.542893
36984		8.970089	-1.562756	-3.742384	-0.001254	-0.022074	0.005761	-0.925293	-0.085449	0.757568	-0.121533	-0.766920	0.320094	-0.542773
36985		8.974996	-1.650573	-3.713448	-0.008999	-0.016313	0.013028	-0.924072	-0.084717	0.756104	-0.121482	-0.766940	0.320236	-0.542674
36986		8.913623	-1.621726	-3.757490	-0.003750	-0.015916	0.005242	-0.923340	-0.084717	0.763672	-0.121441	-0.766977	0.320310	-0.542586
36987		8.893161	-1.606322	-3.793008	-0.004317	-0.017241	0.008258	-0.923828	-0.081787	0.755859	-0.121320	-0.767060	0.320374	-0.542458
36988		8.921920	-1.650096	-3.755598	0.002133	-0.014320	0.009304	-0.920898	-0.085938	0.750000	-0.121200	-0.767080	0.320456	-0.542408
36989		8.900410	-1.616853	-3.781071	0.001646	-0.015556	0.005537	-0.915527	-0.087158	0.761963	-0.121199	-0.767097	0.320536	-0.542337
36990		8.928449	-1.653455	-3.778587	0.000284	-0.012504	0.004630	-0.920898	-0.081787	0.756348	-0.121121	-0.767216	0.320547	-0.542180
36991		8.890859	-1.690601	-3.737467	0.002344	-0.009644	0.003795	-0.926270	-0.075439	0.764648	-0.121026	-0.767243	0.320588	-0.542138
36992		8.889189	-1.684285	-3.774195	0.010399	-0.013038	-0.003239	-0.922119	-0.077637	0.758057	-0.120752	-0.767325	0.320542	-0.542111
36993		8.909935	-1.670436	-3.755462	0.010399	-0.013037	-0.003239	-0.917725	-0.086426	0.757812	-0.120565	-0.767386	0.320515	-0.542082
36994		8.966246	-1.589673	-3.725166	-0.001070	-0.012765	-0.006558	-0.923828	-0.083008	0.758789	-0.120586	-0.767483	0.320493	-0.541953
36995		8.920768	-1.725145	-3.806540	-0.012189	-0.006771	-0.002742	-0.933105	-0.085693	0.759277	-0.120630	-0.767486	0.320562	-0.541898
36996		8.870970	-1.775668	-3.804078	0.007222	-0.008127	-0.012212	-0.927490	-0.081299	0.762939	-0.120631	-0.767482	0.320509	-0.541935
36997		8.893349	-1.656399	-3.826071	0.011287	-0.012653	-0.016303	-0.927246	-0.086670	0.761230	-0.120497	-0.767576	0.320390	-0.541902
36998		8.920095	-1.586689	-3.796630	-0.002375	-0.002782	-0.015330	-0.931885	-0.083496	0.758057	-0.120569	-0.767603	0.320333	-0.541882
36999		8.908668	-1.673078	-3.807553	-0.005481	-0.000228	-0.015158	-0.920898	-0.081543	0.755371	-0.120658	-0.767553	0.320322	-0.541939
37000		8.915522	-1.635088	-3.807225	0.002618	-0.001344	-0.019864	-0.924561	-0.078369	0.767822	-0.120691	-0.767586	0.320228	-0.541940
37001		8.913092	-1.600511	-3.867596	-0.002521	0.007459	-0.017605	-0.922119	-0.075195	0.755127	-0.120591	-0.767643	0.320104	-0.541955
37002		8.920769	-1.629457	-3.872232	0.003297	0.013632	-0.016963	-0.913574	-0.083496	0.759033	-0.120557	-0.767580	0.320031	-0.542095
37003		8.904889	-1.624308	-3.832387	0.008793	0.015222	-0.022290	-0.920410	-0.085938	0.752441	-0.120577	-0.767650	0.319824	-0.542113
37004		8.917181	-1.636549	-3.777941	0.011314	0.018190	-0.020529	-0.926025	-0.086182	0.757080	-0.120710	-0.767591	0.319689	-0.542247
