// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
31449		7.090284	-5.746174	4.420614	-0.024489	0.027954	0.041472	-1.023193	0.562012	-0.319092	-0.046129	-0.393965	0.356160	-0.846058
31450		7.075909	-5.758194	4.481610	-0.036259	0.012061	0.063534	-1.020264	0.566406	-0.325684	-0.045836	-0.393677	0.356620	-0.846014
31451		7.043344	-5.721881	4.483589	-0.022696	0.018530	0.071113	-1.023438	0.574707	-0.324463	-0.045462	-0.393318	0.357005	-0.846039
31452		6.975082	-5.619227	4.524777	-0.017697	0.020102	0.083657	-1.021729	0.569336	-0.317139	-0.044990	-0.392920	0.357395	-0.846084
31453		6.974670	-5.608778	4.552849	-0.017476	0.028235	0.088251	-1.017822	0.566650	-0.312988	-0.044509	-0.392448	0.357793	-0.846161
31454		6.938359	-5.588423	4.552863	-0.030417	0.034470	0.091353	-1.016357	0.567871	-0.313965	-0.044070	-0.391916	0.358283	-0.846223
31455		6.907854	-5.590252	4.566091	-0.051356	0.047498	0.103262	-1.011963	0.573975	-0.318115	-0.043656	-0.391245	0.358948	-0.846273
31456		6.844308	-5.593756	4.534664	-0.054677	0.074188	0.121301	-1.016113	0.579102	-0.315674	-0.043208	-0.390324	0.359674	-0.846413
31457		6.736288	-5.460267	4.512332	-0.052201	0.096229	0.142461	-1.006348	0.583740	-0.313721	-0.042671	-0.389178	0.360433	-0.846645
31458		6.699711	-5.377509	4.443550	-0.035477	0.106274	0.148600	-1.000000	0.586426	-0.313477	-0.042071	-0.387942	0.361075	-0.846969
31459		6.619352	-5.299804	4.405300	-0.023364	0.109251	0.142099	-0.998047	0.581055	-0.312500	-0.041495	-0.386705	0.361589	-0.847343
31460		6.612530	-5.243345	4.375676	-0.028725	0.104095	0.130252	-0.992432	0.593262	-0.317383	-0.041013	-0.385537	0.362082	-0.847688
31461		6.680009	-5.271962	4.402331	-0.048487	0.106595	0.126034	-0.991699	0.590088	-0.316406	-0.040645	-0.384361	0.362674	-0.847987
31462		6.747886	-5.291557	4.349537	-0.059213	0.125801	0.125457	-0.981201	0.610596	-0.308594	-0.040389	-0.383053	0.363306	-0.848321
31463		6.860503	-5.315688	4.302119	-0.050357	0.145874	0.127621	-0.978516	0.607178	-0.324707	-0.040167	-0.381616	0.363848	-0.848747
31464		6.833422	-5.278047	4.195189	-0.031476	0.142408	0.122254	-0.977295	0.599854	-0.322998	-0.039935	-0.380253	0.364213	-0.849212
31465		6.809722	-5.245146	4.202633	-0.024046	0.112409	0.111879	-0.971680	0.601074	-0.325195	-0.039686	-0.379171	0.364489	-0.849589
31466		6.879071	-5.285037	4.226059	-0.016215	0.071811	0.099306	-0.968750	0.595947	-0.320312	-0.039398	-0.378454	0.364659	-0.849850
31467		7.095402	-5.357117	4.271044	0.005985	0.052833	0.095659	-0.964355	0.603027	-0.327148	-0.039032	-0.377924	0.364657	-0.850103
31468		7.146187	-5.294486	4.279711	0.041709	0.052600	0.097669	-0.967041	0.601318	-0.328125	-0.038568	-0.377456	0.364364	-0.850458
31469		7.103662	-5.145278	4.287310	0.047486	0.042251	0.095302	-0.959473	0.607422	-0.322266	-0.038116	-0.377127	0.363998	-0.850781
31470		7.023263	-5.089630	4.263809	0.044853	0.029760	0.071440	-0.964111	0.602539	-0.324219	-0.037831	-0.376989	0.363572	-0.851037
31471		7.032545	-5.067846	4.284696	0.042576	0.017183	0.036250	-0.958252	0.614502	-0.333008	-0.037812	-0.377111	0.363004	-0.851226
31472		7.060991	-5.059505	4.256441	0.035541	0.009420	0.009500	-0.958740	0.602051	-0.328613	-0.038004	-0.377424	0.362336	-0.851364
31473		6.944981	-5.000492	4.256138	0.028548	0.011019	-0.007800	-0.959229	0.603516	-0.334961	-0.038348	-0.377788	0.361688	-0.851462
31474		6.822270	-5.075596	4.244714	0.011143	-0.003469	-0.025658	-0.961914	0.610596	-0.324219	-0.038867	-0.378365	0.361044	-0.851456
31475		6.732682	-5.137361	4.281247	0.001344	-0.021980	-0.049223	-0.964844	0.610352	-0.316650	-0.039616	-0.379129	0.360437	-0.851338
31476		6.735316	-5.210664	4.286997	-0.000938	-0.030597	-0.063711	-0.960205	0.604980	-0.326416	-0.040458	-0.379991	0.359817	-0.851177
31477		6.778548	-5.267548	4.282003	0.003683	-0.029894	-0.059961	-0.963867	0.604248	-0.326416	-0.041145	-0.380855	0.359127	-0.851049
31478		6.715571	-5.246580	4.300751	0.007653	-0.026570	-0.058637	-0.969727	0.603027	-0.328369	-0.041856	-0.381702	0.358416	-0.850934
31479		6.646382	-5.242843	4.327291	0.002314	-0.040449	-0.069851	-0.969727	0.601074	-0.331543	-0.042643	-0.382691	0.357702	-0.850752
31480		6.661511	-5.227049	4.392853	-0.006497	-0.057812	-0.081632	-0.973877	0.596191	-0.325195	-0.043439	-0.383815	0.357021	-0.850491
31481		6.774921	-5.346818	4.428235	-0.004397	-0.065421	-0.094381	-0.967529	0.602051	-0.322266	-0.044316	-0.384979	0.356347	-0.850203
31482		6.837676	-5.425740	4.452750	0.018212	-0.045161	-0.100076	-0.974121	0.598145	-0.323730	-0.045178	-0.385949	0.355535	-0.850057
31483		6.764806	-5.448467	4.484219	0.028002	-0.036885	-0.099498	-0.977539	0.595215	-0.323730	-0.046047	-0.386892	0.354622	-0.849963
31484		6.718947	-5.477387	4.525521	0.005576	-0.052397	-0.096368	-0.985352	0.602783	-0.320801	-0.046910	-0.387906	0.353895	-0.849757
31485		6.818778	-5.619631	4.548421	0.002853	-0.049460	-0.101831	-0.975586	0.588135	-0.329346	-0.047981	-0.388906	0.353175	-0.849540
31486		6.829003	-5.631672	4.619230	0.004681	-0.032644	-0.102280	-0.979980	0.593262	-0.321777	-0.048668	-0.389728	0.352427	-0.849434
31487		6.867423	-5.742767	4.610083	0.008200	-0.018109	-0.095367	-0.987793	0.592529	-0.320801	-0.049524	-0.390362	0.351767	-0.849367
31488		6.873625	-5.824687	4.614542	0.025693	-0.008476	-0.086354	-0.985596	0.584229	-0.334961	-0.050380	-0.390908	0.351015	-0.849377
31489		6.850465	-5.839953	4.561868	0.043146	-0.007386	-0.066594	-0.985596	0.582764	-0.318604	-0.050748	-0.391438	0.350074	-0.849499
31490		6.808253	-5.816591	4.531453	0.048538	-0.005056	-0.039736	-0.994873	0.587646	-0.327637	-0.051054	-0.391705	0.349473	-0.849605
31491		6.814089	-5.729619	4.526653	0.049279	-0.004529	-0.023456	-0.993652	0.583252	-0.329834	-0.051330	-0.392002	0.348778	-0.849737
31492		6.803843	-5.614276	4.572589	0.031828	-0.011163	-0.011929	-0.979004	0.576660	-0.325439	-0.051452	-0.392276	0.348268	-0.849813
31493		6.843834	-5.609117	4.558356	0.015374	-0.010564	-0.003136	-0.991699	0.589111	-0.320312	-0.051266	-0.392385	0.348060	-0.849859
31494		6.861787	-5.595931	4.521225	0.023614	0.007133	-0.005528	-0.990479	0.586914	-0.326660	-0.051494	-0.392387	0.347804	-0.849949
31495		6.776109	-5.517152	4.492361	0.018653	0.022417	0.000413	-0.992920	0.592285	-0.323730	-0.051621	-0.392277	0.347532	-0.850103
31496		6.774725	-5.427481	4.455095	-0.001065	0.017033	0.010329	-0.987549	0.583740	-0.325195	-0.051815	-0.392139	0.347493	-0.850171
31497		6.778014	-5.387820	4.421185	-0.010863	0.016511	0.015620	-0.987793	0.584473	-0.326660	-0.051836	-0.391974	0.347547	-0.850224
31498		6.797319	-5.309564	4.404849	-0.013893	0.009668	0.015329	-0.993408	0.580811	-0.318604	-0.051842	-0.391858	0.347612	-0.850250
31499		6.810850	-5.286299	4.418849	-0.010861	0.007027	0.006192	-0.989746	0.577881	-0.330811	-0.052062	-0.391790	0.347712	-0.850227
31500		6.880622	-5.299734	4.396975	-0.000986	0.001274	-0.001349	-0.987061	0.587402	-0.320312	-0.052091	-0.391809	0.347566	-0.850277
31501		6.954567	-5.293809	4.415668	0.009322	0.001700	-0.005879	-0.984619	0.590332	-0.331543	-0.052190	-0.391805	0.347493	-0.850302
31502		6.941642	-5.289388	4.411879	0.014881	0.006511	-0.012060	-0.987549	0.587158	-0.332520	-0.052182	-0.391793	0.347233	-0.850414
31503		6.933545	-5.346004	4.408970	0.013013	0.003350	-0.020263	-0.989502	0.588135	-0.326904	-0.052279	-0.391836	0.346946	-0.850506
