// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
31449		9.518949	0.848432	-1.984598	-0.007720	-0.022681	-0.000795	-0.979248	-0.460938	-0.099609	0.584128	0.356475	-0.688840	0.239206
31450		9.529293	0.857289	-1.984184	-0.007427	-0.025256	0.000445	-0.979248	-0.458496	-0.103271	0.584005	0.356486	-0.688979	0.239090
31451		9.591304	0.876091	-1.988200	-0.012048	-0.024214	0.000693	-0.985352	-0.451660	-0.102051	0.583903	0.356467	-0.689122	0.238954
31452		9.634454	0.843149	-1.989912	-0.007733	-0.021187	0.004942	-0.985352	-0.459961	-0.100098	0.583795	0.356444	-0.689255	0.238871
31453		9.629983	0.832906	-1.962464	-0.004931	-0.024025	0.001726	-0.981689	-0.462646	-0.094727	0.583669	0.356457	-0.689386	0.238780
31454		9.562093	0.829692	-1.933335	0.000129	-0.016996	0.000143	-0.980957	-0.466797	-0.095215	0.583572	0.356489	-0.689468	0.238732
31455		9.570009	0.847216	-1.943256	-0.004063	-0.017101	-0.000029	-0.986084	-0.459717	-0.107422	0.583490	0.356501	-0.689556	0.238661
31456		9.584058	0.913857	-1.915843	-0.009721	-0.017488	0.004816	-0.988525	-0.460938	-0.100586	0.583415	0.356457	-0.689670	0.238581
31457		9.564319	0.931307	-1.956812	-0.014086	-0.021310	0.008384	-0.985596	-0.456055	-0.096436	0.583330	0.356379	-0.689817	0.238481
31458		9.547037	0.895390	-1.944547	-0.013392	-0.008894	0.009471	-0.982422	-0.460449	-0.093994	0.583316	0.356275	-0.689902	0.238425
31459		9.550812	0.835118	-1.936757	-0.008344	-0.009105	0.003636	-0.985596	-0.461914	-0.091553	0.583302	0.356230	-0.689956	0.238367
31460		9.604860	0.836005	-1.931550	-0.008935	-0.013165	0.002059	-0.984375	-0.455078	-0.098633	0.583274	0.356198	-0.690024	0.238289
31461		9.595302	0.843956	-1.925427	-0.013109	-0.016729	0.001299	-0.987305	-0.461182	-0.097656	0.583244	0.356152	-0.690112	0.238177
31462		9.585974	0.895798	-1.961286	-0.015097	-0.024219	0.007226	-0.980713	-0.444092	-0.090332	0.583171	0.356075	-0.690252	0.238062
31463		9.573086	0.888794	-2.023644	-0.014207	-0.022733	0.010038	-0.982178	-0.448486	-0.104004	0.583099	0.355985	-0.690390	0.237972
31464		9.546615	0.812736	-2.061085	-0.010121	-0.019794	0.004641	-0.985840	-0.459717	-0.101074	0.583049	0.355941	-0.690486	0.237883
31465		9.586234	0.769931	-2.031097	-0.011187	-0.013809	-0.000480	-0.983154	-0.457520	-0.096436	0.583045	0.355908	-0.690543	0.237777
31466		9.599634	0.770193	-2.017739	-0.006199	-0.012848	-0.003654	-0.981689	-0.466064	-0.094238	0.583027	0.355913	-0.690584	0.237695
31467		9.606041	0.794483	-1.983658	0.004971	-0.013998	-0.000803	-0.983154	-0.460938	-0.099121	0.582963	0.355955	-0.690619	0.237687
31468		9.586282	0.812283	-2.023919	0.007939	-0.013609	0.003131	-0.986816	-0.462158	-0.095215	0.582889	0.355980	-0.690654	0.237729
31469		9.571381	0.837158	-2.040297	0.008450	-0.012151	0.003706	-0.980225	-0.454102	-0.092773	0.582819	0.355998	-0.690685	0.237785
31470		9.555545	0.843098	-2.014479	0.003616	-0.015140	0.004627	-0.984863	-0.462646	-0.092285	0.582725	0.356002	-0.690752	0.237815
31471		9.564705	0.857536	-1.969521	-0.002735	-0.016749	0.002340	-0.985352	-0.452637	-0.103027	0.582657	0.355987	-0.690828	0.237783
31472		9.541224	0.865731	-1.978974	-0.003311	-0.015058	-0.000721	-0.980713	-0.465820	-0.097168	0.582624	0.355970	-0.690876	0.237751
31473		9.546098	0.848172	-1.959068	0.000289	-0.019013	-0.002138	-0.981934	-0.461914	-0.107422	0.582557	0.356007	-0.690934	0.237689
31474		9.580269	0.823603	-1.951972	-0.001378	-0.015604	-0.003093	-0.986084	-0.456299	-0.097656	0.582546	0.356018	-0.690958	0.237631
31475		9.594551	0.843004	-1.980945	-0.002685	-0.010194	-0.006959	-0.989014	-0.456543	-0.081299	0.582557	0.356029	-0.690956	0.237592
31476		9.618666	0.877290	-1.961779	-0.001843	-0.007541	-0.001480	-0.986328	-0.460449	-0.098145	0.582531	0.356021	-0.690977	0.237606
31477		9.581466	0.885768	-1.985587	-0.004446	-0.012168	0.004050	-0.983643	-0.459473	-0.092285	0.582534	0.355962	-0.691012	0.237589
31478		9.556718	0.851628	-2.007712	-0.004794	-0.008423	0.005482	-0.988281	-0.455811	-0.098877	0.582530	0.355908	-0.691043	0.237587
31479		9.559226	0.842419	-1.997654	-0.008806	-0.008265	0.000993	-0.987793	-0.460938	-0.102539	0.582578	0.355828	-0.691054	0.237557
31480		9.551430	0.843884	-2.033571	-0.006943	-0.004183	0.001881	-0.990234	-0.464355	-0.094727	0.582667	0.355740	-0.691035	0.237527
31481		9.599558	0.844012	-2.006996	-0.005550	0.006478	-0.001358	-0.977051	-0.457520	-0.091797	0.582799	0.355663	-0.690968	0.237513
31482		9.610173	0.829952	-2.058267	-0.006731	-0.000152	0.001224	-0.983643	-0.459961	-0.094727	0.582811	0.355651	-0.690970	0.237495
31483		9.590039	0.829329	-2.053383	-0.000318	0.006033	-0.000639	-0.987305	-0.457275	-0.092773	0.582886	0.355628	-0.690910	0.237522
31484		9.561378	0.811479	-2.041569	0.003119	-0.003121	-0.004068	-0.989502	-0.449951	-0.088867	0.582893	0.355647	-0.690884	0.237550
31485		9.574508	0.836915	-2.025672	-0.000262	-0.004342	-0.002421	-0.979248	-0.458984	-0.098877	0.582859	0.355635	-0.690897	0.237614
31486		9.548590	0.854145	-2.044759	0.001359	-0.006580	0.001197	-0.983398	-0.455566	-0.092529	0.582854	0.355646	-0.690898	0.237609
31487		9.532250	0.793270	-2.032095	0.004112	-0.001017	0.004899	-0.989014	-0.456787	-0.090332	0.582826	0.355633	-0.690900	0.237691
31488		9.523155	0.800285	-2.024190	0.003191	-0.004787	0.004158	-0.989014	-0.463379	-0.104248	0.582781	0.355606	-0.690928	0.237760
31489		9.590703	0.825935	-2.001998	0.004129	-0.005957	-0.001438	-0.982666	-0.463135	-0.087891	0.582849	0.355576	-0.690892	0.237744
31490		9.583520	0.850144	-1.982382	0.007680	-0.008741	-0.000193	-0.990234	-0.452881	-0.094727	0.582755	0.355667	-0.690920	0.237754
31491		9.603694	0.895104	-2.029098	0.002148	-0.005722	-0.002144	-0.989258	-0.457764	-0.098633	0.582740	0.355635	-0.690931	0.237809
31492		9.560209	0.858413	-1.990854	0.000181	0.001742	0.001415	-0.973877	-0.463623	-0.093262	0.582809	0.355560	-0.690898	0.237845
31493		9.549882	0.868476	-2.037078	-0.004980	-0.000959	0.003182	-0.989014	-0.452637	-0.086182	0.582818	0.355600	-0.690892	0.237782
31494		9.512235	0.858022	-2.016727	-0.010001	0.003516	0.001807	-0.988770	-0.454346	-0.092529	0.582806	0.355521	-0.690930	0.237818
31495		9.517773	0.840485	-1.993811	-0.007723	-0.000775	-0.001999	-0.987305	-0.447510	-0.092041	0.582828	0.355455	-0.690948	0.237810
31496		9.564153	0.799547	-1.981797	-0.004486	-0.008212	-0.006252	-0.982910	-0.456055	-0.092285	0.582778	0.355427	-0.691001	0.237822
31497		9.605679	0.795503	-2.035384	0.003056	-0.009179	-0.005669	-0.987061	-0.453369	-0.094238	0.582721	0.355499	-0.691016	0.237809
31498		9.570628	0.820857	-2.046238	-0.002420	-0.004367	0.001202	-0.987793	-0.459961	-0.084473	0.582712	0.355433	-0.691049	0.237836
31499		9.577595	0.844467	-2.010379	-0.005309	-0.000674	0.004022	-0.986572	-0.464355	-0.098633	0.582646	0.355436	-0.691097	0.237852
31500		9.569161	0.826878	-2.003192	-0.010492	-0.001398	0.000638	-0.987793	-0.455811	-0.086182	0.582756	0.355366	-0.691076	0.237750
31501		9.584373	0.820615	-2.031760	-0.008214	-0.005687	-0.003169	-0.983398	-0.449463	-0.099609	0.582686	0.355370	-0.691143	0.237720
31502		9.581382	0.830562	-2.043742	-0.004276	-0.004180	-0.006909	-0.985840	-0.458008	-0.097412	0.582743	0.355289	-0.691144	0.237699
31503		9.597930	0.822305	-2.017406	-0.004014	0.000161	-0.004487	-0.987305	-0.453857	-0.096680	0.582822	0.355247	-0.691114	0.237655
31504		9.582562	0.829753	-1.989092	-0.000582	0.001692	-0.003059	-0.982666	-0.466064	-0.088867	0.582874	0.355176	-0.691098	0.237679
31505		9.557498	0.821836	-2.008077	-0.001900	0.002835	0.000301	-0.976807	-0.466553	-0.096436	0.582876	0.355271	-0.691062	0.237639
31506		9.531273	0.864393	-2.024337	-0.000321	0.006033	-0.000636	-0.985596	-0.462891	-0.092285	0.582981	0.355356	-0.690949	0.237580
31507		9.567079	0.906863	-1.998925	-0.005302	0.003593	-0.003199	-0.985596	-0.463379	-0.087402	0.583033	0.355376	-0.690914	0.237527
31508		9.559360	0.864704	-1.992207	-0.002152	0.004242	-0.003598	-0.980225	-0.459717	-0.089600	0.583023	0.355460	-0.690890	0.237495
31509		9.553650	0.790728	-2.030418	-0.001422	0.000523	-0.002795	-0.985107	-0.459961	-0.088867	0.582999	0.355543	-0.690873	0.237476
31510		9.555795	0.807789	-2.017585	-0.002763	0.003645	-0.004585	-0.984619	-0.455811	-0.096191	0.582994	0.355591	-0.690860	0.237457
31511		9.561534	0.834740	-2.035553	0.004119	0.003250	-0.002322	-0.987793	-0.469971	-0.094971	0.583039	0.355559	-0.690822	0.237507
31512		9.557418	0.850259	-2.002973	0.006429	0.002729	-0.002457	-0.979980	-0.456299	-0.091797	0.583099	0.355668	-0.690724	0.237478
31513		9.598544	0.826320	-2.012837	0.004291	-0.000756	0.000571	-0.993164	-0.457520	-0.095947	0.583057	0.355705	-0.690723	0.237529
31514		9.575481	0.834694	-2.020025	0.001749	-0.002286	-0.003789	-0.982422	-0.461182	-0.095947	0.583079	0.355631	-0.690737	0.237544
31515		9.588672	0.811838	-2.060736	0.002110	0.001196	-0.000956	-0.983887	-0.451904	-0.089844	0.583126	0.355658	-0.690683	0.237546
31516		9.535594	0.808521	-2.012462	0.007519	0.001014	-0.004566	-0.987061	-0.455566	-0.100586	0.583052	0.355677	-0.690705	0.237636
31517		9.576123	0.810537	-2.020710	0.005318	0.006424	-0.005498	-0.981201	-0.456543	-0.093750	0.583172	0.355592	-0.690630	0.237686
31518		9.590341	0.855162	-2.045544	0.002168	0.005775	-0.005100	-0.989258	-0.457764	-0.095703	0.583206	0.355617	-0.690579	0.237717
31519		9.620479	0.871358	-2.001402	0.005269	0.007593	-0.002832	-0.986572	-0.466309	-0.093262	0.583264	0.355564	-0.690535	0.237778
31520		9.615633	0.819865	-1.983105	0.001379	0.004915	-0.001760	-0.978760	-0.460693	-0.095459	0.583312	0.355628	-0.690472	0.237749
31521		9.556472	0.811739	-2.012789	-0.000781	0.003408	-0.003881	-0.982178	-0.459717	-0.097900	0.583373	0.355683	-0.690399	0.237726
31522		9.500822	0.862251	-2.016430	-0.000931	0.003956	-0.007370	-0.980713	-0.453613	-0.094238	0.583472	0.355692	-0.690322	0.237696
31523		9.535083	0.863709	-2.004521	-0.001282	0.007700	-0.005936	-0.990479	-0.463623	-0.097900	0.583516	0.355667	-0.690284	0.237735
31524		9.603367	0.821252	-1.940448	-0.001361	0.005100	-0.006942	-0.980713	-0.459961	-0.094238	0.583628	0.355639	-0.690221	0.237686
31525		9.578230	0.814148	-1.959606	-0.005029	-0.002754	-0.005643	-0.976318	-0.444092	-0.091064	0.583642	0.355683	-0.690207	0.237626
31526		9.542559	0.817246	-2.025992	-0.007778	-0.006838	-0.003602	-0.984619	-0.455811	-0.087158	0.583536	0.355605	-0.690319	0.237676
31527		9.548006	0.844353	-2.045202	-0.000458	-0.002624	-0.003244	-0.990967	-0.462402	-0.098389	0.583416	0.355656	-0.690384	0.237708
31528		9.583389	0.842911	-1.979552	0.001250	0.002007	-0.005843	-0.989014	-0.456299	-0.093994	0.583507	0.355610	-0.690341	0.237677
31529		9.591890	0.861069	-1.986052	-0.001134	0.007153	-0.002447	-0.988770	-0.456055	-0.095215	0.583544	0.355519	-0.690343	0.237718
31530		9.607459	0.854813	-2.013096	-0.010584	0.005200	-0.001256	-0.986816	-0.458496	-0.095703	0.583611	0.355368	-0.690369	0.237703
31531		9.586087	0.905193	-2.005217	-0.008194	0.007280	-0.000384	-0.982666	-0.457031	-0.097412	0.583695	0.355263	-0.690357	0.237689
31532		9.544401	0.862201	-2.009045	-0.000323	0.006034	-0.000637	-0.985840	-0.458008	-0.093750	0.583769	0.355205	-0.690315	0.237715
31533		9.501360	0.870041	-2.010542	-0.004052	0.007076	-0.003301	-0.983154	-0.458496	-0.088867	0.583810	0.355173	-0.690295	0.237720
31534		9.558654	0.862904	-1.991636	-0.006671	0.004422	-0.002923	-0.983643	-0.457764	-0.097168	0.583772	0.355228	-0.690301	0.237716
31535		9.586583	0.862576	-1.960292	-0.009572	0.002363	0.001372	-0.979736	-0.457764	-0.095459	0.583843	0.355125	-0.690304	0.237683
31536		9.556742	0.846864	-2.003137	-0.008331	0.000100	0.002752	-0.982422	-0.456543	-0.095459	0.583871	0.355087	-0.690308	0.237661
31537		9.576854	0.847957	-2.007953	-0.013134	-0.007826	-0.002669	-0.984619	-0.459229	-0.091064	0.583871	0.355034	-0.690366	0.237571
31538		9.602352	0.831794	-1.990540	-0.014805	-0.004418	-0.003620	-0.987549	-0.460938	-0.097900	0.583839	0.355040	-0.690422	0.237478
31539		9.579055	0.840976	-1.998499	-0.012171	-0.010971	-0.003119	-0.984375	-0.458008	-0.085938	0.583867	0.354973	-0.690478	0.237346
31540		9.576726	0.825476	-2.011785	-0.009366	-0.000828	-0.003552	-0.983643	-0.453125	-0.097412	0.583763	0.355048	-0.690536	0.237322
31541		9.568948	0.783277	-2.005770	-0.004898	0.000158	-0.001561	-0.988281	-0.464111	-0.095947	0.583807	0.354923	-0.690564	0.237319
31542		9.582255	0.808737	-1.988710	-0.002582	0.005388	-0.003168	-0.984375	-0.450439	-0.093750	0.583881	0.354928	-0.690513	0.237278
31543		9.556550	0.826301	-2.006480	0.002870	-0.000230	-0.002224	-0.983643	-0.459473	-0.094482	0.583834	0.354857	-0.690564	0.237350
31544		9.616637	0.853884	-2.018103	0.004166	0.003562	0.000760	-0.978516	-0.460693	-0.096924	0.583837	0.354881	-0.690534	0.237396
31545		9.569289	0.876224	-1.988024	-0.000483	0.002309	0.003098	-0.987793	-0.459229	-0.092773	0.583883	0.354904	-0.690480	0.237405
31546		9.536704	0.916883	-1.984816	-0.000535	0.003476	0.005766	-0.982178	-0.465332	-0.095459	0.583860	0.354857	-0.690506	0.237456
31547		9.515115	0.873799	-1.994166	0.001341	-0.003123	0.001789	-0.985596	-0.459229	-0.103760	0.583861	0.354955	-0.690464	0.237432
31548		9.537175	0.798346	-2.003199	0.001285	-0.009180	0.000184	-0.983887	-0.462158	-0.095459	0.583929	0.354862	-0.690468	0.237389
31549		9.551670	0.816989	-2.031185	0.001393	-0.004289	-0.000879	-0.979980	-0.463623	-0.091309	0.583918	0.354916	-0.690458	0.237365
31550		9.615841	0.877341	-2.018272	0.002718	0.001795	0.000034	-0.984375	-0.458008	-0.095459	0.583885	0.355058	-0.690409	0.237376
31551		9.594915	0.857296	-1.971235	0.005716	0.004471	0.001896	-0.982666	-0.457275	-0.097412	0.583896	0.355041	-0.690385	0.237443
31552		9.579009	0.840880	-1.998759	0.001649	0.000050	0.001546	-0.986084	-0.454102	-0.095947	0.583919	0.355001	-0.690377	0.237471
31553		9.557411	0.798168	-2.007939	0.009017	0.003097	-0.000758	-0.985596	-0.463379	-0.090088	0.583912	0.354953	-0.690376	0.237563
31554		9.563766	0.799243	-2.027493	0.009270	0.000213	-0.002605	-0.991943	-0.461670	-0.094482	0.583836	0.355106	-0.690349	0.237600
31555		9.611954	0.798947	-2.000744	0.008105	0.006551	0.002769	-0.986084	-0.456055	-0.090820	0.583842	0.355079	-0.690332	0.237673
31556		9.558496	0.864310	-1.991787	0.003937	0.002989	0.002009	-0.982422	-0.459473	-0.088379	0.583782	0.355069	-0.690362	0.237750
31557		9.576021	0.873591	-2.007401	-0.002240	-0.002630	0.002615	-0.982666	-0.454834	-0.097412	0.583686	0.355139	-0.690401	0.237766
31558		9.570379	0.847047	-1.988894	-0.001571	0.002549	-0.000540	-0.987549	-0.459717	-0.097656	0.583737	0.355058	-0.690394	0.237782
31559		9.554461	0.831448	-2.016151	0.001330	0.004609	-0.004835	-0.983887	-0.461914	-0.085693	0.583810	0.355030	-0.690351	0.237773
31560		9.594828	0.789381	-1.983333	0.006712	0.002141	-0.006370	-0.984131	-0.455078	-0.096680	0.583703	0.355232	-0.690326	0.237805
31561		9.570438	0.848877	-1.987828	-0.000888	-0.001479	-0.002816	-0.983154	-0.450928	-0.093506	0.583723	0.355171	-0.690342	0.237802
31562		9.572503	0.910140	-2.016902	-0.001805	-0.005249	-0.003560	-0.982910	-0.458496	-0.096191	0.583675	0.355108	-0.690412	0.237808
31563		9.531001	0.890008	-1.966793	-0.015016	-0.006977	0.002781	-0.983154	-0.461914	-0.086914	0.583697	0.355018	-0.690471	0.237718
31564		9.527240	0.832433	-1.994056	-0.021310	-0.009753	-0.002175	-0.978271	-0.457031	-0.093506	0.583616	0.355080	-0.690557	0.237575
31565		9.517169	0.818878	-2.042859	-0.017877	-0.009693	-0.006490	-0.979980	-0.465088	-0.102051	0.583615	0.355086	-0.690603	0.237432
31566		9.567826	0.763474	-2.063030	-0.011825	0.000244	-0.006907	-0.993408	-0.459473	-0.104736	0.583779	0.355101	-0.690505	0.237294
31567		9.626838	0.728896	-1.991784	-0.003045	-0.002982	-0.004942	-0.986572	-0.467285	-0.088379	0.583902	0.354940	-0.690508	0.237223
31568		9.616298	0.740132	-2.038596	0.003454	-0.003397	-0.004913	-0.975586	-0.460693	-0.091309	0.583819	0.355123	-0.690495	0.237189
31569		9.584782	0.823386	-2.022723	0.003982	-0.003927	0.000814	-0.986084	-0.460205	-0.087891	0.583749	0.355260	-0.690474	0.237219
31570		9.565985	0.908349	-2.046028	0.000480	-0.000837	0.002649	-0.986328	-0.457031	-0.102783	0.583658	0.355295	-0.690523	0.237248
