// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
31449		8.748254	-3.379836	-3.570643	0.003579	-0.004278	0.044669	-0.899902	0.060547	0.704102	-0.085330	-0.714836	0.408541	-0.561091
31450		8.714945	-3.437721	-3.579516	0.014147	-0.007020	0.061570	-0.895264	0.062012	0.696289	-0.084934	-0.714669	0.408847	-0.561141
31451		8.654833	-3.552561	-3.582149	0.043944	-0.001260	0.066495	-0.906006	0.068359	0.698242	-0.084357	-0.714476	0.409038	-0.561334
31452		8.667482	-3.481378	-3.523545	0.043407	-0.003605	0.074523	-0.902100	0.063965	0.701904	-0.083736	-0.714269	0.409282	-0.561513
31453		8.661458	-3.445044	-3.504257	0.029265	-0.002633	0.082028	-0.897705	0.062500	0.705322	-0.083165	-0.714020	0.409638	-0.561655
31454		8.605963	-3.377835	-3.396890	0.018428	-0.010961	0.098699	-0.898193	0.061035	0.703857	-0.082550	-0.713744	0.410149	-0.561723
31455		8.502903	-3.445567	-3.467521	0.044892	-0.020195	0.114662	-0.898682	0.068359	0.697021	-0.081673	-0.713472	0.410636	-0.561841
31456		8.376290	-3.394234	-3.456117	0.063980	-0.013824	0.123707	-0.902588	0.076172	0.699219	-0.080659	-0.713150	0.411084	-0.562069
31457		8.359481	-3.364269	-3.417275	0.064797	-0.004669	0.133691	-0.897949	0.075928	0.701172	-0.079621	-0.712750	0.411583	-0.562359
31458		8.355394	-3.392375	-3.400042	0.058644	0.010338	0.153237	-0.897949	0.084717	0.704590	-0.078580	-0.712207	0.412216	-0.562729
31459		8.362822	-3.413951	-3.365913	0.052380	0.021053	0.155799	-0.895752	0.077637	0.703857	-0.077599	-0.711599	0.412885	-0.563143
31460		8.303285	-3.336449	-3.358872	0.045718	0.015570	0.157736	-0.895996	0.088379	0.700439	-0.076632	-0.711003	0.413599	-0.563505
31461		8.245364	-3.351367	-3.432647	0.043115	0.020679	0.162351	-0.899658	0.083740	0.699951	-0.075681	-0.710364	0.414345	-0.563891
31462		8.182616	-3.448062	-3.420184	0.050703	0.023398	0.166207	-0.891602	0.105225	0.708984	-0.074681	-0.709709	0.415074	-0.564314
