// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
31448		0.714392	9.809559	-0.856676	0.004904	-0.003420	-0.016435	-0.203125	-1.000732	-0.394531	0.425002	0.420674	-0.605308	-0.525366
31449		0.727214	9.750156	-0.848961	-0.003549	-0.003078	-0.018823	-0.203369	-1.002441	-0.403809	0.424916	0.420743	-0.605237	-0.525461
31450		0.758710	9.733943	-0.878654	-0.001546	-0.001360	-0.016738	-0.196289	-1.004150	-0.411133	0.424847	0.420813	-0.605170	-0.525538
31451		0.756434	9.717685	-0.840444	-0.000613	0.005409	-0.016615	-0.205566	-0.996338	-0.409424	0.424804	0.420918	-0.605091	-0.525580
31452		0.756126	9.764371	-0.820734	0.006478	0.001211	-0.017638	-0.204102	-1.002686	-0.402588	0.424711	0.421034	-0.605054	-0.525605
31453		0.827048	9.824640	-0.841739	0.007734	0.002524	-0.016532	-0.202393	-1.003906	-0.401367	0.424627	0.421153	-0.605022	-0.525614
31454		0.859528	9.783682	-0.815123	-0.002840	0.007293	-0.015723	-0.199219	-1.009033	-0.403076	0.424611	0.421248	-0.604931	-0.525655
31455		0.835365	9.727197	-0.873065	0.000828	0.008692	-0.014716	-0.202148	-1.003418	-0.410400	0.424600	0.421352	-0.604857	-0.525666
31456		0.773828	9.737425	-0.868471	0.005840	0.010841	-0.014123	-0.206787	-1.001221	-0.405518	0.424589	0.421476	-0.604804	-0.525638
31457		0.729828	9.751043	-0.874194	0.004709	0.010866	-0.018327	-0.205566	-0.999756	-0.402344	0.424565	0.421614	-0.604734	-0.525626
31458		0.774015	9.725651	-0.863713	0.002800	0.004188	-0.020281	-0.199951	-0.998291	-0.401855	0.424507	0.421726	-0.604673	-0.525653
