// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
31449		5.122139	2.899910	7.821675	0.002022	-0.002623	0.001156	-1.028564	0.390137	-1.174316	0.537484	-0.138768	-0.284994	-0.781430
31450		5.129359	2.859585	7.826576	0.001366	-0.001122	-0.000516	-1.030273	0.393066	-1.181396	0.537479	-0.138768	-0.285008	-0.781428
31451		5.114374	2.888190	7.820599	0.000708	-0.002686	-0.000413	-1.035889	0.399414	-1.182617	0.537474	-0.138779	-0.285022	-0.781425
31452		5.118267	2.868271	7.822776	0.004209	-0.003806	-0.000024	-1.033447	0.390625	-1.177246	0.537470	-0.138785	-0.285066	-0.781410
31453		5.132210	2.894271	7.837830	0.003663	-0.002745	-0.000173	-1.031494	0.388672	-1.175781	0.537467	-0.138787	-0.285102	-0.781399
31454		5.130904	2.861254	7.824953	0.005575	-0.004929	-0.000541	-1.031982	0.386719	-1.176758	0.537458	-0.138793	-0.285160	-0.781383
31455		5.116017	2.890339	7.818731	0.003391	-0.000682	-0.001135	-1.032959	0.390137	-1.182617	0.537454	-0.138782	-0.285184	-0.781379
31456		5.128013	2.882714	7.821549	0.004209	-0.003807	-0.000025	-1.037354	0.391846	-1.180420	0.537451	-0.138790	-0.285225	-0.781364
31457		5.132951	2.915476	7.819321	0.000711	0.000378	-0.002189	-1.031982	0.393555	-1.174072	0.537440	-0.138781	-0.285227	-0.781373
31458		5.105379	2.880757	7.831570	0.003337	-0.002560	0.002726	-1.033203	0.396973	-1.173096	0.537457	-0.138792	-0.285254	-0.781349
31459		5.140445	2.875530	7.823920	0.002349	-0.002809	-0.001743	-1.031982	0.389893	-1.171875	0.537443	-0.138798	-0.285279	-0.781349
31460		5.125894	2.885503	7.834724	0.003392	-0.000682	-0.001136	-1.031738	0.397705	-1.175781	0.537441	-0.138789	-0.285299	-0.781345
31461		5.108978	2.880574	7.816467	0.000546	-0.001062	0.000149	-1.035156	0.391846	-1.180664	0.537443	-0.138799	-0.285299	-0.781341
31462		5.109104	2.880627	7.816365	0.000930	-0.000499	0.000859	-1.028076	0.407959	-1.166992	0.537452	-0.138805	-0.285297	-0.781335
31463		5.118081	2.873951	7.833629	0.003227	-0.002122	0.001202	-1.026367	0.404297	-1.182129	0.537463	-0.138814	-0.285314	-0.781319
31464		5.124800	2.852673	7.821651	0.002681	-0.001060	0.001053	-1.031982	0.393555	-1.183838	0.537477	-0.138815	-0.285318	-0.781308
31465		5.132602	2.884085	7.805219	0.002461	-0.000183	-0.001995	-1.029297	0.392822	-1.178223	0.537472	-0.138806	-0.285320	-0.781312
31466		5.113129	2.861832	7.818056	0.005527	-0.000680	-0.000232	-1.029297	0.386230	-1.172852	0.537479	-0.138792	-0.285346	-0.781300
31467		5.107378	2.865323	7.846175	0.005741	-0.003492	-0.002879	-1.027344	0.390625	-1.181152	0.537459	-0.138789	-0.285394	-0.781298
31468		5.130727	2.868958	7.835062	0.006288	-0.004555	-0.002730	-1.034180	0.388428	-1.180664	0.537447	-0.138787	-0.285433	-0.781292
31469		5.115990	2.898440	7.828573	0.005904	-0.005118	-0.003441	-1.029297	0.395752	-1.175781	0.537425	-0.138796	-0.285477	-0.781289
31470		5.134005	2.888643	7.802610	0.005196	-0.002431	-0.003028	-1.034180	0.388184	-1.179199	0.537416	-0.138799	-0.285497	-0.781287
31471		5.120144	2.880097	7.830023	0.005468	-0.004495	-0.002066	-1.030029	0.399170	-1.184570	0.537403	-0.138809	-0.285538	-0.781280
31472		5.117576	2.882358	7.843697	0.005743	-0.003494	-0.002880	-1.030762	0.383301	-1.179199	0.537409	-0.138818	-0.285541	-0.781273
31473		5.150374	2.863031	7.806610	0.007168	-0.003869	0.000213	-1.029053	0.389648	-1.187012	0.537404	-0.138801	-0.285596	-0.781259
31474		5.117800	2.902482	7.825892	-0.001147	0.000248	0.003565	-1.034668	0.395264	-1.176025	0.537446	-0.138806	-0.285538	-0.781251
31475		5.128144	2.860818	7.816483	0.005195	-0.005497	-0.001252	-1.036621	0.397949	-1.169678	0.537443	-0.138856	-0.285574	-0.781231
31476		5.130154	2.895093	7.828395	0.001915	0.000878	-0.002145	-1.031006	0.393799	-1.180420	0.537441	-0.138908	-0.285572	-0.781224
31477		5.124827	2.882007	7.813428	0.001367	-0.001124	-0.000517	-1.030273	0.394287	-1.177979	0.537454	-0.138925	-0.285543	-0.781222
31478		5.141999	2.887501	7.831308	0.002682	-0.001060	0.001052	-1.033691	0.391113	-1.183350	0.537476	-0.138944	-0.285526	-0.781210
31479		5.127535	2.897174	7.842170	0.001093	-0.002125	0.000298	-1.035156	0.390381	-1.183594	0.537492	-0.138964	-0.285504	-0.781204
31480		5.105924	2.859904	7.825882	0.003393	-0.000684	-0.001137	-1.038330	0.387695	-1.176758	0.537502	-0.138961	-0.285497	-0.781200
31481		5.117127	2.870849	7.812132	-0.000052	0.001188	0.002085	-1.028076	0.394531	-1.179199	0.537508	-0.138987	-0.285503	-0.781189
31482		5.131253	2.877553	7.844391	0.003119	-0.001685	-0.000323	-1.032227	0.391602	-1.176270	0.537527	-0.138990	-0.285477	-0.781185
31483		5.122646	2.884719	7.826685	0.001367	-0.001124	-0.000517	-1.033691	0.389648	-1.177734	0.537523	-0.139014	-0.285475	-0.781184
31484		5.117450	2.871769	7.811582	0.003829	-0.001310	-0.002513	-1.039062	0.400635	-1.175781	0.537505	-0.139014	-0.285501	-0.781187
31485		5.117546	2.872419	7.811281	0.004324	-0.001184	-0.000279	-1.027100	0.388428	-1.182861	0.537534	-0.139117	-0.285479	-0.781156
31486		5.100162	2.883784	7.836264	0.002898	-0.003875	-0.001594	-1.029785	0.395020	-1.177246	0.537529	-0.139069	-0.285474	-0.781170
31487		5.135194	2.878796	7.828524	0.003171	-0.002874	-0.002409	-1.032471	0.395020	-1.174805	0.537531	-0.139092	-0.285455	-0.781171
31488		5.112632	2.876864	7.838527	0.004650	-0.004437	-0.001401	-1.034180	0.389893	-1.187744	0.537528	-0.139152	-0.285473	-0.781157
31489		5.137693	2.913705	7.839863	0.001804	-0.001750	-0.001892	-1.030762	0.388428	-1.172607	0.537546	-0.139114	-0.285435	-0.781165
31490		5.116171	2.876628	7.823465	0.004103	-0.003374	-0.001550	-1.037109	0.394775	-1.179199	0.537499	-0.139124	-0.285503	-0.781171
31491		5.138763	2.895870	7.856004	0.003120	-0.001686	-0.000324	-1.036865	0.389893	-1.181885	0.537519	-0.139179	-0.285489	-0.781152
31492		5.120086	2.857164	7.825513	0.001316	0.000064	0.001568	-1.020752	0.384766	-1.177979	0.537539	-0.139180	-0.285480	-0.781141
31493		5.119822	2.876459	7.808302	0.005034	-0.003874	-0.000692	-1.034424	0.394775	-1.171875	0.537520	-0.139056	-0.285513	-0.781164
31494		5.125561	2.890331	7.822705	0.001641	-0.003189	0.000447	-1.033203	0.394043	-1.176758	0.537508	-0.139175	-0.285517	-0.781150
31495		5.122985	2.891816	7.836681	0.000710	-0.002689	-0.000412	-1.036133	0.402344	-1.177490	0.537516	-0.139237	-0.285490	-0.781143
31496		5.137931	2.882506	7.825363	0.000984	-0.001689	-0.001227	-1.032227	0.391846	-1.174805	0.537567	-0.139372	-0.285394	-0.781119
31497		5.121142	2.877329	7.807116	0.000274	-0.002064	0.000963	-1.032471	0.392578	-1.178467	0.537562	-0.139415	-0.285390	-0.781116
31498		5.133557	2.850226	7.827128	0.000384	0.000564	0.000710	-1.036133	0.387451	-1.171631	0.537585	-0.139420	-0.285349	-0.781115
31499		5.121588	2.877687	7.806691	0.005198	-0.005501	-0.001253	-1.032959	0.387939	-1.181152	0.537508	-0.139477	-0.285478	-0.781110
31500		5.121549	2.897145	7.789262	0.001146	-0.003316	-0.001787	-1.032227	0.394043	-1.173340	0.537496	-0.139434	-0.285496	-0.781120
31501		5.124759	2.893208	7.835007	0.000710	-0.002690	-0.000412	-1.030762	0.400146	-1.180176	0.537489	-0.139513	-0.285475	-0.781118
31502		5.111432	2.867855	7.819374	0.001752	-0.000562	0.000193	-1.033203	0.391846	-1.183594	0.537575	-0.139556	-0.285344	-0.781100
31503		5.122703	2.878907	7.805510	0.002573	-0.000624	-0.000473	-1.033691	0.396729	-1.178223	0.537612	-0.139504	-0.285309	-0.781096
31504		5.119826	2.880624	7.819603	0.002189	-0.001188	-0.001183	-1.029053	0.383789	-1.177490	0.537648	-0.139553	-0.285255	-0.781082
31505		5.119863	2.880899	7.819477	0.000821	-0.000062	-0.000666	-1.025391	0.383057	-1.182373	0.537597	-0.139448	-0.285304	-0.781118
31506		5.114826	2.868093	7.804223	0.007609	-0.004499	-0.001166	-1.030029	0.388428	-1.174316	0.537586	-0.139259	-0.285378	-0.781133
31507		5.120841	2.863213	7.835648	0.000273	0.001001	-0.000815	-1.031494	0.388672	-1.172607	0.537552	-0.139248	-0.285382	-0.781156
