// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05461		6.658385	-4.090717	5.928967	-0.007730	-0.004289	-0.004520	-0.727051	0.004639	-0.505859	-0.472456	-0.199109	0.397638	-0.760937
05462		6.670712	-4.094947	5.936019	-0.005419	-0.004378	-0.004870	-0.724854	-0.002441	-0.503418	-0.472481	-0.199131	0.397682	-0.760893
05463		6.653393	-4.110598	5.926467	-0.006353	-0.006519	-0.003572	-0.729004	-0.001465	-0.503174	-0.472497	-0.199166	0.397736	-0.760845
05464		6.683291	-4.098267	5.916582	-0.002283	-0.007316	-0.002686	-0.723633	-0.003418	-0.508545	-0.472494	-0.199212	0.397775	-0.760815
05465		6.683469	-4.096737	5.890600	0.002065	-0.004026	-0.007505	-0.722900	0.001709	-0.508545	-0.472524	-0.199271	0.397766	-0.760785
05466		6.675550	-4.103830	5.898917	0.003839	-0.001106	-0.008200	-0.723877	-0.005615	-0.508057	-0.472566	-0.199321	0.397734	-0.760763
05467		6.651595	-4.084071	5.917363	0.001070	-0.000275	-0.008167	-0.728027	0.000977	-0.501465	-0.472614	-0.199355	0.397718	-0.760732
05468		6.673921	-4.089109	5.882770	0.004766	-0.000779	-0.008534	-0.728027	0.002686	-0.509033	-0.472657	-0.199408	0.397680	-0.760712
05469		6.674615	-4.087658	5.882991	0.002633	0.000220	-0.011022	-0.731934	-0.001953	-0.508789	-0.472721	-0.199456	0.397649	-0.760675
05470		6.673883	-4.075568	5.917676	0.004952	0.001945	-0.012338	-0.725830	-0.004395	-0.506348	-0.472796	-0.199508	0.397596	-0.760643
05471		6.689533	-4.046029	5.910498	0.004152	0.004493	-0.008911	-0.729980	0.007324	-0.494873	-0.472859	-0.199530	0.397544	-0.760625
05472		6.690207	-4.099492	5.909273	0.005281	0.005432	-0.006120	-0.728271	-0.004395	-0.510742	-0.472906	-0.199545	0.397486	-0.760623
05473		6.667891	-4.090807	5.919536	0.005250	0.003917	-0.011117	-0.728760	-0.001465	-0.505859	-0.472979	-0.199586	0.397427	-0.760597
05474		6.683322	-4.061396	5.912504	0.001849	0.006393	-0.009529	-0.737061	0.000488	-0.502686	-0.473056	-0.199593	0.397384	-0.760570
05475		6.679137	-4.091194	5.903631	0.001088	0.003349	-0.010102	-0.726562	0.002197	-0.502197	-0.473127	-0.199621	0.397358	-0.760532
05476		6.672883	-4.055527	5.931268	0.006932	0.005476	-0.009913	-0.732178	0.000488	-0.506348	-0.473194	-0.199655	0.397289	-0.760517
