// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05461		8.656558	-4.479326	-1.939591	-0.054386	0.036631	-0.001207	-0.790527	-0.073975	0.134521	-0.334089	-0.396452	0.663658	-0.539230
05462		8.520003	-4.504344	-1.915746	-0.044041	0.024441	0.000472	-0.790771	-0.080811	0.140869	-0.334367	-0.396217	0.663789	-0.539068
05463		8.484098	-4.560380	-1.798475	-0.007669	-0.005715	-0.001719	-0.793213	-0.077637	0.137207	-0.334368	-0.396241	0.663834	-0.538995
05464		8.471735	-4.542418	-1.813086	0.027238	-0.025884	-0.000108	-0.789551	-0.081055	0.134277	-0.334134	-0.396432	0.663783	-0.539062
05465		8.583781	-4.388441	-1.834773	0.041671	-0.041123	0.004721	-0.788818	-0.078857	0.132080	-0.333746	-0.396702	0.663726	-0.539175
05466		8.635414	-4.269525	-1.736336	0.028005	-0.038127	0.003723	-0.790039	-0.084229	0.134277	-0.333426	-0.396926	0.663716	-0.539221
05467		8.676510	-4.340848	-1.808990	-0.001830	-0.013082	0.007793	-0.791504	-0.076172	0.139893	-0.333334	-0.396934	0.663776	-0.539197
05468		8.556401	-4.430707	-1.823924	-0.001711	-0.002339	0.007320	-0.791016	-0.075439	0.134277	-0.333310	-0.396898	0.663798	-0.539210
05469		8.579538	-4.474374	-1.822927	0.012622	-0.011614	0.010969	-0.794189	-0.077148	0.133789	-0.333174	-0.396922	0.663791	-0.539286
05470		8.577612	-4.384644	-1.794132	0.037518	-0.028302	0.016995	-0.791504	-0.078857	0.135742	-0.332838	-0.397053	0.663734	-0.539466
05471		8.641683	-4.397679	-1.967045	0.037207	-0.028422	0.014751	-0.794434	-0.069092	0.148438	-0.332520	-0.397196	0.663665	-0.539643
05472		8.514531	-4.444939	-1.931256	0.030686	-0.019699	0.007553	-0.790771	-0.077881	0.136475	-0.332306	-0.397325	0.663577	-0.539788
05473		8.584811	-4.404574	-1.759828	0.048532	-0.037801	0.001972	-0.792969	-0.077881	0.138428	-0.331956	-0.397616	0.663442	-0.539955
05474		8.636745	-4.227530	-1.858513	0.060458	-0.052839	0.004714	-0.799805	-0.073975	0.144043	-0.331480	-0.397990	0.663294	-0.540154
05475		8.623143	-4.158737	-1.835729	0.042245	-0.044910	-0.003948	-0.790283	-0.070068	0.143311	-0.331166	-0.398335	0.663166	-0.540249
05476		8.694298	-4.186722	-1.780001	0.028797	-0.036154	-0.010298	-0.795898	-0.074951	0.143311	-0.330989	-0.398654	0.663042	-0.540274
05477		8.640676	-4.157300	-1.710729	0.018226	-0.017296	-0.015823	-0.791748	-0.079102	0.145508	-0.331009	-0.398901	0.662877	-0.540283
05478		8.653672	-4.259602	-1.703925	-0.007960	-0.010418	-0.017869	-0.789795	-0.075684	0.131104	-0.331185	-0.399065	0.662788	-0.540163
05479		8.654355	-4.331321	-1.923531	-0.034257	-0.009042	-0.017951	-0.791260	-0.081543	0.142578	-0.331468	-0.399157	0.662786	-0.539923
05480		8.595874	-4.394436	-1.849361	-0.031930	-0.003519	-0.013631	-0.790039	-0.078613	0.141602	-0.331768	-0.399210	0.662785	-0.539702
05481		8.543170	-4.482536	-1.829473	-0.011755	-0.009545	-0.013078	-0.791748	-0.075928	0.139648	-0.331957	-0.399337	0.662708	-0.539585
05482		8.502104	-4.528852	-1.811203	-0.002496	-0.017147	-0.013264	-0.797119	-0.081299	0.134521	-0.332072	-0.399517	0.662602	-0.539512
05483		8.507754	-4.471064	-1.889302	-0.001159	-0.027085	-0.007201	-0.802490	-0.074951	0.139893	-0.332126	-0.399708	0.662520	-0.539437
05484		8.602797	-4.472161	-1.902008	0.019921	-0.041142	-0.005123	-0.791504	-0.069824	0.141602	-0.332041	-0.399990	0.662383	-0.539449
05485		8.589478	-4.408075	-1.904901	0.032757	-0.048822	-0.002914	-0.791748	-0.070068	0.145508	-0.331757	-0.400319	0.662256	-0.539536
05486		8.599857	-4.346252	-1.916232	0.038691	-0.051543	-0.004812	-0.796875	-0.081299	0.143066	-0.331448	-0.400680	0.662115	-0.539630
05487		8.574820	-4.298293	-1.897330	0.041713	-0.046386	-0.008864	-0.796875	-0.079346	0.138916	-0.331242	-0.401062	0.661928	-0.539704
05488		8.616650	-4.323374	-1.876918	0.036483	-0.037804	-0.019936	-0.795166	-0.073486	0.140625	-0.331149	-0.401461	0.661686	-0.539761
05489		8.604608	-4.367844	-1.981589	0.029818	-0.038535	-0.026255	-0.789795	-0.084229	0.148193	-0.331073	-0.401878	0.661452	-0.539783
05490		8.592946	-4.341486	-1.973589	0.042795	-0.046910	-0.021405	-0.789062	-0.070312	0.154297	-0.330856	-0.402346	0.661273	-0.539787
05491		8.627891	-4.280116	-1.993132	0.064640	-0.064557	-0.015940	-0.789795	-0.077148	0.144531	-0.330392	-0.402909	0.661056	-0.539917
05492		8.657209	-4.255552	-1.942672	0.077844	-0.063227	-0.015394	-0.786621	-0.074707	0.145508	-0.329927	-0.403530	0.660753	-0.540109
05493		8.668590	-4.206847	-1.923016	0.061833	-0.044627	-0.018261	-0.783447	-0.071289	0.147461	-0.329601	-0.404046	0.660465	-0.540274
05494		8.711036	-4.184768	-1.886886	0.020194	-0.020294	-0.018963	-0.790283	-0.077393	0.142822	-0.329524	-0.404347	0.660301	-0.540297
05495		8.698564	-4.209848	-1.995210	-0.016934	-0.007656	-0.010366	-0.790283	-0.077637	0.149902	-0.329711	-0.404450	0.660257	-0.540158
05496		8.632643	-4.221069	-2.003500	-0.015270	-0.024209	-0.000406	-0.792480	-0.079102	0.148682	-0.329750	-0.404580	0.660315	-0.539966
05497		8.673504	-4.273659	-2.004223	0.011960	-0.039975	0.009166	-0.792969	-0.083252	0.157959	-0.329596	-0.404810	0.660317	-0.539886
05498		8.660466	-4.232816	-1.922995	0.017158	-0.029567	0.012788	-0.789795	-0.083008	0.148438	-0.329475	-0.404992	0.660325	-0.539814
05499		8.688467	-4.202836	-1.925320	0.003123	-0.014428	0.015876	-0.786377	-0.075928	0.149902	-0.329456	-0.405064	0.660325	-0.539771
05500		8.710505	-4.187186	-1.940749	-0.011988	-0.006160	0.020283	-0.788574	-0.072510	0.160645	-0.329447	-0.405020	0.660397	-0.539721
05501		8.679537	-4.215693	-1.918025	-0.023738	-0.000456	0.020697	-0.787354	-0.070068	0.155762	-0.329508	-0.404903	0.660553	-0.539581
