// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05461		6.118366	-0.795106	7.560748	-0.004626	-0.010382	0.005026	-0.781494	-0.285400	-0.279785	-0.305814	-0.300691	0.148895	-0.891007
05462		6.101146	-0.796395	7.576795	-0.007128	-0.012499	0.009446	-0.779785	-0.288086	-0.274902	-0.305746	-0.300754	0.149003	-0.890991
05463		6.117682	-0.818567	7.554454	-0.006456	-0.014043	0.010960	-0.782227	-0.285645	-0.276855	-0.305665	-0.300834	0.149111	-0.890973
05464		6.120321	-0.837602	7.529225	-0.004652	-0.015680	0.009658	-0.776611	-0.289795	-0.281738	-0.305586	-0.300927	0.149210	-0.890953
05465		6.125151	-0.810622	7.543072	-0.008196	-0.013551	0.008752	-0.777588	-0.284912	-0.277100	-0.305524	-0.300995	0.149329	-0.890931
05466		6.118422	-0.826646	7.569689	-0.007465	-0.016242	0.006753	-0.776611	-0.291748	-0.276855	-0.305472	-0.301089	0.149444	-0.890898
05467		6.127807	-0.796673	7.563481	-0.006125	-0.013458	0.006904	-0.782959	-0.285645	-0.273682	-0.305418	-0.301164	0.149544	-0.890874
05468		6.111006	-0.797900	7.579240	-0.005424	-0.015575	0.006662	-0.783691	-0.282959	-0.278320	-0.305362	-0.301256	0.149642	-0.890846
05469		6.120476	-0.859679	7.549568	-0.005037	-0.012691	0.006723	-0.785645	-0.285156	-0.280273	-0.305309	-0.301326	0.149730	-0.890825
05470		6.133257	-0.809201	7.547176	-0.004041	-0.013650	0.004178	-0.779541	-0.290527	-0.278320	-0.305270	-0.301408	0.149809	-0.890798
05471		6.152354	-0.793019	7.552241	-0.003521	-0.009901	0.003967	-0.783691	-0.277832	-0.268555	-0.305235	-0.301464	0.149874	-0.890780
05472		6.131753	-0.822456	7.553146	-0.003415	-0.008463	0.005451	-0.781006	-0.287109	-0.281982	-0.305191	-0.301508	0.149937	-0.890769
05473		6.127848	-0.817384	7.584146	-0.002153	-0.007691	0.002362	-0.782471	-0.285645	-0.277100	-0.305169	-0.301553	0.149982	-0.890754
05474		6.136868	-0.795140	7.566862	-0.004192	-0.008356	0.002455	-0.790771	-0.284668	-0.272949	-0.305149	-0.301596	0.150043	-0.890736
05475		6.134839	-0.824798	7.550385	-0.005559	-0.010567	0.004061	-0.780518	-0.280029	-0.272217	-0.305118	-0.301649	0.150122	-0.890715
05476		6.135914	-0.825712	7.549411	-0.003119	-0.007304	0.003151	-0.785889	-0.283203	-0.274170	-0.305092	-0.301685	0.150173	-0.890704
05477		6.132349	-0.829468	7.568641	-0.005186	-0.007398	0.005001	-0.781494	-0.289307	-0.274414	-0.305058	-0.301713	0.150245	-0.890694
05478		6.137278	-0.819264	7.559557	-0.006272	-0.008163	0.005184	-0.779297	-0.286377	-0.287354	-0.305027	-0.301741	0.150326	-0.890681
05479		6.146154	-0.797411	7.542344	-0.002999	-0.006152	0.003757	-0.780029	-0.296631	-0.277832	-0.305003	-0.301754	0.150375	-0.890677
05480		6.156139	-0.795560	7.576198	-0.005052	-0.006532	0.004729	-0.780518	-0.287842	-0.276855	-0.304983	-0.301774	0.150437	-0.890666
05481		6.139403	-0.813820	7.568988	-0.004645	-0.009808	0.006786	-0.784180	-0.286377	-0.278809	-0.304936	-0.301817	0.150509	-0.890656
05482		6.133328	-0.855023	7.560691	-0.002579	-0.009715	0.004935	-0.786133	-0.286865	-0.283691	-0.304895	-0.301863	0.150561	-0.890646
05483		6.110704	-0.846977	7.534290	-0.003385	-0.009035	0.003695	-0.791504	-0.283691	-0.272705	-0.304867	-0.301892	0.150616	-0.890636
05484		6.132467	-0.793585	7.566765	-0.003944	-0.011925	0.006541	-0.782715	-0.277100	-0.280762	-0.304802	-0.301952	0.150696	-0.890624
05485		6.135176	-0.820667	7.529901	-0.004210	-0.013656	0.007086	-0.780762	-0.279053	-0.272949	-0.304731	-0.302006	0.150783	-0.890615
05486		6.118222	-0.821631	7.545896	-0.003930	-0.012211	0.005664	-0.789795	-0.291260	-0.275879	-0.304672	-0.302071	0.150856	-0.890601
05487		6.151358	-0.808688	7.553650	-0.001929	-0.010688	0.008204	-0.788330	-0.289062	-0.281006	-0.304610	-0.302120	0.150910	-0.890596
05488		6.148829	-0.829730	7.549022	-0.001516	-0.008377	0.006509	-0.788574	-0.281738	-0.278809	-0.304567	-0.302142	0.150950	-0.890597
