// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
01791		9.088368	-0.910478	-3.598306	0.029240	-0.003170	-0.003253	-0.686523	0.415039	0.409424	0.346772	-0.698541	-0.441936	-0.443264
01792		9.161629	-0.659916	-3.472791	-0.017356	-0.001751	0.007207	-0.687256	0.413330	0.398193	0.346691	-0.698624	-0.441835	-0.443297
01793		9.034626	-0.962134	-3.867974	-0.079345	0.014341	0.013264	-0.685547	0.424072	0.407471	0.346339	-0.698840	-0.441423	-0.443641
01794		8.936386	-1.293781	-3.926173	-0.001658	0.004464	-0.007356	-0.695312	0.418945	0.397461	0.346316	-0.698803	-0.441448	-0.443692
01795		9.058530	-0.825917	-3.641655	0.044430	0.008859	-0.015424	-0.687012	0.410889	0.396240	0.346551	-0.698595	-0.441675	-0.443611
01796		9.180484	-0.623423	-3.619511	-0.008243	0.013956	-0.001808	-0.689697	0.411133	0.407227	0.346546	-0.698569	-0.441615	-0.443715
01797		9.048334	-1.011483	-3.807980	-0.024296	0.020403	0.001495	-0.690186	0.415771	0.406250	0.346474	-0.698574	-0.441465	-0.443913
01798		9.023913	-1.020774	-3.941276	0.018073	0.028546	-0.007095	-0.687500	0.416992	0.407471	0.346646	-0.698402	-0.441498	-0.444017
01799		9.000531	-0.795876	-3.731649	0.045148	0.031357	-0.006521	-0.688477	0.417725	0.403809	0.346981	-0.698156	-0.441623	-0.444017
01800		9.118789	-0.706514	-3.646458	0.026245	0.038489	0.001889	-0.686768	0.410156	0.402832	0.347253	-0.697973	-0.441615	-0.444101
01801		9.127590	-0.762353	-3.646556	-0.002406	0.045351	0.012271	-0.691162	0.419922	0.401855	0.347410	-0.697882	-0.441429	-0.444306
01802		9.109172	-0.855368	-3.690165	-0.011443	0.045292	0.011962	-0.688965	0.413330	0.403320	0.347504	-0.697814	-0.441218	-0.444548
01803		9.040082	-0.819576	-3.729357	-0.004983	0.042211	0.009488	-0.695557	0.415039	0.407715	0.347607	-0.697732	-0.441060	-0.444753
01804		9.077107	-0.901588	-3.617437	0.011093	0.036794	0.009884	-0.695068	0.411621	0.400879	0.347772	-0.697631	-0.440983	-0.444859
01805		9.046151	-0.945972	-3.491431	0.014741	0.034678	0.006456	-0.689209	0.412842	0.406250	0.347939	-0.697515	-0.440946	-0.444947
01806		9.121719	-0.938149	-3.491814	0.002820	0.024216	0.005698	-0.686279	0.415283	0.401855	0.348004	-0.697468	-0.440892	-0.445023
01807		9.102625	-0.933742	-3.611651	-0.016611	0.023929	0.003530	-0.690186	0.415283	0.408691	0.347959	-0.697465	-0.440772	-0.445182
01808		9.070198	-1.095316	-3.546917	-0.002600	0.014946	-0.006318	-0.691650	0.417480	0.399658	0.347916	-0.697428	-0.440789	-0.445257
01809		9.101334	-0.890255	-3.493236	0.002093	0.013716	-0.011312	-0.695557	0.413330	0.405029	0.347899	-0.697362	-0.440845	-0.445317
01810		9.103352	-0.903805	-3.459396	-0.027570	0.009901	-0.007401	-0.692627	0.417969	0.406006	0.347704	-0.697411	-0.440783	-0.445454
01811		9.121337	-1.167055	-3.569444	-0.016220	0.001551	-0.016654	-0.689453	0.416992	0.395508	0.347520	-0.697422	-0.440828	-0.445537
