// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
01791		8.485414	-1.279548	5.010775	-0.078435	-0.022318	0.052999	-0.743164	-0.284424	-0.187988	-0.414165	-0.397244	0.299921	-0.762044
01792		8.429454	-1.165311	4.947661	-0.060626	-0.023305	0.044124	-0.742676	-0.289551	-0.201172	-0.414027	-0.397073	0.300533	-0.761968
01793		8.438961	-1.102664	4.945378	-0.057650	-0.033685	0.050917	-0.739746	-0.275635	-0.191895	-0.413822	-0.396949	0.301177	-0.761889
01794		8.526168	-1.098836	4.897318	-0.054400	-0.040257	0.048687	-0.747314	-0.276855	-0.200439	-0.413593	-0.396896	0.301820	-0.761787
01795		8.540507	-1.087701	4.896748	-0.045542	-0.042796	0.041023	-0.740967	-0.282471	-0.203857	-0.413378	-0.396913	0.302388	-0.761669
01796		8.504594	-1.028434	4.901833	-0.034110	-0.047855	0.028708	-0.745605	-0.281738	-0.189453	-0.413194	-0.397039	0.302857	-0.761517
01797		8.430651	-0.987737	4.947285	-0.035790	-0.059582	0.019722	-0.747559	-0.274902	-0.188721	-0.413048	-0.397265	0.303339	-0.761287
01798		8.441543	-0.986420	4.972544	-0.041218	-0.066784	0.009698	-0.743896	-0.276855	-0.188965	-0.412972	-0.397550	0.303834	-0.760981
01799		8.395155	-1.052232	5.069692	-0.041459	-0.063534	-0.009884	-0.747559	-0.272217	-0.191650	-0.413040	-0.397872	0.304238	-0.760615
01800		8.328028	-1.143226	5.200764	-0.040327	-0.062256	-0.032512	-0.748291	-0.277100	-0.194092	-0.413261	-0.398246	0.304537	-0.760179
01801		8.362290	-1.201457	5.340218	-0.056227	-0.046245	-0.037023	-0.750977	-0.269775	-0.195557	-0.413614	-0.398463	0.304847	-0.759749
01802		8.254179	-1.340662	5.404142	-0.068831	-0.019635	-0.029993	-0.750977	-0.274414	-0.190186	-0.414044	-0.398429	0.305144	-0.759414
01803		8.211034	-1.349277	5.337252	-0.060644	0.015714	-0.025943	-0.754639	-0.275391	-0.187500	-0.414518	-0.398152	0.305261	-0.759253
01804		8.260640	-1.340676	5.310912	-0.051195	0.046455	-0.024075	-0.755615	-0.277832	-0.190186	-0.415034	-0.397671	0.305202	-0.759247
01805		8.333287	-1.291908	5.171954	-0.051383	0.070637	-0.015514	-0.746094	-0.277588	-0.186523	-0.415564	-0.396983	0.305073	-0.759369
01806		8.256252	-1.317528	4.987789	-0.041519	0.073647	-0.009334	-0.747314	-0.276367	-0.194824	-0.416026	-0.396285	0.304888	-0.759555
01807		8.284892	-1.247894	4.897725	-0.023157	0.061898	-0.015618	-0.746582	-0.275635	-0.187500	-0.416442	-0.395727	0.304598	-0.759734
01808		8.332506	-1.227873	4.812908	-0.011357	0.051889	-0.016562	-0.746582	-0.278320	-0.197510	-0.416790	-0.395285	0.304277	-0.759902
01809		8.364639	-1.197107	4.789070	-0.012442	0.036657	-0.015622	-0.748535	-0.277100	-0.193604	-0.417111	-0.394941	0.304011	-0.760011
01810		8.432164	-1.236496	4.770810	-0.002444	0.029206	-0.017641	-0.747559	-0.271973	-0.190186	-0.417387	-0.394701	0.303713	-0.760104
01811		8.443634	-1.234354	4.723565	0.015781	0.024210	-0.030010	-0.742432	-0.274414	-0.203613	-0.417640	-0.394616	0.303295	-0.760176
01812		8.380434	-1.247725	4.740561	0.029730	0.011428	-0.039450	-0.745361	-0.276611	-0.200439	-0.417885	-0.394715	0.302794	-0.760190
01813		8.451927	-1.322186	4.788188	0.033941	-0.001559	-0.034624	-0.736572	-0.281738	-0.197021	-0.418054	-0.394909	0.302349	-0.760173
01814		8.464330	-1.418818	4.719713	0.048640	-0.004716	-0.035442	-0.748291	-0.284424	-0.205566	-0.418133	-0.395226	0.301873	-0.760154
01815		8.395120	-1.460005	4.716399	0.061716	-0.008255	-0.031499	-0.747314	-0.276611	-0.201416	-0.418192	-0.395564	0.301317	-0.760166
01816		8.420979	-1.522036	4.645563	0.074807	-0.014705	-0.027569	-0.740723	-0.282959	-0.198486	-0.418104	-0.395984	0.300763	-0.760215
01817		8.403049	-1.530267	4.669352	0.070285	-0.026950	-0.008620	-0.744141	-0.279053	-0.198730	-0.417845	-0.396452	0.300408	-0.760254
01818		8.417278	-1.547260	4.687694	0.073394	-0.033012	0.011306	-0.747559	-0.277344	-0.202393	-0.417414	-0.396907	0.300151	-0.760355
01819		8.449070	-1.529112	4.683212	0.074625	-0.037055	0.016699	-0.742432	-0.278320	-0.190186	-0.416925	-0.397362	0.299944	-0.760467
01820		8.489900	-1.469558	4.687679	0.070524	-0.031684	0.018248	-0.752686	-0.280518	-0.197998	-0.416406	-0.397801	0.299811	-0.760575
01821		8.405880	-1.486063	4.672259	0.062245	-0.030868	0.014894	-0.746094	-0.284424	-0.199707	-0.415952	-0.398197	0.299724	-0.760650
01822		8.353138	-1.350048	4.720304	0.041267	-0.036743	0.012020	-0.740967	-0.277344	-0.199707	-0.415572	-0.398566	0.299798	-0.760636
01823		8.414881	-1.330093	4.775472	-0.000196	-0.041188	0.016577	-0.746338	-0.280029	-0.194580	-0.415284	-0.398793	0.300181	-0.760523
01824		8.419232	-1.372850	4.839169	-0.024519	-0.034352	0.002231	-0.746582	-0.287354	-0.197021	-0.415169	-0.398954	0.300647	-0.760317
01825		8.431615	-1.284660	4.884072	-0.041741	-0.013178	-0.021735	-0.751465	-0.286621	-0.197021	-0.415331	-0.398975	0.301055	-0.760056
01826		8.377187	-1.322000	4.874464	-0.071148	0.009217	-0.041917	-0.748291	-0.274414	-0.198730	-0.415748	-0.398810	0.301508	-0.759735
01827		8.305456	-1.375216	4.816740	-0.092953	0.017649	-0.060320	-0.748779	-0.282227	-0.202881	-0.416383	-0.398528	0.302037	-0.759325
01828		8.320935	-1.397139	4.762810	-0.110840	0.016297	-0.064262	-0.746582	-0.284668	-0.199707	-0.417106	-0.398189	0.302659	-0.758858
01829		8.317062	-1.480071	4.747813	-0.117650	0.018343	-0.063923	-0.742432	-0.288330	-0.207520	-0.417863	-0.397825	0.303293	-0.758379
01830		8.374876	-1.508437	4.767805	-0.118300	0.026155	-0.052000	-0.741455	-0.280029	-0.195801	-0.418621	-0.397324	0.303955	-0.757959
01831		8.405659	-1.517262	4.764591	-0.107117	0.030077	-0.034260	-0.752197	-0.288330	-0.205322	-0.419204	-0.396848	0.304574	-0.757638
01832		8.385304	-1.426216	4.745679	-0.089377	0.024924	-0.014602	-0.745605	-0.285156	-0.198242	-0.419494	-0.396409	0.305207	-0.757452
01833		8.324002	-1.327267	4.706938	-0.060465	0.008662	-0.005331	-0.742188	-0.282471	-0.199951	-0.419638	-0.396174	0.305700	-0.757296
01834		8.389229	-1.248705	4.778751	-0.044255	-0.007844	-0.002596	-0.744385	-0.278809	-0.206299	-0.419721	-0.396069	0.306160	-0.757119
01835		8.524371	-1.221129	4.835021	-0.035171	-0.010850	-0.012016	-0.743652	-0.271484	-0.197510	-0.419823	-0.395999	0.306587	-0.756927
01836		8.523187	-1.236582	4.786719	-0.032881	-0.007800	-0.014628	-0.752686	-0.276855	-0.204102	-0.419916	-0.395983	0.306950	-0.756737
01837		8.427056	-1.186905	4.791978	-0.029257	-0.015179	-0.019507	-0.751709	-0.272705	-0.209473	-0.419908	-0.396046	0.307325	-0.756555
01838		8.445179	-1.217188	4.796941	-0.025953	-0.034278	-0.021619	-0.746582	-0.275391	-0.206299	-0.419902	-0.396189	0.307777	-0.756300
