// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		8.278683	-4.773198	-2.140023	0.044068	0.025339	0.013824	-0.275391	0.644775	0.350342	0.447024	-0.751503	-0.211392	-0.436722
58938		8.290317	-4.755517	-1.875214	0.046385	0.014119	0.005149	-0.274170	0.644775	0.346924	0.447358	-0.751288	-0.211476	-0.436710
58939		8.364316	-4.664728	-1.822595	0.056703	-0.032396	-0.005839	-0.275391	0.637207	0.341797	0.447637	-0.751182	-0.211840	-0.436429
58940		8.404552	-4.745762	-1.974755	0.018146	-0.020963	-0.011309	-0.268311	0.641113	0.343750	0.447675	-0.751167	-0.212055	-0.436311
58941		8.437867	-4.798269	-2.164372	-0.003724	0.016659	0.009623	-0.276367	0.642090	0.352295	0.447719	-0.751131	-0.211920	-0.436394
58942		8.354766	-4.720514	-2.020320	-0.010852	0.035378	0.014142	-0.264648	0.647461	0.339600	0.447766	-0.751061	-0.211662	-0.436590
58943		8.331666	-4.711746	-1.921731	-0.023317	0.036573	0.005428	-0.260986	0.642090	0.346191	0.447708	-0.751014	-0.211411	-0.436854
58944		8.258027	-4.764448	-1.851491	-0.052432	0.035652	-0.000705	-0.270996	0.637939	0.338135	0.447446	-0.751061	-0.211095	-0.437194
58945		8.291213	-4.807547	-1.975242	-0.062515	0.022148	-0.002815	-0.268066	0.645752	0.347412	0.447099	-0.751181	-0.210804	-0.437483
58946		8.306581	-4.823833	-2.032700	-0.058540	0.021242	-0.002047	-0.267090	0.640869	0.343994	0.446786	-0.751284	-0.210522	-0.437762
58947		8.340533	-4.796247	-1.987261	-0.055243	0.030302	-0.005607	-0.259277	0.637695	0.346680	0.446501	-0.751332	-0.210238	-0.438106
58948		8.307232	-4.842824	-2.017766	-0.050862	0.040636	-0.017539	-0.266846	0.635986	0.349121	0.446224	-0.751298	-0.210004	-0.438558
58949		8.259342	-4.928751	-1.919805	-0.042933	0.017886	-0.018111	-0.268555	0.645264	0.351562	0.445963	-0.751312	-0.209883	-0.438858
58950		8.290602	-4.917356	-2.043977	-0.040191	0.002452	-0.009242	-0.264648	0.645996	0.358398	0.445743	-0.751379	-0.209760	-0.439025
58951		8.289633	-4.817201	-2.055364	-0.030008	0.014472	-0.008002	-0.274414	0.641357	0.348633	0.445624	-0.751366	-0.209614	-0.439240
58952		8.291781	-4.847339	-2.051897	-0.020925	0.018799	-0.014869	-0.271973	0.647705	0.356689	0.445549	-0.751289	-0.209521	-0.439491
58953		8.285534	-4.841617	-2.019853	-0.016140	0.008793	-0.016133	-0.264160	0.638184	0.354736	0.445491	-0.751225	-0.209490	-0.439674
58954		8.253915	-4.845281	-2.007054	0.009573	-0.001763	-0.016589	-0.277344	0.637939	0.350342	0.445567	-0.751111	-0.209586	-0.439745
58955		8.353068	-4.915005	-2.023381	0.004373	-0.009423	-0.019130	-0.267822	0.635742	0.337402	0.445610	-0.751027	-0.209697	-0.439793
58956		8.364881	-4.827271	-2.021998	0.003104	0.003244	-0.007998	-0.269043	0.641602	0.353516	0.445702	-0.750936	-0.209674	-0.439867
58957		8.321683	-4.699138	-1.990174	0.000727	0.000854	-0.005581	-0.272461	0.643555	0.353271	0.445802	-0.750847	-0.209648	-0.439928
58958		8.323782	-4.763170	-1.983557	0.002877	-0.000036	-0.011836	-0.265869	0.640381	0.350098	0.445900	-0.750731	-0.209678	-0.440014
58959		8.285066	-4.835292	-2.055102	0.020851	-0.022802	-0.016565	-0.262451	0.636230	0.350098	0.446030	-0.750638	-0.209887	-0.439941
58960		8.355970	-4.861795	-2.089866	0.014163	-0.008864	-0.015997	-0.271240	0.646240	0.352783	0.446125	-0.750535	-0.210009	-0.439961
58961		8.370958	-4.782337	-2.099437	0.020961	0.002902	-0.009683	-0.271484	0.644531	0.348389	0.446368	-0.750340	-0.210081	-0.440014
58962		8.386530	-4.608359	-2.008591	0.028310	-0.007393	-0.004422	-0.275879	0.643311	0.357666	0.446644	-0.750173	-0.210183	-0.439970
58963		8.367763	-4.671852	-1.918958	0.018449	-0.015281	-0.012920	-0.273926	0.640869	0.353516	0.446807	-0.750034	-0.210354	-0.439959
58964		8.327163	-4.742887	-2.046557	-0.000914	-0.024192	-0.016231	-0.277588	0.632080	0.351318	0.446797	-0.750003	-0.210505	-0.439950
58965		8.383825	-4.769427	-2.086312	-0.000053	-0.007558	-0.016158	-0.260742	0.643066	0.353271	0.446777	-0.749924	-0.210569	-0.440075
58966		8.349304	-4.720328	-2.072922	-0.005123	0.005411	-0.017826	-0.275391	0.637207	0.350830	0.446745	-0.749849	-0.210624	-0.440208
58967		8.346735	-4.735660	-1.990822	-0.008884	0.003358	-0.020432	-0.271973	0.640869	0.348633	0.446686	-0.749754	-0.210667	-0.440408
58968		8.348713	-4.810288	-1.976714	-0.004281	0.003632	-0.019242	-0.267822	0.632568	0.351318	0.446673	-0.749648	-0.210732	-0.440571
58969		8.308836	-4.881182	-2.102114	0.005843	-0.002482	-0.008718	-0.264648	0.638428	0.346924	0.446685	-0.749587	-0.210759	-0.440650
58970		8.320405	-4.807672	-2.038194	-0.006675	0.005170	-0.005737	-0.271729	0.639648	0.355469	0.446685	-0.749551	-0.210704	-0.440737
58971		8.367670	-4.702899	-2.002075	-0.010381	0.007912	-0.008359	-0.269287	0.642578	0.347412	0.446673	-0.749480	-0.210657	-0.440894
58972		8.311322	-4.748736	-2.005978	-0.011033	-0.006799	-0.015073	-0.273438	0.639404	0.342773	0.446631	-0.749454	-0.210712	-0.440952
58973		8.302389	-4.909695	-1.994640	-0.010565	-0.000471	-0.018189	-0.271973	0.641602	0.348145	0.446590	-0.749389	-0.210755	-0.441084
58974		8.374331	-4.954333	-2.088126	-0.001725	0.003348	-0.012721	-0.267822	0.637451	0.358643	0.446641	-0.749289	-0.210786	-0.441188
58975		8.294766	-4.765703	-2.104632	0.010122	0.003335	-0.009839	-0.266113	0.634521	0.348633	0.446709	-0.749198	-0.210819	-0.441258
58976		8.399896	-4.660241	-1.999187	0.026535	-0.013399	-0.001563	-0.268311	0.632324	0.354248	0.446873	-0.749142	-0.210900	-0.441149
58977		8.324414	-4.746603	-1.982975	0.018552	-0.012794	-0.002762	-0.264404	0.642822	0.349121	0.446949	-0.749109	-0.210959	-0.441099
58978		8.331469	-4.858854	-2.053489	0.001808	-0.020899	0.000137	-0.275635	0.633545	0.350342	0.447013	-0.749149	-0.211008	-0.440943
58979		8.345981	-4.832316	-2.121825	-0.005066	-0.002927	0.002229	-0.265869	0.640625	0.354004	0.447014	-0.749132	-0.210932	-0.441007
58980		8.342141	-4.747175	-2.123928	0.011043	0.000350	-0.001401	-0.266113	0.640381	0.357178	0.447133	-0.749074	-0.210935	-0.440983
58981		8.373739	-4.669963	-2.021336	0.012509	-0.010177	-0.008365	-0.269775	0.635986	0.350830	0.447195	-0.749050	-0.211028	-0.440918
58982		8.440908	-4.689882	-2.042805	0.027896	-0.004063	-0.006118	-0.264160	0.641357	0.351318	0.447360	-0.748932	-0.211135	-0.440899
58983		8.339152	-4.719706	-2.051325	0.009984	-0.008540	-0.004406	-0.265625	0.631836	0.350586	0.447443	-0.748913	-0.211194	-0.440819
58984		8.338591	-4.770254	-2.162589	-0.006972	-0.002668	0.001234	-0.265381	0.641602	0.355957	0.447365	-0.748972	-0.211095	-0.440845
58985		8.334072	-4.774893	-2.142889	-0.003336	0.009372	0.000266	-0.272217	0.637695	0.354492	0.447386	-0.748959	-0.211011	-0.440886
58986		8.368094	-4.795880	-2.029740	0.002968	0.004945	0.003707	-0.266113	0.637695	0.349609	0.447425	-0.748922	-0.210960	-0.440934
58987		8.320450	-4.848340	-2.008416	0.023997	-0.003250	-0.002099	-0.271240	0.650391	0.351318	0.447584	-0.748844	-0.211028	-0.440872
58988		8.281363	-4.814226	-2.040237	0.032845	-0.006798	0.002773	-0.267578	0.636230	0.345703	0.447921	-0.748689	-0.211185	-0.440719
58989		8.317225	-4.753199	-2.015043	0.034754	-0.007064	0.003773	-0.273682	0.647461	0.346680	0.448167	-0.748582	-0.211266	-0.440610
58990		8.384500	-4.743426	-1.983712	0.030786	-0.002523	0.003311	-0.269531	0.641846	0.349854	0.448497	-0.748401	-0.211401	-0.440517
58991		8.370184	-4.686721	-2.058762	0.015221	0.003920	-0.001903	-0.271973	0.646484	0.350342	0.448639	-0.748305	-0.211439	-0.440519
