// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		6.087561	-0.786250	7.603814	0.000720	-0.009839	0.001605	-0.221436	0.084473	-0.380615	0.903992	-0.134847	-0.305987	-0.266435
58938		6.115162	-0.793067	7.584617	-0.000367	-0.009400	0.004304	-0.215088	0.088623	-0.385254	0.903972	-0.134884	-0.306065	-0.266394
58939		6.082078	-0.814986	7.600435	0.000553	-0.011049	0.001576	-0.217529	0.079346	-0.390137	0.903948	-0.134908	-0.306147	-0.266368
58940		6.073330	-0.797143	7.601925	0.000035	-0.009788	0.000993	-0.212158	0.086182	-0.390137	0.903925	-0.134933	-0.306219	-0.266349
58941		6.100576	-0.759007	7.601005	-0.002166	-0.011836	0.001716	-0.219482	0.085205	-0.378906	0.903897	-0.134980	-0.306299	-0.266329
58942		6.098431	-0.773793	7.598793	-0.004086	-0.017452	0.004272	-0.208984	0.091064	-0.392090	0.903859	-0.135059	-0.306414	-0.266288
58943		6.098724	-0.834999	7.592372	-0.003991	-0.017336	0.005580	-0.207764	0.084229	-0.386230	0.903824	-0.135139	-0.306526	-0.266237
58944		6.079654	-0.843492	7.562751	-0.001063	-0.017161	-0.000487	-0.217773	0.082031	-0.393311	0.903779	-0.135183	-0.306648	-0.266224
58945		6.094688	-0.757587	7.596115	-0.001319	-0.014576	0.000267	-0.213867	0.090332	-0.384033	0.903744	-0.135229	-0.306747	-0.266208
58946		6.122134	-0.781082	7.604711	-0.003583	-0.013812	0.004360	-0.213867	0.083984	-0.386475	0.903717	-0.135297	-0.306829	-0.266168
58947		6.090243	-0.787028	7.591827	-0.001032	-0.014232	0.004190	-0.206055	0.081299	-0.388916	0.903693	-0.135345	-0.306919	-0.266123
58948		6.127893	-0.767378	7.587961	-0.004859	-0.013597	0.004446	-0.209717	0.077881	-0.384277	0.903667	-0.135419	-0.306993	-0.266088
58949		6.098065	-0.819608	7.571162	-0.002993	-0.013969	0.003664	-0.214844	0.086670	-0.383545	0.903641	-0.135476	-0.307075	-0.266054
58950		6.095202	-0.789480	7.587591	-0.002659	-0.011548	0.003722	-0.210449	0.089111	-0.374512	0.903622	-0.135527	-0.307138	-0.266020
58951		6.100585	-0.776123	7.587061	-0.003344	-0.011497	0.003111	-0.220215	0.082520	-0.386719	0.903601	-0.135581	-0.307197	-0.265993
58952		6.122059	-0.812719	7.580692	-0.001972	-0.011594	0.004333	-0.216309	0.092285	-0.377686	0.903586	-0.135623	-0.307256	-0.265955
58953		6.105246	-0.823692	7.580896	-0.002746	-0.007753	0.004505	-0.207031	0.083984	-0.380127	0.903580	-0.135667	-0.307284	-0.265920
58954		6.086090	-0.788315	7.585284	-0.000221	-0.007193	0.001747	-0.223145	0.082764	-0.385742	0.903574	-0.135683	-0.307312	-0.265901
58955		6.120702	-0.783632	7.595818	-0.002913	-0.008961	0.004477	-0.211182	0.080078	-0.396484	0.903568	-0.135727	-0.307341	-0.265867
58956		6.098985	-0.791170	7.552451	-0.001875	-0.011477	0.005641	-0.215332	0.085693	-0.382324	0.903562	-0.135765	-0.307383	-0.265820
58957		6.110814	-0.782564	7.610091	-0.002226	-0.009009	0.005088	-0.217285	0.087646	-0.381348	0.903557	-0.135805	-0.307414	-0.265779
58958		6.112873	-0.811851	7.562418	-0.000686	-0.007897	0.006338	-0.209717	0.085938	-0.384521	0.903561	-0.135832	-0.307436	-0.265727
58959		6.103125	-0.811009	7.592525	-0.001470	-0.007961	0.004420	-0.207520	0.082275	-0.388184	0.903561	-0.135860	-0.307455	-0.265690
58960		6.107103	-0.780043	7.549477	-0.001540	-0.009056	0.005699	-0.218994	0.091309	-0.383057	0.903563	-0.135889	-0.307473	-0.265645
58961		6.106561	-0.768730	7.623602	-0.001707	-0.010264	0.005671	-0.215820	0.087646	-0.384766	0.903559	-0.135931	-0.307511	-0.265594
58962		6.106488	-0.813400	7.589565	-0.004356	-0.009952	0.004537	-0.217285	0.083984	-0.379150	0.903553	-0.135980	-0.307536	-0.265564
58963		6.104341	-0.812044	7.559486	-0.002983	-0.010050	0.005758	-0.216309	0.082764	-0.380371	0.903546	-0.136023	-0.307571	-0.265523
58964		6.109379	-0.798848	7.559221	-0.002745	-0.007745	0.004507	-0.218018	0.077148	-0.384766	0.903543	-0.136055	-0.307588	-0.265495
58965		6.103621	-0.784123	7.590018	-0.003334	-0.007581	0.005205	-0.205566	0.087158	-0.377686	0.903543	-0.136081	-0.307601	-0.265469
58966		6.114518	-0.803025	7.586593	-0.003333	-0.007581	0.005205	-0.219727	0.079834	-0.382080	0.903546	-0.136125	-0.307607	-0.265430
58967		6.095590	-0.812975	7.572652	-0.002311	-0.005213	0.005872	-0.215820	0.086914	-0.385986	0.903552	-0.136142	-0.307608	-0.265399
58968		6.097877	-0.814895	7.586587	-0.001134	-0.005538	0.004478	-0.211182	0.077881	-0.383301	0.903563	-0.136155	-0.307599	-0.265364
58969		6.108199	-0.788455	7.601865	-0.001232	-0.005651	0.003170	-0.208984	0.079590	-0.386963	0.903569	-0.136153	-0.307595	-0.265350
58970		6.105523	-0.786494	7.572263	0.000044	-0.005864	0.003082	-0.218018	0.086182	-0.379883	0.903582	-0.136137	-0.307583	-0.265330
58971		6.108110	-0.833107	7.567770	-0.000867	-0.004215	0.005814	-0.210205	0.086914	-0.386963	0.903593	-0.136154	-0.307578	-0.265288
58972		6.090332	-0.799122	7.587000	-0.003096	-0.005275	0.003955	-0.218262	0.082764	-0.394531	0.903608	-0.136179	-0.307549	-0.265258
58973		6.093271	-0.784563	7.572599	-0.001133	-0.005536	0.004478	-0.213623	0.086914	-0.387451	0.903625	-0.136170	-0.307526	-0.265229
58974		6.109710	-0.790359	7.584470	-0.001272	-0.007725	0.007036	-0.211670	0.082520	-0.378662	0.903641	-0.136193	-0.307521	-0.265170
58975		6.088757	-0.815536	7.584127	-0.002296	-0.010090	0.006369	-0.209473	0.080566	-0.383301	0.903637	-0.136228	-0.307555	-0.265126
58976		6.089915	-0.816245	7.583121	-0.000363	-0.009371	0.004305	-0.210938	0.077881	-0.379639	0.903640	-0.136227	-0.307573	-0.265095
58977		6.112871	-0.792579	7.581691	-0.004050	-0.006544	0.002011	-0.207764	0.090576	-0.385254	0.903634	-0.136242	-0.307579	-0.265102
58978		6.093535	-0.818625	7.595948	-0.000362	-0.009370	0.004304	-0.219482	0.079102	-0.385986	0.903648	-0.136267	-0.307576	-0.265044
58979		6.117086	-0.778535	7.566202	-0.001202	-0.006627	0.005758	-0.208740	0.084473	-0.381104	0.903652	-0.136262	-0.307587	-0.265019
58980		6.103342	-0.791773	7.595722	-0.001469	-0.007948	0.004421	-0.209717	0.088379	-0.374756	0.903659	-0.136281	-0.307591	-0.264982
58981		6.098477	-0.805436	7.579786	-0.002477	-0.006413	0.005846	-0.214600	0.080078	-0.385742	0.903665	-0.136334	-0.307595	-0.264930
