// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		4.494844	2.749629	8.218230	0.005486	0.016202	-0.012986	-0.104736	-0.004639	-0.777344	0.898895	0.053405	-0.276148	-0.335973
58938		4.477864	2.744862	8.178120	-0.000558	0.011639	-0.011077	-0.100098	-0.003418	-0.780273	0.898891	0.053459	-0.276054	-0.336052
58939		4.461385	2.806075	8.190914	-0.013264	-0.000429	-0.022692	-0.101318	-0.011475	-0.785156	0.898834	0.053412	-0.276004	-0.336252
58940		4.578984	2.823418	8.209786	-0.027586	-0.010686	-0.026170	-0.095703	-0.004883	-0.782959	0.898749	0.053236	-0.275995	-0.336517
58941		4.612987	2.775305	8.110966	-0.033243	-0.015654	-0.028234	-0.106689	-0.005371	-0.773926	0.898647	0.053010	-0.276009	-0.336812
58942		4.624634	2.777224	8.137918	-0.029691	-0.032786	-0.028837	-0.094482	-0.002197	-0.783691	0.898502	0.052764	-0.276166	-0.337110
58943		4.653407	2.797257	8.186952	-0.020562	-0.042217	-0.040434	-0.093994	-0.007080	-0.780273	0.898296	0.052585	-0.276421	-0.337476
58944		4.535430	2.778398	8.215173	-0.030229	-0.041915	-0.043012	-0.099854	-0.006592	-0.787354	0.898086	0.052341	-0.276654	-0.337883
58945		4.487468	2.791381	8.182743	-0.034006	-0.046057	-0.036179	-0.099365	-0.000244	-0.778564	0.897886	0.052042	-0.276911	-0.338249
58946		4.484300	2.798816	8.197897	-0.026988	-0.045451	-0.040015	-0.100342	-0.004883	-0.780518	0.897673	0.051810	-0.277182	-0.338628
58947		4.483499	2.797223	8.181862	-0.013616	-0.043205	-0.044387	-0.091797	-0.005371	-0.782959	0.897446	0.051700	-0.277471	-0.339009
58948		4.479162	2.729301	8.160940	-0.017900	-0.039138	-0.037903	-0.098633	-0.013672	-0.776611	0.897248	0.051559	-0.277720	-0.339351
58949		4.522525	2.644731	8.156731	-0.011842	-0.042625	-0.030835	-0.101562	0.000977	-0.777588	0.897059	0.051437	-0.278013	-0.339628
58950		4.596896	2.703767	8.230500	-0.008210	-0.036170	-0.018983	-0.097412	0.002197	-0.769531	0.896919	0.051325	-0.278272	-0.339804
58951		4.561256	2.745529	8.252274	-0.007924	-0.027801	-0.010202	-0.106445	0.000000	-0.781250	0.896823	0.051211	-0.278475	-0.339907
58952		4.585022	2.741095	8.212360	-0.001594	-0.019232	-0.009701	-0.105469	0.003906	-0.771484	0.896746	0.051167	-0.278632	-0.339989
58953		4.491876	2.697210	8.141671	0.006677	-0.018615	-0.013029	-0.094482	-0.007080	-0.776855	0.896658	0.051190	-0.278806	-0.340075
58954		4.563626	2.711830	8.175737	0.001919	-0.028971	-0.002312	-0.112305	-0.005371	-0.779297	0.896581	0.051126	-0.279044	-0.340093
58955		4.556542	2.720721	8.239045	0.003739	-0.029555	0.001919	-0.101318	-0.006104	-0.789551	0.896510	0.051056	-0.279303	-0.340077
58956		4.517435	2.728881	8.251075	0.013458	-0.029131	0.006792	-0.102051	-0.000488	-0.775391	0.896453	0.051048	-0.279581	-0.340001
58957		4.472675	2.759781	8.324642	0.026236	-0.021209	0.007405	-0.107910	-0.000732	-0.772461	0.896415	0.051154	-0.279819	-0.339890
58958		4.392891	2.789022	8.285334	0.029684	-0.013408	0.001517	-0.099854	-0.001953	-0.774170	0.896379	0.051322	-0.279995	-0.339815
58959		4.499068	2.729799	8.285855	0.019164	-0.015828	-0.004810	-0.094971	-0.010010	-0.780518	0.896329	0.051435	-0.280130	-0.339817
58960		4.571743	2.701016	8.231335	0.013886	-0.013578	-0.007448	-0.107178	0.001465	-0.773926	0.896283	0.051530	-0.280219	-0.339851
58961		4.527146	2.632193	8.256903	0.007065	-0.025232	0.003685	-0.108154	-0.001465	-0.775391	0.896243	0.051485	-0.280391	-0.339822
58962		4.607341	2.652536	8.428548	0.012090	-0.016677	0.003683	-0.107422	-0.004150	-0.769043	0.896224	0.051493	-0.280507	-0.339775
58963		4.456646	2.654207	8.372765	0.003047	0.000575	0.014094	-0.105713	-0.007812	-0.775146	0.896281	0.051452	-0.280469	-0.339662
58964		4.440089	2.634874	8.287166	0.004701	-0.002347	0.015944	-0.112549	-0.010498	-0.774414	0.896343	0.051412	-0.280431	-0.339535
58965		4.518423	2.693701	8.265475	0.007063	-0.006761	0.007495	-0.092285	-0.001221	-0.769043	0.896370	0.051391	-0.280432	-0.339467
58966		4.503810	2.599689	8.205530	0.004467	-0.015096	0.000762	-0.110107	-0.007324	-0.774658	0.896370	0.051347	-0.280439	-0.339466
58967		4.520846	2.551857	8.284514	0.000339	-0.024635	0.000526	-0.104492	-0.002197	-0.778564	0.896345	0.051224	-0.280537	-0.339471
58968		4.524568	2.519162	8.287502	-0.001711	-0.014395	0.003699	-0.101807	-0.010254	-0.773926	0.896368	0.051081	-0.280512	-0.339453
58969		4.548806	2.558644	8.288393	-0.004554	-0.007992	0.013107	-0.100586	-0.009766	-0.776611	0.896425	0.050937	-0.280447	-0.339379
58970		4.504928	2.594137	8.236297	-0.011776	-0.010482	0.021583	-0.107666	-0.003418	-0.772217	0.896508	0.050698	-0.280364	-0.339262
58971		4.512664	2.659917	8.302559	-0.007186	-0.017013	0.023414	-0.101318	-0.004639	-0.781250	0.896583	0.050439	-0.280376	-0.339093
58972		4.491101	2.748192	8.344835	-0.007551	-0.006462	0.025455	-0.109375	-0.003418	-0.784424	0.896699	0.050201	-0.280238	-0.338936
58973		4.456105	2.666330	8.306910	-0.004151	0.003172	0.031285	-0.105225	-0.000244	-0.780029	0.896858	0.049980	-0.280044	-0.338707
58974		4.509396	2.736189	8.293163	0.004677	0.003884	0.034013	-0.103271	-0.008057	-0.769043	0.897022	0.049835	-0.279873	-0.338436
58975		4.450515	2.713884	8.302500	0.002780	0.004922	0.036791	-0.100830	-0.009766	-0.778809	0.897160	0.049763	-0.279773	-0.338163
58976		4.492430	2.758251	8.296601	0.007853	0.004017	0.041055	-0.101807	-0.011719	-0.772461	0.897318	0.049700	-0.279616	-0.337884
58977		4.449121	2.796089	8.307280	0.005402	0.012568	0.041148	-0.094727	-0.001465	-0.775391	0.897480	0.049685	-0.279443	-0.337598
58978		4.403378	2.788384	8.278425	-0.002679	0.011771	0.032816	-0.110352	-0.010010	-0.776855	0.897647	0.049588	-0.279172	-0.337392
58979		4.400670	2.883022	8.266296	-0.008329	0.011877	0.020115	-0.100098	-0.003662	-0.774658	0.897764	0.049498	-0.278964	-0.337265
58980		4.324035	2.843480	8.253582	-0.017774	0.009673	0.006611	-0.099609	-0.002197	-0.768311	0.897849	0.049377	-0.278693	-0.337281
58981		4.302893	2.813694	8.297704	-0.010643	0.007508	-0.003562	-0.104248	-0.003906	-0.776367	0.897888	0.049354	-0.278494	-0.337345
58982		4.400609	2.738824	8.367566	-0.001836	0.017655	-0.005095	-0.098145	-0.000488	-0.774658	0.897953	0.049417	-0.278205	-0.337402
58983		4.457028	2.692384	8.306897	0.005821	0.031295	0.004604	-0.097168	-0.007080	-0.778809	0.898082	0.049552	-0.277805	-0.337369
58984		4.443699	2.676196	8.188875	0.011469	0.038113	0.018341	-0.096436	-0.002930	-0.771240	0.898251	0.049754	-0.277357	-0.337259
58985		4.480956	2.722942	8.184867	0.017749	0.030045	0.026707	-0.104248	-0.006348	-0.771973	0.898418	0.049946	-0.277046	-0.337040
58986		4.501058	2.830987	8.240909	0.022832	0.024744	0.024607	-0.098145	-0.004150	-0.776123	0.898548	0.050168	-0.276858	-0.336814
58987		4.429864	2.845018	8.343743	0.019221	0.038599	0.008892	-0.104004	0.008301	-0.775146	0.898688	0.050433	-0.276472	-0.336718
58988		4.363208	2.758204	8.239470	0.011526	0.038101	-0.001066	-0.097168	-0.006104	-0.783447	0.898839	0.050551	-0.276091	-0.336610
58989		4.529742	2.750993	8.196391	0.012051	0.032420	-0.006046	-0.103516	0.003174	-0.779053	0.898934	0.050799	-0.275676	-0.336661
58990		4.544083	2.691503	8.137464	0.002994	0.023620	-0.002861	-0.101562	-0.003174	-0.776367	0.899038	0.050856	-0.275380	-0.336615
58991		4.593988	2.677322	8.169040	0.002279	0.010578	0.002995	-0.104248	0.001221	-0.776367	0.899094	0.050913	-0.275222	-0.336586
58992		4.529874	2.691510	8.284743	0.000903	0.011035	0.009501	-0.099854	-0.008301	-0.781982	0.899183	0.050895	-0.275082	-0.336467
58993		4.465815	2.725346	8.303324	0.005344	0.019926	0.010413	-0.100586	0.005615	-0.781250	0.899270	0.051025	-0.274844	-0.336408
58994		4.458301	2.833512	8.322249	0.003091	0.025733	0.004152	-0.097412	-0.002930	-0.773682	0.899411	0.051042	-0.274524	-0.336291
58995		4.460293	2.789387	8.186952	0.013186	0.027560	-0.002617	-0.095459	-0.006104	-0.781738	0.899474	0.051245	-0.274285	-0.336286
58996		4.499677	2.749833	8.115819	0.017884	0.017552	-0.009423	-0.106201	-0.002197	-0.778809	0.899504	0.051509	-0.274070	-0.336341
58997		4.541581	2.779384	8.159141	0.008770	0.002939	-0.017267	-0.100098	-0.001221	-0.774902	0.899472	0.051604	-0.274062	-0.336417
58998		4.540266	2.737919	8.181240	-0.004927	-0.001427	-0.022968	-0.100830	-0.001953	-0.779785	0.899421	0.051604	-0.274018	-0.336591
58999		4.486653	2.699193	8.190332	-0.007817	-0.010958	-0.022692	-0.101807	-0.005859	-0.777344	0.899357	0.051562	-0.274018	-0.336767
59000		4.533195	2.704963	8.219599	-0.010180	-0.019248	-0.026356	-0.100586	0.003174	-0.777832	0.899238	0.051520	-0.274121	-0.337009
59001		4.559459	2.682696	8.291753	-0.015993	-0.012001	-0.026382	-0.103760	-0.009766	-0.774414	0.899178	0.051363	-0.274099	-0.337210
59002		4.483760	2.645519	8.277345	-0.014896	-0.003013	-0.020875	-0.097168	-0.008057	-0.772217	0.899082	0.051350	-0.274134	-0.337439
59003		4.484899	2.632535	8.184626	-0.008047	-0.005203	-0.014704	-0.096436	-0.001709	-0.775635	0.899014	0.051373	-0.274138	-0.337613
59004		4.552367	2.667902	8.233595	0.003074	-0.007071	-0.008672	-0.095703	-0.010498	-0.777100	0.898991	0.051391	-0.274129	-0.337680
59005		4.545989	2.610947	8.196683	0.006534	-0.010578	-0.002585	-0.095215	-0.000977	-0.770508	0.898950	0.051518	-0.274184	-0.337725
59006		4.586342	2.703078	8.278307	-0.001669	-0.014161	-0.000935	-0.102051	-0.000244	-0.779541	0.898928	0.051440	-0.274232	-0.337756
59007		4.556934	2.625295	8.252860	-0.015099	-0.019181	-0.005946	-0.099854	-0.000244	-0.776611	0.898892	0.051230	-0.274307	-0.337824
59008		4.538830	2.585504	8.312003	-0.007444	-0.026998	-0.001711	-0.099609	-0.000732	-0.773438	0.898844	0.051052	-0.274453	-0.337858
59009		4.613888	2.621684	8.373493	-0.000476	-0.014393	0.004211	-0.102295	-0.002686	-0.781738	0.898831	0.050950	-0.274540	-0.337837
59010		4.555696	2.534064	8.328514	0.004109	-0.000592	0.021541	-0.097168	-0.010254	-0.780029	0.898904	0.050903	-0.274541	-0.337651
59011		4.574994	2.515824	8.245567	0.021106	0.010652	0.043032	-0.106445	-0.001221	-0.776123	0.899046	0.051086	-0.274495	-0.337282
59012		4.571852	2.602576	8.249725	0.036737	0.019089	0.054634	-0.103271	-0.004883	-0.773926	0.899218	0.051198	-0.274538	-0.336772
59013		4.527478	2.576441	8.206663	0.038748	0.024571	0.065205	-0.103516	-0.001465	-0.779297	0.899426	0.051372	-0.274539	-0.336187
59014		4.481841	2.681772	8.207735	0.038505	0.022006	0.067452	-0.104736	-0.006592	-0.782959	0.899656	0.051479	-0.274520	-0.335572
59015		4.448228	2.844707	8.195942	0.024391	0.011547	0.052330	-0.102783	0.004150	-0.774414	0.899815	0.051553	-0.274562	-0.335098
59016		4.409376	2.800107	8.263589	0.012546	0.002845	0.027522	-0.099609	-0.007812	-0.784424	0.899901	0.051413	-0.274585	-0.334870
59017		4.367126	2.732444	8.304318	0.011736	-0.001045	0.014414	-0.099365	-0.005371	-0.788330	0.899948	0.051494	-0.274600	-0.334720
59018		4.349943	2.651747	8.337775	0.018354	-0.002591	0.019872	-0.104248	-0.003662	-0.782227	0.900017	0.051577	-0.274611	-0.334511
59019		4.392323	2.690287	8.410826	0.022239	0.005549	0.031679	-0.097656	-0.002441	-0.771484	0.900112	0.051627	-0.274661	-0.334206
59020		4.375758	2.663935	8.404719	0.031404	0.013241	0.038448	-0.098145	0.001221	-0.770752	0.900244	0.051754	-0.274626	-0.333859
59021		4.417118	2.678740	8.403206	0.025569	0.017282	0.041393	-0.099121	0.000000	-0.775635	0.900401	0.051776	-0.274532	-0.333510
59022		4.409628	2.630546	8.350395	0.016324	0.025637	0.059901	-0.100342	0.004150	-0.773926	0.900635	0.051724	-0.274357	-0.333031
59023		4.285741	2.709457	8.367959	0.035327	0.023808	0.068802	-0.093018	-0.004639	-0.788086	0.900879	0.051713	-0.274258	-0.332454
59024		4.429718	2.857673	8.467307	0.027414	0.030878	0.059161	-0.095215	-0.005127	-0.771729	0.901147	0.051867	-0.273959	-0.331950
59025		4.335839	2.779751	8.355986	0.009218	0.035118	0.039321	-0.100342	-0.003662	-0.776123	0.901342	0.051926	-0.273680	-0.331641
