// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		9.791235	1.287894	-0.920691	0.076652	0.032885	-0.001516	-0.666260	-0.500732	-0.142334	0.599188	0.420336	-0.608132	0.307355
61952		9.717419	1.252770	-0.848148	0.110824	0.041084	-0.001046	-0.672852	-0.501465	-0.140381	0.599010	0.420790	-0.607639	0.308055
61953		9.736524	1.252906	-0.716098	0.108842	0.047241	-0.004965	-0.673096	-0.500732	-0.140137	0.598876	0.421235	-0.607109	0.308749
61954		9.709728	1.373967	-0.719437	0.124072	0.034813	-0.012004	-0.666992	-0.503662	-0.144043	0.598649	0.421824	-0.606572	0.309441
61955		9.775812	1.506476	-0.873561	0.093971	0.044074	-0.007994	-0.667725	-0.504395	-0.137451	0.598568	0.422218	-0.606077	0.310032
61956		9.762595	1.442376	-0.979883	0.089274	0.051097	-0.003037	-0.663818	-0.498779	-0.137695	0.598528	0.422548	-0.605572	0.310643
61957		9.754195	1.357203	-0.933944	0.122466	0.055619	-0.009160	-0.667480	-0.508545	-0.134766	0.598410	0.423069	-0.604936	0.311402
61958		9.724943	1.355690	-0.857984	0.123327	0.051612	-0.017244	-0.671631	-0.504883	-0.136230	0.598288	0.423647	-0.604288	0.312106
61959		9.748370	1.438873	-0.825298	0.117857	0.051102	-0.022648	-0.673096	-0.501953	-0.138916	0.598199	0.424228	-0.603634	0.312752
61960		9.835230	1.448278	-0.843818	0.141629	0.056030	-0.027966	-0.663818	-0.505859	-0.148438	0.598070	0.424946	-0.602868	0.313502
61961		9.836373	1.566614	-0.862125	0.137059	0.066383	-0.031379	-0.670166	-0.502930	-0.138428	0.598022	0.425635	-0.602044	0.314241
61962		9.714949	1.630961	-0.945206	0.117799	0.072354	-0.030697	-0.665039	-0.509033	-0.132812	0.598078	0.426219	-0.601233	0.314895
61963		9.614946	1.603964	-0.887328	0.090896	0.081115	-0.019898	-0.662109	-0.500977	-0.135254	0.598248	0.426612	-0.600480	0.315476
61964		9.623115	1.541322	-0.895125	0.059018	0.086986	-0.009387	-0.668457	-0.500977	-0.140137	0.598539	0.426793	-0.599811	0.315953
61965		9.614035	1.466394	-0.861565	0.054617	0.072242	-0.002051	-0.674316	-0.501953	-0.132812	0.598756	0.426971	-0.599245	0.316374
61966		9.620302	1.436777	-0.832560	0.021609	0.046384	0.003012	-0.673584	-0.500244	-0.140381	0.598949	0.427042	-0.598911	0.316545
61967		9.634976	1.499844	-0.863813	-0.038221	0.050840	0.006568	-0.663330	-0.504150	-0.143799	0.599369	0.426787	-0.598720	0.316454
