// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55664		9.222268	-1.109851	-3.243951	0.005316	0.015232	-0.011386	-0.838135	-0.177979	-0.013428	0.523755	0.256539	-0.774017	0.246509
55665		9.216854	-1.058277	-3.184515	0.010203	0.016760	-0.011773	-0.833496	-0.174316	-0.017090	0.523865	0.256626	-0.773897	0.246559
55666		9.232740	-1.133771	-3.145937	-0.011386	0.015789	-0.012449	-0.823486	-0.175049	-0.016846	0.524020	0.256619	-0.773824	0.246467
55667		9.260558	-1.124875	-3.154115	-0.016286	0.009292	-0.014363	-0.829346	-0.179932	-0.022705	0.524145	0.256621	-0.773785	0.246320
55668		9.210671	-1.121822	-3.204409	-0.007977	0.002496	-0.019040	-0.831787	-0.184082	-0.019775	0.524220	0.256703	-0.773748	0.246192
55669		9.246835	-1.040680	-3.189239	-0.006859	0.002452	-0.022365	-0.829102	-0.179443	-0.020264	0.524300	0.256811	-0.773701	0.246058
55670		9.215029	-1.011036	-3.174099	-0.013172	0.001009	-0.021268	-0.836914	-0.175781	-0.013184	0.524383	0.256888	-0.773674	0.245884
55671		9.249737	-1.002668	-3.208284	-0.021453	0.000965	-0.015377	-0.833496	-0.185547	-0.013184	0.524476	0.256892	-0.773675	0.245680
55672		9.230217	-1.031169	-3.239103	-0.024601	0.002728	-0.013673	-0.835938	-0.180420	-0.002197	0.524587	0.256872	-0.773675	0.245463
55673		9.238418	-1.004763	-3.247098	-0.030348	0.001522	-0.013751	-0.833252	-0.179199	-0.017334	0.524703	0.256831	-0.773692	0.245203
55674		9.269844	-1.008722	-3.210520	-0.034337	0.005155	-0.009606	-0.830322	-0.179443	-0.017090	0.524845	0.256742	-0.773710	0.244939
55675		9.181067	-1.083637	-3.197701	-0.021662	0.002244	-0.008654	-0.837646	-0.178467	-0.023193	0.524942	0.256711	-0.773714	0.244751
55676		9.243562	-0.997377	-3.192983	-0.020206	-0.005195	-0.009130	-0.829590	-0.175781	-0.021484	0.524990	0.256703	-0.773745	0.244556
55677		9.214847	-1.007586	-3.149023	-0.012993	-0.006458	-0.007215	-0.837402	-0.182373	-0.024414	0.525015	0.256719	-0.773769	0.244410
55678		9.239288	-1.042225	-3.149370	-0.013554	-0.006695	-0.006035	-0.832764	-0.177246	-0.014404	0.525047	0.256728	-0.773791	0.244263
55679		9.248527	-0.999549	-3.186016	-0.019541	-0.012124	-0.002688	-0.829590	-0.184570	-0.019043	0.525052	0.256699	-0.773854	0.244083
55680		9.228110	-1.029700	-3.219046	-0.018430	-0.012674	-0.006982	-0.829834	-0.179932	-0.017578	0.525067	0.256706	-0.773903	0.243886
55681		9.208003	-1.035308	-3.235953	-0.016980	-0.016177	-0.007089	-0.828125	-0.181885	-0.026611	0.525056	0.256727	-0.773965	0.243692
55682		9.222388	-1.024512	-3.278544	-0.009191	-0.011723	-0.003077	-0.827393	-0.178467	-0.023926	0.525051	0.256748	-0.773997	0.243577
55683		9.219847	-1.041774	-3.253881	-0.005170	-0.018251	-0.005656	-0.829834	-0.188965	-0.018799	0.524994	0.256817	-0.774050	0.243461
55684		9.250909	-0.999884	-3.187179	-0.001713	-0.016120	-0.004371	-0.830322	-0.173096	-0.015137	0.524943	0.256895	-0.774089	0.243362
55685		9.192051	-0.997827	-3.216566	-0.012869	-0.017558	0.000041	-0.830811	-0.182617	-0.017090	0.524891	0.256890	-0.774170	0.243223
55686		9.262046	-1.019572	-3.214493	-0.018014	-0.020918	0.001329	-0.840088	-0.188965	-0.012695	0.524837	0.256870	-0.774273	0.243036
55687		9.233266	-1.073382	-3.240943	-0.016319	-0.019683	-0.001234	-0.826416	-0.183350	-0.008545	0.524809	0.256884	-0.774350	0.242833
55688		9.243120	-1.044855	-3.154281	-0.017507	-0.024271	-0.006630	-0.838379	-0.177490	-0.017822	0.524729	0.256915	-0.774465	0.242606
55689		9.234587	-1.040749	-3.134345	-0.018750	-0.027491	-0.016499	-0.835938	-0.178711	-0.017578	0.524684	0.257014	-0.774545	0.242344
55690		9.201563	-1.040589	-3.185309	-0.043149	-0.047114	-0.022974	-0.835693	-0.177734	-0.016602	0.524583	0.257081	-0.774742	0.241861
