// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55664		9.610164	1.080425	-2.107709	0.064853	0.003468	-0.020734	-0.676270	0.311768	0.509766	0.210522	-0.699824	-0.341621	-0.590950
55665		9.566604	1.020690	-2.108417	0.061162	0.007537	-0.020196	-0.674561	0.312256	0.508301	0.210800	-0.699622	-0.342027	-0.590855
55666		9.542200	1.036172	-2.169698	0.064140	0.002349	-0.024520	-0.663086	0.312256	0.510986	0.211061	-0.699428	-0.342481	-0.590728
55667		9.547330	1.093401	-2.121173	0.066214	0.001407	-0.023131	-0.667725	0.308350	0.501709	0.211337	-0.699240	-0.342940	-0.590587
55668		9.540013	1.180553	-2.057251	0.041311	0.002106	-0.017731	-0.672363	0.304932	0.508301	0.211497	-0.699107	-0.343243	-0.590511
55669		9.514659	1.164262	-2.100423	0.019879	0.004800	-0.005944	-0.672852	0.312256	0.506592	0.211594	-0.699030	-0.343369	-0.590493
55670		9.515853	1.037015	-2.129615	0.014617	0.004200	-0.006536	-0.680908	0.311523	0.512695	0.211654	-0.698963	-0.343476	-0.590489
55671		9.570897	1.005906	-2.133592	0.027519	0.007077	-0.014995	-0.678223	0.307617	0.514160	0.211756	-0.698837	-0.343690	-0.590477
55672		9.589531	1.096446	-2.109318	0.040119	0.011611	-0.020420	-0.676514	0.309814	0.517822	0.211921	-0.698654	-0.343987	-0.590462
55673		9.585871	1.245377	-2.104772	0.023718	0.013105	-0.016113	-0.677490	0.311279	0.509277	0.212015	-0.698504	-0.344177	-0.590495
55674		9.538739	1.238314	-2.096370	0.002183	0.017055	-0.009388	-0.674072	0.312744	0.510742	0.212019	-0.698388	-0.344221	-0.590604
55675		9.489243	1.123731	-2.117725	0.002183	0.017056	-0.009390	-0.680420	0.317139	0.500732	0.212014	-0.698270	-0.344272	-0.590717
55676		9.442532	1.084710	-2.116454	0.009339	0.014274	-0.012926	-0.671875	0.322266	0.508789	0.212022	-0.698142	-0.344387	-0.590797
